"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 11:04:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Government consumption expenditures \1\","A955RC1",178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2217.8,2382.8,2411.5,2490.6
"9","2","        Gross output of general government","W101RC1",191.6,204.9,221.3,240,256.4,285.8,320.4,344.9,378.1,412.5,454.1,512.9,574,627.7,676.2,728.6,797.6,860.2,906,952.3,1013.9,1088.3,1151.8,1200.3,1238.8,1285.3,1327.7,1372,1426.5,1477.8,1567.8,1669.5,1786.5,1913.5,2044,2164.5,2299.4,2431.3,2576.3,2767.8,2819,2920.2
"10","3","          Value added","W102RC1",130,143.5,156.4,169.4,183.2,201.3,224.5,243.5,264.6,287.5,313,348.5,385.3,419,445.4,485.1,523.4,556.3,591.5,630.6,672.2,722.7,767.6,801.9,831.2,859.9,884.8,911.3,940.3,972.5,1021.6,1078.8,1139.6,1211.4,1292.2,1359.3,1436.5,1512,1604.6,1697.6,1760.2,1801
"11","4","            Compensation of general government employees","A194RC1",107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.6,499.5,532.3,567.1,609.7,647.5,677.3,700.7,724.1,743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1361.4,1436.9,1487.9,1520.1
"12","5","            Consumption of general government fixed capital \2\","A265RC1",22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,243.2,260.7,272.3,280.8
"13","6","          Intermediate goods and services purchased \3\","W104RC1",61.6,61.3,64.9,70.6,73.1,84.5,95.9,101.4,113.5,125.1,141.1,164.4,188.7,208.8,230.9,243.5,274.2,303.9,314.5,321.7,341.7,365.7,384.2,398.4,407.6,425.4,443,460.7,486.2,505.2,546.2,590.7,646.8,702.1,751.8,805.2,863,919.4,971.7,1070.2,1058.8,1119.3
"14","7","            Durable goods","W105RC1",8.1,7.9,6.7,8.1,8.2,8.3,9.5,9.8,12.3,14.4,16.8,18.8,22.9,26.8,33.1,35.8,38.6,42.1,44.7,45.1,44.7,45.1,45.3,43.3,41.8,39,38.1,38.5,39.5,41.1,43.9,45,46.4,47.8,49.5,53.1,54.6,58.7,62.9,70.5,73.9,76.7
"15","8","            Nondurable goods","W106RC1",18.4,16.4,16.7,18.1,18.6,23.3,26.7,29.3,33.2,36,41.5,51.2,60.2,59,61.8,59.6,65.1,68.3,66.5,62.3,74.3,80.5,83,85.4,89.5,91.9,99.4,106.1,111.6,114.4,123.2,144.9,155.4,159.7,171.2,189.3,217.6,233.7,253.2,291.9,249.9,276.7
"16","9","            Services","W107RC1",35.1,37.1,41.5,44.4,46.3,52.9,59.7,62.4,68.1,74.7,82.9,94.4,105.5,123,135.9,148.1,170.4,193.5,203.3,214.3,222.7,240.1,255.9,269.6,276.3,294.6,305.5,316.1,335,349.7,379.1,400.8,445,494.7,531,562.8,590.8,627,655.6,707.8,735,765.9
"17","10","        Less: Own-account investment \4\","W108RC1",1.9,2.1,2.2,2.3,2.4,2.7,2.8,2.8,2.7,3.1,3.9,4.5,4.8,5.2,5.7,6.6,7.5,8.1,8.8,9.6,11.2,12.3,13.3,13.7,13.9,14.2,14.8,15,16.2,16.7,17.3,18.1,20.8,21.5,21.6,22.6,23.8,25.3,26.4,28.6,29.1,28.5
