"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2011 10:03:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Personal consumption expenditures (PCE)","DPCERA3",8.352,7.904,7.657,6.97,6.816,7.302,7.748,8.537,8.853,8.71,9.197,9.673,10.359,10.114,10.397,10.693,11.355,12.767,13.012,13.305,13.674,14.551,14.78,15.246,15.974,16.31,17.513,18.026,18.473,18.634,19.692,20.233,20.65,21.671,22.564,23.908,25.42,26.862,27.667,29.263,30.359
"9","2","Goods","DGDSRA3",8.744,8.052,7.759,6.851,6.8,7.422,8.031,9.099,9.37,9.161,9.795,10.403,11.229,10.364,10.263,10.34,11.046,13.089,13.469,13.74,14.153,15.249,15.068,15.406,16.204,16.377,17.885,18.153,18.465,18.276,19.425,19.767,19.892,20.915,21.75,23.047,24.679,26.245,26.758,28.415,29.283
"10","3","  Durable goods","DDURRA3",3.123,2.586,2.234,1.698,1.654,1.893,2.291,2.799,2.945,2.441,2.892,3.31,3.819,2.424,2.176,2.006,2.229,4.026,4.722,5.032,5.441,6.597,6.048,5.917,6.608,6.579,7.983,7.685,7.755,7.164,8.008,8.17,7.896,8.798,9.608,10.505,11.807,12.787,12.977,14.418,14.957
"11","4","    Motor vehicles and parts","DMOTRA3",6.807,4.736,3.695,2.363,2.816,3.504,4.854,5.994,6.091,3.94,5.368,6.764,7.689,1.232,1.265,1.17,1.449,4.882,7.078,7.998,10.252,13.256,11.185,10.071,12.522,11.942,16.351,13.917,14.567,12.061,14.373,15.265,13.738,16.312,18.349,19.369,22.437,22.805,22.253,25.736,26.677
"12","5","    Furnishings and durable household equipment","DFDHRA3",5.809,4.805,4.683,3.868,3.629,3.941,4.469,5.517,5.708,5.161,5.778,6.332,7.343,6.087,4.814,4.264,4.625,7.821,9.092,9.621,9.409,10.845,10.312,10.27,10.582,10.582,11.925,12.506,12.268,12.115,12.903,12.713,12.791,13.508,14.394,16.026,17.075,18.56,18.982,20.123,20.546
"13","6","    Recreational goods and vehicles","DREQRA3",0.252,0.266,0.219,0.161,0.142,0.16,0.18,0.228,0.26,0.24,0.28,0.311,0.368,0.331,0.274,0.259,0.296,0.596,0.604,0.596,0.6,0.768,0.751,0.818,0.901,0.969,1.093,1.152,1.125,1.12,1.248,1.239,1.288,1.374,1.5,1.76,2.052,2.526,2.777,3.076,3.281
"14","7","    Other durable goods","DODGRA3",4.335,3.999,3.148,2.596,2.128,2.445,2.779,3.037,3.516,3.534,3.774,4.016,4.618,4.979,5.98,5.864,6.436,7.607,7.161,7.305,7.132,7.466,7.71,8.279,8.509,8.838,9.422,9.86,9.942,10.05,10.372,10.447,10.658,11.643,12.06,13.101,14.448,16.618,16.765,18.402,19.12
"15","8","  Nondurable goods","DNDGRA3",14.105,13.368,13.222,12.053,12.007,12.988,13.741,15.312,15.688,15.912,16.635,17.347,18.396,18.448,18.565,18.955,20.131,21.947,21.816,21.978,22.3,23.041,23.393,24.272,25.024,25.419,26.739,27.678,28.232,28.608,29.895,30.391,31.005,31.96,32.648,34.181,35.903,37.898,38.712,40.35,41.466
"16","9","    Food and beverages purchased for off-premises consumption","DFXARA3",21.3,20.77,20.654,19.151,20.005,21.955,23.11,26.277,27.003,27.574,27.928,29.102,30.08,29.942,29.168,30.431,32.078,35.94,35.944,35.651,35.823,36.577,36.778,37.781,39.218,40.268,42.211,43.611,44.65,44.837,46.691,47.025,47.68,47.996,48.389,50.037,52.542,54.593,55.841,58.317,59.925
"17","10","    Clothing and footwear","DCLORA3",10.398,9.354,9.239,8.216,7.395,7.811,8.442,9.178,9.081,9.207,9.943,10.264,11.036,11.507,12.526,12.123,12.527,12.775,12.188,12.308,12.382,12.694,12.63,13.289,13.407,13.42,14.073,14.442,14.34,14.485,15.232,15.37,15.654,16.363,16.663,17.931,18.676,19.928,20.067,20.872,21.274
"18","11","    Gasoline and other energy goods","DGOERA3",16.491,16.397,16.022,15.015,15.366,16.158,16.976,18.35,19.088,18.871,20.237,21.583,23.338,20.074,16.386,16.493,19.279,27.169,28.785,29.897,29.968,31.489,33.163,34.574,35.457,36.448,39.348,41.03,42.047,43.931,45.001,45.718,45.416,46.89,48.513,51.099,53.533,56.455,57.903,60.348,62.97
"19","12","    Other nondurable goods","DONGRA3",6.798,6.23,6.128,5.434,5.362,5.868,6.152,6.792,7.153,7.234,7.833,8.168,9.039,9.633,10.445,10.942,11.933,11.866,11.894,12.321,13.111,14.007,14.657,15.323,15.959,15.907,16.679,17.438,18.083,18.451,19.564,20.489,21.554,23.072,24.123,25.193,26.715,28.84,29.689,30.889,31.739
"20","13","Services","DSERRA3",7.52,7.363,7.175,6.742,6.491,6.809,7.047,7.48,7.831,7.769,8.071,8.382,8.88,9.369,10.118,10.683,11.256,11.768,11.817,12.131,12.423,12.969,13.735,14.352,14.957,15.48,16.258,17.039,17.627,18.2,19.102,19.85,20.581,21.554,22.47,23.807,25.122,26.367,27.451,28.915,30.204
"21","14","  Household consumption expenditures (for services)","DHCERA3",7.786,7.602,7.393,6.952,6.709,7.07,7.331,7.795,8.183,8.101,8.424,8.741,9.276,9.791,10.569,11.151,11.769,12.309,12.397,12.732,13.047,13.635,14.474,15.093,15.736,16.281,17.115,17.922,18.55,19.14,20.051,20.784,21.558,22.591,23.556,24.918,26.303,27.616,28.74,30.257,31.638
"22","15","    Housing and utilities","DHUTRA3",6.221,6.204,6.168,6.063,5.946,6.265,6.342,6.48,6.617,6.734,6.923,7.17,7.561,7.959,8.25,8.583,8.808,9.604,10.426,11.121,11.89,12.815,13.823,14.764,15.614,16.479,17.386,18.353,19.308,20.287,21.45,22.596,23.706,25.078,26.25,27.523,28.98,30.304,31.669,33.257,35.085
"23","16","    Health care","DHLCRA3",5.816,5.687,5.58,5.274,4.888,5.023,5.048,5.377,5.509,5.395,5.678,5.831,6.019,6.294,6.283,6.701,6.843,8.023,8.39,9.144,9.347,9.791,10.074,10.622,11.145,11.967,12.33,13.08,13.811,14.893,16.02,16.224,16.945,18.471,19.693,21.923,22.923,24.172,25.3,27.263,29.284
"24","17","    Transportation services","DTRSRA3",9.376,8.269,7.305,6.393,6.406,6.796,6.956,7.786,8.203,7.819,8.426,8.995,10.03,11.05,13.711,14.898,16.014,18.891,18.482,18.409,17.522,17.008,17.609,17.82,18.274,17.699,18.276,18.782,19.122,18.844,19.585,20.222,20.469,21.234,22.159,23.372,24.561,25.979,27.36,29.107,31.055
"25","18","    Recreation services","DRCARA3",6.322,6.222,6.054,4.924,4.719,5.18,5.508,6.095,6.512,6.168,6.36,6.86,7.266,7.901,8.52,8.398,8.902,10.283,9.741,9.45,9.241,9.258,9.364,9.521,9.631,9.827,10.279,10.779,10.422,10.338,11.076,11.688,12.188,12.779,13.299,13.84,14.357,15.224,15.738,16.728,17.722
"26","19","    Food services and accommodations","DFSARA3",9.04,9.214,9.64,9.429,8.503,9.662,10.382,11.801,13.387,13.499,14.695,15.549,17.284,19.023,22.539,25.736,28.952,26.089,22.965,22.212,22.447,22.666,24.76,25.944,26.903,26.824,27.497,28.303,28.63,28.204,28.793,29.095,29.189,30.238,30.993,32.578,34.906,36.642,36.265,38.517,39.353
"27","20","    Financial services and insurance","DIFSRA3",7.213,6.591,6.157,5.894,6.322,5.802,6.3,6.544,6.649,6.439,6.614,6.636,6.774,6.558,6.946,6.981,7.209,7.725,8.33,8.737,8.972,10.032,11.208,11.235,11.678,12.487,13.501,14.191,14.601,15.053,15.358,15.972,16.835,16.809,17.4,18.626,19.856,20.54,21.561,22.672,22.993
"28","21","    Other services","DOTSRA3",13.107,12.768,11.946,10.481,9.687,10.381,10.941,11.814,12.586,12.112,12.356,12.65,13.226,13.675,14.121,14.202,14.604,15.115,15.64,16.014,16.188,16.768,17.091,17.454,17.997,18.424,19.755,20.606,21.34,22.046,23.008,23.734,24.504,25.474,26.404,27.584,29.158,30.873,32.69,33.59,34.58
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",2.712,2.84,2.904,2.68,2.447,2.304,2.272,2.306,2.233,2.349,2.377,2.536,2.554,2.666,2.913,3.14,3.159,3.261,3.01,3.051,3.072,3.105,3.062,3.404,3.508,3.66,3.738,4.018,4.1,4.32,4.779,5.325,5.46,5.623,5.818,6.462,6.754,7.021,7.389,7.897,8.021
"30","23","    Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.915,15.528,16.207,17.06,18.027,19.441,20.548,21.929,23.278,24.986,26.301
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.085,21.155,22.288,23.722,25.327,26.929,28.615,30.915,32.947,35.429,37.861
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
