"","Table 6#10B# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 11:11:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Employer contributions for social insurance","B039RC0",22754,23839,26446,31157,39783,44694,46724,54398,61104,71528,82587,88940,103610,109769,119882,139038,147734,157869,166260
"9","2","Domestic industries","B4802C0",22754,23839,26446,31157,39783,44694,46724,54398,61104,71528,82587,88940,103610,109775,119883,139038,147734,157869,166260
"10","3","  Private industries","B4803C0",19818,20461,22473,26698,34561,38682,39528,46371,52601,62211,72029,77325,89953,95166,103482,121078,128042,136370,143484
"11","4","    Agriculture, forestry, and fishing","B4804C0",216,228,257,288,375,445,481,562,597,639,709,809,890,906,946,1114,1195,1284,1409
"12","5","    Mining","B4805C0",254,268,287,325,422,529,631,693,806,992,1205,1434,1914,2238,2064,2411,2377,2097,1983
"13","6","    Construction","B4806C0",1709,1765,1963,2322,3043,3228,3119,3560,3998,4913,5840,6056,6686,6642,7154,8639,9495,10215,10701
"14","7","    Manufacturing","B4807C0",7760,7621,8094,9667,12573,14031,13628,16074,18506,21719,24549,25404,29182,29735,32153,37606,38713,39845,40311
"15","8","      Durable goods","J4808C0",4835,4648,4876,5961,7895,8841,8458,10029,11814,14030,15940,16186,18629,18662,20167,24038,24948,25444,25418
"16","9","      Nondurable goods","J4809C0",2925,2973,3218,3706,4678,5190,5170,6045,6692,7688,8608,9217,10553,11073,11986,13568,13766,14401,14894
"17","10","    Transportation and public utilities","B4810C0",2034,2167,2328,2709,3472,4350,4439,4992,5647,6465,7435,7951,9257,9895,10400,11805,12263,13028,13526
"18","11","      Transportation","J4811C0",1436,1518,1596,1798,2320,2926,2927,3346,3830,4349,4931,5145,5848,5994,6227,7220,7511,8036,8358
"19","12","      Communication","J4812C0",360,397,448,553,682,856,913,992,1089,1276,1525,1702,2063,2379,2505,2693,2748,2845,2929
"20","13","      Electric, gas, and sanitary services","J4813C0",238,252,284,358,470,568,599,654,728,840,978,1104,1346,1523,1669,1893,2004,2148,2239
"21","14","    Wholesale trade","J4814C0",1490,1564,1754,2074,2665,2549,2590,3767,4204,4964,5856,6412,7529,8132,8690,10263,10812,11426,11972
"22","15","    Retail trade","J4815C0",2564,2728,3091,3663,4617,5162,5488,6355,7127,8348,9476,10049,11427,11865,13098,15232,16094,17198,18035
"23","16","    Finance, insurance, and real estate","J4816C0",1094,1188,1351,1623,2093,2408,2579,2891,3261,3876,4601,5188,6150,6763,7706,8961,9836,11289,12312
"24","17","    Services","J4817C0",2697,2932,3348,4027,5301,5980,6573,7477,8455,10295,12358,14022,16918,18989,21270,25048,27256,29988,33234
"25","18","  Government","B4818C0",2936,3378,3973,4459,5222,6012,7196,8027,8503,9317,10558,11615,13657,14609,16401,17960,19692,21499,22776
"26","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
