"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","3","  Wage and salary accruals","A4102C1",499,511.4,526.4,536.4,545.1,549,555.7,556.3,570.1,580.2,588.7,599,618,630.5,642.4,664.3,683.4,700.1,716.2,735.4,748.2,765.3,783.1,792.5,792,800.4,821.3,845.8,871.3,889.4,908.5,930,950.1,981,1007.6,1038.2,1064.3,1106.1,1137.2,1175.1,1208.4,1234.1,1268.3,1302.8,1335,1351.1,1376.7,1431.3,1469.2,1496.4,1528.9,1551.7,1567.4,1581.1,1596.3,1606,1623.2,1655.3,1692,1740.3,1785.4,1828.4,1866.9,1899.7,1934,1963.5,1996.3,2037.3,2065.5,2083.7,2113.4,2153.9,2195.3,2231.6,2271.8,2331.8,2368.1,2423.1,2463.4,2508,2543.1,2564.5,2592.9,2636.9,2689,2738.1,2771,2775.9,2778.3,2803.9,2829.3,2857.4,2906.4,2945.8,2979,3011.8,3037.7,3070.7,3103.6,3133.5,3190.1,3233.4,3266.7,3319.6,3381,3415.7,3458.7,3498.5,3533.3,3598.2,3654.3,3710.6,3778.3,3836.7,3904.9,3992.2,4079.6,4149.7,4220.8,4291.9,4380.6,4423.1,4484.8,4593.2,4759.7,4786.7,4878.8,4904.3,4993.2,4966.6,4937.6,4932.2,4969,5008.8,5011.7,5022,5066.8,5129.1,5190.2,5255.1,5281.8,5369.9,5474.9,5540.8,5590.5,5658,5764.9,5836.2,5965.4,6025.1,6082,6234.5,6334.9,6389.9,6434.7,6530.8,6603.2,6582.3,6575.1,6484.8,6287.9,6295.4,6271.6,6292.8,6299.6,6397.2,6452.1,6504.7
"12","4","    Disbursements","W269RC1",499,511.4,526.4,536.4,542.6,551.2,556.1,556.3,570.1,580.1,588.1,597.5,619.4,630.9,642.6,662.2,683.3,700.4,716.2,735.4,748.2,765.9,784.6,792.5,791.9,800.3,821.2,845.7,871.2,889.3,908.4,929.9,950,980.9,1007.5,1038.1,1064.2,1106,1136.7,1174.7,1208.3,1235,1268.4,1302.6,1335.1,1351.1,1376.2,1431.8,1469.2,1496.4,1528.6,1551.7,1567.5,1581.1,1596.2,1606,1623.3,1656.5,1692.4,1740.3,1785.2,1828.2,1867,1899.2,1933.9,1964.5,1996.3,2037.3,2065.5,2083.7,2113.4,2153.9,2195.3,2231.6,2271.5,2332,2368.1,2423.1,2463.4,2508,2543.1,2564.5,2592.9,2636.9,2689,2738.1,2770.9,2775.8,2778.1,2804.3,2829.3,2857.4,2906.4,2945.8,2979,3074.8,2965.6,3068.8,3101.6,3183.6,3133.7,3228.7,3262,3315,3364.6,3399.4,3442.3,3482.2,3529.7,3594.6,3650.6,3707,3781.3,3839.6,3907.9,3995.2,4080.3,4150.4,4221.5,4292.6,4375.4,4417.9,4479.6,4588,4759.7,4786.7,4878.8,4904.3,4993.2,4966.6,4937.6,4932.2,4969,5008.8,5011.7,5022,5055.4,5115.4,5165.2,5245.1,5285.4,5391.3,5499.9,5550.8,5590.5,5658,5764.9,5816.2,5985.4,6025.1,6082,6209.5,6359.9,6389.9,6434.7,6530.8,6603.2,6582.3,6575.1,6504.8,6267.9,6295.4,6271.6,6292.8,6299.6,6397.2,6452.1,6504.7
"13","5","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062.7,2081,2110.8,2151.3,2192.7,2229.1,2269.4,2329.9,2366.2,2421.2,2461.7,2506.1,2541,2562.3,2590.6,2634.2,2685.7,2734.7,2767.5,2772,2774.5,2800.3,2825.2,2852.9,2901.7,2941,2974.3,3070,2960.7,3063.7,3096.5,3178.2,3128,3222.7,3256.1,3308.9,3358.4,3393.1,3436.1,3475.8,3523.6,3588.3,3644.3,3700.3,3774.8,3833,3901.1,3988.2,4073.5,4143.5,4214.4,4285.2,4367.6,4410,4471.6,4579.9,4752.2,4779.2,4871.5,4896.6,4985.1,4958.6,4929.5,4924,4960.7,5000.2,5003.5,5013.6,5046.8,5107.2,5156.7,5236.4,5276.6,5382.4,5491,5541.4,5581.4,5648.8,5755.4,5806.8,5976,6015.7,6072.6,6199.8,6350.2,6379.8,6424.6,6520.4,6592.9,6572,6564.8,6494.3,6257.1,6284.7,6261,6281.9,6288.4,6385.7,6440.6,6493.1
"14","6","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,2.7,2.6,2.5,2.2,2.1,1.9,1.9,1.7,1.9,2.1,2.2,2.3,2.6,3.3,3.4,3.5,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,7.8,7.9,8,8.1,7.5,7.5,7.4,7.7,8,8,8.1,8.2,8.4,8.5,8.2,8.4,8.6,8.3,8.5,8.7,8.7,8.9,8.9,9.4,9.1,9.2,9.5,9.4,9.4,9.4,9.4,9.8,9.7,10.1,10.1,10.4,10.4,10.3,10.3,10.5,10.9,10.7,10.7,10.8,11.2,11.5,11.6,11.6
"15","7","    Wage accruals less disbursements","A062RC1",0,0,0,0,2.5,-2.1,-0.4,0,0,0.2,0.6,1.5,-1.4,-0.4,-0.2,2.1,0,-0.3,0,0,0,-0.6,-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,-0.9,-0.1,0.2,-0.2,0,0.5,-0.5,0,0,0.3,0,-0.1,0,0,0,0,-1.3,-0.4,0,0.2,0.2,0,0.6,0.1,-1,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.4,0,0,0,0,0,-63,72.1,1.9,1.9,-50.2,56.4,4.7,4.7,4.7,16.4,16.4,16.4,16.4,3.6,3.6,3.6,3.6,-2.9,-2.9,-2.9,-2.9,-0.7,-0.7,-0.7,-0.7,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,11.4,13.6,25,10,-3.5,-21.5,-25,-10,0,0,0,20,-20,0,0,25,-25,0,0,0,0,0,0,-20,20,0,0,0,0,0,0,0
"16","8","  Supplements to wages and salaries","A038RC1",56.8,58.4,60.1,61.8,63.5,65.1,66.4,67.6,71.4,73.4,75.3,77.3,83.2,85.3,87.3,89.7,98.3,100.7,103.7,107.1,112.5,116.1,120,123.3,127.6,131.4,136.4,141.9,151.1,156.8,162.4,168.1,177,183.5,189.4,195.6,205.5,212,217.7,224.3,235.1,241.2,248.1,255.5,264.1,270.3,276.9,285.3,299.8,305.7,311.3,316.4,324.6,330.2,334.8,338.9,349.7,355.4,360.6,366.4,390.8,397.5,404.1,409.7,419.9,426,431.8,439.1,446.4,451.5,457.4,465.9,470.8,476.1,482.1,488.5,501.9,510.1,518.3,527.2,536.5,544.5,552.8,559.3,572.2,581.5,589.8,596.7,609,618.2,628.8,639.4,657.7,669.9,680.5,686.5,697.6,709.8,719.5,729.3,740.7,749.3,753.7,756.5,758.5,759.7,761.8,763.1,766.1,770.1,773.2,776.1,780.5,785.6,794.8,807.1,823.2,836.8,849.2,860.1,870.9,880,892.5,911.6,937,949.5,971.5,986.6,1005.8,1018.5,1033.3,1050.8,1074.9,1098.4,1122.6,1158.3,1194.9,1222.9,1241,1253.2,1263.9,1272.8,1287.4,1306.8,1336.9,1351.9,1370.1,1377.4,1394.8,1401.3,1408.7,1422.6,1428.3,1431.6,1441,1460.9,1486.2,1502.2,1515.1,1523.5,1517.7,1531.4,1534.8,1546.5,1566.7,1581.1,1592.4,1604.1
"17","9","Taxes on production and imports","W056RC1",80.6,82.9,85.2,86.7,88.5,90.5,92.5,94.1,97.7,98.9,101.7,103.7,104.6,106.8,108.9,111.5,114.6,116.2,118.4,119.7,120.8,124.1,127.1,127.7,128.8,133,138.2,141.1,141.7,144.9,147.7,151.3,154.8,158,161.5,164.3,166.9,173.1,169.7,173.9,176.4,178.5,180.9,184.6,189.5,196.9,204.3,210.6,230.8,235.5,237.5,238.8,237.4,238.3,241.8,246.3,250.7,261.2,267.5,273.7,281.6,287.7,292.2,297.5,301,305.7,311.9,313.9,317.5,319.5,326.2,330.4,336,344.4,352.4,357.4,365.1,372.6,377.6,382.5,391.1,397.4,403.8,403.2,419.4,419.5,426.9,434.2,444.3,451.6,461.2,471.3,476.2,481.1,485.9,490.3,489.8,497.9,505,519.8,531.9,544.2,550.2,554.7,554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745.2,756.9,772.1,777,787.9,799.5,813,826.9,843.5,855.7,867.9,886.5,905.6,925.1,939.6,950.3,971.5,983.3,991.6,1000.7,1014.7,1023.9,1030.7,1039.4,1041.7,1051.9,1052.6,1034.3,1016.7,1018.7,1028.2,1035.2,1045.9,1054.6,1060.8,1072.7
"18","10","Less: Subsidies \1\","A107RC1",4.3,4.5,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.5,4.6,6.1,6.2,7.2,7.1,5.9,5.7,4.7,4.6,3.6,2.9,3.2,3.6,4.2,4.3,4.6,4.9,5.1,4.8,5.1,5.5,5.8,5.9,6.4,10.3,8.7,8.4,8.3,10.4,8.4,8.8,8.1,8.9,9.2,9.6,10.1,10.3,10.6,10.7,11.1,13.5,14,13.6,13,19.4,19.9,21.6,22.2,21.5,21.2,21,20.9,21.2,21.1,21,21.3,22,23.1,24.2,25.5,26.8,28.3,30.4,31.3,31.1,30.4,29.8,29.2,28.6,28,27.4,27.1,27.3,27.1,26.9,26.9,27,27.1,27.2,27.5,28.1,28.6,29.2,30.4,32.2,35.5,37.6,37.7,36,33.6,32.4,31.9,32.2,34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,44.9,57.1,47,47.3,44.8,43.6,44.9,52.2,56.9,61,62.1,63.7,55.6,51.4,49.8,48.7,50,58.1,55.7,54.5,51.7,51.8,52.4,55.2,56.8,57.2,69.1,58.4,57.4,58.5,58.6,61.6
"19","11","Net operating surplus","W271RC1",226.5,226.6,226.6,222.2,214.1,218,223.3,221.8,234.8,240.6,245.4,252.5,260.1,264.1,278.5,298.7,302.6,305.6,309.1,323.6,312.6,309.7,314.9,319.1,324.2,339,365.9,375,390.1,388.6,393.7,396.9,407.6,436.8,458.4,473.2,467.2,511.1,521.7,535.1,540.1,542.3,544.9,558.3,556.7,523.2,548,614.4,628.3,633.9,684.9,664.5,650.4,674.3,674.4,677.5,708.9,739.4,771.2,805,865.5,906.7,925.8,944.6,966.1,966.4,978.2,973.2,994.2,994.9,996.7,997.9,1019.2,1060.5,1104.8,1128,1155.4,1177.2,1211.5,1251.7,1277.2,1269.8,1275.6,1259.6,1280.8,1316.4,1304.4,1292.7,1309.2,1316.6,1321.6,1321.8,1368.9,1394.2,1391.6,1446.5,1439.9,1483.9,1472.5,1550.3,1570.7,1610.4,1669.6,1717,1719.6,1739.7,1797.6,1824.4,1884,1946.3,1971.9,2033.8,2082.6,2103.7,2170.6,2182,2166,2205.7,2263.2,2274.5,2314.9,2331,2344.8,2379.8,2428.6,2463.6,2459.4,2428,2475.4,2513.1,2505.2,2425.5,2507.2,2523.5,2505.6,2550.1,2557.7,2597.5,2636.6,2710,2826.2,2904.1,2959.7,3015.2,3136.6,3186.3,3240.6,3380.3,3481.4,3532,3598.6,3546.9,3463.4,3494.1,3411.6,3381.1,3356.2,3359.7,3391.8,3183.5,3262.3,3211.6,3271.9,3433.9,3575,3612.9,3645.4,3730.8
"20","12","  Private enterprises","W260RC1",225.5,225.7,225.5,221,213.6,218.3,223.4,222.1,235.3,240.6,245.7,252.6,260.1,263.7,278,297.7,302.5,305.9,309.6,324.5,313.3,309.9,316,320.9,327,342,369.5,378.6,391.7,390.4,395.5,398.8,409.9,439.3,461.4,476.2,470.2,513.6,523.3,536.8,542.2,544.9,548.1,562,560.8,527.8,553.5,620.6,634.9,638.9,691.5,668.8,654.6,678.5,679.6,681.8,712.6,742.6,774.7,807.3,867.6,908.6,927.9,946.1,966.7,965.5,977.2,972.2,993.2,993.9,995.9,997.1,1018.7,1060.3,1104.9,1128,1156.1,1173.9,1208,1247.6,1272.7,1264.8,1270.5,1254.5,1277.9,1314.9,1303.2,1292,1305.9,1310.7,1315.4,1314.5,1361.2,1386,1382.6,1438.3,1432.3,1474.6,1463.7,1541.3,1561,1600.6,1660,1707.6,1706.4,1726.7,1784.6,1811.1,1870.1,1932.3,1957.3,2018.9,2068.6,2089,2156.6,2168.2,2153.1,2192.2,2249.4,2261.5,2299.8,2316.3,2330.6,2367.5,2416.1,2452.6,2451.7,2422.6,2471.1,2510.1,2497.3,2424.5,2502.9,2519.2,2496.5,2542.5,2548.3,2589.6,2630.2,2705.8,2822.5,2902.2,2959.4,3016,3138.4,3189.4,3245.1,3384.9,3483.9,3535.9,3603.2,3552.9,3473.4,3505.2,3422.8,3395.8,3372.2,3376.7,3408.3,3200.8,3278.1,3225.7,3283.7,3445.1,3587.1,3626,3659.6,3744.4
