"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:31:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RG3",5.148,5.054,4.921,4.661,4.672,4.93,5.012,5.096,5.188,5.215,5.142,5.043,5.254,5.246,5.368,5.478,5.754,7.307,7.838,8.068,8.355,8.398,8.83,8.999,9.18,9.462,9.936,10.386,10.838,11.285,11.315,11.528,11.812,12.151,12.454,12.869,13.268,13.866,14.499,15.341,16.262
"9","2","        Gross output of general government","W101RG3",5.02,4.919,4.773,4.509,4.513,4.766,4.848,4.901,4.997,5.027,4.966,4.904,5.099,5.107,5.228,5.335,5.598,7.025,7.588,7.825,8.09,8.142,8.57,8.737,8.913,9.182,9.628,10.057,10.492,10.918,10.957,11.177,11.449,11.771,12.061,12.457,12.84,13.413,14.016,14.828,15.723
"10","3","          Value added","W102RG3",3.015,2.989,2.979,2.855,2.877,3.02,3.007,3.102,3.137,3.189,3.137,3.084,3.089,3.313,3.46,3.694,4.066,5.458,5.875,5.999,6.263,6.249,6.532,6.806,6.966,7.171,7.523,7.928,8.288,8.728,8.997,9.247,9.508,9.804,10.164,10.555,10.911,11.468,12.043,12.87,13.725
"11","4","            Compensation of general government employees","A194RG3",2.182,2.185,2.213,2.16,2.152,2.233,2.229,2.291,2.317,2.365,2.327,2.279,2.245,2.414,2.539,2.787,3.194,4.563,4.744,4.774,5.068,5.08,5.24,5.498,5.662,5.875,6.208,6.515,6.811,7.284,7.549,7.818,8.088,8.367,8.71,9.133,9.482,10.025,10.577,11.373,12.17
"12","5","            Consumption of general government fixed capital \2\","A265RG3",12.648,11.873,10.759,9.212,9.984,11.232,11.036,11.619,11.764,11.642,11.452,11.506,12.695,13.484,13.666,13.06,12.385,13.847,15.94,16.725,16.825,16.578,18.08,18.398,18.435,18.497,18.97,20.247,21.165,21.201,21.465,21.502,21.632,22.052,22.521,22.552,22.92,23.508,24.188,25.13,26.374
"13","6","          Intermediate goods and services purchased \3\","W104RG3",12.599,11.983,10.865,9.886,9.73,10.416,11.079,10.725,11.137,10.942,10.9,10.87,12.122,11.341,11.357,10.947,10.713,11.427,12.483,13.386,13.434,13.833,14.792,14.48,14.694,15.154,15.875,16.288,16.925,17.206,16.345,16.395,16.645,16.996,16.975,17.319,17.737,18.275,18.905,19.599,20.538
"14","7","            Durable goods","W105RG3",16.967,16.521,15.515,15.088,15.263,16.538,17.007,17.193,17.231,17.323,17.177,17.542,19.154,16.266,15.908,14.995,13.874,15.782,18.036,19.256,19.513,20.388,21.592,22.249,22.638,23.271,24.122,25.71,27.008,27.469,27.978,28.192,28.482,28.967,29.678,29.716,29.904,30.493,31.091,32.372,33.601
"15","8","            Nondurable goods","W106RG3",12.51,11.953,10.687,9.505,9.543,10.262,11.051,10.219,10.786,10.233,10.158,10.405,11.752,13.444,14.107,13.981,14.363,14.548,15.007,16.23,15.661,15.969,16.636,15.933,15.574,16.738,17.647,17.727,18.253,17.834,17.439,17.407,17.422,17.517,17.373,17.596,17.918,18.652,18.752,19.211,19.708
"16","9","            Services","W107RG3",14.249,13.462,12.334,11.411,10.973,11.674,12.331,12.398,12.76,12.932,12.942,12.462,13.78,10.513,9.957,9.419,9.66,10.172,11.517,12.282,12.725,13.117,14.34,13.71,14.275,14.209,14.908,15.135,15.694,16.198,14.71,14.772,15.113,15.553,15.473,15.909,16.399,16.87,17.734,18.478,19.626
"17","10","        Less: Own-account investment \4\","W108RG3",4.407,4.426,4.435,4.293,4.31,4.518,4.528,4.527,4.624,4.719,4.703,4.772,4.835,4.914,5.029,5.201,5.794,6.648,7.117,7.728,8.03,8.23,8.893,9.335,9.643,9.977,10.293,10.715,11.209,11.78,11.798,12.093,12.366,12.598,12.846,13.108,13.432,13.914,14.517,15.271,16.155
"18","11","              Sales to other sectors","W109RG3",4.204,4,3.684,3.346,3.265,3.538,3.741,3.741,3.874,3.723,3.654,3.674,3.943,4.331,4.498,4.577,4.678,5.169,5.925,6.294,6.272,6.449,6.898,7.042,7.161,7.252,7.397,7.597,7.888,8.078,8.275,8.631,8.787,8.96,9.152,9.397,9.665,10.035,10.383,10.976,11.696
"19","12","Federal consumption expenditures \1\","A957RG3",5.557,5.315,5.355,5.229,5.195,5.481,5.517,6.142,6.195,6.336,6.205,5.857,6.039,5.855,5.932,6.033,6.348,8.34,8.809,8.662,9.062,8.991,9.294,9.352,9.502,9.772,10.371,10.821,11.276,11.823,11.661,11.783,12.004,12.282,12.582,13.084,13.512,14.038,14.471,15.33,16.169
"20","13","      Gross output of general government","W110RG3",5.582,5.333,5.366,5.236,5.222,5.523,5.532,6.143,6.203,6.35,6.214,5.897,6.073,5.892,5.97,6.071,6.38,8.251,8.81,8.672,9.07,9.001,9.313,9.373,9.522,9.79,10.385,10.832,11.287,11.832,11.677,11.8,12.02,12.296,12.596,13.097,13.522,14.044,14.475,15.339,16.181
"21","14","        Value added","W111RG3",2.939,2.799,2.92,2.912,2.984,3.174,3.036,3.481,3.485,3.563,3.437,3.245,3.146,3.385,3.502,3.745,4.159,5.841,6.203,6.01,6.348,6.216,6.336,6.545,6.66,6.799,7.225,7.619,7.944,8.504,8.782,8.946,9.117,9.299,9.692,10.163,10.526,10.986,11.256,12.104,12.846
"22","15","          Compensation of general government employees","B568RG3",1.793,1.711,1.819,1.842,1.894,2.003,1.899,2.207,2.204,2.259,2.174,2.034,1.938,2.127,2.223,2.446,2.845,4.389,4.423,4.055,4.409,4.278,4.275,4.444,4.539,4.647,5.008,5.271,5.475,6.024,6.268,6.42,6.577,6.708,7.048,7.552,7.893,8.314,8.507,9.268,9.893
"23","16","          Consumption of general government fixed capital \2\","B995RG3",14.838,14.023,13.31,12.317,12.368,13.691,13.982,14.168,14.587,14.566,14.363,14.639,15.984,15.567,15.338,14.666,13.819,15.475,17.72,18.375,18.609,18.524,19.767,20.071,20.22,20.505,21.114,22.352,23.5,23.721,24.098,24.269,24.445,24.937,25.529,25.481,25.82,26.34,27.078,28.054,29.277
"24","17","        Intermediate goods and services purchased \3\","W113RG3",14.004,13.475,12.386,11.387,10.654,11.124,12.414,12.461,13,13.369,13.706,13.202,15.44,13.641,13.543,12.995,12.675,13.253,14.34,15.3,15.482,15.935,17.037,16.457,16.691,17.317,18.319,18.77,19.541,19.873,18.241,18.176,18.496,19.022,18.945,19.417,19.94,20.54,21.36,22.174,23.186
"25","18","          Durable goods","W114RG3",20.187,18.539,17.644,17.633,16.679,16.689,18.007,17.373,17.185,16.618,16.819,17.258,19.33,16.257,15.905,14.991,13.867,15.772,17.912,19.035,19.284,20.182,21.32,21.979,22.372,23.001,23.796,25.386,26.784,27.266,27.82,28.01,28.205,28.749,29.477,29.438,29.575,30.06,30.606,31.865,33.057
"26","19","          Nondurable goods","W115RG3",16.501,16.05,15.021,14.415,14.579,15.042,15.245,15.354,15.68,15.648,15.791,16.001,19.371,21.994,23.03,22.775,23.436,21.913,19.803,20.615,20.498,20.332,19.799,18.58,17.947,19.805,21.362,21.086,21.552,20.916,20.535,20.293,20.14,20.265,19.809,20.221,20.504,21.455,21.324,21.813,22.206
"27","20","          Services","W116RG3",19.084,18.333,16.654,14.903,13.37,14.197,17.055,17.306,18.6,19.848,20.675,18.588,21.52,13.646,11.932,10.744,11.052,11.531,13.689,14.799,15.135,15.702,17.76,16.356,17.097,16.881,17.953,18.123,18.798,19.342,16.219,16.132,16.593,17.215,17.071,17.655,18.312,18.866,20.037,20.92,22.21
"28","21","      Less: Own-account investment \4\","W117RG3",4.993,4.599,4.682,4.563,4.676,5.008,4.891,5.356,5.452,5.628,5.456,5.471,5.498,5.421,5.398,5.52,6.202,7.308,7.739,7.581,8.022,7.961,8.687,8.982,9.187,9.293,9.59,9.915,10.269,10.964,11.178,11.511,11.853,12.083,12.42,12.905,13.247,13.642,14.02,14.869,15.698
"29","22","            Sales to other sectors","W118RG3",7.208,6.721,6.198,5.675,5.505,6.026,6.549,6.296,6.619,6.354,6.826,7.027,7.65,8.147,8.311,8.428,8.595,9.448,11.417,11.785,11.94,12.107,12.957,12.929,12.795,13.044,13.517,13.882,14.46,14.877,14.934,15.008,14.878,15.098,15.415,15.862,16.022,16.334,16.735,18.244,19.562
"30","23","    Defense consumption expenditures \1\","A997RG3",5.885,5.696,5.663,5.585,5.449,5.698,5.867,6.009,6.093,6.127,6.087,5.637,5.888,5.713,5.778,5.903,6.187,8.159,8.706,8.614,8.918,8.877,9.151,9.152,9.279,9.579,10.187,10.681,11.138,11.631,11.462,11.577,11.753,12.004,12.323,12.771,13.193,13.696,14.133,14.942,15.764
"31","24","      Gross output of general government","W085RG3",5.922,5.722,5.676,5.59,5.454,5.711,5.875,6.026,6.115,6.149,6.108,5.663,5.909,5.739,5.805,5.929,6.213,8.1,8.716,8.625,8.929,8.887,9.168,9.17,9.298,9.597,10.202,10.693,11.149,11.642,11.478,11.593,11.768,12.017,12.335,12.782,13.2,13.698,14.135,14.943,15.765
"32","25","        Value added","W086RG3",3.156,3.061,3.11,3.088,3.022,3.164,3.222,3.412,3.437,3.462,3.445,3.162,3.122,3.452,3.578,3.825,4.253,6.001,6.427,6.269,6.531,6.4,6.447,6.647,6.735,6.895,7.318,7.714,8.045,8.558,8.852,9,9.108,9.277,9.668,10.115,10.466,10.938,11.213,12.045,12.796
