"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 10:59:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.299,0.311,0.323,0.333,0.352,0.386,0.424,0.442,0.466,0.497,0.535,0.587,0.641,0.679,0.693,0.713,0.726,0.736,0.749,0.768,0.792,0.817,0.839,0.851,0.87,0.884,0.893,0.897,0.902,0.903,0.908,0.918,0.931,0.935,0.946,0.966,1,1.03,1.05,1.072,1.079,1.068
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.197,0.21,0.214,0.221,0.235,0.263,0.278,0.291,0.306,0.33,0.363,0.4,0.426,0.452,0.454,0.462,0.473,0.487,0.493,0.501,0.521,0.54,0.553,0.565,0.574,0.573,0.577,0.573,0.575,0.59,0.597,0.616,0.631,0.624,0.627,0.622,0.631,0.639,0.659,0.68,0.683,0.661
"10","3","Unit nonlabor cost","A467RD3",0.061,0.067,0.071,0.071,0.075,0.085,0.098,0.098,0.101,0.106,0.116,0.135,0.154,0.17,0.171,0.169,0.173,0.182,0.179,0.183,0.194,0.203,0.213,0.208,0.207,0.207,0.208,0.207,0.206,0.208,0.214,0.222,0.234,0.235,0.234,0.232,0.243,0.249,0.264,0.282,0.288,0.272
