"","Table 6#10B# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:35:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Employer contributions for social insurance","B039RC0",3004,3349,3373,4094,4143,4210,4612,5174,5668,6368,6349,7855,9250,9610,11182,12405,12632,13093,16846,18019,19950,22754
"9","2","Domestic industries","B4802C0",3004,3350,3370,4094,4143,4208,4608,5169,5668,6368,6349,7855,9250,9610,11182,12405,12632,13093,16846,18019,19950,22754
"10","3","  Private industries","B4803C0",2464,2485,3225,3867,3906,3999,4331,4792,5306,5835,5649,7093,8391,8670,10179,11236,11384,11808,15118,15908,17481,19818
"11","4","    Agriculture, forestry, and fishing","B4804C0",5,5,8,19,21,22,28,42,45,50,63,73,89,96,107,124,130,137,167,180,193,216
"12","5","    Mining","B4805C0",72,64,82,97,97,93,97,110,123,129,113,131,146,142,155,167,160,166,210,213,225,254
"13","6","    Construction","B4806C0",212,210,282,351,358,373,419,448,503,542,496,616,703,739,865,969,1008,1072,1328,1353,1493,1709
"14","7","    Manufacturing","B4807C0",1020,992,1347,1676,1678,1735,1815,2039,2205,2405,2289,2976,3505,3559,4214,4588,4610,4716,6187,6365,6908,7760
"15","8","      Durable goods","J4808C0",583,549,728,963,983,1024,1056,1211,1331,1455,1353,1821,2155,2147,2573,2803,2832,2900,3885,3966,4301,4835
"16","9","      Nondurable goods","J4809C0",437,443,619,713,695,711,759,828,874,950,936,1155,1350,1412,1641,1785,1778,1816,2302,2399,2607,2925
"17","10","    Transportation and public utilities","B4810C0",479,479,543,602,617,612,616,676,768,826,759,920,1037,1024,1146,1213,1225,1272,1569,1672,1852,2034
"18","11","      Transportation","J4811C0",413,402,443,487,499,498,487,540,617,655,587,713,794,770,855,889,908,944,1128,1202,1333,1436
"19","12","      Communication","J4812C0",41,47,60,67,70,67,77,82,93,105,101,119,139,144,167,185,184,194,259,279,306,360
"20","13","      Electric, gas, and sanitary services","J4813C0",25,30,40,48,48,47,52,54,58,66,71,88,104,110,124,139,133,134,182,191,213,238
"21","14","    Wholesale trade","J4814C0",155,161,214,256,258,249,294,319,360,409,413,512,615,647,748,834,833,855,1128,1199,1320,1490
"22","15","    Retail trade","J4815C0",292,319,411,447,450,464,520,568,635,706,723,888,1073,1127,1339,1502,1528,1591,1945,2064,2252,2564
"23","16","    Finance, insurance, and real estate","J4816C0",72,83,120,142,143,146,178,195,220,253,256,315,389,427,512,576,581,603,765,826,941,1094
"24","17","    Services","J4817C0",157,172,218,277,284,305,364,395,447,515,537,662,834,909,1093,1263,1309,1396,1819,2036,2297,2697
"25","18","  Government","B4818C0",540,865,145,227,237,209,277,377,362,533,700,762,859,940,1003,1169,1248,1285,1728,2111,2469,2936
"26","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
