"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2011 9:49:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Personal consumption expenditures","DPCERX1",6079,6291.2,6523.4,6865.5,7240.9,7608.1,7813.9,8021.9,8247.6,8532.7,8819,9073.5,9289.5,9265,9153.9
"9","2","Goods","DGDSRX1",1898.6,1983.6,2078.2,2218.6,2395.3,2521.7,2600.9,2706.6,2829.9,2955.3,3073.9,3173.9,3261.6,3180.3,3117.4
"10","3","  Durable goods","DDURRX1",511.6,549.8,594.7,667.2,753.8,819.9,864.4,930,986.1,1051,1105.5,1150.4,1198.6,1136.4,1094.6
"11","4","    Motor vehicles and parts","DMOTRX1",255.6,268,286.1,316.1,345.1,356.1,374.3,394,405.3,411.3,409.6,396.6,403.9,348.2,324
"12","5","      New motor vehicles (55)","DNMVRX1",144.7,147.2,155.1,172.3,192.3,202.8,222.6,239.6,251.2,253.7,248.9,234.6,237.3,191,169.1
"13","6","      Net purchases of used motor vehicles (56)","DNPVRX1",74.1,81.7,90.2,101.9,108.8,108.5,108.2,111.1,109.5,111.4,112.7,113.4,117.6,110.4,111.9
"14","7","      Motor vehicle parts and accessories (58)","DMVPRX1",37.6,40.1,42,42.7,44.6,45.2,43.6,43.3,44.5,46.2,48,48.6,48.9,46.1,42.8
