"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 10:53:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Gross domestic product","A191RX1",4261.8,4269.9,4413.3,4647.7,4917,4889.9,4879.5,5141.3,5377.7,5677.6,5855,5839,5987.2,5870.9,6136.2,6577.1,6849.3,7086.5,7313.3,7613.9,7885.9,8033.9,8015.1,8287.1,8523.4,8870.7,9093.7,9433.9,9854.3,10283.5,10779.8,11226,11347.2,11553,11840.7,12263.8,12638.4,12976.2,13228.9,13228.8,12880.6,13248.2
"9","2","Business \1\","A195RX1",2934,2933.3,3046,3242.1,3469.4,3417.5,3385.6,3609.2,3810.1,4050.1,4184.6,4137.4,4252.5,4123.7,4345.8,4723.2,4942.5,5126.9,5295.7,5522.7,5727.3,5815.3,5764.3,5991.8,6185,6488.2,6670.8,6974.6,7335.7,7702.4,8132.8,8500.9,8569.1,8736.6,9005.9,9379.9,9695.5,9991.7,10195,10099.6,9730.8,10090.6
"10","3","  Nonfarm \2\","A358RX1",2910.9,2907.7,3018.2,3218.8,3454.8,3404.1,3348.6,3583.4,3783,4032.5,4159.7,4114.9,4202.5,4066.9,4328.5,4684.5,4886.4,5076.1,5245.2,5484.5,5678.1,5759.9,5707,5921.3,6128.2,6414.2,6617.8,6909.4,7261.4,7633.5,8060.6,8417.8,8491.9,8655.9,8914.8,9282,9593.5,9892.3,10104.6,9994.8,9619.8,9976.7
"11","4","  Farm","B359RX1",27.5,28.3,29.8,29.8,29.5,28.8,34.3,32.7,34.5,33.3,36.3,35.2,46.5,48.8,31.9,43.3,52.9,50.8,51.3,45.6,52.3,56,56.9,66.2,57.8,70.5,56.4,65.3,72.5,69.4,72.8,83.5,77.7,81.2,91.6,97.9,102,99.1,90.3,102.3,108.5,111.4
"12","5","Households and institutions","A193RX1",501.2,510.2,531.7,554.8,574.6,597.7,617.9,628.2,637.5,666.4,695.3,730.9,754.1,778.9,801,826.8,841.2,863.4,895.8,937.2,974.8,1009.6,1038.5,1071.4,1106.9,1140,1175.5,1199.8,1240.5,1280.2,1325.5,1376.2,1407,1417.3,1417.8,1457.4,1506.4,1539.8,1571.9,1630.1,1621.7,1625
"13","6","  Households","B701RX1",285.9,292.6,305.9,319.1,330.6,345,354.2,360.9,365,387.4,405,430.6,444.1,452.1,460.5,476.4,487.4,493.7,506.8,525.7,542,555.7,572,589,603.5,631.9,651.3,665.4,687.6,703.7,740.3,774.1,793.1,789.9,787.1,821.7,864.4,898,914.2,959.3,952.4,942.8
"14","7","  Nonprofit institutions serving households \3\","B702RX1",214.9,216.7,224.5,234.4,242.7,251,262.5,265.8,271.3,276.7,287.8,297.1,306.8,324.3,338.5,348.3,351.2,368,388,411.1,432.9,454.9,467.4,483.5,504.9,508.7,524.8,535,553.5,577.8,585.3,601.8,613.4,627.7,631.1,635.9,642,642,657.8,671.2,669.7,681.9
"15","8","General government \4\","A765RX1",947.2,950.8,952.4,950.6,954.9,974.4,990.1,998.7,1009.2,1028.5,1039.5,1054.4,1060.2,1071,1077.9,1091.3,1122.5,1150.1,1175.3,1205.8,1234.6,1266.2,1279.4,1283.7,1286.5,1286.8,1287.7,1289.8,1299.6,1314.3,1326.3,1349.4,1373.7,1401.4,1418.2,1426.8,1436.5,1445,1462.5,1496.8,1520.5,1529.1
"16","9","  Federal","A766RX1",467.1,447.1,426.5,405.8,390.7,389.4,387.3,387.9,389,393.9,393.5,399.7,405.9,412.5,422,431.6,443.9,451.8,463.6,469.3,475.1,483.8,486.7,476.5,467.4,452.2,435.1,423.2,415.2,410.4,407.1,410.5,412.1,420.2,431.5,435.8,438.7,438.4,441.8,459,485.6,502.8
"17","10","  State and local","A767RX1",490,511.7,532.5,550.9,570.2,590.9,608.9,616.9,626.4,641,652.4,661.2,660.9,665.2,662.5,666.4,685.6,705.4,719,743.6,766.4,789.2,799.4,813,824.2,838.5,855.1,868.4,885.6,904.6,919.5,939,961.3,980.9,986.7,991,997.7,1006.5,1020.8,1037.8,1035.3,1027.1
"18","11","Residual","A961RX1",-134.5,-134.2,-124.1,-111.1,-101.5,-119.3,-116.3,-106.3,-91.5,-87.2,-79.7,-99.7,-79.5,-98.9,-107.7,-73.4,-58.1,-59.3,-60.6,-65.9,-60.9,-65.6,-74.3,-62.4,-62.6,-45.3,-46.8,-32.8,-21.5,-15.9,-5.8,-0.7,-2.3,-2.8,-2.1,-0.5,0.1,-0.1,-0.6,4.4,9.3,5.5
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",364.6,376.6,393.6,412.5,427.8,448.5,462.2,469.3,481.2,503.2,523,555,576.7,592.3,605.4,624.6,649.1,661.1,676.8,696.4,712.2,730.2,754.6,776.7,789.1,821.7,846.9,860.4,885.6,900.9,942.3,977.8,997.8,988.5,969.3,1008.4,1054,1098.6,1132.4,1185.2,1190.3,1188.4
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
