"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 07, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 11:06:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Current receipts","W830RC1",69.2,80.3,89.8,100.5,112.8,122.6,136.5,150.1,164.5,179.6,190.4,207.6,226.1,243.7,261.7,288.9,316.8,341,358.5,386.1,417.1,443.3,473.3,497.1,517.1,551.4,578.9,611.5,646.5,683.8,731.8,782,814.6,851.7,899.6,937.2,995,1061.5,1123.9,1157.6,1183.5
"9","2","Current tax receipts","W831RC1",38.4,43.2,47.9,52,56.1,60.2,65.5,71.9,78.6,80.8,83.1,89.1,100.2,110.8,120.4,131.9,142.8,155.6,168.5,183.3,199.6,213.6,230.1,241,247.7,263.8,270.7,283.7,300.8,314.2,332.5,353.1,367.5,392.3,416.5,448.6,481.9,517,548.5,564.4,573.2
"10","3","  Personal current taxes","W832RC1",2,2.3,2.5,3,3,3.4,3.7,4.1,4.5,4.9,5.1,5.1,6.2,6.9,7.2,7.8,8.2,8.9,9.1,11.7,12.3,12.9,13.5,14.7,14.8,15.9,17.2,17.8,19.3,20.9,21.9,23.2,22.9,22.7,24.4,27.2,30,31.3,33.6,35.2,32.4
