"","Table 3#15#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:32:07 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","A822RL1",0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2
"9","2","General public service","W575RL1",6.6,5.4,4.9,4.1,5,9,1.4,2.3,7.2,14.3
"10","3","National defense","A824RL1",-1.6,4.4,6,-2.4,-4,-2.1,14.3,13.1,1.6,-4.9
"11","4","Public order and safety","W579RL1",5,4.2,2.4,3.5,6.3,4.5,4.6,3.8,9,4.2
"12","5","Economic affairs","W584RL1",-4.4,4,10.3,10.5,7.9,5.9,1.2,1.2,1.9,-0.6
"13","6","  Transportation","W589RL1",1.8,5.9,3.5,6.5,1.6,3.5,5.3,2.2,2.6,-0.9
"14","7","  Space","W595RL1",107.1,55.4,93.9,89,31.3,22.2,5.1,-18.4,-8.6,-15.6
"15","8","  Other economic affairs","W596RL1",-17.6,-4.2,11.9,-1.5,9.5,0.9,-9.3,14.1,6.2,7.2
"16","9","Housing and community services","W597RL1",1.6,9.6,12.9,-6.8,14.6,2.4,1,3.7,10.5,-7.8
"17","10","Health","W598RL1",5.9,5.2,1.5,6.2,5.9,2.1,5.1,5.6,6.6,5.5
"18","11","Recreation and culture","W599RL1",3.5,8.4,4.4,7.7,1.1,4.1,4.2,8,15.1,10.2
"19","12","Education","W600RL1",6.4,5.9,3.4,7.7,7.4,8.2,10.3,5.7,4,3.7
"20","13","Income security","W605RL1",-4.8,26.2,13.5,-0.2,-0.3,23.5,13.1,9.4,-5.8,11.4
"21","14","      Federal","A823RL1",-2.7,4.2,8.5,0.1,-1.3,0,11.1,10,0.8,-3.4
"22","15","General public service","W611RL1",8.4,-1,8.7,2.4,-1.3,8.8,-7,-11.7,-5.4,17.8
"23","16","National defense","A824RL1",-1.6,4.4,6,-2.4,-4,-2.1,14.3,13.1,1.6,-4.9
"24","17","Public order and safety","W615RL1",2.9,1.7,3,4.4,0.1,3,2.2,6.2,2.7,14.2
"25","18","Economic affairs","W620RL1",-15.9,-1.5,29,15.1,15.9,6.9,-2.8,-2.2,0.9,-0.4
"26","19","  Transportation","W625RL1",10.1,6.3,2.9,2.7,1.7,-0.4,7.3,4.2,-3.5,2.7
"27","20","  Space","W631RL1",107.1,55.4,93.9,89,31.3,22.2,5.1,-18.4,-8.6,-15.6
"28","21","  Other economic affairs","W632RL1",-26.9,-11.6,22.3,-9.3,8.5,-5.2,-15.6,19.3,12,11.3
"29","22","Housing and community services","W633RL1",73.2,90.7,34,25.4,-18.7,-18.7,30.9,36.9,-53.6,-1.7
"30","23","Health","W634RL1",7.3,4.9,6.3,7.8,4.8,-2.3,12.9,5.8,6.4,2.8
"31","24","Recreation and culture","W635RL1",30.3,7.3,16.2,14.7,-15.7,13.4,3.9,2.2,13.6,16.6
"32","25","Education","W636RL1",-7.9,10.1,20.2,15.8,10.7,4.2,67.3,9.3,-12.1,-14.4
"33","26","Income security","W640RL1",-16.4,72.1,23.2,-8.4,-18.5,38.3,13.3,6.7,-33.9,7.5
"34","27","      State and local","A829RL1",4.4,6.2,3.1,6,6.8,6.7,6.3,5.1,5.9,3.4
"35","28","General public service","W646RL1",5.6,9.2,2.9,5,8.6,9.1,6,9,12.1,13.2
"36","29","Public order and safety","W650RL1",5.2,4.4,2.3,3.4,6.8,4.6,4.8,3.6,9.5,3.6
"37","30","Economic affairs","W655RL1",2,6.5,2.3,8,3.2,5.2,3.9,3.2,2.4,-0.7
"38","31","  Transportation","W660RL1",1,5.8,3.6,6.9,1.6,4,5.1,2,3.3,-1.3
"39","32","  Other economic affairs","W665RL1",6.9,9.3,-3.8,13.4,11,10.3,-1,8.4,-0.9,1.7
"40","33","Housing and community services","W666RL1",0.4,7.2,11.8,-8.9,17.7,3.8,-0.6,1.4,16.3,-8.1
"41","34","Health","W671RL1",5.3,5.3,-0.7,5.5,6.5,4.3,1.3,5.5,6.7,7
"42","35","Recreation and culture","W672RL1",-0.7,8.6,2,6,5.6,2.1,4.2,9.3,15.4,8.9
"43","36","Education","W673RL1",6.5,5.8,3.2,7.6,7.3,8.3,9.4,5.7,4.3,4
"44","37","  Elementary and secondary","W674RL1",6.6,5.3,2,5.9,6.9,7.1,7.7,3.8,4,3.4
"45","38","  Higher","W675RL1",6.4,8.6,9.3,16,8.2,12.2,15.4,11.8,5.2,5.6
"46","39","  Libraries and other","W677RL1",6,8.3,7.7,12.7,12.1,17.8,20.1,15.2,6.2,8.7
"47","40","Income security","W678RL1",2.2,3.5,5.5,7.7,14.8,14.6,13,11.3,12.9,12.9
