"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:30:36 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Current receipts","W005RC1",3.7,2.9,1.9,1.6,2.6,3.4,3.7,4.6,6.6,6,6.3,8.2,14.9,22.3,38.5,40.1,41.5,39.5,42.8,42.4,37.9,48.8,62.9,65.8,68.6,62.5,71.1,75.8,79.3,76.1,87,93.9,95.5,103.6,111.8,111.8,121,138,146.9,171.3,192.7
"9","2","Current tax receipts","W006RC1",3.5,2.8,1.8,1.5,2.4,3.2,3.5,4.2,5,4.3,4.4,6.2,12.4,19.2,34.4,35.3,35.8,32.7,37.1,37.6,32.8,43.3,56.2,58.9,61.5,54.4,62,65.8,67.9,64.6,73.2,76.5,77.5,83.3,88.6,87.7,95.6,104.7,109.8,129.7,146
"10","3","  Personal current taxes \1\","A074RC1",1.2,1,0.5,0.3,0.4,0.5,0.6,0.7,1.3,1.2,0.9,1,1.6,4.2,16,16.9,18.6,16.4,18.8,18.1,15.4,17.4,25.4,30.2,31.3,28.1,30.5,33.9,36,35.5,38.5,41.8,42.7,46.5,49.1,46,51.1,58.6,64.4,76.4,91.7
