"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:34:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Gross government fixed investment \1\","B782RG3",12.403,11.675,10.485,8.59,9.651,11.051,10.879,11.595,11.919,11.858,11.612,11.687,12.855,13.021,13.11,12.252,11.351,12.484,14.341,15.682,15.688,15.429,17.232,17.624,17.352,17.257,17.555,19.134,20.017,19.956,20.121,20.005,20.137,20.467,20.726,20.945,21.207,21.842,22.459,23.364,24.808
"9","2","        Federal","B787RG3",17.675,16.808,15.405,13.243,14.161,15.679,16.025,16.631,17.324,17.282,17.092,17.488,19.087,18.956,19.044,17.78,16.441,18.068,20.306,21.535,22.006,22.131,24.032,24.53,24.038,24.213,24.863,26.957,28.449,28.775,29.265,29.297,29.608,30.048,30.376,30.678,30.548,31.055,31.806,32.807,34.502
"10","3","          National defense","B788RG3",15.934,14.682,13.316,12.028,11.999,13.373,13.775,13.973,15.392,15.377,15.216,15.544,17.143,16.92,17.044,15.872,14.68,16.4,19.05,20.208,20.686,21.174,23.092,23.463,22.922,23.167,23.858,25.938,27.354,27.72,28.154,28.143,28.471,28.844,29.084,29.067,29.15,29.545,30.056,30.842,32.506
"11","4","          Nondefense","B798RG3",19.607,18.801,17.288,14.661,15.888,17.576,17.948,18.708,19.154,19.096,18.881,19.303,20.744,22.016,20.288,22.063,20.279,20.417,20.922,22.192,22.601,22.028,23.665,24.961,25.175,24.496,24.383,25.71,27.285,27.214,27.962,28.277,28.407,29.092,29.733,31.03,30.372,31.09,32.455,34.034,35.549
"12","5","        State and local","B799RG3",7.401,6.961,6.238,5.071,5.792,6.742,6.487,7.015,7.167,7.122,6.949,6.938,7.679,8.965,9.578,9.391,9.331,10.207,11.947,13.336,13.122,12.691,14.579,14.967,14.878,14.478,14.555,15.953,16.546,16.27,16.259,16.046,16.084,16.375,16.611,16.795,17.222,17.905,18.462,19.31,20.612
"13","6","Structures \2\","B760RG3",5.464,5.128,4.589,3.688,4.223,4.914,4.753,5.159,5.305,5.294,5.171,5.177,5.643,6.576,7.087,6.873,7.001,7.845,9.259,10.293,10.179,9.774,11.202,11.559,11.522,11.19,11.193,12.256,12.822,12.692,12.727,12.576,12.598,12.849,13.033,13.202,13.543,14.105,14.561,15.26,16.374
"14","7","  Federal","B801RG3",4.485,4.259,3.88,3.255,3.544,3.996,3.923,4.229,4.486,4.53,4.455,4.513,4.809,5.581,6.014,5.829,5.992,6.647,8.267,8.903,9.029,8.628,9.718,10.087,10.109,9.858,9.916,10.681,11.265,11.415,11.453,11.416,11.412,11.63,11.743,11.954,12.172,12.65,13.104,13.81,15.007
"15","8","    National defense","B808RG3",3.563,3.266,2.977,2.503,2.664,2.991,3.019,3.143,3.422,3.392,3.34,3.5,3.792,4.476,4.837,4.685,4.79,5.376,6.804,7.138,7.208,6.883,8.075,8.315,8.282,8.049,8.135,8.761,9.198,9.431,9.466,9.435,9.357,9.549,9.615,9.759,9.791,10.306,10.634,11.333,12.654
"16","9","      New","B814RG3",3.6,3.299,3.007,2.528,2.691,3.021,3.044,3.163,3.402,3.271,3.234,3.384,3.668,4.327,4.681,4.532,4.624,5.33,6.742,7.251,7.263,6.957,8.136,8.379,8.346,8.113,8.191,8.82,9.26,9.504,9.522,9.455,9.477,9.583,9.76,9.89,10.064,10.273,10.81,11.512,12.37
"17","10","        Buildings","B815RG3",3.915,3.543,2.995,2.668,2.479,2.903,3.147,3.148,3.415,3.171,3.047,3.396,3.741,4.325,4.621,4.482,4.584,5.248,6.873,7.473,7.528,7.149,8.215,8.426,8.474,8.27,8.413,8.945,9.715,10.214,9.736,9.7,9.664,9.533,9.673,9.955,10.215,10.843,11.116,11.575,12.437
"18","11","          Residential","B816RG3",5.186,4.694,3.968,3.533,3.591,3.978,4.315,4.317,4.663,4.345,4.189,4.294,4.406,5.244,5.559,5.633,5.728,5.877,8.637,8.641,8.322,8.599,9.664,9.886,9.544,10.083,11.613,8.967,9.878,9.988,9.936,10.005,10.012,10.043,9.983,10.046,10.188,10.539,10.052,10.498,11.581
"19","12","          Industrial","B817RG3",4.711,4.264,3.605,3.21,2.983,3.442,3.729,3.729,4.475,4.068,3.898,4.379,4.857,5.593,5.985,5.736,5.872,7.234,8.733,9.638,9.802,9.187,10.571,10.842,10.914,10.634,10.787,11.717,12.687,13.661,12.363,12.165,12.073,11.741,12.11,12.668,13.132,14.257,15.147,15.759,16.729
"20","13","        Military facilities \3\","B818RG3",3.52,3.226,2.941,2.473,2.64,2.95,2.925,3.133,3.311,3.31,3.305,3.404,3.661,4.376,4.775,4.617,4.698,5.501,6.64,7.088,7.06,6.822,8.121,8.398,8.274,8.003,8.033,8.687,9.009,9.148,9.389,9.308,9.354,9.55,9.738,9.826,9.976,10.076,10.665,11.426,12.279
"21","14","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Nondefense","B830RG3",6.403,6.122,5.576,4.675,5.105,5.757,5.638,6.11,6.437,6.535,6.426,6.37,6.55,6.377,6.518,6.36,6.951,8.145,9.389,10.244,10.412,9.952,10.824,11.445,11.689,11.516,11.41,12.29,13.093,12.964,12.999,12.958,13.09,13.32,13.486,13.747,14.091,14.564,15.115,15.827,16.884
"23","16","      New","B831RG3",6.164,5.893,5.367,4.5,4.914,5.542,5.426,5.892,6.169,6.243,6.146,6.108,6.307,6.172,6.438,6.24,6.612,7.748,9.35,10.245,10.36,9.914,10.776,11.397,11.64,11.471,11.354,12.231,13.074,12.923,12.986,12.942,13.075,13.302,13.491,13.741,14.079,14.561,15.102,15.815,16.887
"24","17","        Buildings","B832RG3",4.52,4.121,3.578,3.003,2.948,3.312,3.333,3.547,4.107,4.152,4.152,4.201,4.654,5.013,4.996,5.672,5.565,6.583,9.226,10.227,9.843,9.774,11.242,11.579,11.647,11.33,11.509,12.472,12.992,12.895,12.823,12.919,12.941,13.05,13.127,13.345,13.649,14.098,14.508,15.139,16.643
"25","18","          Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RG3",6.85,6.2,5.241,4.668,4.744,5.398,5.759,5.804,6.211,5.651,5.543,5.648,6.273,7.097,7.417,7.469,7.601,8.682,10.666,11.546,10.972,11.403,12.689,12.345,12.168,12.203,12.244,12.63,13.002,13.176,12.998,12.889,12.963,13.067,12.875,13.619,13.969,14.618,15.034,15.723,17.269
"27","20","          Educational \4\","B835RG3",4.186,4.186,2.861,2.592,2.72,2.861,2.861,2.861,3.626,3.626,3.626,3.888,3.888,3.888,4.951,4.951,4.859,5.447,7.774,8.712,8.039,7.973,8.712,9.801,10.052,9.335,9.68,9.956,11.241,11.144,11.467,11.913,11.891,11.984,12.166,12.094,12.349,12.685,14.01,14.59,16.273
"28","21","          Hospital","B836RG3",5.62,4.493,3.742,3.206,3.339,3.7,3.7,4.152,4.985,5.273,4.809,4.295,5.539,4.994,5.62,6.072,6.072,6.809,9.35,10.348,10.006,9.942,11.413,11.709,11.754,11.549,11.754,12.58,13.114,12.982,11.785,11.977,12.053,12.112,12.389,12.684,13.053,13.482,13.722,14.402,15.847
"29","22","          Other \5\","B837RG3",4.403,4.027,3.53,2.951,2.88,3.247,3.27,3.476,4.006,4.041,4.063,4.134,4.552,4.971,4.843,5.602,5.474,6.638,9.28,10.041,9.564,9.49,10.95,11.208,11.263,10.945,11.086,12.143,12.542,12.462,12.649,12.744,12.74,12.858,12.936,13.098,13.385,13.81,14.186,14.783,16.245
"30","23","        Highways and streets \6\","B838RG3",7.447,6.984,6.171,4.737,6.01,6.759,6.558,7.012,6.427,5.985,5.898,5.763,6.811,9.431,10.429,10.429,9.252,9.609,10.765,12.201,12.536,10.898,13.817,13.689,13.193,12.424,12.184,13.583,14.4,14.042,13.981,13.46,13.49,13.925,14.272,14.436,14.881,15.733,15.94,16.85,17.943
"31","24","        Conservation and development","B839RG3",5.482,5.353,4.984,4.225,4.767,5.391,5.256,5.764,6.01,6.101,5.958,5.925,6.052,5.949,6.152,6.421,6.903,7.981,9.4,10.243,10.487,9.969,10.594,11.314,11.638,11.54,11.379,12.19,13.108,12.97,13.092,13.064,13.261,13.514,13.742,14.034,14.381,14.835,15.495,16.218,17.156
"32","25","        Other \7\","B840RG3",6.338,5.935,5.674,4.946,7.009,7.009,8.012,5.377,6.232,7.256,8.5,8.147,7.694,5.476,5.999,3.702,5.101,8.5,10.126,11.506,11.506,11.076,10.737,11.43,11.43,11.507,11.772,13.124,13.628,13.383,13.381,13.082,13.167,13.395,13.556,13.666,14.08,14.768,15.215,15.912,16.98
"33","26","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
