"","Table 7#8# Supplements to Wages and Salaries by Type            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:37:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Supplements to wages and salaries","A038RC1",6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3
"9","2","Employer contributions for government social insurance (3.6:2)","B039RC1",3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8
"10","3","Employer contributions for employee pension and insurance funds (6.11A-D:1)","B040RC1",3.4,3.8,4.7,5.7,6.4,7,7.3,8.4,9.8,11.2,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5
"11",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Pension, profit-sharing, and other retirement benefit plans \1\","A2209C1",3.1,3.3,4.5,5.5,6,6.4,7.1,8.1,9.1,10.6,10.8,12.6,14.2,14.6,15.8,17.9,19.6,21.5,26,28.6,31.9,36.7
"13","5","  Old-age, survivors, and disability insurance (3.6:5)","L306051",0.8,0.8,1.3,1.7,1.8,1.9,2.5,2.8,3,3.7,3.7,4.6,5.6,5.7,6.2,7.5,7.8,8.3,11,11.9,13.1,15.6
"14","6","  Federal civilian employee retirement (6.11A-C:26; 6.11D:28)","B4945C1",0.2,0.3,0.3,0.3,0.3,0.2,0,0.1,0.4,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.5,1.6
"15","7","  Federal military employee retirement (6.11A-C:27; 6.11D:29)","B1583C1",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.3,2.7
"16","8","  Railroad retirement (3.6:12)","CON1701",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5
"17","9","  Pension benefit guaranty (3.6:13)","B1043C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  State and local employee retirement (6.11A-C:28; 6.11D:30)","S251101",0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.6,1.8,1.9,2,2.2,2.4,2.5,3,3.6,3.8,4.5
"19","11","  Private pension and profit-sharing (6.11A-C:22; 6.11D:24)","B4921C1",1.2,1.3,1.7,2.3,2.5,2.9,2.9,3.4,3.8,4.2,4.1,4.8,4.9,5,5.4,5.8,6.6,7.6,8.7,9.5,10.7,11.8
"20","12","Health insurance","A2210C1",0.4,0.6,0.8,1,1.1,1.3,1.5,1.7,2.1,2.4,2.7,3,3.4,3.8,4.2,4.6,5.2,5.9,7.4,8.5,10.7,12.4
"21","13","  Federal hospital insurance (3.6:6)","L306061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2.1,2.3
"22","14","  Military medical insurance (3.6:16)","B1606C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2
"23","15","  Temporary disability insurance (3.6:18)","S252101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","16","  Private group health insurance (6.11B,C:31; 6.11D:33) \2\","B4923C1",0.4,0.6,0.7,1,1.1,1.3,1.5,1.7,2.1,2.4,2.7,3,3.4,3.7,4.2,4.6,5.2,5.9,6.4,6.9,8.4,9.9
"25","17","Life insurance","A2211C1",0.3,0.7,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.4,2.4
"26","18","  Veterans life insurance (3.6:14)","CON2101",0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","19","  Private group life insurance (6.11B,C:32; 6.11D:34) \2\","B4924C1",0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.4,2.4
"28","20","Workers' compensation","A2212C1",0.9,0.9,0.9,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.3,2.5,2.7,3.1,3.4,3.8,4.3
"29","21","  Federal (3.6:15)","CON2201",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"30","22","  State and local (3.6:19)","S253001",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7
"31","23","  Private insurance (6.11B,C:33; 6.11D:35) \2\","B4925C1",0.8,0.8,0.8,0.9,1,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,2,2.2,2.5,2.7,3.1,3.5
"32","24","Unemployment insurance","A2213C1",1.6,1.6,1.5,1.8,1.6,1.6,1.5,1.7,2.1,2.2,2.2,2.7,3,3.3,4.3,4.3,4,4,3.9,3.5,3.5,3.5
"33","25","  State unemployment insurance (3.6:8)","CON1201",1,1,1.2,1.5,1.4,1.3,1.1,1.2,1.4,1.5,1.4,2,2.2,2.4,2.9,3,3,3,3,2.6,2.5,2.5
"34","26","  Federal unemployment tax (3.6:9)","CON1501",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.7
"35","27","  Railroad employees unemployment insurance (3.6:10)","CON1601",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
"36","28","  Federal employees unemployment insurance (3.6:11)","TRP1501",0.4,0.4,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
"37","29","  Private supplemental unemployment (6.11B,C:34; 6.11D:36)","B4926C1",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Employer contributions to privately administered programs and to publicly administered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
