"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191BX1","289,635.0","289,307.0","289,013.0","293,563.0","297,879.0","302,717.0","304,409.0","304,734.0","300,570.0","299,561.0","302,857.0","300,141.0","312,106.0","321,544.0","333,937.0","340,387.0","345,044.0","351,029.0","358,259.0","359,053.0","362,848.0","363,606.0","366,236.0","378,256.0","385,295.0","388,303.0","386,127.0","380,267.0","378,508.0","378,904.0","383,202.0","390,670.0","401,823.0","408,364.0","413,856.0","416,346.0","414,740.0","418,160.0","417,819.0","424,654.0","427,390.0","426,442.0","430,596.0","426,182.0","415,134.0","417,874.0","427,535.0","437,535.0","445,675.0","456,512.0","455,634.0","457,426.0","467,617.0","465,844.0","467,004.0","461,351.0","464,488.0","473,122.0","481,011.0","490,759.0","499,599.0","504,982.0","509,792.0","511,770.0"
"21","2","Personal consumption expenditures","DPCEBX1","184,689.0","187,755.0","188,362.0","188,421.0","189,361.0","191,564.0","191,846.0","193,377.0","193,690.0","196,657.0","197,102.0","199,989.0","203,317.0","206,662.0","217,262.0","210,712.0","215,804.0","209,707.0","212,146.0","213,383.0","213,859.0","218,059.0","219,119.0","226,857.0","229,559.0","230,947.0","230,407.0","228,878.0","229,715.0","232,711.0","235,869.0","240,821.0","246,228.0","250,943.0","254,041.0","257,229.0","257,649.0","258,507.0","259,091.0","262,656.0","264,469.0","264,931.0","267,024.0","267,139.0","263,472.0","265,638.0","270,014.0","273,641.0","278,620.0","282,918.0","285,870.0","286,192.0","288,925.0","292,576.0","291,405.0","291,788.0","291,706.0","296,053.0","297,494.0","303,461.0","306,684.0","310,451.0","312,966.0","317,404.0"
"22","3","  Goods","DGDSBX1","110,585.0","112,573.0","113,324.0","113,751.0","113,917.0","114,954.0","114,841.0","115,602.0","115,433.0","117,970.0","118,572.0","121,224.0","123,581.0","124,899.0","134,249.0","127,170.0","129,968.0","123,371.0","124,727.0","125,731.0","125,131.0","127,939.0","127,804.0","134,266.0","136,036.0","136,298.0","135,154.0","134,332.0","134,253.0","135,565.0","137,004.0","140,826.0","145,148.0","149,237.0","151,314.0","152,385.0","151,710.0","151,486.0","150,855.0","153,020.0","154,447.0","153,889.0","155,180.0","153,960.0","150,284.0","150,741.0","153,586.0","156,549.0","160,188.0","162,726.0","164,011.0","162,681.0","164,314.0","166,611.0","165,541.0","164,546.0","162,987.0","165,453.0","166,529.0","170,236.0","172,227.0","173,926.0","175,257.0","177,997.0"
"23","4","    Durable goods","DDURBX1","23,983.0","24,486.0","24,827.0","26,441.0","26,307.0","26,485.0","26,930.0","26,551.0","26,064.0","28,324.0","29,676.0","30,855.0","32,038.0","32,309.0","39,967.0","35,025.0","36,129.0","30,946.0","30,384.0","30,288.0","30,460.0","31,054.0","29,212.0","34,245.0","35,397.0","35,194.0","34,973.0","33,994.0","32,937.0","34,534.0","34,679.0","36,814.0","40,121.0","42,297.0","43,666.0","42,516.0","40,571.0","40,628.0","39,911.0","41,194.0","41,948.0","40,960.0","40,677.0","40,202.0","37,528.0","36,954.0","37,721.0","39,103.0","41,224.0","42,777.0","43,605.0","41,521.0","42,856.0","43,831.0","43,482.0","42,390.0","40,061.0","40,893.0","41,891.0","43,921.0","44,872.0","46,075.0","46,411.0","48,455.0"
"24","5","    Nondurable goods","DNDGBX1","86,616.0","88,099.0","88,506.0","87,347.0","87,635.0","88,493.0","87,955.0","89,107.0","89,451.0","89,700.0","88,917.0","90,371.0","91,529.0","92,591.0","94,190.0","92,098.0","93,788.0","92,416.0","94,360.0","95,467.0","94,678.0","96,879.0","98,582.0","100,029.0","100,649.0","101,111.0","100,185.0","100,333.0","101,301.0","101,030.0","102,306.0","104,029.0","105,110.0","107,048.0","107,769.0","109,957.0","111,199.0","110,920.0","110,994.0","111,885.0","112,561.0","112,986.0","114,554.0","113,806.0","112,780.0","113,802.0","115,882.0","117,475.0","119,004.0","119,990.0","120,449.0","121,194.0","121,497.0","122,825.0","122,107.0","122,191.0","122,915.0","124,561.0","124,656.0","126,351.0","127,399.0","127,909.0","128,903.0","129,627.0"
"25","6","  Services","DSERBX1","74,083.0","75,153.0","74,988.0","74,600.0","75,397.0","76,578.0","76,987.0","77,759.0","78,249.0","78,645.0","78,479.0","78,710.0","79,687.0","81,704.0","82,962.0","83,488.0","85,767.0","86,347.0","87,425.0","87,644.0","88,728.0","90,111.0","91,306.0","92,607.0","93,556.0","94,672.0","95,246.0","94,542.0","95,421.0","97,073.0","98,758.0","99,953.0","101,128.0","101,866.0","102,912.0","104,956.0","105,966.0","106,980.0","108,104.0","109,512.0","109,934.0","110,874.0","111,678.0","112,886.0","112,750.0","114,386.0","115,943.0","116,694.0","118,116.0","119,882.0","121,496.0","122,964.0","124,069.0","125,445.0","125,292.0","126,505.0","127,774.0","129,643.0","130,040.0","132,336.0","133,588.0","135,583.0","136,748.0","138,473.0"
"26","7","Gross private domestic investment","A006BX1","47,165.0","43,553.0","42,272.0","50,451.0","55,628.0","59,071.0","59,675.0","56,822.0","48,301.0","41,880.0","45,352.0","43,121.0","53,358.0","59,069.0","64,147.0","72,297.0","64,910.0","66,415.0","61,524.0","56,622.0","58,100.0","53,719.0","56,599.0","60,676.0","61,982.0","62,335.0","61,032.0","56,623.0","56,217.0","56,084.0","58,790.0","61,366.0","67,493.0","71,579.0","72,676.0","74,362.0","72,240.0","71,673.0","71,032.0","70,373.0","69,280.0","69,210.0","70,797.0","65,353.0","60,938.0","59,710.0","64,293.0","69,775.0","73,577.0","79,300.0","74,179.0","76,593.0","84,293.0","76,436.0","76,242.0","67,796.0","69,555.0","74,429.0","80,215.0","81,542.0","85,939.0","85,261.0","86,710.0","84,173.0"
"27","8","  Fixed investment","A007BX1","46,507.0","45,301.0","46,764.0","50,613.0","52,231.0","52,154.0","51,621.0","51,033.0","48,176.0","46,714.0","46,632.0","48,327.0","51,299.0","55,843.0","59,815.0","58,619.0","56,493.0","53,977.0","53,186.0","52,775.0","53,585.0","54,485.0","51,523.0","55,444.0","57,699.0","58,142.0","58,251.0","57,745.0","56,937.0","57,845.0","60,043.0","61,355.0","63,705.0","66,355.0","67,860.0","68,133.0","66,998.0","67,687.0","67,722.0","67,406.0","67,362.0","66,779.0","67,461.0","66,336.0","62,595.0","61,051.0","61,970.0","65,641.0","69,507.0","71,656.0","72,415.0","71,572.0","73,961.0","72,617.0","71,060.0","70,920.0","70,319.0","71,472.0","73,186.0","75,500.0","76,947.0","79,129.0","79,765.0","79,523.0"
"28","9","    Nonresidential","A008BX1","32,674.0","32,163.0","31,572.0","32,451.0","34,337.0","33,190.0","33,271.0","34,043.0","32,446.0","31,241.0","29,813.0","29,445.0","30,298.0","32,824.0","35,544.0","35,489.0","34,562.0","34,979.0","35,388.0","34,807.0","35,145.0","35,701.0","32,920.0","35,838.0","37,779.0","38,156.0","39,009.0","38,657.0","37,639.0","37,302.0","38,251.0","38,200.0","38,849.0","41,145.0","43,186.0","44,475.0","43,929.0","44,720.0","45,167.0","45,172.0","45,412.0","45,320.0","46,237.0","45,170.0","42,292.0","40,732.0","40,304.0","41,817.0","43,121.0","44,362.0","45,556.0","45,429.0","47,007.0","47,695.0","46,861.0","46,749.0","46,083.0","47,110.0","47,571.0","49,019.0","49,999.0","51,353.0","51,988.0","51,794.0"
"29","10","      Structures","B009BX1","10,501.0","10,445.0","10,516.0","10,365.0","10,580.0","10,875.0","11,200.0","11,360.0","11,147.0","10,886.0","10,404.0","10,118.0","10,601.0","11,135.0","11,780.0","12,082.0","12,121.0","12,533.0","12,457.0","11,978.0","11,992.0","12,079.0","12,179.0","12,646.0","13,027.0","13,277.0","13,351.0","13,586.0","13,725.0","13,820.0","13,790.0","13,731.0","14,156.0","14,508.0","14,989.0","15,360.0","15,836.0","16,401.0","16,504.0","16,465.0","16,323.0","16,312.0","16,315.0","16,222.0","15,918.0","15,390.0","15,039.0","15,271.0","15,217.0","15,688.0","16,155.0","16,032.0","16,701.0","16,899.0","16,931.0","17,576.0","17,496.0","17,204.0","17,214.0","17,124.0","17,445.0","18,081.0","18,558.0","18,108.0"
"30","11","      Equipment","Y033BX1","19,746.0","19,324.0","18,672.0","19,755.0","21,426.0","20,000.0","19,747.0","20,380.0","19,084.0","18,147.0","17,181.0","16,994.0","17,289.0","19,239.0","21,299.0","20,975.0","20,082.0","20,115.0","20,552.0","20,351.0","20,462.0","20,745.0","17,674.0","19,896.0","21,309.0","21,277.0","21,994.0","21,358.0","20,163.0","19,713.0","20,649.0","20,601.0","20,790.0","22,630.0","24,047.0","24,750.0","23,522.0","23,573.0","23,809.0","23,750.0","24,177.0","24,088.0","24,939.0","23,949.0","21,400.0","20,304.0","20,094.0","21,179.0","22,346.0","23,017.0","23,767.0","23,718.0","24,541.0","24,953.0","23,875.0","23,035.0","22,285.0","23,352.0","23,669.0","25,094.0","25,742.0","26,395.0","26,489.0","26,567.0"
"31","12","      Intellectual property products","Y001BX1","2,410.0","2,381.0","2,379.0","2,331.0","2,350.0","2,313.0","2,316.0","2,299.0","2,215.0","2,209.0","2,227.0","2,324.0","2,404.0","2,441.0","2,451.0","2,427.0","2,360.0","2,336.0","2,381.0","2,479.0","2,691.0","2,877.0","3,067.0","3,295.0","3,441.0","3,598.0","3,667.0","3,711.0","3,749.0","3,772.0","3,806.0","3,861.0","3,894.0","3,998.0","4,139.0","4,352.0","4,556.0","4,734.0","4,844.0","4,952.0","4,902.0","4,910.0","4,970.0","4,994.0","5,008.0","5,081.0","5,210.0","5,392.0","5,556.0","5,654.0","5,627.0","5,669.0","5,759.0","5,833.0","6,076.0","6,212.0","6,392.0","6,597.0","6,721.0","6,796.0","6,806.0","6,881.0","6,960.0","7,117.0"
"32","13","    Residential","A011BX1","13,909.0","13,213.0","15,233.0","18,169.0","17,932.0","18,971.0","18,369.0","17,022.0","15,767.0","15,503.0","16,829.0","18,880.0","20,988.0","22,999.0","24,255.0","23,125.0","21,928.0","18,999.0","17,800.0","17,971.0","18,441.0","18,784.0","18,601.0","19,606.0","19,922.0","19,988.0","19,240.0","19,084.0","19,292.0","20,551.0","21,802.0","23,166.0","24,869.0","25,227.0","24,690.0","23,654.0","23,049.0","22,930.0","22,497.0","22,161.0","21,858.0","21,340.0","21,059.0","21,031.0","20,204.0","20,277.0","21,738.0","24,001.0","26,710.0","27,642.0","27,126.0","26,357.0","27,167.0","24,942.0","24,197.0","24,172.0","24,270.0","24,367.0","25,696.0","26,571.0","27,033.0","27,871.0","27,849.0","27,805.0"
"33","14","  Change in private inventories","A014BX1","1,633.0","-1,132.0","-4,417.0","-739.0","3,689.0","7,018.0","8,202.0","6,346.0","-648.0","-5,715.0","-1,252.0","-5,711.0","2,395.0","3,497.0","4,591.0","14,706.0","9,137.0","13,286.0","8,760.0","3,765.0","4,724.0","-1,149.0","5,234.0","5,248.0","4,241.0","4,161.0","2,524.0","-2,164.0","-1,923.0","-3,096.0","-2,467.0","-911.0","3,672.0","5,418.0","4,944.0","6,810.0","5,744.0","3,991.0","3,096.0","2,741.0","1,482.0","2,132.0","3,115.0","-2,903.0","-3,634.0","-3,167.0","1,606.0","4,224.0","3,424.0","8,669.0","1,026.0","5,079.0","12,678.0","3,623.0","5,123.0","-5,963.0","-2,719.0","2,346.0","7,785.0","6,459.0","10,207.0","6,411.0","7,519.0","4,464.0"
"34","15","Net exports of goods and services","A019BX1","11,391.0","10,912.0","11,026.0","8,191.0","6,085.0","4,016.0","3,774.0","3,406.0","5,629.0","5,652.0","4,683.0","2,392.0","1,851.0","1,373.0","-1,139.0","-35.0","719.0","2,781.0","4,449.0","4,632.0","4,059.0","2,087.0","-108.0","-1,382.0","-1,229.0","-1,982.0","-1,307.0","-986.0","-732.0","-13.0","459.0","1,054.0","745.0","-616.0","210.0","-362.0","-277.0","1,119.0","1,633.0","3,481.0","3,440.0","2,584.0","2,334.0","1,601.0","-838.0","-1,613.0","-1,230.0","-2,380.0","-1,653.0","-2,048.0","-1,586.0","-1,576.0","251.0","1,615.0","1,676.0","3,308.0","3,240.0","2,613.0","981.0","1,184.0","370.0","2,289.0","381.0","-517.0"
"35","16","  Exports","A020BX1","21,883.0","21,607.0","20,511.0","18,187.0","17,357.0","15,735.0","16,105.0","15,537.0","17,396.0","17,247.0","15,806.0","13,683.0","13,457.0","13,620.0","13,973.0","15,105.0","15,860.0","17,421.0","17,849.0","17,682.0","18,623.0","16,576.0","15,267.0","15,371.0","15,111.0","15,205.0","15,815.0","15,294.0","14,608.0","16,706.0","16,170.0","16,914.0","17,543.0","17,134.0","18,258.0","18,340.0","19,211.0","20,505.0","21,188.0","22,138.0","23,581.0","22,882.0","22,241.0","21,576.0","19,435.0","19,527.0","19,589.0","19,526.0","20,820.0","21,511.0","22,194.0","21,600.0","24,306.0","25,851.0","25,199.0","25,721.0","25,544.0","25,189.0","25,052.0","25,827.0","25,764.0","28,236.0","26,657.0","26,081.0"
"36","17","    Goods","A253BX1","18,961.0","18,431.0","17,414.0","15,261.0","14,629.0","13,159.0","13,498.0","12,959.0","14,668.0","14,455.0","13,302.0","11,483.0","11,121.0","11,249.0","11,623.0","12,589.0","13,099.0","14,403.0","14,742.0","14,476.0","15,285.0","13,421.0","12,448.0","12,641.0","12,188.0","12,405.0","13,017.0","12,546.0","11,835.0","13,955.0","13,240.0","13,970.0","14,516.0","14,062.0","14,976.0","15,020.0","15,830.0","16,931.0","17,567.0","18,359.0","19,635.0","18,998.0","18,344.0","17,146.0","15,838.0","15,675.0","15,777.0","15,592.0","14,741.0","15,160.0","16,659.0","15,885.0","18,420.0","19,318.0","19,658.0","19,689.0","19,819.0","18,462.0","19,424.0","19,769.0","19,529.0","20,802.0","20,839.0","19,751.0"
"37","18","    Services","A646BX1","2,889.0","3,133.0","3,064.0","2,924.0","2,716.0","2,580.0","2,605.0","2,582.0","2,721.0","2,788.0","2,501.0","2,197.0","2,330.0","2,365.0","2,347.0","2,514.0","2,758.0","3,011.0","3,100.0","3,207.0","3,336.0","3,155.0","2,818.0","2,732.0","2,917.0","2,799.0","2,802.0","2,750.0","2,768.0","2,765.0","2,931.0","2,951.0","3,034.0","3,074.0","3,285.0","3,322.0","3,385.0","3,580.0","3,629.0","3,789.0","3,961.0","3,899.0","3,907.0","4,406.0","3,596.0","3,839.0","3,801.0","3,918.0","6,032.0","6,286.0","5,484.0","5,654.0","5,843.0","6,478.0","5,520.0","5,995.0","5,696.0","6,671.0","5,598.0","6,017.0","6,186.0","7,346.0","5,817.0","6,283.0"
"38","19","  Imports","A021BX1","10,493.0","10,695.0","9,485.0","9,996.0","11,272.0","11,719.0","12,331.0","12,131.0","11,767.0","11,596.0","11,123.0","11,290.0","11,606.0","12,247.0","15,112.0","15,141.0","15,142.0","14,640.0","13,400.0","13,050.0","14,564.0","14,488.0","15,375.0","16,753.0","16,340.0","17,188.0","17,122.0","16,280.0","15,340.0","16,720.0","15,711.0","15,860.0","16,797.0","17,750.0","18,048.0","18,702.0","19,488.0","19,386.0","19,555.0","18,657.0","20,141.0","20,298.0","19,907.0","19,976.0","20,273.0","21,140.0","20,818.0","21,907.0","22,473.0","23,559.0","23,780.0","23,176.0","24,055.0","24,236.0","23,522.0","22,413.0","22,304.0","22,576.0","24,071.0","24,643.0","25,393.0","25,947.0","26,277.0","26,598.0"
"39","20","    Goods","A255BX1","8,474.0","8,667.0","7,502.0","7,602.0","8,882.0","9,231.0","9,430.0","9,400.0","9,148.0","8,854.0","8,606.0","8,890.0","9,086.0","9,637.0","12,427.0","12,205.0","11,983.0","11,457.0","9,895.0","9,165.0","10,385.0","10,494.0","10,873.0","11,599.0","11,393.0","12,052.0","11,702.0","10,718.0","10,309.0","11,337.0","10,393.0","10,318.0","11,427.0","11,541.0","11,576.0","12,743.0","13,256.0","12,811.0","12,665.0","12,780.0","13,066.0","13,242.0","13,025.0","13,669.0","13,081.0","13,355.0","13,508.0","14,546.0","15,346.0","16,302.0","16,450.0","15,854.0","16,185.0","16,410.0","15,527.0","14,786.0","14,630.0","14,880.0","16,454.0","16,852.0","17,465.0","18,012.0","18,335.0","18,304.0"
"40","21","    Services","B656BX1","2,034.0","2,051.0","1,971.0","2,337.0","2,370.0","2,467.0","2,833.0","2,683.0","2,575.0","2,671.0","2,472.0","2,384.0","2,498.0","2,592.0","2,718.0","2,936.0","3,136.0","3,145.0","3,491.0","3,898.0","4,180.0","3,993.0","4,501.0","5,154.0","4,949.0","5,136.0","5,418.0","5,561.0","5,031.0","5,381.0","5,324.0","5,554.0","5,366.0","6,220.0","6,492.0","5,954.0","6,226.0","6,583.0","6,909.0","5,867.0","7,092.0","7,070.0","6,893.0","6,299.0","7,195.0","7,789.0","7,325.0","7,387.0","7,156.0","7,279.0","7,342.0","7,334.0","7,888.0","7,845.0","8,011.0","7,639.0","7,681.0","7,703.0","7,644.0","7,820.0","7,968.0","7,987.0","8,000.0","8,332.0"
"41","22","Government consumption expenditures and gross investment","A822BX1","46,147.0","46,548.0","46,848.0","46,513.0","47,105.0","48,684.0","49,656.0","51,463.0","52,888.0","55,193.0","55,689.0","54,545.0","53,712.0","54,623.0","53,731.0","57,577.0","63,716.0","72,195.0","80,110.0","84,336.0","86,818.0","89,730.0","90,628.0","92,127.0","95,013.0","96,981.0","95,950.0","95,674.0","93,254.0","90,074.0","88,146.0","87,593.0","87,651.0","86,820.0","87,357.0","85,637.0","85,618.0","87,336.0","86,601.0","88,768.0","90,696.0","90,215.0","90,962.0","92,483.0","91,671.0","93,971.0","94,536.0","96,475.0","95,392.0","96,578.0","97,405.0","96,616.0","94,983.0","96,008.0","98,339.0","98,996.0","100,458.0","100,689.0","102,810.0","105,057.0","107,082.0","107,593.0","110,071.0","110,837.0"
"42","23","  Federal","A823BX1","28,199.0","28,372.0","28,303.0","27,725.0","28,323.0","29,376.0","30,011.0","31,344.0","31,964.0","33,119.0","32,757.0","31,241.0","29,920.0","30,606.0","29,718.0","33,462.0","39,685.0","47,624.0","55,337.0","59,564.0","61,991.0","64,402.0","65,981.0","66,914.0","69,268.0","71,277.0","69,549.0","68,625.0","65,244.0","61,950.0","59,245.0","58,561.0","57,441.0","56,241.0","56,814.0","54,925.0","54,582.0","55,906.0","55,015.0","56,856.0","57,999.0","57,248.0","57,528.0","58,229.0","56,493.0","58,270.0","58,077.0","59,351.0","58,137.0","59,210.0","59,991.0","59,396.0","57,157.0","57,267.0","59,024.0","59,239.0","59,430.0","59,934.0","61,709.0","62,843.0","65,194.0","65,419.0","67,377.0","67,694.0"
