"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Millions of chained (1972) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1962 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2010 11:03:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982"
"19","1","    Gross domestic product","A191CX1","818,306.0","854,081.0","903,515.0","961,528.0","1,024,176.0","1,050,059.0","1,100,895.0","1,135,096.0","1,137,264.0","1,175,437.0","1,237,885.0","1,309,606.0","1,302,389.0","1,299,620.0","1,369,342.0","1,432,294.0","1,512,189.0","1,559,445.0","1,555,165.0","1,594,639.0","1,563,678.0"
"20","2","Personal consumption expenditures","DPCECX1","487,520.0","507,591.0","537,826.0","571,847.0","604,286.0","622,399.0","658,307.0","682,963.0","698,976.0","725,613.0","770,231.0","808,397.0","801,685.0","819,864.0","865,526.0","901,954.0","941,722.0","964,104.0","960,696.0","975,273.0","988,881.0"
"21","3","  Goods","DGDSCX1","238,655.0","248,192.0","262,985.0","281,614.0","299,473.0","305,335.0","324,238.0","334,146.0","336,781.0","350,876.0","373,815.0","393,185.0","378,840.0","381,414.0","408,117.0","425,633.0","443,225.0","450,315.0","438,912.0","444,099.0","447,197.0"
"22","4","    Durable goods","DDURCX1","56,866.0","62,103.0","67,900.0","76,316.0","82,653.0","83,881.0","93,193.0","96,680.0","94,121.0","103,575.0","116,444.0","128,622.0","120,374.0","120,661.0","135,698.0","147,685.0","155,437.0","154,652.0","142,335.0","143,754.0","143,515.0"
"23","5","    Nondurable goods","DNDGCX1","183,072.0","187,013.0","195,793.0","205,659.0","217,088.0","221,749.0","231,132.0","237,526.0","242,808.0","247,358.0","257,371.0","264,761.0","258,317.0","260,536.0","272,922.0","279,142.0","289,222.0","296,678.0","296,179.0","299,894.0","303,006.0"
"24","6","  Services","DSERCX1","248,776.0","259,344.0","274,782.0","289,952.0","304,326.0","316,837.0","333,731.0","348,612.0","362,241.0","374,749.0","396,416.0","415,208.0","423,170.0","439,057.0","457,897.0","476,824.0","499,005.0","514,252.0","522,168.0","531,537.0","541,894.0"
"25","7","Gross private domestic investment","A006CX1","116,436.0","124,254.0","134,502.0","153,375.0","166,887.0","159,255.0","168,525.0","178,345.0","166,627.0","185,626.0","207,608.0","231,935.0","214,850.0","176,794.0","212,508.0","244,615.0","274,105.0","282,845.0","251,777.0","274,414.0","235,969.0"
"26","8","  Fixed investment","A007CX1","109,554.0","118,048.0","129,450.0","142,673.0","150,850.0","148,070.0","158,404.0","168,257.0","164,720.0","177,197.0","198,501.0","216,642.0","203,100.0","181,289.0","199,162.0","227,785.0","255,362.0","269,775.0","252,247.0","257,887.0","239,806.0"
"27","9","    Nonresidential","A008CX1","68,576.0","72,391.0","80,983.0","95,094.0","106,987.0","105,545.0","110,257.0","118,629.0","117,995.0","118,004.0","128,836.0","147,583.0","148,816.0","134,109.0","140,677.0","156,554.0","179,986.0","198,113.0","197,592.0","208,845.0","200,984.0"
"28","10","      Structures","B009CX1","32,171.0","32,542.0","35,931.0","41,661.0","44,513.0","43,388.0","44,006.0","46,383.0","46,511.0","45,748.0","47,173.0","51,030.0","49,925.0","44,667.0","45,742.0","47,624.0","54,497.0","61,408.0","65,000.0","70,211.0","69,061.0"
"29","11","      Equipment and software","B010CX1","37,533.0","40,691.0","45,885.0","54,294.0","62,983.0","62,566.0","66,465.0","72,342.0","71,620.0","72,331.0","81,663.0","96,640.0","99,112.0","89,677.0","95,281.0","109,637.0","126,328.0","137,359.0","132,419.0","138,051.0","130,872.0"
"30","12","    Residential","A011CX1","41,679.0","46,591.0","49,299.0","47,859.0","43,577.0","42,205.0","47,959.0","49,375.0","46,422.0","59,152.0","69,665.0","69,218.0","54,929.0","47,797.0","59,054.0","71,731.0","76,248.0","73,450.0","57,907.0","53,265.0","43,594.0"
"31","13","  Change in private inventories","A014CX1","7,764.0","7,183.0","6,122.0","11,670.0","16,721.0","12,019.0","10,921.0","10,740.0","1,988.0","8,864.0","9,107.0","13,837.0","10,311.0","-4,532.0","12,152.0","15,289.0","16,167.0","9,924.0","-3,309.0","13,819.0","-6,980.0"
