"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross value added of corporate business \1\","A451RC1","54,389.0","47,774.0","37,473.0","27,533.0","26,555.0","33,125.0","36,727.0","42,250.0","47,821.0","42,457.0","46,763.0","53,473.0","69,059.0","86,515.0","102,590.0","106,285.0","99,733.0","104,424.0","125,951.0","144,480.0","141,528.0","160,402.0","183,926.0","192,591.0","206,157.0","203,640.0","229,486.0","245,606.0","256,938.0","251,808.0","281,871.0","293,862.0","302,143.0","329,016.0","349,546.0","377,657.0","414,390.0","454,119.0","479,265.0","529,126.0","576,660.0","597,752.0","646,108.0","716,722.0","802,551.0","869,866.0","944,443.0","1,062,887.0","1,205,113.0","1,376,087.0","1,529,025.0","1,663,004.0","1,888,951.0","1,967,347.0","2,116,653.0","2,371,288.0","2,526,479.0","2,640,638.0","2,832,614.0","3,065,512.0","3,229,485.0","3,376,976.0","3,467,405.0","3,642,203.0","3,823,202.0","4,110,547.0","4,357,521.0","4,624,988.0","4,978,924.0","5,299,251.0","5,624,509.0","6,016,417.0","6,034,700.0","6,122,678.0","6,360,683.0","6,774,201.0","7,297,863.0","7,823,291.0","8,025,964.0","8,112,074.0","7,873,199.0"
"20","2","Consumption of fixed capital","A438RC1","4,988.0","4,816.0","4,496.0","3,992.0","3,784.0","3,864.0","3,924.0","3,960.0","4,424.0","4,484.0","4,456.0","4,632.0","5,104.0","5,780.0","5,816.0","5,956.0","6,140.0","6,884.0","8,884.0","10,384.0","11,228.0","11,960.0","13,628.0","14,460.0","15,388.0","16,176.0","17,088.0","19,220.0","21,260.0","22,692.0","23,668.0","23,980.0","24,616.0","25,520.0","26,684.0","28,180.0","30,396.0","33,388.0","36,780.0","40,620.0","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","980,964.0","1,036,832.0","1,041,691.0"
"21","3","Net value added","A439RC1","49,401.0","42,958.0","32,977.0","23,541.0","22,771.0","29,261.0","32,803.0","38,290.0","43,397.0","37,973.0","42,307.0","48,841.0","63,955.0","80,735.0","96,774.0","100,329.0","93,593.0","97,540.0","117,067.0","134,096.0","130,300.0","148,442.0","170,298.0","178,131.0","190,769.0","187,464.0","212,398.0","226,386.0","235,678.0","229,116.0","258,203.0","269,882.0","277,527.0","303,496.0","322,862.0","349,477.0","383,994.0","420,731.0","442,485.0","488,506.0","531,540.0","547,748.0","591,276.0","657,022.0","735,627.0","791,046.0","850,027.0","958,355.0","1,087,125.0","1,241,859.0","1,373,905.0","1,483,168.0","1,680,811.0","1,735,959.0","1,876,217.0","2,118,384.0","2,254,751.0","2,350,826.0","2,526,142.0","2,736,696.0","2,878,645.0","3,003,936.0","3,075,341.0","3,240,195.0","3,403,150.0","3,665,695.0","3,880,717.0","4,119,004.0","4,438,068.0","4,720,939.0","4,998,697.0","5,331,353.0","5,304,448.0","5,366,786.0","5,585,155.0","5,965,041.0","6,434,995.0","6,897,435.0","7,045,000.0","7,075,242.0","6,831,508.0"
"22","4","  Compensation of employees","A442RC1","34,242.0","30,808.0","25,369.0","19,013.0","18,002.0","21,045.0","23,056.0","26,274.0","30,548.0","27,266.0","29,816.0","32,856.0","41,598.0","52,849.0","64,141.0","67,074.0","64,069.0","69,854.0","82,136.0","91,111.0","88,798.0","98,654.0","114,553.0","123,015.0","133,985.0","132,212.0","144,625.0","158,175.0","166,500.0","163,977.0","180,289.0","190,689.0","195,554.0","210,997.0","222,667.0","239,180.0","259,864.0","288,528.0","308,418.0","341,300.0","378,601.0","400,222.0","425,268.0","472,543.0","533,867.0","587,442.0","614,869.0","695,201.0","784,767.0","901,849.0","1,021,974.0","1,120,064.0","1,239,986.0","1,293,822.0","1,367,059.0","1,513,876.0","1,622,438.0","1,720,379.0","1,840,029.0","1,980,350.0","2,088,261.0","2,200,573.0","2,249,393.0","2,375,532.0","2,488,194.0","2,634,789.0","2,776,049.0","2,914,924.0","3,123,863.0","3,396,831.0","3,628,646.0","3,950,709.0","3,986,221.0","3,980,681.0","4,105,478.0","4,265,862.0","4,498,459.0","4,743,366.0","4,948,017.0","5,005,874.0","4,721,261.0"
"23","5","    Wage and salary accruals","A443RC1","33,818.0","30,399.0","24,996.0","18,690.0","17,706.0","20,714.0","22,697.0","25,645.0","29,256.0","25,848.0","28,288.0","31,218.0","39,612.0","50,520.0","61,311.0","63,907.0","60,916.0","66,473.0","77,991.0","86,899.0","84,390.0","92,989.0","107,533.0","115,490.0","125,801.0","123,600.0","134,819.0","147,005.0","154,027.0","151,393.0","165,640.0","174,456.0","178,685.0","191,821.0","201,917.0","216,750.0","235,153.0","259,249.0","277,066.0","305,414.0","338,028.0","355,982.0","376,191.0","414,773.0","464,577.0","508,899.0","528,426.0","591,170.0","662,696.0","756,219.0","855,631.0","935,607.0","1,033,425.0","1,073,098.0","1,132,638.0","1,256,796.0","1,351,389.0","1,432,276.0","1,536,556.0","1,656,670.0","1,745,972.0","1,838,152.0","1,865,287.0","1,958,427.0","2,043,672.0","2,163,560.0","2,300,240.0","2,438,630.0","2,635,326.0","2,868,562.0","3,077,602.0","3,344,418.0","3,350,302.0","3,294,379.0","3,356,949.0","3,507,849.0","3,701,409.0","3,930,894.0","4,121,885.0","4,162,906.0","3,887,284.0"
"24","6","    Supplements to wages and salaries","A444RC1","424.0","409.0","373.0","323.0","296.0","331.0","359.0","629.0","1,292.0","1,418.0","1,528.0","1,638.0","1,986.0","2,329.0","2,830.0","3,167.0","3,153.0","3,381.0","4,145.0","4,212.0","4,408.0","5,665.0","7,020.0","7,525.0","8,184.0","8,612.0","9,806.0","11,170.0","12,473.0","12,584.0","14,649.0","16,233.0","16,869.0","19,176.0","20,750.0","22,430.0","24,711.0","29,279.0","31,352.0","35,886.0","40,573.0","44,240.0","49,077.0","57,770.0","69,290.0","78,543.0","86,443.0","104,031.0","122,071.0","145,630.0","166,343.0","184,457.0","206,561.0","220,724.0","234,421.0","257,080.0","271,049.0","288,103.0","303,473.0","323,680.0","342,289.0","362,421.0","384,106.0","417,105.0","444,522.0","471,229.0","475,809.0","476,294.0","488,537.0","528,269.0","551,044.0","606,291.0","635,919.0","686,302.0","748,529.0","758,013.0","797,050.0","812,472.0","826,132.0","842,968.0","833,977.0"
"25","7","  Taxes on production and imports less subsidies","W321RC1","2,999.0","3,037.0","2,842.0","2,942.0","3,467.0","4,090.0","4,155.0","4,364.0","4,621.0","4,575.0","4,751.0","5,136.0","6,052.0","6,421.0","6,810.0","7,531.0","8,322.0","9,774.0","11,525.0","12,749.0","13,371.0","14,821.0","15,853.0","17,331.0","18,468.0","17,937.0","19,818.0","21,518.0","22,808.0","23,137.0","25,553.0","27,844.0","28,940.0","31,234.0","33,170.0","35,588.0","37,816.0","38,913.0","41,389.0","47,847.0","52,896.0","56,965.0","62,805.0","67,290.0","74,125.0","78,624.0","84,498.0","91,413.0","100,018.0","108,702.0","115,009.0","128,574.0","154,404.0","161,301.0","177,439.0","195,621.0","209,049.0","219,623.0","233,366.0","252,014.0","267,544.0","284,469.0","307,936.0","325,895.0","342,038.0","372,405.0","379,100.0","390,680.0","406,864.0","418,445.0","441,454.0","466,570.0","462,567.0","492,179.0","517,304.0","553,743.0","596,704.0","633,735.0","655,793.0","665,377.0","645,232.0"
"26","8","  Net operating surplus","W322RC1","12,160.0","9,113.0","4,766.0","1,586.0","1,302.0","4,126.0","5,592.0","7,652.0","8,228.0","6,132.0","7,740.0","10,849.0","16,305.0","21,465.0","25,823.0","25,724.0","21,202.0","17,912.0","23,406.0","30,236.0","28,131.0","34,967.0","39,892.0","37,785.0","38,316.0","37,315.0","47,955.0","46,693.0","46,370.0","42,002.0","52,361.0","51,349.0","53,033.0","61,265.0","67,025.0","74,709.0","86,314.0","93,290.0","92,678.0","99,359.0","100,043.0","90,561.0","103,203.0","117,189.0","127,635.0","124,980.0","150,660.0","171,741.0","202,340.0","231,308.0","236,922.0","234,530.0","286,421.0","280,836.0","331,719.0","408,887.0","423,264.0","410,824.0","452,747.0","504,332.0","522,840.0","518,894.0","518,012.0","538,768.0","572,918.0","658,501.0","725,568.0","813,400.0","907,341.0","905,663.0","928,597.0","914,074.0","855,660.0","893,926.0","962,373.0","1,145,436.0","1,339,832.0","1,520,334.0","1,441,190.0","1,403,991.0","1,465,015.0"
"27","9","    Net interest and miscellaneous payments","A453RC1","1,381.0","1,538.0","1,522.0","1,397.0","1,168.0","1,414.0","1,525.0","1,359.0","1,304.0","1,321.0","1,336.0","1,120.0","1,000.0","981.0","925.0","692.0","603.0","85.0","313.0","24.0","-41.0","-122.0","-224.0","-249.0","-31.0","170.0","156.0","37.0","173.0","557.0","-211.0","-212.0","406.0","736.0","366.0","794.0","1,221.0","2,304.0","4,026.0","3,912.0","7,755.0","11,271.0","11,458.0","11,319.0","13,045.0","20,706.0","23,409.0","18,797.0","23,321.0","27,519.0","34,892.0","55,933.0","77,749.0","90,028.0","86,599.0","98,824.0","96,875.0","106,318.0","107,648.0","107,788.0","129,975.0","125,774.0","102,644.0","80,582.0","73,469.0","75,033.0","64,679.0","69,251.0","94,823.0","142,183.0","138,983.0","166,631.0","154,181.0","116,169.0","99,406.0","48,595.0","61,613.0","120,430.0","174,838.0","334,028.0","367,925.0"
"28","10","    Business current transfer payments (net)","W323RC1","355.0","354.0","406.0","425.0","404.0","390.0","368.0","353.0","342.0","311.0","328.0","347.0","419.0","428.0","526.0","672.0","749.0","578.0","592.0","598.0","587.0","723.0","1,059.0","1,083.0","1,028.0","773.0","1,154.0","1,492.0","1,650.0","1,510.0","1,464.0","1,602.0","1,756.0","1,956.0","2,405.0","2,860.0","3,270.0","2,968.0","3,252.0","3,832.0","4,412.0","3,884.0","3,526.0","3,978.0","4,983.0","6,616.0","8,572.0","7,888.0","6,290.0","8,231.0","11,288.0","12,645.0","15,083.0","17,675.0","20,348.0","28,022.0","31,949.0","29,854.0","25,269.0","26,910.0","34,432.0","34,759.0","34,562.0","35,050.0","32,676.0","33,209.0","37,650.0","44,618.0","35,242.0","53,821.0","54,857.0","73,845.0","87,015.0","63,451.0","50,935.0","54,938.0","61,575.0","48,433.0","72,407.0","86,775.0","99,981.0"
"29","11","    Corporate profits with IVA and CCAdj","A445RC1","10,424.0","7,221.0","2,838.0","-236.0","-270.0","2,322.0","3,699.0","5,940.0","6,582.0","4,500.0","6,076.0","9,382.0","14,886.0","20,056.0","24,372.0","24,360.0","19,850.0","17,249.0","22,501.0","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,193,945.0","983,188.0","997,109.0"
"30","12","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","451,542.0","292,180.0","314,809.0"
"31","13","      Profits after tax with IVA and CCAdj","W273RC1","9,055.0","6,379.0","2,340.0","-621.0","-791.0","1,578.0","2,748.0","4,531.0","5,080.0","3,471.0","4,635.0","6,548.0","7,276.0","8,641.0","10,298.0","11,411.0","9,161.0","8,145.0","11,233.0","17,193.0","17,382.0","16,441.0","16,498.0","17,552.0","17,032.0","18,748.0","24,604.0","23,171.0","23,124.0","20,971.0","27,381.0","27,177.0","27,981.0","34,478.0","37,883.0","42,900.0","50,758.0","54,137.0","52,501.0","51,987.0","47,899.0","40,649.0","50,054.0","59,551.0","59,634.0","44,873.0","67,033.0","79,768.0","98,288.0","110,700.0","100,726.0","78,762.0","109,250.0","106,634.0","144,124.0","184,510.0","195,034.0","164,977.0","189,389.0","228,004.0","212,365.0","212,937.0","242,215.0","274,448.0","295,739.0","357,118.0","405,401.0","468,062.0","531,855.0","461,293.0","475,973.0","408,506.0","411,168.0","521,970.0","568,265.0","735,810.0","804,260.0","878,204.0","742,403.0","691,008.0","682,300.0"
"32","14","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,329.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,356.0","159,993.0","182,348.0","197,557.0","221,632.0","257,331.0","283,995.0","309,184.0","295,700.0","348,456.0","330,056.0","351,177.0","392,766.0","488,017.0","296,458.0","626,877.0","641,615.0","543,263.0","458,852.0"
"33","15","        Undistributed profits with IVA and CCAdj","W274RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","542.0","553.0","1,053.0","2,766.0","3,076.0","4,612.0","6,090.0","7,087.0","4,789.0","2,996.0","5,601.0","10,993.0","10,976.0","8,587.0","9,090.0","10,091.0","9,281.0","10,888.0","15,705.0","13,704.0","13,268.0","11,139.0","16,673.0","15,767.0","16,475.0","22,122.0","24,321.0","27,909.0","33,884.0","36,309.0","34,171.0","31,820.0","27,496.0","20,278.0","29,717.0","37,609.0","36,527.0","21,419.0","40,629.0","49,713.0","64,598.0","71,091.0","59,247.0","31,440.0","50,939.0","45,305.0","72,805.0","105,995.0","109,325.0","76,680.0","93,782.0","129,979.0","85,991.0","68,849.0","85,859.0","114,455.0","113,391.0","159,561.0","183,769.0","210,731.0","247,860.0","152,109.0","180,273.0","60,050.0","81,112.0","170,793.0","175,499.0","247,793.0","507,802.0","251,327.0","100,788.0","147,745.0","223,448.0"
"34","16","    Gross value added of financial corporate business \1\","A454RC1","3,980.0","2,918.0","2,414.0","2,139.0","1,899.0","2,015.0","2,216.0","2,540.0","2,588.0","2,757.0","2,880.0","3,026.0","3,274.0","3,444.0","3,801.0","4,021.0","4,244.0","5,073.0","5,334.0","6,071.0","6,784.0","7,305.0","8,218.0","9,223.0","10,225.0","10,781.0","11,753.0","12,906.0","13,835.0","14,682.0","15,885.0","17,496.0","18,410.0","19,256.0","19,651.0","21,582.0","23,162.0","25,136.0","28,115.0","31,324.0","36,199.0","39,439.0","43,068.0","47,300.0","51,780.0","60,024.0","67,782.0","73,160.0","85,749.0","103,409.0","114,594.0","128,491.0","146,758.0","164,734.0","187,563.0","209,875.0","232,576.0","257,440.0","281,650.0","300,117.0","330,254.0","341,752.0","363,269.0","401,107.0","424,821.0","432,982.0","469,540.0","505,569.0","566,443.0","630,929.0","668,972.0","736,986.0","782,241.0","815,020.0","856,945.0","896,746.0","995,079.0","1,082,989.0","1,055,883.0","1,140,619.0","1,205,471.0"
