"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Current receipts","W023RC1","7,072.0","7,271.0","7,149.0","6,769.0","6,681.0","8,098.0","8,667.0","8,201.0","8,584.0","8,688.0","9,068.0","9,394.0","9,800.0","10,056.0","10,398.0","10,669.0","11,110.0","12,638.0","14,879.0","16,750.0","18,299.0","19,956.0","21,926.0","23,715.0","25,489.0","26,921.0","29,387.0","32,368.0","35,016.0","37,074.0","40,647.0","44,458.0","48,065.0","51,997.0","56,026.0","61,260.0","66,532.0","74,934.0","82,520.0","93,517.0","105,454.0","120,081.0","134,927.0","158,434.0","174,342.0","188,080.0","209,588.0","233,673.0","259,938.0","287,575.0","308,356.0","338,169.0","370,234.0","391,434.0","428,609.0","480,153.0","521,069.0","561,635.0","590,576.0","635,533.0","687,489.0","737,958.0","789,397.0","846,235.0","888,153.0","944,835.0","991,885.0","1,045,084.0","1,099,472.0","1,164,502.0","1,240,416.0","1,322,602.0","1,374,005.0","1,412,699.0","1,496,313.0","1,600,964.0","1,730,421.0","1,829,663.0","1,927,318.0","1,974,210.0","1,995,466.0"
"20","2","Current tax receipts","W070RC1","6,382.0","6,606.0","6,370.0","6,189.0","5,762.0","6,026.0","6,478.0","6,969.0","7,359.0","7,522.0","7,656.0","8,085.0","8,528.0","8,604.0","8,807.0","9,011.0","9,467.0","10,462.0","12,043.0","13,709.0","14,996.0","16,466.0","18,118.0","19,664.0","21,139.0","22,247.0","24,396.0","26,993.0","29,027.0","30,589.0","33,826.0","36,954.0","39,653.0","42,779.0","45,767.0","49,773.0","53,855.0","58,768.0","63,973.0","73,397.0","82,460.0","91,289.0","101,687.0","115,582.0","126,275.0","136,040.0","147,439.0","165,724.0","183,736.0","198,176.0","212,017.0","230,024.0","255,772.0","273,158.0","300,899.0","337,295.0","363,688.0","389,541.0","422,106.0","452,763.0","488,004.0","519,123.0","544,278.0","579,766.0","604,740.0","644,222.0","672,115.0","709,596.0","749,921.0","794,930.0","840,435.0","893,244.0","914,278.0","928,651.0","977,671.0","1,059,387.0","1,163,073.0","1,249,032.0","1,313,368.0","1,336,252.0","1,263,101.0"
"21","3","  Personal current taxes","W071RC1","550.0","526.0","471.0","443.0","422.0","445.0","499.0","563.0","617.0","627.0","632.0","672.0","709.0","724.0","750.0","787.0","829.0","859.0","997.0","1,140.0","1,357.0","1,480.0","1,680.0","1,838.0","1,936.0","2,092.0","2,389.0","2,678.0","2,892.0","3,063.0","3,823.0","4,230.0","4,556.0","5,026.0","5,414.0","6,084.0","6,596.0","7,776.0","8,575.0","10,552.0","12,806.0","14,217.0","15,902.0","20,883.0","22,826.0","24,523.0","26,877.0","31,074.0","35,366.0","40,450.0","44,032.0","48,891.0","54,615.0","59,147.0","66,105.0","76,023.0","81,360.0","87,205.0","96,600.0","102,094.0","114,639.0","122,559.0","125,311.0","135,305.0","141,067.0","147,990.0","158,109.0","168,673.0","181,998.0","201,221.0","214,486.0","236,708.0","243,018.0","221,801.0","226,169.0","248,579.0","276,730.0","302,471.0","322,791.0","329,958.0","273,031.0"
"22","4","    Income taxes","B245RC1","139.0","110.0","74.0","64.0","67.0","87.0","121.0","167.0","204.0","208.0","201.0","232.0","258.0","291.0","330.0","366.0","402.0","409.0","488.0","570.0","718.0","776.0","905.0","1,002.0","1,042.0","1,135.0","1,345.0","1,574.0","1,723.0","1,829.0","2,229.0","2,536.0","2,800.0","3,180.0","3,432.0","4,018.0","4,417.0","5,422.0","6,112.0","7,841.0","9,769.0","10,903.0","12,440.0","17,197.0","18,864.0","20,351.0","22,453.0","26,259.0","30,385.0","34,981.0","38,214.0","42,594.0","47,912.0","51,887.0","58,285.0","67,471.0","72,122.0","77,449.0","85,959.0","90,599.0","102,270.0","109,594.0","111,720.0","120,377.0","126,225.0","132,241.0","141,737.0","152,326.0","164,667.0","183,020.0","195,532.0","217,354.0","223,336.0","201,263.0","204,072.0","224,737.0","251,700.0","276,079.0","295,524.0","302,351.0","245,043.0"
"23","5","    Other","B247RC1","411.0","416.0","397.0","379.0","355.0","358.0","378.0","396.0","413.0","419.0","431.0","440.0","451.0","433.0","420.0","421.0","427.0","450.0","509.0","570.0","639.0","704.0","775.0","836.0","894.0","957.0","1,044.0","1,104.0","1,169.0","1,234.0","1,594.0","1,694.0","1,756.0","1,846.0","1,982.0","2,066.0","2,179.0","2,354.0","2,463.0","2,711.0","3,037.0","3,314.0","3,462.0","3,686.0","3,962.0","4,172.0","4,424.0","4,815.0","4,981.0","5,469.0","5,818.0","6,297.0","6,703.0","7,260.0","7,820.0","8,552.0","9,238.0","9,756.0","10,641.0","11,495.0","12,369.0","12,965.0","13,591.0","14,928.0","14,842.0","15,749.0","16,372.0","16,347.0","17,331.0","18,201.0","18,954.0","19,354.0","19,682.0","20,538.0","22,097.0","23,842.0","25,030.0","26,392.0","27,267.0","27,607.0","27,988.0"
"24","6","  Taxes on production and imports","W072RC1","5,687.0","5,982.0","5,824.0","5,689.0","5,281.0","5,481.0","5,848.0","6,249.0","6,577.0","6,761.0","6,868.0","7,214.0","7,542.0","7,530.0","7,599.0","7,759.0","8,183.0","9,141.0","10,442.0","11,898.0","13,034.0","14,216.0","15,555.0","17,000.0","18,394.0","19,382.0","21,039.0","23,271.0","25,116.0","26,522.0","28,841.0","31,475.0","33,807.0","36,251.0","38,700.0","41,845.0","45,282.0","48,762.0","52,773.0","59,535.0","66,044.0","73,332.0","81,501.0","89,447.0","97,421.0","104,838.0","113,215.0","125,014.0","136,941.0","145,620.0","154,417.0","166,667.0","185,715.0","199,977.0","218,898.0","242,473.0","262,081.0","279,675.0","301,605.0","324,637.0","349,126.0","374,078.0","395,326.0","420,081.0","436,767.0","466,262.0","482,350.0","507,900.0","533,778.0","558,775.0","590,153.0","621,305.0","642,407.0","675,986.0","717,505.0","769,100.0","831,400.0","887,411.0","934,043.0","955,311.0","931,563.0"
"25","7","    Sales taxes","B248RC1","439.0","525.0","571.0","578.0","669.0","934.0","1,156.0","1,396.0","1,518.0","1,583.0","1,653.0","1,835.0","2,073.0","2,033.0","1,965.0","2,002.0","2,266.0","2,899.0","3,508.0","4,115.0","4,333.0","4,801.0","5,366.0","5,847.0","6,264.0","6,469.0","7,103.0","7,989.0","8,590.0","9,979.0","11,132.0","12,156.0","13,020.0","14,013.0","14,975.0","16,454.0","18,185.0","19,953.0","21,370.0","25,057.0","28,562.0","31,645.0","35,364.0","39,801.0","44,080.0","48,160.0","51,703.0","57,760.0","64,018.0","71,000.0","77,281.0","82,858.0","90,747.0","96,199.0","107,650.0","121,000.0","131,124.0","139,850.0","150,326.0","162,392.0","172,319.0","184,291.0","190,661.0","204,306.0","216,393.0","231,421.0","242,735.0","256,186.0","268,650.0","283,870.0","301,568.0","316,814.0","321,803.0","331,110.0","348,826.0","370,746.0","402,218.0","430,427.0","446,253.0","443,866.0","422,747.0"
"26","8","    Property taxes","B249RC1","4,543.0","4,727.0","4,539.0","4,424.0","3,962.0","3,907.0","4,023.0","4,058.0","4,162.0","4,277.0","4,285.0","4,407.0","4,449.0","4,397.0","4,494.0","4,565.0","4,642.0","4,836.0","5,346.0","5,938.0","6,642.0","7,143.0","7,696.0","8,385.0","9,096.0","9,673.0","10,448.0","11,453.0","12,609.0","13,764.0","14,812.0","16,238.0","17,580.0","18,958.0","20,245.0","21,687.0","23,187.0","24,535.0","26,964.0","29,896.0","32,763.0","36,674.0","40,445.0","43,227.0","46,355.0","48,980.0","53,384.0","58,247.0","63,200.0","63,748.0","64,403.0","68,826.0","77,080.0","85,300.0","91,877.0","99,700.0","107,491.0","116,158.0","126,422.0","136,496.0","149,864.0","161,533.0","176,071.0","184,678.0","187,258.0","199,369.0","202,579.0","212,352.0","223,530.0","231,008.0","242,802.0","254,669.0","268,018.0","289,409.0","306,760.0","326,701.0","346,887.0","370,051.0","396,288.0","410,590.0","421,826.0"
"27","9","    Other","W073RC1","705.0","730.0","714.0","687.0","650.0","640.0","669.0","795.0","897.0","901.0","930.0","972.0","1,020.0","1,100.0","1,140.0","1,192.0","1,275.0","1,406.0","1,588.0","1,845.0","2,059.0","2,272.0","2,493.0","2,768.0","3,034.0","3,240.0","3,488.0","3,829.0","3,917.0","2,779.0","2,897.0","3,081.0","3,207.0","3,280.0","3,480.0","3,704.0","3,910.0","4,274.0","4,439.0","4,582.0","4,719.0","5,013.0","5,692.0","6,419.0","6,986.0","7,698.0","8,128.0","9,007.0","9,723.0","10,872.0","12,733.0","14,983.0","17,888.0","18,478.0","19,371.0","21,773.0","23,466.0","23,667.0","24,857.0","25,749.0","26,943.0","28,254.0","28,594.0","31,097.0","33,116.0","35,472.0","37,036.0","39,362.0","41,598.0","43,897.0","45,783.0","49,822.0","52,586.0","55,467.0","61,919.0","71,653.0","82,295.0","86,933.0","91,502.0","100,855.0","86,990.0"
"28","10","  Taxes on corporate income","B102RC1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,150.0","56,534.0","50,983.0","58,507.0"
"29","11","Contributions for government social insurance","B104RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","5.0","5.0","4.0","155.0","175.0","201.0","194.0","223.0","242.0","278.0","306.0","324.0","337.0","370.0","397.0","395.0","413.0","461.0","492.0","548.0","629.0","682.0","758.0","821.0","877.0","942.0","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,924.0","20,062.0","24,068.0","24,753.0","21,771.0","19,794.0","21,138.0","21,853.0"
"30","12","Income receipts on assets","W074RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","388.0","439.0","458.0","484.0","538.0","611.0","656.0","725.0","804.0","859.0","979.0","1,085.0","1,141.0","1,132.0","1,323.0","1,417.0","1,538.0","1,637.0","1,911.0","2,199.0","2,620.0","3,007.0","3,482.0","4,337.0","5,153.0","5,495.0","5,928.0","7,760.0","10,190.0","11,185.0","10,433.0","11,665.0","14,658.0","20,128.0","26,270.0","31,963.0","36,721.0","41,443.0","47,674.0","54,841.0","58,394.0","58,168.0","60,538.0","65,693.0","68,461.0","67,981.0","64,817.0","61,280.0","63,279.0","68,514.0","73,447.0","78,159.0","81,464.0","85,781.0","94,283.0","90,036.0","79,643.0","73,972.0","77,132.0","88,255.0","103,499.0","114,185.0","113,901.0","116,137.0"
"31","13","  Interest receipts \1\","B112RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","276.0","316.0","308.0","318.0","335.0","393.0","418.0","467.0","499.0","559.0","655.0","744.0","763.0","854.0","1,047.0","1,061.0","1,113.0","1,245.0","1,485.0","1,752.0","2,093.0","2,371.0","2,765.0","3,570.0","4,332.0","4,590.0","4,941.0","6,599.0","8,903.0","9,817.0","9,044.0","10,369.0","13,271.0","18,113.0","23,061.0","28,502.0","33,078.0","37,007.0","42,585.0","49,328.0","52,006.0","52,671.0","55,930.0","61,409.0","64,073.0","63,103.0","59,594.0","56,156.0","57,992.0","63,026.0","67,463.0","71,851.0","75,192.0","79,138.0","86,674.0","82,149.0","71,509.0","64,608.0","66,669.0","76,416.0","90,881.0","101,241.0","100,073.0","101,813.0"
"32","14","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","1,991.0","2,062.0","2,329.0","2,491.0","2,855.0","2,774.0"
"33","15","  Rents and royalties","S230541","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","218.0","238.0","258.0","305.0","300.0","324.0","341.0","378.0","278.0","276.0","356.0","425.0","392.0","426.0","447.0","527.0","636.0","717.0","767.0","821.0","905.0","987.0","1,134.0","1,255.0","1,330.0","1,346.0","1,250.0","1,322.0","1,932.0","3,112.0","3,335.0","3,489.0","4,260.0","4,925.0","5,357.0","6,238.0","5,335.0","4,432.0","4,107.0","4,150.0","4,535.0","4,758.0","4,538.0","4,531.0","4,525.0","4,631.0","4,783.0","4,642.0","5,146.0","6,254.0","6,465.0","6,583.0","7,624.0","8,472.0","9,777.0","10,289.0","10,453.0","10,973.0","11,550.0"
"34","16","Current transfer receipts","W075RC1","485.0","456.0","583.0","381.0","712.0","1,840.0","1,913.0","929.0","909.0","865.0","1,078.0","930.0","848.0","979.0","1,057.0","1,090.0","1,031.0","1,231.0","1,835.0","2,041.0","2,228.0","2,297.0","2,470.0","2,608.0","2,764.0","2,874.0","2,957.0","3,157.0","3,636.0","4,086.0","4,158.0","4,473.0","5,173.0","5,755.0","6,371.0","7,252.0","8,028.0","11,118.0","13,117.0","14,187.0","16,162.0","21,070.0","25,205.0","34,034.0","37,347.0","39,310.0","48,724.0","54,970.0","61,448.0","71,067.0","72,651.0","79,520.0","81,042.0","79,113.0","82,354.0","89,001.0","94,483.0","104,966.0","99,981.0","109,013.0","118,140.0","133,477.0","158,234.0","180,254.0","198,059.0","212,278.0","224,185.0","234,025.0","246,373.0","265,298.0","291,143.0","313,888.0","347,966.0","382,341.0","421,313.0","439,423.0","454,284.0","456,695.0","483,868.0","506,074.0","597,539.0"
"35","17","  Federal grants-in-aid","B089RC1","117.0","125.0","313.0","134.0","502.0","1,633.0","1,706.0","724.0","701.0","653.0","875.0","727.0","645.0","766.0","851.0","876.0","805.0","1,025.0","1,595.0","1,720.0","1,856.0","1,901.0","2,045.0","2,156.0","2,274.0","2,328.0","2,407.0","2,540.0","2,921.0","3,338.0","3,775.0","4,003.0","4,514.0","5,038.0","5,643.0","6,450.0","7,167.0","10,080.0","11,737.0","12,706.0","14,565.0","19,317.0","23,217.0","31,701.0","34,760.0","36,273.0","45,145.0","50,733.0","56,568.0","65,528.0","66,339.0","72,343.0","72,481.0","69,498.0","71,559.0","76,676.0","80,854.0","87,605.0","83,927.0","91,615.0","98,339.0","111,448.0","131,597.0","149,125.0","164,005.0","175,074.0","184,216.0","191,095.0","198,407.0","212,601.0","232,900.0","247,302.0","276,085.0","304,161.0","338,005.0","349,182.0","361,229.0","359,042.0","378,910.0","391,689.0","476,606.0"
"36","18","  From business (net)","W076RC1","57.0","59.0","62.0","65.0","62.0","60.0","63.0","63.0","67.0","68.0","67.0","69.0","68.0","75.0","69.0","74.0","75.0","56.0","61.0","79.0","89.0","114.0","122.0","136.0","144.0","172.0","170.0","184.0","193.0","221.0","107.0","169.0","228.0","226.0","255.0","258.0","335.0","308.0","457.0","484.0","530.0","560.0","598.0","682.0","880.0","1,084.0","1,211.0","1,365.0","1,582.0","1,866.0","2,169.0","2,457.0","2,869.0","3,249.0","3,645.0","4,185.0","4,399.0","6,720.0","4,889.0","5,381.0","6,394.0","7,090.0","7,949.0","9,237.0","10,527.0","11,955.0","13,495.0","15,168.0","17,687.0","21,607.0","24,010.0","28,562.0","29,841.0","32,554.0","33,839.0","36,497.0","36,547.0","38,417.0","41,273.0","45,600.0","47,863.0"
