"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,143.0","11,867,753.0","12,638,381.0","13,398,917.0","14,077,628.0","14,441,415.0","14,256,272.0"
"20","2","Personal consumption expenditures","DPCERC1","77,388.0","70,139.0","60,673.0","48,712.0","45,943.0","51,458.0","55,927.0","62,182.0","66,834.0","64,264.0","67,205.0","71,286.0","81,068.0","89,003.0","99,902.0","108,652.0","119,984.0","144,310.0","161,990.0","175,027.0","178,497.0","192,229.0","208,532.0","219,526.0","233,077.0","240,000.0","258,764.0","271,671.0","286,863.0","296,186.0","317,704.0","331,795.0","342,185.0","363,336.0","382,713.0","411,454.0","443,811.0","480,893.0","507,783.0","558,001.0","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,013.0","8,285,080.0","8,819,002.0","9,322,662.0","9,826,438.0","10,129,919.0","10,089,069.0"
"21","3","  Goods","DGDSRC1","43,769.0","38,165.0","31,708.0","24,125.0","23,756.0","28,483.0","31,628.0","35,969.0","38,374.0","36,005.0","37,921.0","40,632.0","47,448.0","51,025.0","56,331.0","60,532.0","67,624.0","86,243.0","99,428.0","107,421.0","108,081.0","116,830.0","124,750.0","128,784.0","134,833.0","135,764.0","147,398.0","152,153.0","159,605.0","161,568.0","172,607.0","177,015.0","178,809.0","188,969.0","198,154.0","212,254.0","229,676.0","249,620.0","258,991.0","284,615.0","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,110,021.0","2,289,994.0","2,459,132.0","2,534,006.0","2,609,957.0","2,727,406.0","2,892,254.0","3,073,918.0","3,221,723.0","3,364,993.0","3,403,152.0","3,255,205.0"
"22","4","    Durable goods","DDURRC1","9,828.0","7,661.0","5,910.0","3,957.0","3,761.0","4,563.0","5,493.0","6,749.0","7,394.0","6,123.0","7,167.0","8,288.0","10,269.0","7,630.0","7,470.0","7,742.0","9,099.0","17,113.0","21,833.0","24,454.0","26,623.0","32,445.0","31,740.0","31,242.0","34,616.0","33,711.0","40,745.0","40,169.0","42,030.0","39,530.0","44,887.0","45,626.0","44,206.0","49,464.0","54,228.0","59,557.0","66,391.0","71,745.0","73,981.0","84,827.0","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","780,006.0","857,356.0","915,778.0","946,347.0","992,102.0","1,014,802.0","1,061,587.0","1,105,492.0","1,133,026.0","1,160,499.0","1,095,154.0","1,035,020.0"
"23","5","      Motor vehicles and parts","DMOTRC1","3,330.0","2,233.0","1,625.0","975.0","1,089.0","1,420.0","1,938.0","2,403.0","2,505.0","1,684.0","2,242.0","2,830.0","3,497.0","718.0","776.0","771.0","970.0","4,092.0","6,519.0","7,935.0","10,527.0","13,651.0","12,108.0","11,351.0","13,846.0","12,748.0","17,657.0","15,711.0","17,482.0","15,022.0","18,789.0","19,582.0","17,722.0","21,386.0","24,246.0","25,802.0","29,645.0","29,927.0","29,601.0","35,414.0","37,448.0","34,538.0","43,233.0","49,365.0","54,358.0","48,166.0","52,643.0","68,172.0","79,796.0","89,173.0","90,175.0","84,430.0","93,017.0","100,014.0","122,945.0","147,192.0","170,065.0","187,519.0","188,181.0","202,213.0","207,771.0","205,119.0","185,748.0","204,798.0","224,715.0","249,843.0","255,709.0","273,486.0","293,083.0","320,205.0","350,729.0","363,227.0","383,290.0","401,347.0","401,528.0","404,734.0","409,647.0","397,132.0","400,294.0","342,333.0","312,848.0"
"24","6","      Furnishings and durable household equipment","DFDHRC1","3,777.0","3,004.0","2,600.0","1,853.0","1,743.0","2,046.0","2,335.0","2,903.0","3,204.0","2,846.0","3,161.0","3,498.0","4,360.0","4,179.0","3,778.0","3,844.0","4,525.0","7,680.0","9,557.0","10,539.0","10,062.0","11,800.0","12,366.0","12,192.0","12,585.0","12,524.0","14,010.0","14,814.0","14,777.0","14,562.0","15,517.0","15,424.0","15,572.0","16,423.0","17,510.0","19,517.0","20,661.0","22,643.0","23,679.0","26,089.0","27,588.0","28,152.0","29,944.0","33,522.0","37,961.0","40,891.0","42,612.0","47,172.0","53,355.0","59,004.0","65,254.0","67,843.0","71,461.0","71,811.0","79,770.0","88,832.0","94,619.0","103,455.0","109,536.0","115,154.0","121,387.0","120,941.0","118,786.0","124,288.0","131,367.0","140,510.0","146,742.0","153,535.0","160,491.0","173,579.0","191,185.0","208,105.0","214,939.0","225,868.0","233,340.0","249,154.0","263,892.0","276,511.0","279,833.0","270,124.0","253,452.0"
"25","7","      Recreational goods and vehicles","DREQRC1","1,549.0","1,362.0","887.0","537.0","443.0","517.0","574.0","721.0","842.0","773.0","882.0","993.0","1,202.0","1,229.0","1,019.0","1,049.0","1,233.0","2,540.0","2,971.0","3,106.0","3,242.0","4,113.0","4,108.0","4,317.0","4,692.0","4,886.0","5,338.0","5,689.0","5,756.0","5,883.0","6,369.0","6,365.0","6,581.0","6,943.0","7,565.0","8,772.0","10,086.0","12,278.0","13,578.0","15,333.0","16,732.0","17,924.0","19,197.0","22,591.0","25,346.0","26,585.0","30,363.0","34,172.0","37,730.0","41,702.0","45,835.0","46,490.0","49,879.0","51,287.0","58,655.0","67,844.0","74,074.0","83,016.0","91,802.0","99,877.0","103,905.0","105,558.0","107,716.0","110,995.0","123,473.0","140,340.0","153,723.0","164,929.0","174,632.0","192,072.0","212,709.0","234,066.0","239,766.0","251,507.0","262,565.0","284,309.0","303,352.0","323,424.0","337,693.0","339,881.0","327,867.0"
"26","8","      Other durable goods","DODGRC1","1,172.0","1,062.0","798.0","592.0","486.0","580.0","646.0","722.0","843.0","820.0","882.0","967.0","1,210.0","1,504.0","1,897.0","2,078.0","2,371.0","2,801.0","2,786.0","2,874.0","2,792.0","2,881.0","3,158.0","3,382.0","3,493.0","3,553.0","3,740.0","3,955.0","4,015.0","4,063.0","4,212.0","4,255.0","4,331.0","4,712.0","4,907.0","5,466.0","5,999.0","6,897.0","7,123.0","7,991.0","8,714.0","9,374.0","10,073.0","10,966.0","12,862.0","14,535.0","16,547.0","19,108.0","21,082.0","23,470.0","25,076.0","27,627.0","29,583.0","29,920.0","33,659.0","38,288.0","41,605.0","47,450.0","52,502.0","57,808.0","61,265.0","65,462.0","64,935.0","68,001.0","71,977.0","76,478.0","79,564.0","84,347.0","87,324.0","94,150.0","102,733.0","110,380.0","108,352.0","113,380.0","117,369.0","123,390.0","128,601.0","135,959.0","142,679.0","142,816.0","140,853.0"
"27","9","    Nondurable goods","DNDGRC1","33,941.0","30,504.0","25,798.0","20,168.0","19,995.0","23,920.0","26,135.0","29,220.0","30,980.0","29,882.0","30,754.0","32,344.0","37,179.0","43,395.0","48,861.0","52,790.0","58,525.0","69,130.0","77,595.0","82,967.0","81,458.0","84,385.0","93,010.0","97,542.0","100,217.0","102,053.0","106,653.0","111,984.0","117,575.0","122,038.0","127,720.0","131,389.0","134,603.0","139,505.0","143,926.0","152,697.0","163,285.0","177,875.0","185,010.0","199,788.0","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,330,015.0","1,432,638.0","1,543,354.0","1,587,659.0","1,617,855.0","1,712,604.0","1,830,667.0","1,968,426.0","2,088,697.0","2,204,494.0","2,307,998.0","2,220,185.0"
"28","10","      Food and beverages purchased for off-premises consumption","DFXARC1","16,252.0","14,830.0","11,911.0","9,034.0","9,488.0","11,706.0","13,280.0","15,123.0","16,018.0","15,119.0","15,163.0","15,892.0","18,159.0","21,616.0","24,251.0","25,977.0","28,216.0","34,896.0","40,192.0","41,838.0","40,354.0","41,410.0","46,016.0","48,419.0","49,285.0","50,573.0","52,047.0","54,166.0","57,135.0","59,768.0","61,597.0","62,556.0","63,747.0","64,656.0","65,870.0","69,491.0","74,442.0","80,610.0","82,559.0","88,831.0","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","486,506.0","513,569.0","537,457.0","559,707.0","569,607.0","593,127.0","628,152.0","665,015.0","697,973.0","740,075.0","784,301.0","790,242.0"
"29","11","      Clothing and footwear","DCLORC1","9,029.0","7,754.0","6,691.0","4,887.0","4,483.0","5,489.0","5,828.0","6,344.0","6,607.0","6,535.0","6,893.0","7,197.0","8,497.0","10,615.0","12,914.0","14,115.0","15,856.0","17,510.0","18,037.0","19,334.0","18,613.0","18,930.0","20,478.0","21,182.0","21,320.0","21,393.0","22,375.0","23,397.0","23,579.0","23,919.0","25,367.0","25,939.0","26,571.0","27,859.0","28,618.0","31,085.0","32,659.0","35,812.0","37,547.0","41,260.0","44,331.0","45,450.0","49,046.0","53,491.0","59,243.0","62,423.0","66,867.0","72,191.0","79,305.0","89,317.0","96,371.0","103,002.0","113,178.0","116,745.0","126,445.0","137,621.0","146,845.0","157,201.0","167,726.0","178,213.0","190,397.0","195,245.0","199,098.0","211,234.0","219,054.0","227,435.0","231,245.0","239,542.0","247,496.0","257,805.0","271,097.0","280,831.0","277,868.0","278,836.0","287,021.0","300,025.0","315,543.0","330,060.0","341,218.0","337,505.0","325,819.0"
"30","12","      Gasoline and other energy goods","DGOERC1","3,407.0","3,276.0","2,846.0","2,603.0","2,607.0","2,891.0","3,012.0","3,343.0","3,547.0","3,444.0","3,566.0","3,807.0","4,307.0","3,923.0","3,315.0","3,408.0","3,977.0","5,826.0","6,937.0","8,202.0","8,343.0","8,864.0","9,595.0","10,184.0","10,843.0","11,328.0","12,359.0","13,290.0","14,245.0","14,718.0","15,290.0","15,809.0","15,723.0","16,316.0","16,922.0","17,659.0","19,132.0","20,656.0","21,876.0","23,217.0","24,968.0","26,286.0","27,647.0","29,393.0","34,325.0","43,849.0","48,020.0","53,013.0","57,817.0","61,453.0","80,388.0","101,898.0","113,443.0","108,350.0","106,456.0","108,200.0","110,532.0","91,191.0","96,369.0","99,850.0","110,439.0","124,199.0","121,129.0","125,007.0","126,882.0","129,231.0","133,405.0","144,745.0","147,662.0","133,359.0","148,811.0","188,836.0","183,583.0","174,562.0","209,603.0","249,933.0","304,824.0","336,945.0","367,976.0","413,041.0","304,711.0"
"31","13","      Other nondurable goods","DONGRC1","5,253.0","4,644.0","4,350.0","3,644.0","3,417.0","3,834.0","4,015.0","4,410.0","4,808.0","4,784.0","5,132.0","5,448.0","6,216.0","7,241.0","8,381.0","9,290.0","10,476.0","10,898.0","12,429.0","13,593.0","14,148.0","15,181.0","16,921.0","17,757.0","18,769.0","18,759.0","19,872.0","21,131.0","22,616.0","23,633.0","25,466.0","27,085.0","28,562.0","30,674.0","32,516.0","34,462.0","37,052.0","40,797.0","43,028.0","46,480.0","49,525.0","53,564.0","55,851.0","60,015.0","65,826.0","72,052.0","77,716.0","85,180.0","91,528.0","103,336.0","116,469.0","129,335.0","143,473.0","154,024.0","168,814.0","184,621.0","196,913.0","209,382.0","225,868.0","241,386.0","263,251.0","283,602.0","297,070.0","314,481.0","331,407.0","350,608.0","371,397.0","395,210.0","421,300.0","452,345.0","499,161.0","536,230.0","566,501.0","594,850.0","622,853.0","652,557.0","683,044.0","723,719.0","755,225.0","773,151.0","799,413.0"
"32","14","  Services","DSERRC1","33,619.0","31,974.0","28,965.0","24,587.0","22,187.0","22,975.0","24,299.0","26,213.0","28,460.0","28,259.0","29,284.0","30,654.0","33,620.0","37,978.0","43,571.0","48,120.0","52,360.0","58,067.0","62,562.0","67,606.0","70,416.0","75,399.0","83,782.0","90,742.0","98,244.0","104,236.0","111,366.0","119,518.0","127,258.0","134,618.0","145,097.0","154,780.0","163,376.0","174,367.0","184,559.0","199,200.0","214,135.0","231,273.0","248,792.0","273,386.0","300,447.0","329,507.0","359,497.0","396,415.0","435,377.0","481,393.0","542,454.0","604,949.0","677,440.0","764,054.0","853,229.0","956,034.0","1,070,133.0","1,176,203.0","1,314,796.0","1,437,383.0","1,580,002.0","1,701,117.0","1,840,664.0","2,012,748.0","2,170,687.0","2,344,151.0","2,482,638.0","2,673,622.0","2,841,247.0","3,004,252.0","3,171,748.0","3,355,935.0","3,563,862.0","3,808,467.0","4,052,790.0","4,371,239.0","4,614,801.0","4,829,234.0","5,076,607.0","5,392,826.0","5,745,084.0","6,100,939.0","6,461,445.0","6,726,767.0","6,833,864.0"
"33","15","    Household consumption expenditures (for services)","DHCERC1","32,336.0","30,681.0","27,756.0","23,550.0","21,276.0","22,070.0","23,400.0","25,276.0","27,505.0","27,281.0","28,293.0","29,598.0","32,505.0","36,715.0","42,090.0","46,451.0","50,623.0","56,089.0","60,438.0","65,287.0","68,061.0","72,924.0","81,137.0","87,795.0","95,153.0","100,929.0","107,902.0","115,621.0","123,103.0","130,126.0","140,037.0","149,504.0","157,911.0","168,660.0","178,559.0","192,506.0","206,943.0","223,522.0","240,371.0","264,040.0","290,365.0","318,418.0","347,168.0","382,800.0","420,748.0","464,960.0","524,404.0","584,880.0","655,649.0","739,581.0","825,430.0","924,146.0","1,033,869.0","1,136,113.0","1,271,888.0","1,389,792.0","1,529,656.0","1,645,750.0","1,782,132.0","1,945,987.0","2,098,971.0","2,264,537.0","2,398,393.0","2,581,279.0","2,746,625.0","2,901,883.0","3,064,578.0","3,240,220.0","3,451,614.0","3,677,472.0","3,907,383.0","4,205,871.0","4,428,597.0","4,624,229.0","4,864,792.0","5,182,813.0","5,531,009.0","5,860,589.0","6,207,947.0","6,448,046.0","6,568,473.0"
"34","16","      Housing and utilities","DHUTRC1","12,876.0","12,499.0","11,782.0","10,499.0","9,357.0","9,106.0","9,248.0","9,604.0","10,172.0","10,614.0","10,888.0","11,306.0","12,082.0","12,990.0","13,535.0","14,189.0","14,713.0","16,312.0","18,276.0","20,536.0","22,591.0","25,088.0","28,102.0","31,175.0","34,470.0","37,367.0","40,033.0","42,898.0","45,934.0","49,187.0","52,849.0","56,720.0","60,301.0","64,476.0","68,208.0","72,148.0","76,618.0","81,226.0","86,344.0","92,748.0","100,982.0","109,421.0","119,981.0","131,185.0","143,486.0","158,579.0","176,527.0","194,663.0","217,806.0","244,279.0","273,403.0","311,818.0","351,952.0","386,968.0","421,162.0","458,269.0","500,668.0","535,685.0","571,808.0","614,452.0","655,601.0","696,356.0","735,540.0","771,188.0","814,503.0","866,466.0","913,779.0","961,246.0","1,009,908.0","1,065,238.0","1,125,044.0","1,198,555.0","1,287,742.0","1,334,765.0","1,393,820.0","1,462,240.0","1,582,842.0","1,685,953.0","1,763,112.0","1,843,694.0","1,877,219.0"
