"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Government consumption expenditures \1\","A955RC1","6,524.0","6,824.0","6,898.0","6,551.0","6,733.0","7,848.0","8,113.0","8,960.0","9,010.0","9,624.0","10,299.0","10,658.0","15,730.0","34,176.0","55,751.0","68,685.0","68,875.0","36,097.0","31,741.0","33,485.0","36,939.0","36,915.0","50,430.0","61,275.0","66,523.0","63,619.0","65,466.0","68,461.0","75,282.0","79,476.0","80,693.0","83,281.0","88,170.0","96,798.0","102,711.0","108,587.0","115,891.0","131,844.0","149,531.0","165,674.0","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,214,929.0","2,386,877.0","2,416,939.0"
"20","2","        Gross output of general government","W101RC1","7,143.0","7,514.0","7,590.0","7,157.0","7,829.0","9,669.0","10,052.0","12,060.0","11,532.0","12,854.0","13,273.0","13,254.0","18,187.0","36,437.0","57,979.0","71,527.0","73,550.0","40,867.0","33,658.0","35,364.0","38,900.0","39,245.0","53,268.0","64,010.0","69,369.0","66,700.0","69,448.0","72,173.0","79,702.0","84,353.0","85,884.0","88,669.0","93,888.0","103,180.0","109,826.0","116,338.0","124,606.0","141,949.0","160,237.0","177,800.0","191,576.0","204,856.0","221,294.0","239,977.0","256,363.0","285,779.0","320,381.0","344,853.0","378,148.0","412,548.0","454,103.0","512,881.0","573,973.0","627,706.0","676,249.0","728,626.0","797,587.0","860,166.0","906,008.0","952,332.0","1,013,923.0","1,088,346.0","1,151,835.0","1,200,280.0","1,238,797.0","1,285,315.0","1,327,734.0","1,372,018.0","1,426,533.0","1,477,757.0","1,567,773.0","1,669,523.0","1,786,466.0","1,913,537.0","2,043,954.0","2,164,543.0","2,299,432.0","2,431,322.0","2,575,239.0","2,772,483.0","2,814,282.0"
"21","3","          Value added","W102RC1","5,191.0","5,390.0","5,464.0","5,168.0","5,497.0","6,513.0","6,916.0","8,351.0","8,054.0","8,832.0","8,854.0","9,117.0","11,222.0","18,405.0","31,562.0","40,829.0","45,097.0","32,821.0","27,835.0","27,224.0","28,315.0","28,643.0","35,781.0","40,427.0","42,153.0","43,451.0","45,761.0","49,128.0","52,441.0","55,783.0","58,288.0","61,984.0","65,986.0","70,699.0","75,484.0","81,082.0","86,638.0","96,756.0","107,003.0","118,836.0","129,962.0","143,533.0","156,354.0","169,400.0","183,236.0","201,329.0","224,459.0","243,456.0","264,616.0","287,467.0","312,964.0","348,511.0","385,300.0","418,955.0","445,363.0","485,141.0","523,428.0","556,274.0","591,539.0","630,597.0","672,225.0","722,653.0","767,604.0","801,926.0","831,166.0","859,904.0","884,760.0","911,286.0","940,316.0","972,548.0","1,021,561.0","1,078,779.0","1,139,635.0","1,211,433.0","1,292,179.0","1,359,344.0","1,436,476.0","1,511,952.0","1,601,775.0","1,688,412.0","1,759,863.0"
"22","4","            Compensation of general government employees","A194RC1","4,363.0","4,575.0","4,689.0","4,477.0","4,726.0","5,613.0","5,984.0","7,308.0","6,946.0","7,673.0","7,649.0","7,831.0","9,467.0","15,167.0","25,616.0","32,252.0","35,339.0","22,383.0","17,643.0","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,359,422.0","1,428,882.0","1,487,644.0"
"23","5","            Consumption of general government fixed capital \2\","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","242,353.0","259,530.0","272,219.0"
"24","6","          Intermediate goods and services purchased \3\","W104RC1","1,952.0","2,124.0","2,126.0","1,989.0","2,332.0","3,156.0","3,136.0","3,709.0","3,478.0","4,022.0","4,419.0","4,137.0","6,965.0","18,032.0","26,417.0","30,698.0","28,453.0","8,046.0","5,823.0","8,140.0","10,585.0","10,601.0","17,487.0","23,583.0","27,216.0","23,250.0","23,688.0","23,045.0","27,261.0","28,569.0","27,595.0","26,686.0","27,902.0","32,482.0","34,342.0","35,256.0","37,968.0","45,192.0","53,234.0","58,964.0","61,614.0","61,323.0","64,939.0","70,577.0","73,127.0","84,450.0","95,922.0","101,397.0","113,532.0","125,081.0","141,138.0","164,370.0","188,673.0","208,751.0","230,886.0","243,485.0","274,159.0","303,893.0","314,469.0","321,735.0","341,698.0","365,693.0","384,230.0","398,354.0","407,631.0","425,411.0","442,974.0","460,732.0","486,217.0","505,209.0","546,212.0","590,744.0","646,831.0","702,104.0","751,775.0","805,199.0","862,956.0","919,370.0","973,465.0","1,084,071.0","1,054,418.0"
"25","7","            Durable goods","W105RC1","99.0","97.0","100.0","89.0","135.0","233.0","265.0","374.0","332.0","416.0","408.0","385.0","1,820.0","7,416.0","13,263.0","13,600.0","13,775.0","700.0","538.0","1,014.0","1,204.0","1,979.0","4,661.0","8,304.0","9,426.0","7,170.0","6,335.0","6,442.0","7,132.0","7,486.0","5,612.0","4,912.0","4,246.0","5,303.0","5,580.0","4,983.0","5,343.0","7,454.0","7,500.0","8,889.0","8,060.0","7,881.0","6,724.0","8,146.0","8,209.0","8,255.0","9,521.0","9,753.0","12,297.0","14,403.0","16,750.0","18,770.0","22,919.0","26,799.0","33,116.0","35,830.0","38,617.0","42,084.0","44,682.0","45,080.0","44,694.0","45,074.0","45,263.0","43,346.0","41,820.0","38,962.0","38,059.0","38,506.0","39,541.0","41,130.0","43,850.0","45,025.0","46,449.0","47,754.0","49,527.0","53,106.0","54,597.0","58,650.0","62,970.0","71,212.0","75,501.0"
"26","8","            Nondurable goods","W106RC1","877.0","1,001.0","1,013.0","957.0","1,114.0","1,490.0","1,451.0","1,704.0","1,602.0","1,830.0","2,094.0","1,977.0","2,431.0","7,458.0","9,811.0","11,786.0","8,738.0","2,448.0","2,245.0","3,208.0","4,848.0","3,697.0","4,560.0","5,372.0","8,709.0","7,608.0","6,644.0","4,929.0","5,539.0","5,886.0","8,694.0","6,891.0","6,859.0","8,750.0","8,387.0","8,902.0","9,726.0","10,909.0","14,733.0","17,286.0","18,434.0","16,365.0","16,726.0","18,076.0","18,608.0","23,285.0","26,733.0","29,282.0","33,164.0","36,021.0","41,467.0","51,179.0","60,222.0","58,983.0","61,833.0","59,585.0","65,121.0","68,287.0","66,451.0","62,309.0","74,292.0","80,530.0","83,043.0","85,398.0","89,485.0","91,891.0","99,397.0","106,102.0","111,648.0","114,403.0","123,215.0","144,904.0","155,383.0","159,668.0","171,216.0","189,250.0","217,559.0","233,719.0","252,460.0","296,520.0","251,341.0"
"27","9","            Services","W107RC1","976.0","1,026.0","1,013.0","943.0","1,082.0","1,432.0","1,420.0","1,631.0","1,544.0","1,777.0","1,917.0","1,775.0","2,714.0","3,158.0","3,343.0","5,313.0","5,940.0","4,898.0","3,039.0","3,918.0","4,532.0","4,926.0","8,266.0","9,907.0","9,082.0","8,472.0","10,708.0","11,675.0","14,590.0","15,197.0","13,289.0","14,883.0","16,797.0","18,429.0","20,374.0","21,371.0","22,898.0","26,829.0","31,001.0","32,789.0","35,120.0","37,077.0","41,489.0","44,355.0","46,310.0","52,910.0","59,668.0","62,361.0","68,070.0","74,656.0","82,921.0","94,421.0","105,532.0","122,969.0","135,937.0","148,070.0","170,420.0","193,522.0","203,336.0","214,346.0","222,712.0","240,088.0","255,925.0","269,611.0","276,326.0","294,558.0","305,518.0","316,124.0","335,027.0","349,676.0","379,146.0","400,815.0","444,999.0","494,682.0","531,031.0","562,843.0","590,800.0","627,001.0","658,035.0","716,339.0","727,576.0"
"28","10","        Less: Own-account investment \4\","W108RC1","130.0","146.0","138.0","98.0","605.0","1,256.0","1,337.0","2,602.0","1,979.0","2,668.0","2,383.0","1,963.0","1,700.0","1,183.0","434.0","180.0","272.0","116.0","168.0","252.0","345.0","388.0","563.0","769.0","789.0","780.0","738.0","821.0","902.0","1,024.0","1,274.0","1,239.0","1,325.0","1,405.0","1,500.0","1,503.0","1,586.0","1,759.0","1,694.0","1,800.0","1,885.0","2,050.0","2,208.0","2,295.0","2,353.0","2,682.0","2,832.0","2,760.0","2,698.0","3,141.0","3,891.0","4,496.0","4,768.0","5,241.0","5,650.0","6,581.0","7,491.0","8,141.0","8,803.0","9,618.0","11,227.0","12,296.0","13,309.0","13,660.0","13,937.0","14,163.0","14,778.0","15,000.0","16,176.0","16,713.0","17,324.0","18,097.0","20,766.0","21,486.0","21,603.0","22,593.0","23,783.0","25,253.0","27,025.0","29,022.0","29,469.0"
"29","11","              Sales to other sectors","W109RC1","489.0","545.0","554.0","507.0","490.0","565.0","602.0","498.0","543.0","563.0","591.0","633.0","757.0","1,078.0","1,794.0","2,662.0","4,403.0","4,654.0","1,749.0","1,627.0","1,616.0","1,942.0","2,275.0","1,966.0","2,057.0","2,302.0","3,245.0","2,892.0","3,518.0","3,853.0","3,917.0","4,149.0","4,393.0","4,977.0","5,615.0","6,248.0","7,129.0","8,346.0","9,012.0","10,326.0","11,528.0","12,686.0","14,429.0","16,904.0","19,199.0","21,437.0","22,934.0","25,488.0","28,894.0","32,920.0","37,954.0","42,517.0","48,613.0","54,332.0","60,070.0","64,478.0","70,008.0","75,916.0","82,093.0","89,960.0","99,769.0","110,088.0","122,735.0","136,265.0","149,491.0","162,277.0","171,533.0","180,286.0","188,286.0","197,847.0","206,539.0","224,801.0","241,314.0","252,180.0","265,588.0","281,502.0","297,781.0","312,728.0","333,285.0","356,585.0","367,874.0"
"30","12","Federal consumption expenditures \1\","A957RC1","1,540.0","1,570.0","1,541.0","1,447.0","1,685.0","2,387.0","2,201.0","4,335.0","3,864.0","4,494.0","4,894.0","4,855.0","9,409.0","27,133.0","48,249.0","61,000.0","60,718.0","26,907.0","20,834.0","21,157.0","23,284.0","22,035.0","34,350.0","44,158.0","48,286.0","43,911.0","43,910.0","45,022.0","49,458.0","50,854.0","49,946.0","49,734.0","51,610.0","57,814.0","60,770.0","62,797.0","65,697.0","75,743.0","86,956.0","95,293.0","98,315.0","98,585.0","101,937.0","107,628.0","108,822.0","117,923.0","129,520.0","137,147.0","150,686.0","163,316.0","178,919.0","207,435.0","238,250.0","263,278.0","286,449.0","309,898.0","338,332.0","358,029.0","373,706.0","381,732.0","398,475.0","418,977.0","438,314.0","444,145.0","441,218.0","440,708.0","440,138.0","446,540.0","457,531.0","454,599.0","473,302.0","496,009.0","530,156.0","590,490.0","660,257.0","721,380.0","765,838.0","811,003.0","848,795.0","934,446.0","986,390.0"
"31","13","      Gross output of general government","W110RC1","1,608.0","1,622.0","1,579.0","1,476.0","2,045.0","2,796.0","2,896.0","4,901.0","4,344.0","4,926.0","5,345.0","5,320.0","9,954.0","28,010.0","49,581.0","63,001.0","64,509.0","30,671.0","21,501.0","21,608.0","23,582.0","22,506.0","35,203.0","44,745.0","48,887.0","44,567.0","45,215.0","45,839.0","50,705.0","52,136.0","51,076.0","50,798.0","52,627.0","58,911.0","61,935.0","63,989.0","66,988.0","77,458.0","88,238.0","96,587.0","99,707.0","99,954.0","103,421.0","109,958.0","111,629.0","121,312.0","132,513.0","140,005.0","154,439.0","167,844.0","184,477.0","213,551.0","244,425.0","269,409.0","292,526.0","316,535.0","345,220.0","364,887.0","381,564.0","390,521.0","407,909.0","429,322.0","449,645.0","455,433.0","452,219.0","453,728.0","450,791.0","457,709.0","466,626.0","464,670.0","481,792.0","505,803.0","539,296.0","599,810.0","670,140.0","731,963.0","779,571.0","823,814.0","861,684.0","947,735.0","1,000,853.0"
"32","14","        Value added","W111RC1","1,122.0","1,146.0","1,144.0","1,091.0","1,379.0","1,952.0","2,071.0","3,923.0","3,404.0","3,930.0","3,865.0","3,995.0","5,893.0","12,808.0","25,691.0","34,760.0","38,622.0","25,418.0","19,047.0","17,047.0","17,198.0","16,842.0","22,603.0","26,023.0","26,611.0","26,511.0","27,529.0","28,735.0","29,873.0","31,081.0","31,826.0","33,047.0","34,385.0","36,521.0","38,407.0","40,680.0","42,411.0","47,185.0","51,487.0","56,309.0","59,940.0","64,038.0","67,714.0","71,533.0","73,926.0","79,573.0","87,309.0","93,804.0","102,020.0","109,691.0","117,594.0","131,206.0","147,380.0","161,214.0","171,247.0","192,070.0","205,013.0","212,570.0","223,304.0","234,750.0","246,444.0","258,797.0","274,834.0","281,995.0","285,190.0","285,165.0","283,597.0","287,561.0","290,030.0","292,247.0","300,394.0","315,102.0","324,936.0","351,840.0","382,921.0","412,012.0","438,743.0","460,645.0","485,731.0","515,189.0","558,689.0"
"33","15","          Compensation of general government employees","B568RC1","907.0","945.0","952.0","912.0","1,195.0","1,729.0","1,806.0","3,612.0","3,057.0","3,552.0","3,464.0","3,542.0","5,079.0","10,694.0","20,953.0","27,314.0","29,969.0","16,188.0","10,305.0","9,556.0","10,679.0","11,095.0","16,582.0","19,275.0","19,075.0","18,346.0","18,958.0","19,604.0","20,227.0","21,325.0","21,728.0","22,604.0","23,657.0","25,211.0","26,483.0","28,535.0","29,986.0","34,304.0","37,875.0","41,903.0","44,862.0","48,335.0","51,659.0","55,384.0","57,434.0","62,044.0","68,384.0","73,307.0","79,930.0","85,758.0","91,808.0","102,536.0","115,089.0","125,308.0","132,317.0","149,362.0","158,952.0","163,082.0","170,292.0","177,973.0","185,701.0","193,865.0","205,860.0","210,697.0","210,944.0","208,854.0","205,811.0","209,699.0","212,095.0","214,253.0","220,592.0","232,963.0","242,096.0","268,381.0","297,768.0","323,011.0","344,448.0","360,145.0","379,481.0","401,969.0","439,741.0"
"34","16","          Consumption of general government fixed capital \2\","B995RC1","215.0","201.0","192.0","179.0","184.0","223.0","265.0","311.0","347.0","378.0","401.0","453.0","814.0","2,114.0","4,738.0","7,446.0","8,653.0","9,230.0","8,742.0","7,491.0","6,519.0","5,747.0","6,021.0","6,748.0","7,536.0","8,165.0","8,571.0","9,131.0","9,646.0","9,756.0","10,098.0","10,443.0","10,728.0","11,310.0","11,924.0","12,145.0","12,425.0","12,881.0","13,612.0","14,406.0","15,078.0","15,703.0","16,055.0","16,149.0","16,492.0","17,529.0","18,925.0","20,497.0","22,090.0","23,933.0","25,786.0","28,670.0","32,291.0","35,906.0","38,930.0","42,708.0","46,061.0","49,488.0","53,012.0","56,777.0","60,743.0","64,932.0","68,974.0","71,298.0","74,246.0","76,311.0","77,786.0","77,862.0","77,935.0","77,994.0","79,802.0","82,139.0","82,840.0","83,459.0","85,153.0","89,001.0","94,295.0","100,500.0","106,250.0","113,220.0","118,948.0"
"35","17","        Intermediate goods and services purchased \3\","W113RC1","486.0","476.0","435.0","385.0","666.0","844.0","825.0","978.0","940.0","996.0","1,480.0","1,325.0","4,061.0","15,202.0","23,890.0","28,241.0","25,887.0","5,253.0","2,454.0","4,561.0","6,384.0","5,664.0","12,600.0","18,722.0","22,276.0","18,056.0","17,686.0","17,104.0","20,832.0","21,055.0","19,250.0","17,751.0","18,242.0","22,390.0","23,528.0","23,309.0","24,577.0","30,273.0","36,751.0","40,278.0","39,767.0","35,916.0","35,707.0","38,425.0","37,703.0","41,739.0","45,204.0","46,201.0","52,419.0","58,153.0","66,883.0","82,345.0","97,045.0","108,195.0","121,279.0","124,465.0","140,207.0","152,317.0","158,260.0","155,771.0","161,465.0","170,525.0","174,811.0","173,438.0","167,029.0","168,563.0","167,194.0","170,148.0","176,596.0","172,423.0","181,398.0","190,701.0","214,360.0","247,970.0","287,219.0","319,951.0","340,828.0","363,169.0","375,953.0","432,546.0","442,164.0"
