"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    National income","A032RC1","93,942.0","82,885.0","67,439.0","51,098.0","48,753.0","58,086.0","66,044.0","74,742.0","83,290.0","76,585.0","81,983.0","90,941.0","115,768.0","149,514.0","184,236.0","197,960.0","198,336.0","198,615.0","216,288.0","242,602.0","237,512.0","263,868.0","303,784.0","321,251.0","338,623.0","338,739.0","372,003.0","394,887.0","413,340.0","415,586.0","453,496.0","473,919.0","490,684.0","528,873.0","559,729.0","601,419.0","652,176.0","710,135.0","750,397.0","821,195.0","888,484.0","929,529.0","1,005,624.0","1,110,346.0","1,246,087.0","1,341,472.0","1,444,019.0","1,609,790.0","1,797,433.0","2,027,874.0","2,248,285.0","2,432,951.0","2,729,849.0","2,851,412.0","3,070,891.0","3,461,299.0","3,696,272.0","3,871,460.0","4,150,042.0","4,522,303.0","4,800,513.0","5,059,548.0","5,217,907.0","5,517,103.0","5,784,722.0","6,181,260.0","6,522,329.0","6,931,689.0","7,405,981.0","7,875,586.0","8,357,963.0","8,938,889.0","9,185,209.0","9,408,519.0","9,840,170.0","10,534,046.0","11,273,814.0","12,031,228.0","12,448,157.0","12,635,200.0","12,279,956.0"
"20","2","Compensation of employees","A033RC1","51,118.0","46,867.0","39,775.0","31,090.0","29,572.0","34,331.0","37,376.0","42,948.0","47,969.0","45,034.0","48,149.0","52,170.0","64,825.0","85,296.0","109,582.0","121,252.0","123,252.0","119,614.0","130,066.0","141,959.0","141,860.0","155,276.0","181,426.0","196,162.0","210,218.0","209,156.0","225,695.0","244,491.0","257,537.0","259,547.0","280,989.0","296,409.0","305,303.0","327,144.0","345,217.0","370,670.0","399,505.0","442,655.0","475,143.0","524,314.0","577,611.0","617,218.0","658,909.0","725,137.0","811,223.0","890,249.0","949,145.0","1,059,342.0","1,180,525.0","1,335,456.0","1,498,290.0","1,647,572.0","1,819,664.0","1,919,642.0","2,035,534.0","2,245,446.0","2,411,748.0","2,557,655.0","2,735,638.0","2,954,155.0","3,131,318.0","3,326,257.0","3,438,331.0","3,631,429.0","3,797,095.0","3,998,534.0","4,195,178.0","4,391,364.0","4,665,622.0","5,023,242.0","5,353,937.0","5,788,849.0","5,979,319.0","6,110,815.0","6,382,589.0","6,693,407.0","7,065,043.0","7,476,996.0","7,856,459.0","8,037,425.0","7,783,452.0"
"21","3","  Wage and salary accruals","A034RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,786.0","116,749.0","117,493.0","112,005.0","123,097.0","135,550.0","134,733.0","147,253.0","171,607.0","185,636.0","198,989.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0","551,560.0","584,549.0","638,785.0","708,762.0","772,282.0","814,838.0","899,745.0","994,158.0","1,120,570.0","1,253,314.0","1,373,422.0","1,511,373.0","1,587,517.0","1,677,513.0","1,844,915.0","1,982,550.0","2,102,335.0","2,256,266.0","2,439,782.0","2,583,051.0","2,741,199.0","2,814,478.0","2,957,785.0","3,083,037.0","3,248,458.0","3,434,391.0","3,619,989.0","3,873,638.0","4,180,916.0","4,465,176.0","4,827,698.0","4,952,202.0","4,997,306.0","5,154,598.0","5,410,691.0","5,705,982.0","6,070,143.0","6,402,635.0","6,540,849.0","6,281,531.0"
"22","4","    Government","A553RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,229.0","33,378.0","34,338.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0","117,232.0","126,780.0","137,887.0","148,799.0","160,512.0","176,240.0","188,906.0","202,588.0","220,018.0","237,136.0","261,461.0","285,849.0","307,537.0","324,795.0","348,138.0","373,863.0","397,220.0","423,117.0","452,037.0","481,106.0","519,049.0","548,765.0","572,001.0","589,010.0","609,496.0","629,026.0","648,061.0","671,811.0","701,238.0","733,689.0","779,711.0","821,884.0","873,113.0","913,325.0","952,808.0","991,489.0","1,035,151.0","1,089,101.0","1,141,270.0","1,182,383.0"
"23","5","    Other","B203RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","79,169.0","83,781.0","82,591.0","91,305.0","105,584.0","116,530.0","113,906.0","124,620.0","142,378.0","152,258.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0","434,328.0","457,769.0","500,898.0","559,963.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,718.0","1,496,777.0","1,608,687.0","1,705,115.0","1,833,149.0","1,987,745.0","2,101,945.0","2,222,150.0","2,265,713.0","2,385,784.0","2,494,027.0","2,638,962.0","2,805,365.0","2,971,928.0","3,201,827.0","3,479,678.0","3,731,487.0","4,047,987.0","4,130,318.0","4,124,193.0","4,241,273.0","4,457,883.0","4,714,493.0","5,034,992.0","5,313,534.0","5,399,579.0","5,099,148.0"
"24","6","  Supplements to wages and salaries","A038RC1","658.0","653.0","618.0","576.0","545.0","597.0","654.0","994.0","1,830.0","2,021.0","2,164.0","2,310.0","2,740.0","3,198.0","3,796.0","4,503.0","5,759.0","7,609.0","6,969.0","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0","65,658.0","74,360.0","86,352.0","102,461.0","117,967.0","134,307.0","159,597.0","186,367.0","214,886.0","244,976.0","274,150.0","308,291.0","332,125.0","358,021.0","400,531.0","429,198.0","455,320.0","479,372.0","514,373.0","548,267.0","585,058.0","623,853.0","673,644.0","714,058.0","750,076.0","760,787.0","771,375.0","791,984.0","842,326.0","888,761.0","961,151.0","1,027,117.0","1,113,509.0","1,227,991.0","1,282,716.0","1,359,061.0","1,406,853.0","1,453,824.0","1,496,576.0","1,501,921.0"
"25","7","    Employer contributions for employee pension and insurance funds","B040RC1","650.0","646.0","613.0","568.0","541.0","590.0","642.0","752.0","800.0","822.0","860.0","934.0","1,024.0","1,190.0","1,468.0","1,966.0","2,296.0","2,543.0","3,038.0","3,405.0","3,778.0","4,650.0","5,725.0","6,383.0","7,019.0","7,281.0","8,370.0","9,797.0","11,218.0","11,881.0","13,292.0","14,304.0","15,174.0","16,604.0","17,961.0","20,250.0","22,655.0","25,488.0","28,115.0","32,392.0","36,524.0","41,819.0","47,914.0","55,195.0","62,678.0","73,273.0","87,583.0","105,199.0","125,263.0","143,358.0","162,389.0","185,210.0","204,681.0","222,356.0","238,139.0","261,493.0","281,464.0","297,451.0","313,112.0","329,740.0","354,594.0","378,606.0","408,721.0","445,246.0","474,379.0","495,937.0","496,667.0","496,570.0","502,391.0","535,089.0","565,422.0","615,931.0","669,131.0","747,398.0","845,564.0","874,621.0","931,569.0","960,146.0","992,988.0","1,023,912.0","1,043,926.0"
"26","8","    Employer contributions for government social insurance","B039RC1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","5,066.0","3,931.0","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,452.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,111.0","382,427.0","408,095.0","427,492.0","446,707.0","460,836.0","472,664.0","457,995.0"
"27","9","Proprietors' income with IVA and CCAdj","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0","1,040,993.0"
"28","10","  Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","39,432.0","48,735.0","29,330.0"
"29","11","  Nonfarm","A045RC1","8,396.0","7,026.0","5,340.0","3,316.0","3,087.0","4,457.0","5,244.0","6,445.0","6,882.0","6,573.0","7,093.0","8,192.0","10,612.0","13,664.0","16,720.0","17,964.0","18,996.0","21,478.0","20,137.0","22,518.0","22,633.0","24,614.0","27,348.0","28,757.0","29,844.0","30,525.0","33,547.0","35,275.0","37,275.0","37,767.0","40,282.0","40,059.0","41,950.0","44,087.0","45,512.0","49,570.0","51,874.0","55,230.0","58,206.0","62,530.0","64,675.0","65,583.0","71,297.0","79,013.0","84,552.0","90,015.0","97,609.0","115,030.0","130,065.0","147,582.0","158,960.0","161,760.0","162,588.0","161,519.0","184,477.0","212,131.0","225,127.0","239,726.0","265,340.0","308,037.0","318,554.0","332,976.0","339,777.0","379,112.0","417,589.0","449,509.0","492,588.0","545,247.0","595,645.0","658,651.0","718,307.0","787,826.0","840,202.0","871,840.0","894,111.0","984,093.0","1,025,906.0","1,103,626.0","1,056,919.0","1,057,540.0","1,011,663.0"
"30","12","Rental income of persons with CCAdj","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0","268,125.0"
"31","13","Corporate profits with IVA and CCAdj","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,541,696.0","1,360,389.0","1,308,927.0"
"32","14","  Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","451,542.0","292,180.0","314,809.0"
"33","15","  Profits after tax with IVA and CCAdj","A551RC1","9,287.0","6,516.0","2,336.0","-655.0","-793.0","1,638.0","2,907.0","4,635.0","5,352.0","3,772.0","4,959.0","6,814.0","7,667.0","9,019.0","10,670.0","11,834.0","9,503.0","8,836.0","12,219.0","18,454.0","18,507.0","17,710.0","18,242.0","19,440.0","18,830.0","20,710.0","26,958.0","25,992.0","26,216.0","23,494.0","30,099.0","30,314.0","31,297.0","38,250.0","41,964.0","47,369.0","55,464.0","58,665.0","57,276.0","57,623.0","54,494.0","47,749.0","57,909.0","69,085.0","74,532.0","62,341.0","81,664.0","96,317.0","117,402.0","133,569.0","135,338.0","114,233.0","138,929.0","139,217.0","179,183.0","221,076.0","233,139.0","204,451.0","237,401.0","284,988.0","279,494.0","289,025.0","318,684.0","347,539.0","372,670.0","435,085.0","498,347.0","570,032.0","639,412.0","564,055.0","597,489.0","554,130.0","580,870.0","679,856.0","734,017.0","940,838.0","1,043,701.0","1,135,045.0","1,090,154.0","1,068,209.0","994,118.0"
"34","16","    Net dividends","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","767,785.0","689,874.0","575,757.0"
