"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W005RU1","14,018.0","9,202.0","9,875.0","9,719.0","14,204.0","9,115.0","9,794.0","9,265.0","11,964.0","8,079.0","9,344.0","8,475.0","12,428.0","10,558.0","12,916.0","12,903.0","19,540.0","14,430.0","14,360.0","14,588.0","19,777.0","15,028.0","15,639.0","15,370.0","21,024.0","15,836.0","17,124.0","14,625.0","19,199.0","13,584.0","15,097.0","14,634.0","17,882.0","18,512.0","17,739.0","16,943.0","19,517.0","20,235.0","18,303.0","17,791.0","20,796.0","21,665.0","19,384.0","17,477.0","18,784.0","19,855.0","18,908.0","18,515.0","21,080.0","24,222.0","21,349.0","20,314.0","23,754.0","26,710.0","22,662.0","20,810.0","22,200.0","26,908.0","23,369.0","23,004.0","25,143.0","29,945.0","24,977.0","23,547.0","26,994.0","31,760.0","27,112.0","25,924.0","27,649.0","32,173.0","26,919.0","25,052.0","29,286.0","35,582.0","28,817.0","27,277.0","32,305.0","40,069.0","33,237.0","32,362.0","36,323.0","40,765.0","36,020.0","33,795.0","39,605.0","46,929.0","43,729.0","41,007.0","46,601.0","54,806.0","47,733.0","43,515.0","46,155.0","52,409.0","46,293.0","41,232.0","46,386.0","52,657.0","48,538.0","44,311.0","52,185.0","61,368.0","55,429.0","51,320.0","60,926.0","65,192.0","64,746.0","59,941.0","64,614.0","74,085.0","74,557.0","66,706.0","65,939.0","67,897.0","74,302.0","69,494.0","74,740.0","85,919.0","84,726.0","77,607.0","83,409.0","101,942.0","92,623.0","85,981.0","94,382.0","118,015.0","107,448.0","104,180.0","113,129.0","134,901.0","120,825.0","118,051.0","125,233.0","142,883.0","132,084.0","132,635.0","145,751.0","171,760.0","152,271.0","150,151.0","151,693.0","172,017.0","151,236.0","142,404.0","156,973.0","168,699.0","160,438.0","157,141.0","176,678.0","186,620.0","175,791.0","170,898.0","193,556.0","205,631.0","192,197.0","183,021.0","200,997.0","216,632.0","202,041.0","196,379.0","212,118.0","255,837.0","218,912.0","209,662.0","234,048.0","265,197.0","231,260.0","228,019.0","251,182.0","302,208.0","248,357.0","236,287.0","254,965.0","311,123.0","260,997.0","255,674.0","260,064.0","310,495.0","271,255.0","260,095.0","272,861.0","319,235.0","278,147.0","277,767.0","298,622.0","322,854.0","303,714.0","298,895.0","325,548.0","350,961.0","328,280.0","317,332.0","348,536.0","385,344.0","345,129.0","328,825.0","364,705.0","430,290.0","371,204.0","360,237.0","391,300.0","474,321.0","403,369.0","387,162.0","421,169.0","521,046.0","428,341.0","407,309.0","442,767.0","548,644.0","455,564.0","447,989.0","475,772.0","629,570.0","492,325.0","459,475.0","492,634.0","641,279.0","435,897.0","450,458.0","442,723.0","522,113.0","462,825.0","431,668.0","454,176.0","521,367.0","453,126.0","456,413.0","469,751.0","537,460.0","500,033.0","506,695.0","524,892.0","651,134.0","564,145.0","549,908.0","585,009.0","749,110.0","607,178.0","583,236.0","621,529.0","803,522.0","635,063.0","600,643.0","596,802.0","739,727.0","600,520.0","537,984.0"
"21","2","Current tax receipts","W006RU1","12,322.0","7,621.0","8,561.0","8,617.0","12,922.0","7,881.0","8,591.0","8,249.0","10,603.0","6,713.0","8,098.0","7,430.0","10,972.0","9,099.0","11,546.0","11,704.0","17,722.0","12,595.0","12,740.0","13,184.0","17,751.0","13,220.0","13,987.0","13,903.0","18,911.0","13,938.0","15,398.0","13,244.0","16,782.0","11,395.0","13,171.0","13,078.0","15,506.0","15,773.0","15,545.0","15,147.0","16,777.0","17,100.0","16,031.0","15,920.0","17,578.0","18,107.0","16,764.0","15,449.0","15,634.0","16,284.0","16,283.0","16,442.0","17,356.0","19,933.0","18,249.0","17,707.0","18,901.0","21,243.0","18,693.0","17,615.0","17,066.0","21,404.0","19,356.0","19,632.0","19,169.0","23,568.0","20,512.0","20,026.0","20,127.0","24,576.0","22,045.0","21,842.0","20,474.0","24,739.0","21,623.0","20,897.0","21,778.0","27,719.0","23,332.0","22,771.0","23,335.0","30,277.0","25,372.0","25,723.0","26,127.0","29,565.0","27,461.0","26,671.0","28,329.0","34,891.0","34,009.0","32,452.0","33,704.0","41,417.0","36,735.0","34,114.0","32,060.0","38,629.0","35,194.0","32,041.0","30,935.0","37,239.0","36,471.0","33,973.0","34,157.0","43,696.0","40,971.0","39,426.0","38,477.0","43,485.0","46,377.0","44,679.0","40,396.0","50,147.0","53,122.0","48,406.0","40,822.0","43,683.0","52,309.0","50,023.0","45,647.0","58,059.0","59,395.0","54,798.0","51,015.0","69,194.0","65,887.0","61,122.0","56,431.0","79,534.0","76,356.0","74,258.0","69,037.0","90,888.0","84,399.0","81,570.0","76,902.0","94,930.0","92,618.0","91,093.0","88,573.0","114,530.0","104,497.0","100,097.0","88,050.0","109,167.0","99,616.0","89,505.0","89,343.0","101,358.0","103,692.0","98,766.0","97,176.0","110,003.0","111,508.0","106,544.0","106,999.0","118,723.0","122,152.0","112,361.0","108,136.0","125,247.0","126,313.0","119,553.0","115,867.0","159,178.0","139,884.0","128,697.0","125,758.0","158,721.0","142,593.0","139,099.0","137,498.0","188,227.0","153,200.0","142,226.0","134,750.0","191,811.0","162,555.0","153,095.0","133,443.0","182,022.0","166,988.0","153,165.0","141,051.0","185,192.0","171,351.0","162,333.0","162,499.0","182,832.0","188,369.0","179,333.0","180,241.0","203,056.0","205,095.0","192,973.0","193,164.0","231,906.0","218,146.0","201,362.0","203,982.0","270,097.0","237,664.0","220,170.0","220,857.0","305,122.0","261,982.0","242,120.0","242,525.0","341,894.0","279,423.0","251,984.0","257,183.0","359,032.0","295,865.0","283,277.0","271,733.0","426,052.0","321,800.0","289,993.0","279,633.0","430,418.0","263,866.0","275,504.0","229,897.0","307,058.0","283,021.0","253,486.0","235,045.0","300,065.0","267,858.0","267,266.0","238,589.0","304,849.0","305,021.0","305,348.0","280,526.0","404,407.0","355,870.0","342,920.0","320,573.0","484,734.0","390,258.0","362,762.0","344,461.0","525,922.0","408,066.0","368,757.0","304,125.0","455,902.0","362,775.0","298,923.0"
"22","3","  Personal current taxes","A074RU1","7,893.0","3,291.0","4,078.0","3,531.0","8,385.0","3,074.0","3,542.0","3,064.0","6,340.0","2,513.0","3,596.0","2,927.0","6,084.0","3,139.0","4,092.0","4,117.0","9,429.0","4,907.0","5,627.0","5,412.0","10,817.0","6,088.0","6,925.0","6,337.0","11,290.0","5,930.0","7,569.0","6,517.0","10,466.0","4,813.0","6,713.0","6,076.0","8,281.0","7,758.0","7,652.0","6,779.0","9,059.0","8,986.0","8,367.0","7,501.0","9,578.0","9,901.0","8,823.0","7,692.0","9,147.0","9,308.0","8,925.0","8,105.0","9,293.0","10,532.0","9,705.0","8,936.0","10,122.0","12,092.0","10,417.0","9,207.0","9,545.0","12,521.0","10,726.0","9,902.0","10,650.0","14,022.0","11,504.0","10,353.0","11,370.0","14,176.0","12,300.0","11,292.0","10,970.0","13,677.0","11,314.0","10,024.0","11,240.0","16,034.0","12,767.0","11,027.0","12,720.0","17,923.0","14,077.0","13,882.0","15,599.0","17,921.0","16,460.0","14,406.0","16,231.0","21,192.0","20,821.0","18,191.0","20,718.0","27,132.0","23,539.0","20,311.0","20,575.0","25,817.0","22,883.0","19,578.0","18,407.0","23,354.0","23,472.0","20,570.0","21,555.0","29,435.0","27,272.0","24,495.0","23,796.0","26,960.0","30,522.0","28,303.0","25,796.0","33,103.0","35,372.0","32,254.0","27,669.0","27,486.0","34,161.0","31,414.0","28,156.0","37,856.0","39,587.0","35,635.0","32,978.0","46,514.0","42,961.0","39,700.0","36,019.0","53,723.0","51,147.0","48,058.0","45,371.0","64,715.0","58,587.0","55,961.0","51,771.0","69,763.0","65,565.0","62,865.0","59,483.0","84,394.0","74,692.0","71,981.0","66,579.0","85,754.0","76,083.0","66,547.0","68,424.0","74,506.0","74,704.0","68,586.0","67,711.0","77,049.0","80,522.0","76,107.0","78,245.0","87,522.0","88,584.0","81,628.0","77,850.0","92,811.0","93,264.0","86,087.0","82,464.0","120,888.0","99,095.0","90,011.0","88,400.0","117,640.0","100,169.0","96,635.0","93,404.0","145,098.0","111,634.0","101,320.0","94,838.0","148,167.0","117,122.0","110,022.0","92,306.0","138,272.0","121,266.0","109,470.0","96,076.0","137,526.0","126,694.0","114,930.0","116,504.0","130,717.0","135,391.0","122,854.0","127,870.0","143,440.0","141,501.0","129,703.0","132,779.0","166,062.0","149,209.0","137,739.0","140,715.0","201,015.0","168,133.0","153,419.0","156,005.0","232,874.0","185,317.0","169,957.0","173,509.0","268,028.0","203,179.0","180,490.0","187,159.0","282,699.0","217,357.0","205,825.0","192,814.0","343,993.0","242,513.0","216,231.0","213,518.0","361,617.0","200,063.0","216,616.0","170,975.0","242,940.0","218,916.0","195,786.0","167,960.0","226,849.0","190,935.0","188,434.0","161,265.0","218,232.0","214,344.0","205,401.0","177,685.0","292,564.0","237,516.0","224,094.0","197,647.0","355,515.0","256,432.0","240,337.0","223,758.0","393,538.0","284,652.0","266,196.0","217,550.0","368,505.0","272,606.0","243,790.0"
"23","4","  Taxes on production and imports","W007RU1","1,852.0","1,798.0","1,902.0","2,112.0","1,843.0","1,894.0","2,010.0","2,081.0","1,854.0","1,923.0","2,077.0","2,016.0","1,877.0","2,065.0","2,516.0","2,276.0","2,363.0","2,162.0","2,250.0","2,415.0","2,347.0","2,509.0","2,552.0","2,713.0","2,600.0","2,710.0","2,713.0","2,684.0","2,370.0","2,392.0","2,295.0","2,450.0","2,384.0","2,658.0","2,640.0","2,746.0","2,523.0","2,675.0","2,726.0","3,042.0","2,750.0","2,939.0","2,885.0","2,926.0","2,623.0","2,867.0","2,713.0","2,995.0","2,812.0","3,139.0","3,036.0","3,224.0","3,134.0","3,503.0","3,095.0","3,340.0","2,957.0","3,474.0","3,153.0","3,577.0","3,244.0","3,723.0","3,379.0","3,785.0","3,345.0","3,937.0","3,505.0","3,899.0","3,413.0","4,192.0","3,686.0","4,133.0","3,902.0","4,231.0","3,428.0","3,866.0","3,067.0","4,053.0","3,506.0","3,823.0","3,372.0","3,914.0","3,727.0","4,151.0","3,846.0","4,250.0","4,219.0","4,557.0","4,112.0","4,628.0","4,435.0","4,637.0","4,241.0","4,650.0","4,492.0","4,698.0","4,692.0","4,886.0","4,666.0","4,748.0","4,346.0","4,748.0","4,611.0","4,778.0","4,704.0","4,997.0","5,017.0","5,081.0","4,786.0","5,112.0","5,123.0","5,043.0","4,710.0","5,527.0","5,812.0","6,028.0","5,002.0","5,502.0","5,514.0","5,356.0","5,265.0","5,665.0","6,012.0","5,781.0","5,671.0","6,469.0","6,538.0","6,600.0","6,269.0","6,346.0","6,480.0","6,589.0","6,454.0","8,575.0","9,335.0","9,299.0","12,212.0","13,243.0","12,267.0","12,207.0","10,573.0","10,281.0","9,936.0","10,166.0","9,825.0","11,358.0","11,542.0","11,659.0","11,458.0","11,874.0","12,065.0","11,903.0","11,439.0","11,447.0","11,799.0","11,367.0","10,896.0","10,688.0","11,151.0","10,963.0","10,898.0","11,196.0","11,886.0","11,960.0","12,229.0","12,598.0","12,440.0","12,560.0","13,137.0","12,409.0","11,805.0","12,390.0","12,602.0","12,665.0","12,091.0","13,554.0","14,550.0","15,279.0","15,895.0","16,041.0","15,448.0","15,295.0","16,037.0","16,515.0","15,194.0","16,016.0","16,832.0","18,316.0","18,932.0","19,465.0","20,132.0","20,457.0","18,478.0","18,669.0","19,376.0","19,030.0","18,009.0","17,766.0","18,224.0","18,855.0","17,471.0","19,752.0","20,430.0","20,184.0","19,300.0","20,035.0","20,667.0","20,696.0","19,709.0","20,272.0","21,497.0","21,954.0","20,974.0","21,946.0","22,426.0","21,905.0","21,070.0","21,450.0","21,444.0","21,320.0","20,654.0","21,525.0","22,424.0","22,202.0","21,913.0","22,024.0","22,545.0","22,815.0","23,375.0","23,468.0","23,735.0","23,724.0","23,948.0","25,274.0","25,056.0","24,498.0","24,833.0","24,893.0","24,893.0","24,779.0","23,652.0","23,561.0","23,840.0","23,627.0","23,173.0","23,265.0","22,831.0","22,697.0"
