"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,254,059.0","13,312,163.0","12,987,375.0"
"20","2","Less: Exports of goods and services","A020RX1","37,956.0","31,371.0","26,072.0","20,429.0","20,555.0","22,848.0","24,090.0","25,308.0","31,876.0","31,533.0","33,288.0","37,867.0","38,826.0","25,645.0","21,616.0","23,217.0","32,529.0","70,259.0","80,103.0","63,092.0","62,505.0","54,730.0","67,066.0","64,165.0","59,867.0","62,764.0","69,466.0","80,934.0","87,990.0","76,096.0","83,940.0","98,511.0","99,034.0","104,030.0","111,469.0","124,593.0","128,085.0","136,961.0","140,118.0","151,130.0","158,439.0","175,471.0","178,449.0","191,842.0","228,006.0","246,026.0","244,469.0","255,144.0","261,284.0","288,833.0","317,463.0","351,657.0","355,979.0","328,777.0","320,299.0","346,438.0","356,959.0","384,357.0","425,700.0","493,883.0","550,645.0","600,181.0","640,027.0","683,980.0","706,389.0","767,987.0","845,737.0","915,967.0","1,025,126.0","1,048,517.0","1,094,277.0","1,188,310.0","1,121,643.0","1,099,176.0","1,116,790.0","1,222,814.0","1,305,057.0","1,422,020.0","1,546,124.0","1,629,262.0","1,472,404.0"
"21","3","Plus: Imports of goods and services","A021RX1","49,123.0","42,730.0","37,273.0","30,926.0","32,218.0","32,916.0","43,126.0","42,630.0","47,971.0","37,286.0","39,157.0","40,105.0","49,312.0","44,773.0","56,455.0","59,084.0","62,824.0","52,069.0","49,439.0","57,687.0","55,647.0","65,773.0","68,357.0","74,373.0","81,363.0","77,352.0","86,672.0","93,708.0","97,643.0","102,282.0","113,041.0","114,545.0","113,776.0","126,689.0","130,104.0","137,017.0","151,601.0","174,130.0","186,817.0","214,657.0","226,889.0","236,567.0","249,193.0","277,236.0","290,101.0","283,528.0","252,017.0","301,295.0","334,232.0","363,191.0","369,222.0","344,705.0","353,762.0","349,315.0","393,385.0","489,144.0","520,887.0","565,399.0","598,855.0","622,388.0","649,797.0","673,049.0","672,049.0","719,168.0","781,355.0","874,566.0","944,539.0","1,026,688.0","1,164,967.0","1,301,126.0","1,450,891.0","1,639,889.0","1,593,762.0","1,647,993.0","1,720,728.0","1,910,804.0","2,027,790.0","2,151,204.0","2,193,827.0","2,123,523.0","1,827,971.0"
"22","4","Equals: Gross domestic purchases","A712RX1","994,957.0","911,840.0","854,626.0","744,511.0","735,690.0","813,387.0","892,924.0","1,006,906.0","1,053,777.0","1,008,095.0","1,089,600.0","1,180,215.0","1,392,696.0","1,669,141.0","1,961,740.0","2,118,285.0","2,080,609.0","1,775,219.0","1,738,936.0","1,858,577.0","1,847,361.0","2,036,343.0","2,177,493.0","2,274,429.0","2,395,533.0","2,370,788.0","2,542,690.0","2,583,611.0","2,629,531.0","2,629,279.0","2,817,971.0","2,867,553.0","2,933,290.0","3,118,962.0","3,248,762.0","3,426,320.0","3,659,156.0","3,910,234.0","4,018,199.0","4,225,642.0","4,358,639.0","4,351,976.0","4,506,864.0","4,755,765.0","4,991,186.0","4,926,208.0","4,872,035.0","5,189,162.0","5,464,380.0","5,763,201.0","5,903,284.0","5,789,622.0","5,944,665.0","5,865,360.0","6,208,271.0","6,745,366.0","7,045,325.0","7,303,310.0","7,518,431.0","7,758,750.0","7,990,934.0","8,104,610.0","8,034,575.0","8,309,624.0","8,592,907.0","8,976,049.0","9,189,037.0","9,542,040.0","9,992,756.0","10,539,933.0","11,141,135.0","11,681,390.0","11,825,692.0","12,107,655.0","12,449,186.0","12,952,496.0","13,361,108.0","13,705,691.0","13,901,641.0","13,801,162.0","13,336,244.0"
"23","5","Less: Change in private inventories","A014RX1","10,307.0","-4,559.0","-10,581.0","-23,829.0","-12,205.0","-5,840.0","7,570.0","7,761.0","12,968.0","-3,050.0","1,553.0","16,121.0","26,393.0","10,283.0","-3,611.0","-4,289.0","-8,052.0","25,427.0","-3,563.0","19,328.0","-10,198.0","19,277.0","26,746.0","10,758.0","6,706.0","-6,426.0","15,952.0","11,917.0","2,929.0","-744.0","13,927.0","11,832.0","10,615.0","21,888.0","20,252.0","17,260.0","32,900.0","47,142.0","33,884.0","30,789.0","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","19,469.0","-25,889.0","-108,238.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","1,006,033.0","939,953.0","886,643.0","787,198.0","764,039.0","834,404.0","893,449.0","1,008,992.0","1,046,375.0","1,021,896.0","1,097,453.0","1,166,730.0","1,364,886.0","1,669,402.0","1,988,710.0","2,147,856.0","2,116,184.0","1,748,235.0","1,766,062.0","1,841,016.0","1,884,203.0","2,021,054.0","2,148,131.0","2,276,454.0","2,405,183.0","2,402,225.0","2,538,722.0","2,587,354.0","2,647,863.0","2,652,391.0","2,819,803.0","2,873,504.0","2,941,309.0","3,111,474.0","3,244,707.0","3,427,830.0","3,639,448.0","3,870,949.0","3,998,953.0","4,211,802.0","4,345,679.0","4,370,852.0","4,501,406.0","4,749,159.0","4,962,211.0","4,910,288.0","4,918,881.0","5,167,901.0","5,431,522.0","5,725,164.0","5,889,144.0","5,828,171.0","5,916,709.0","5,916,862.0","6,244,582.0","6,663,996.0","7,035,262.0","7,315,866.0","7,501,625.0","7,752,752.0","7,972,490.0","8,103,198.0","8,053,836.0","8,306,516.0","8,584,490.0","8,914,493.0","9,168,320.0","9,520,449.0","9,920,875.0","10,473,466.0","11,077,043.0","11,623,068.0","11,870,837.0","12,098,424.0","12,433,433.0","12,886,825.0","13,311,156.0","13,646,542.0","13,881,881.0","13,829,766.0","13,458,844.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","987,615.0","919,997.0","865,913.0","767,238.0","743,853.0","814,691.0","865,279.0","979,722.0","1,020,633.0","1,006,079.0","1,080,469.0","1,153,748.0","1,338,959.0","1,618,096.0","1,908,674.0","2,063,208.0","2,046,403.0","1,766,215.0","1,803,227.0","1,837,224.0","1,880,905.0","1,990,749.0","2,132,246.0","2,245,727.0","2,356,436.0","2,363,040.0","2,496,176.0","2,553,265.0","2,618,938.0","2,599,995.0","2,763,968.0","2,836,631.0","2,904,610.0","3,064,878.0","3,202,599.0","3,393,729.0","3,590,663.0","3,806,614.0","3,923,312.0","4,119,355.0","4,248,593.0","4,287,919.0","4,407,376.0","4,640,633.0","4,888,160.0","4,874,142.0","4,926,300.0","5,120,246.0","5,344,898.0","5,639,740.0","5,841,208.0","5,878,673.0","5,959,520.0","5,923,299.0","6,172,921.0","6,495,603.0","6,838,948.0","7,098,737.0","7,296,167.0","7,607,817.0","7,867,499.0","8,032,667.0","8,034,769.0","8,284,284.0","8,515,250.0","8,809,201.0","9,073,181.0","9,412,471.0","9,782,604.0","10,217,068.0","10,715,681.0","11,167,513.0","11,391,739.0","11,543,517.0","11,824,751.0","12,198,177.0","12,588,423.0","12,917,095.0","13,234,346.0","13,341,170.0","13,110,660.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
