"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Personal income","A065RC1","187,500.0","185,540.0","193,557.0","196,879.0","202,145.0","208,145.0","214,170.0","214,286.0","208,164.0","206,790.0","206,109.0","206,836.0","221,472.0","222,304.0","231,137.0","240,515.0","249,477.0","256,778.0","259,995.0","265,343.0","267,404.0","271,259.0","278,084.0","284,117.0","288,831.0","292,780.0","292,895.0","292,133.0","292,204.0","291,782.0","293,882.0","299,319.0","305,141.0","313,040.0","320,403.0","325,411.0","330,761.0","336,568.0","341,452.0","349,091.0","353,148.0","357,647.0","361,976.0","361,407.0","361,978.0","364,228.0","372,467.0","377,011.0","383,393.0","391,969.0","394,141.0","399,861.0","406,371.0","410,977.0","413,182.0","414,497.0","418,628.0","424,617.0","431,617.0","440,376.0","447,087.0","454,462.0","459,143.0","464,967.0","470,088.0","474,845.0","481,884.0","491,189.0","500,595.0","509,763.0","519,134.0","527,794.0","538,365.0","547,572.0","561,508.0","574,556.0","586,708.0","596,334.0","609,458.0","622,621.0","633,148.0","640,191.0","653,827.0","665,115.0","684,347.0","703,807.0","721,683.0","736,888.0","751,049.0","769,051.0","789,360.0","803,854.0","814,418.0","835,794.0","848,012.0","856,099.0","875,154.0","898,155.0","911,140.0","927,928.0","956,144.0","972,485.0","998,403.0","1,043,503.0","1,064,410.0","1,094,794.0","1,122,258.0","1,160,714.0","1,177,807.0","1,204,090.0","1,241,944.0","1,267,140.0","1,283,895.0","1,314,024.0","1,351,666.0","1,389,859.0","1,425,400.0","1,453,363.0","1,491,446.0","1,528,415.0","1,559,887.0","1,606,133.0","1,651,769.0","1,712,225.0","1,750,300.0","1,811,071.0","1,865,393.0","1,920,142.0","1,976,678.0","2,019,681.0","2,086,372.0","2,155,376.0","2,215,952.0","2,242,877.0","2,319,031.0","2,428,204.0","2,487,641.0","2,535,677.0","2,635,340.0","2,670,446.0","2,702,330.0","2,748,548.0","2,787,140.0","2,829,248.0","2,864,608.0","2,914,930.0","2,973,399.0","3,055,749.0","3,150,185.0","3,235,081.0","3,316,012.0","3,374,195.0","3,434,946.0","3,473,634.0","3,507,036.0","3,571,020.0","3,628,642.0","3,670,203.0","3,721,280.0","3,763,932.0","3,823,176.0","3,876,999.0","3,949,921.0","4,047,376.0","4,117,113.0","4,186,763.0","4,269,945.0","4,351,142.0","4,476,526.0","4,525,868.0","4,578,213.0","4,649,277.0","4,744,544.0","4,829,309.0","4,892,624.0","4,920,414.0","4,940,971.0","5,005,802.0","5,053,105.0","5,126,120.0","5,220,675.0","5,306,796.0","5,370,658.0","5,490,914.0","5,420,484.0","5,549,724.0","5,593,146.0","5,709,238.0","5,706,721.0","5,844,104.0","5,921,817.0","6,026,613.0","6,107,206.0","6,161,334.0","6,230,379.0","6,304,705.0","6,427,311.0","6,562,704.0","6,642,010.0","6,734,279.0","6,855,557.0","6,930,432.0","7,041,525.0","7,175,450.0","7,347,693.0","7,479,781.0","7,590,432.0","7,683,596.0","7,760,886.0","7,831,620.0","7,936,182.0","8,114,652.0","8,379,611.0","8,506,573.0","8,644,209.0","8,707,348.0","8,859,008.0","8,881,247.0","8,880,636.0","8,912,282.0","8,978,259.0","9,060,740.0","9,074,586.0","9,126,829.0","9,194,457.0","9,321,052.0","9,418,714.0","9,578,304.0","9,679,787.0","9,847,086.0","9,999,061.0","10,223,052.0","10,238,553.0","10,386,728.0","10,577,480.0","10,740,818.0","11,026,667.0","11,204,025.0","11,336,868.0","11,504,755.0","11,706,913.0","11,823,418.0","11,945,643.0","12,100,317.0","12,142,186.0","12,292,899.0","12,286,607.0","12,233,463.0","11,952,697.0","12,048,805.0","12,005,242.0","12,069,395.0"
"21","2","  Compensation of employees, received","W209RC1","127,183.0","128,690.0","130,034.0","134,290.0","137,772.0","139,440.0","144,647.0","145,837.0","143,942.0","142,204.0","141,027.0","140,451.0","144,570.0","150,626.0","158,986.0","166,822.0","174,756.0","180,667.0","182,959.0","187,024.0","191,335.0","192,658.0","196,602.0","204,141.0","208,044.0","211,421.0","211,622.0","210,091.0","208,111.0","207,701.0","208,252.0","212,560.0","216,929.0","223,117.0","229,138.0","233,597.0","238,033.0","242,637.0","245,743.0","251,550.0","255,321.0","257,012.0","259,668.0","258,147.0","254,588.0","254,215.0","262,178.0","267,208.0","274,489.0","281,639.0","282,288.0","285,544.0","294,039.0","296,887.0","297,632.0","297,086.0","298,023.0","302,206.0","307,199.0","313,788.0","320,446.0","326,368.0","329,157.0","332,610.0","337,502.0","342,392.0","347,419.0","353,556.0","359,997.0","367,363.0","374,558.0","380,767.0","387,316.0","394,125.0","402,312.0","414,273.0","426,712.0","437,791.0","448,970.0","457,154.0","463,254.0","468,994.0","478,656.0","489,673.0","504,485.0","517,605.0","531,388.0","543,785.0","555,894.0","569,773.0","586,572.0","598,207.0","606,127.0","616,282.0","622,533.0","623,939.0","641,550.0","653,503.0","663,454.0","674,806.0","702,559.0","716,165.0","729,910.0","751,902.0","781,623.0","801,094.0","819,868.0","842,536.0","860,703.0","881,932.0","904,577.0","915,704.0","919,371.0","931,654.0","957,614.0","987,535.0","1,022,262.0","1,046,039.0","1,070,707.0","1,097,961.0","1,126,897.0","1,164,325.0","1,196,831.0","1,233,650.0","1,269,616.0","1,317,838.0","1,354,343.0","1,398,941.0","1,443,342.0","1,476,117.0","1,516,360.0","1,558,062.0","1,599,162.0","1,621,330.0","1,652,931.0","1,717,024.0","1,768,856.0","1,801,865.0","1,839,787.0","1,867,911.0","1,891,974.0","1,911,099.0","1,930,775.0","1,944,731.0","1,972,767.0","2,011,801.0","2,052,785.0","2,106,565.0","2,175,789.0","2,225,505.0","2,270,894.0","2,308,714.0","2,353,590.0","2,390,247.0","2,427,928.0","2,476,147.0","2,509,960.0","2,533,315.0","2,569,173.0","2,618,176.0","2,664,473.0","2,706,195.0","2,752,433.0","2,819,459.0","2,869,079.0","2,932,282.0","2,981,024.0","3,034,236.0","3,078,493.0","3,107,817.0","3,144,414.0","3,194,551.0","3,259,012.0","3,317,391.0","3,358,466.0","3,369,952.0","3,384,845.0","3,419,814.0","3,455,277.0","3,493,586.0","3,561,112.0","3,612,651.0","3,656,583.0","3,758,395.0","3,660,118.0","3,775,326.0","3,817,818.0","3,909,334.0","3,870,510.0","3,973,943.0","4,011,750.0","4,067,460.0","4,119,128.0","4,154,974.0","4,200,024.0","4,241,113.0","4,291,893.0","4,360,628.0","4,419,759.0","4,478,586.0","4,557,584.0","4,620,873.0","4,698,170.0","4,797,586.0","4,899,099.0","4,982,713.0","5,066,128.0","5,147,847.0","5,241,262.0","5,292,742.0","5,366,850.0","5,494,295.0","5,692,069.0","5,731,436.0","5,845,823.0","5,886,071.0","5,993,948.0","5,979,921.0","5,965,755.0","5,977,654.0","6,038,415.0","6,101,348.0","6,128,847.0","6,174,652.0","6,244,447.0","6,332,727.0","6,400,609.0","6,492,578.0","6,543,285.0","6,657,882.0","6,781,301.0","6,851,164.0","6,921,107.0","7,003,566.0","7,128,389.0","7,187,110.0","7,373,702.0","7,419,895.0","7,484,092.0","7,625,294.0","7,782,183.0","7,819,706.0","7,869,604.0","7,979,341.0","8,017,534.0","8,032,750.0","8,069,079.0","8,050,335.0","7,805,806.0","7,815,943.0","7,751,449.0","7,740,608.0"
"22","3","    Wage and salary disbursements","A576RC1","119,655.0","121,471.0","123,387.0","127,807.0","131,279.0","133,075.0","138,255.0","139,451.0","136,823.0","134,955.0","133,899.0","133,439.0","137,072.0","142,865.0","150,802.0","158,176.0","165,334.0","170,931.0","173,053.0","176,812.0","181,047.0","182,257.0","186,035.0","193,293.0","196,959.0","200,163.0","200,378.0","198,761.0","196,401.0","195,957.0","196,334.0","200,360.0","204,056.0","209,851.0","215,246.0","219,451.0","223,282.0","227,501.0","229,953.0","235,367.0","238,266.0","239,617.0","241,829.0","240,092.0","236,724.0","236,276.0","243,837.0","248,432.0","254,012.0","260,557.0","260,900.0","263,903.0","270,751.0","273,400.0","273,966.0","273,310.0","273,790.0","277,634.0","282,253.0","288,404.0","293,277.0","298,748.0","301,176.0","304,235.0","307,963.0","312,357.0","316,846.0","322,241.0","328,223.0","334,834.0","341,294.0","346,804.0","352,816.0","358,879.0","366,217.0","377,123.0","385,765.0","395,905.0","406,134.0","413,487.0","418,842.0","423,605.0","432,010.0","441,584.0","454,212.0","465,925.0","478,332.0","489,425.0","499,069.0","511,383.0","526,432.0","536,452.0","542,600.0","551,200.0","556,092.0","556,356.0","570,141.0","580,077.0","588,122.0","597,530.0","619,397.0","630,875.0","642,623.0","662,232.0","683,321.0","700,358.0","716,210.0","735,389.0","748,181.0","765,857.0","784,571.0","792,439.0","791,819.0","800,266.0","821,192.0","845,671.0","871,118.0","889,282.0","908,352.0","929,828.0","949,943.0","980,808.0","1,007,406.0","1,038,075.0","1,064,112.0","1,105,854.0","1,136,622.0","1,174,608.0","1,208,238.0","1,234,909.0","1,268,307.0","1,302,523.0","1,335,035.0","1,351,033.0","1,376,059.0","1,431,721.0","1,469,063.0","1,496,197.0","1,528,479.0","1,551,515.0","1,567,327.0","1,580,898.0","1,596,023.0","1,605,833.0","1,623,090.0","1,656,374.0","1,692,215.0","1,740,153.0","1,785,016.0","1,828,009.0","1,866,770.0","1,898,983.0","1,933,660.0","1,964,284.0","1,996,106.0","2,037,069.0","2,063,537.0","2,081,844.0","2,111,735.0","2,152,227.0","2,193,710.0","2,230,091.0","2,270,355.0","2,330,912.0","2,367,191.0","2,422,168.0","2,462,707.0","2,507,063.0","2,542,001.0","2,563,280.0","2,591,645.0","2,635,281.0","2,686,833.0","2,735,911.0","2,768,624.0","2,773,225.0","2,775,807.0","2,801,615.0","2,826,464.0","2,854,224.0","2,903,449.0","2,942,788.0","2,976,075.0","3,071,853.0","2,962,476.0","3,065,488.0","3,098,337.0","3,180,059.0","3,129,816.0","3,224,603.0","3,258,029.0","3,310,911.0","3,360,585.0","3,395,280.0","3,438,242.0","3,477,984.0","3,525,821.0","3,590,504.0","3,646,525.0","3,702,516.0","3,777,101.0","3,835,270.0","3,903,401.0","3,990,509.0","4,075,891.0","4,145,919.0","4,216,910.0","4,287,767.0","4,370,376.0","4,412,747.0","4,474,309.0","4,582,673.0","4,755,048.0","4,781,932.0","4,874,351.0","4,899,464.0","4,988,117.0","4,961,425.0","4,932,431.0","4,926,837.0","4,963,557.0","5,002,990.0","5,006,293.0","5,016,386.0","5,049,563.0","5,109,864.0","5,159,579.0","5,239,391.0","5,279,397.0","5,385,092.0","5,493,902.0","5,544,377.0","5,584,179.0","5,651,665.0","5,758,339.0","5,809,745.0","5,978,894.0","6,018,598.0","6,075,433.0","6,202,646.0","6,343,565.0","6,372,177.0","6,412,542.0","6,507,254.0","6,532,985.0","6,539,232.0","6,567,664.0","6,543,513.0","6,307,809.0","6,313,147.0","6,249,153.0","6,236,013.0"
