"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0"
"21","2","Farm \1\","B018RX1","-359.0","-4,525.0","-6,781.0","-6,320.0","1,597.0","7,701.0","8,331.0","6,624.0","-1,197.0","-3,041.0","-2,348.0","-911.0","-987.0","-2,463.0","562.0","1,526.0","2,601.0","2,494.0","1,624.0","1,695.0","2,655.0","3,649.0","4,525.0","1,471.0","2,502.0","-192.0","1,750.0","3,758.0","2,126.0","504.0","782.0","-1,484.0","-1,743.0","-2,149.0","-1,977.0","-1,560.0","-2,921.0","-3,439.0","-3,221.0","-3,284.0","-922.0","-163.0","1,784.0","1,057.0","7,590.0","6,933.0","6,188.0","2,519.0","-3,549.0","-5,326.0","-5,391.0","-4,560.0","360.0","1,902.0","3,145.0","1,530.0","2,456.0","2,244.0","2,639.0","2,805.0","2,466.0","792.0","1,404.0","2,219.0","7,546.0","672.0","-1,692.0","-811.0","-3,908.0","-4,253.0","-4,151.0","-3,056.0","910.0","2,863.0","3,098.0","3,165.0","1,099.0","-2,730.0","-1,723.0","-2,259.0","3,361.0","7,586.0","1,430.0","-2,237.0","7,322.0","13,385.0","1,206.0","-5,533.0","3,929.0","4,424.0","-2,462.0","-5,806.0","3,357.0","1,853.0","-4,418.0","-10,322.0","6,633.0","10,730.0","5,809.0","-6,763.0","76.0","6,782.0","1,918.0","-7,113.0","-10,676.0","11,995.0","3,521.0","2,320.0","-5,192.0","941.0","1,727.0","-14,988.0","16,364.0","5,417.0","-1,048.0","2,265.0","98.0","-1,903.0","5,357.0","-9,838.0","-7,007.0","11,260.0","16,261.0","8,422.0","-3,573.0","185.0","11,115.0","526.0","6,648.0","5,301.0","6,966.0","-1,943.0","-2,595.0","-5,892.0","-14,157.0","-6,027.0","10,341.0","10,910.0","14,472.0","4,477.0","6,669.0","6,408.0","12,010.0","4,930.0","-10,386.0","-12,573.0","-37,699.0","-9,043.0","7,379.0","6,435.0","8,111.0","3,344.0","8,351.0","4,805.0","9,104.0","5,868.0","1,729.0","-5,918.0","-4,299.0","-573.0","-9,718.0","-14,482.0","-5,222.0","-6,992.0","-7,613.0","-15,170.0","-11,407.0","-18,256.0","7,774.0","3,597.0","-5,820.0","-5,607.0","1,702.0","-2,610.0","4,424.0","6,661.0","742.0","-461.0","-13,769.0","6,127.0","10,529.0","10,873.0","4,655.0","2,358.0","-6,185.0","-5,341.0","-14,222.0","-4,138.0","19,415.0","21,047.0","10,621.0","3,737.0","-5,867.0","-13,593.0","-26,443.0","-6,232.0","-2,946.0","7,397.0","27,433.0","1,292.0","-10,773.0","8,235.0","10,061.0","7,194.0"
"22","3","Nonfarm","B015RX1","6,560.0","4,171.0","-3,714.0","10,484.0","11,675.0","11,870.0","15,020.0","11,103.0","-366.0","-15,057.0","-606.0","-18,422.0","9,736.0","16,213.0","15,197.0","50,227.0","28,961.0","44,285.0","29,267.0","10,995.0","12,781.0","-10,527.0","11,198.0","16,158.0","10,590.0","14,089.0","5,783.0","-12,330.0","-9,221.0","-10,799.0","-9,069.0","-862.0","13,980.0","20,030.0","17,868.0","22,733.0","20,783.0","16,205.0","13,245.0","12,127.0","5,669.0","6,784.0","7,533.0","-10,196.0","-20,432.0","-18,555.0","-2,453.0","10,596.0","14,939.0","33,776.0","9,640.0","21,111.0","38,966.0","8,962.0","12,106.0","-20,249.0","-11,281.0","4,662.0","20,995.0","16,782.0","28,953.0","19,179.0","21,984.0","11,327.0","18,220.0","17,396.0","23,641.0","16,683.0","21,107.0","20,725.0","23,767.0","21,711.0","40,805.0","26,934.0","30,478.0","23,706.0","46,828.0","50,159.0","43,749.0","59,917.0","48,589.0","14,664.0","29,713.0","33,131.0","19,089.0","33,871.0","25,071.0","27,777.0","32,992.0","26,556.0","38,641.0","25,459.0","-3.0","14,869.0","21,909.0","-2,230.0","31,327.0","20,634.0","25,155.0","5,420.0","11,135.0","30,641.0","38,534.0","26,464.0","42,885.0","38,307.0","19,952.0","60,942.0","39,737.0","39,606.0","11,669.0","64,929.0","-38,336.0","-38,560.0","-4,958.0","-3,670.0","33,215.0","51,827.0","38,909.0","26,481.0","33,004.0","27,787.0","53,802.0","28,077.0","48,907.0","44,220.0","32,341.0","54,115.0","32,984.0","40,376.0","8,238.0","13,415.0","17,442.0","19,334.0","-32,564.0","-5,821.0","44,648.0","1,701.0","42,608.0","23,817.0","-34,262.0","-12,181.0","-5,473.0","-57,532.0","-37,279.0","6,539.0","34,254.0","39,427.0","81,917.0","77,183.0","78,913.0","51,033.0","8,754.0","20,257.0","12,016.0","32,654.0","33,291.0","22,341.0","-5,457.0","-8,480.0","44,514.0","33,107.0","4,084.0","82,547.0","25,072.0","38,042.0","32,569.0","45,892.0","46,591.0","37,596.0","16,904.0","22,291.0","13,326.0","39,941.0","20,340.0","-17,687.0","-18,056.0","-20,601.0","13,061.0","27,091.0","-7,536.0","13,246.0","16,612.0","21,577.0","46,526.0","32,296.0","20,582.0","19,875.0","31,112.0","70,037.0","46,081.0","76,294.0","71,204.0","50,149.0","32,837.0","22,863.0","6,199.0","19,770.0","35,025.0","31,736.0","53,323.0","95,686.0","65,495.0","79,750.0"
"23","4","  Manufacturing","A150RX1","4,672.0","-781.0","2,395.0","821.0","-209.0","8,166.0","7,276.0","2,374.0","3,272.0","-9,189.0","-9,235.0","-7,820.0","2,080.0","3,311.0","2,355.0","20,827.0","14,411.0","33,625.0","34,714.0","14,106.0","18,649.0","-4,043.0","2,665.0","6,251.0","7,608.0","8,790.0","4,447.0","-5,379.0","-11,371.0","-12,561.0","-9,864.0","1,591.0","2,720.0","7,799.0","9,738.0","11,484.0","15,111.0","14,397.0","8,415.0","6,988.0","4,481.0","1,400.0","1,427.0","-11,456.0","-11,961.0","-14,481.0","-2,735.0","5,773.0","5,243.0","13,942.0","3,672.0","10,824.0","13,689.0","3,276.0","8,063.0","-16,086.0","-3,461.0","1,613.0","12,754.0","8,923.0","18,725.0","10,106.0","14,834.0","1,344.0","8,942.0","8,637.0","9,537.0","544.0","9,196.0","2,164.0","10,411.0","20,006.0","12,658.0","10,322.0","19,928.0","12,878.0","24,583.0","26,163.0","33,420.0","29,362.0","32,817.0","13,522.0","15,361.0","14,369.0","6,044.0","13,855.0","18,329.0","9,484.0","15,431.0","8,169.0","13,736.0","12,962.0","-3,763.0","2,036.0","6,445.0","-4,865.0","1,176.0","-3,948.0","-5,181.0","-5,719.0","2,242.0","7,426.0","16,406.0","4,647.0","18,965.0","20,002.0","17,381.0","28,957.0","17,272.0","25,512.0","19,323.0","31,263.0","-1,202.0","-17,397.0","-14,691.0","-167.0","5,441.0","17,968.0","18,685.0","19,816.0","3,506.0","10,395.0","18,121.0","6,035.0","5,829.0","20,580.0","17,007.0","20,750.0","14,398.0","16,188.0","10,883.0","14,695.0","22,492.0","6,488.0","-24,493.0","-2,829.0","15,788.0","-305.0","11,579.0","-6,760.0","-15,317.0","-18,276.0","-9,147.0","-26,167.0","-39,377.0","6,613.0","12,906.0","17,893.0","29,783.0","48,863.0","43,383.0","5,857.0","-10,084.0","-1,217.0","-9,558.0","-7,150.0","-7,893.0","1,397.0","-12,383.0","2,268.0","-67.0","4,768.0","11,473.0","21,018.0","15,100.0","15,692.0","12,121.0","31,653.0","21,190.0","25,016.0","14,752.0","1,557.0","17,933.0","8,473.0","13,017.0","-332.0","-5,522.0","-18,759.0","-5,151.0","-316.0","-10,972.0","-7,418.0","7,959.0","-10,442.0","2,936.0","10,897.0","5,871.0","-3,751.0","11,588.0","13,792.0","11,448.0","16,413.0","23,369.0","16,774.0","13,822.0","7,905.0","18,968.0","-3,739.0","15,475.0","13,874.0","17,606.0","27,432.0","23,789.0","30,590.0"
"24","5","    Durable goods","C624RX1","-1,672.0","1,795.0","3,545.0","-2,299.0","-4,235.0","-100.0","894.0","363.0","1,569.0","-6,901.0","-7,947.0","-5,914.0","-237.0","4,743.0","3,578.0","11,236.0","9,893.0","20,354.0","23,732.0","10,190.0","12,222.0","-404.0","1,817.0","5,340.0","6,545.0","7,060.0","4,635.0","-4,146.0","-8,770.0","-11,762.0","-6,997.0","597.0","871.0","4,439.0","5,180.0","6,500.0","10,716.0","8,796.0","2,351.0","5,570.0","2,878.0","2,306.0","2,544.0","-7,420.0","-10,446.0","-10,272.0","-1,450.0","1,988.0","3,725.0","9,112.0","133.0","5,399.0","11,058.0","-903.0","3,695.0","-11,855.0","-7,721.0","-2,321.0","8,841.0","6,059.0","12,875.0","4,354.0","8,092.0","-990.0","6,086.0","6,567.0","5,386.0","-2,404.0","5,470.0","3,378.0","7,912.0","12,297.0","10,245.0","9,307.0","14,849.0","5,903.0","15,870.0","15,503.0","27,144.0","19,826.0","19,537.0","9,017.0","10,541.0","9,456.0","3,775.0","6,117.0","9,320.0","4,076.0","11,142.0","5,198.0","6,290.0","12,032.0","-4,228.0","-3,050.0","7,182.0","-5,594.0","-799.0","-6,318.0","-4,946.0","-8,424.0","1,557.0","2,693.0","11,533.0","7,122.0","13,803.0","15,849.0","22,517.0","20,769.0","9,524.0","10,118.0","14,483.0","18,891.0","833.0","-7,653.0","-15,258.0","-12,343.0","-747.0","8,031.0","9,683.0","15,873.0","2,489.0","1,503.0","8,364.0","4,988.0","8,192.0","15,819.0","12,927.0","14,878.0","16,087.0","15,596.0","7,753.0","14,485.0","8,387.0","2,594.0","-12,583.0","1,600.0","8,655.0","-3,120.0","9,613.0","-7,619.0","-15,417.0","-4,652.0","-9,541.0","-21,960.0","-28,311.0","3,410.0","1,595.0","14,316.0","17,603.0","29,809.0","30,427.0","12,609.0","-4,839.0","-540.0","-5,429.0","-12,816.0","-5,098.0","-3,007.0","-7,468.0","-5,591.0","-1,997.0","4,350.0","6,521.0","12,410.0","8,347.0","9,421.0","9,426.0","22,274.0","17,936.0","13,129.0","7,264.0","3,227.0","9,284.0","4,887.0","6,570.0","-1,014.0","-9,623.0","-15,085.0","-5,478.0","-7,803.0","-11,240.0","-7,678.0","-2,031.0","-11,230.0","924.0","6,299.0","6,908.0","1,019.0","8,177.0","10,999.0","6,476.0","11,126.0","12,717.0","9,428.0","11,711.0","10,161.0","16,064.0","2,260.0","13,153.0","7,649.0","9,391.0","17,461.0","16,202.0","18,951.0"
"25","6","    Nondurable goods","C625RX1","6,052.0","-2,426.0","-987.0","2,962.0","3,833.0","8,213.0","6,551.0","2,208.0","1,725.0","-2,208.0","-1,099.0","-1,832.0","2,511.0","-1,741.0","-1,428.0","9,837.0","4,486.0","13,474.0","10,888.0","3,732.0","6,371.0","-3,934.0","818.0","648.0","695.0","1,359.0","-626.0","-1,025.0","-2,134.0","165.0","-2,580.0","1,110.0","2,044.0","3,414.0","4,725.0","5,054.0","3,684.0","5,436.0","6,992.0","828.0","1,481.0","-1,476.0","-1,773.0","-3,743.0","-117.0","-3,456.0","-1,317.0","4,353.0","1,218.0","4,361.0","4,389.0","5,781.0","1,223.0","5,409.0","4,778.0","-3,081.0","6,777.0","5,353.0","3,252.0","2,458.0","4,940.0","6,386.0","6,941.0","3,091.0","2,454.0","1,388.0","4,194.0","4,114.0","3,654.0","-2,146.0","1,642.0","7,353.0","1,090.0","-478.0","3,590.0","7,637.0","7,950.0","10,453.0","2,817.0","8,239.0","12,977.0","3,946.0","4,048.0","4,357.0","2,129.0","8,606.0","9,578.0","6,056.0","3,212.0","2,733.0","8,174.0","-1,184.0","1,435.0","7,084.0","-2,388.0","2,082.0","2,699.0","4,321.0","742.0","5,280.0","541.0","5,513.0","3,832.0","-4,595.0","3,803.0","2,237.0","-10,135.0","6,640.0","7,862.0","16,857.0","3,735.0","12,065.0","-2,513.0","-10,500.0","2,627.0","15,959.0","7,485.0","10,713.0","9,365.0","2,398.0","865.0","10,423.0","10,488.0","508.0","-4,101.0","3,295.0","2,893.0","4,730.0","-4,677.0","-1,787.0","2,626.0","-1,854.0","15,578.0","4,196.0","-12,380.0","-5,434.0","7,229.0","3,648.0","1,082.0","2,049.0","2,301.0","-15,658.0","1,883.0","-1,702.0","-8,893.0","3,340.0","13,524.0","2,010.0","11,977.0","18,344.0","10,722.0","-10,587.0","-5,667.0","-764.0","-4,169.0","9,456.0","-2,640.0","6,188.0","-4,856.0","11,220.0","2,851.0","-321.0","4,964.0","8,437.0","6,876.0","6,071.0","1,630.0","7,620.0","877.0","12,383.0","7,981.0","-2,584.0","9,017.0","3,568.0","6,763.0","944.0","6,230.0","-2,178.0","1,157.0","10,116.0","2,058.0","1,470.0","12,196.0","2,531.0","2,255.0","4,574.0","-2,196.0","-5,809.0","2,922.0","1,812.0","5,019.0","4,818.0","10,769.0","7,329.0","1,219.0","-3,491.0","1,909.0","-6,825.0","1,558.0","6,302.0","8,359.0","9,595.0","7,049.0","11,363.0"
