"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0","996,303.0","1,004,458.0","1,017,111.0","1,033,062.0","1,050,485.0","1,052,683.0","1,098,057.0","1,118,761.0","1,139,054.0","1,151,391.0","1,190,135.0","1,225,551.0","1,249,270.0","1,286,594.0","1,335,099.0","1,371,457.0","1,390,704.0","1,431,799.0","1,446,510.0","1,484,843.0","1,513,657.0","1,552,770.0","1,569,433.0","1,604,987.0","1,662,447.0","1,713,922.0","1,771,909.0","1,804,236.0","1,837,695.0","1,884,494.0","1,938,497.0","2,005,225.0","2,065,967.0","2,110,825.0","2,149,060.0","2,274,711.0","2,335,227.0","2,416,041.0","2,463,312.0","2,526,442.0","2,599,738.0","2,659,400.0","2,724,074.0","2,728,016.0","2,785,185.0","2,915,301.0","3,051,364.0","3,084,265.0","3,177,026.0","3,194,666.0","3,184,919.0","3,240,946.0","3,274,375.0","3,312,525.0","3,380,965.0","3,482,236.0","3,587,097.0","3,688,132.0","3,807,382.0","3,906,289.0","3,975,958.0","4,033,952.0","4,117,192.0","4,175,669.0","4,258,334.0","4,318,713.0","4,382,424.0","4,423,249.0","4,491,309.0","4,543,278.0","4,611,083.0","4,686,723.0","4,764,507.0","4,883,108.0","4,948,620.0","5,059,259.0","5,142,815.0","5,251,009.0","5,360,331.0","5,453,589.0","5,532,936.0","5,581,742.0","5,708,138.0","5,797,365.0","5,850,627.0","5,845,963.0","5,880,188.0","5,962,021.0","6,033,672.0","6,092,515.0","6,190,737.0","6,295,184.0","6,389,694.0","6,493,603.0","6,544,480.0","6,622,739.0","6,688,323.0","6,813,828.0","6,916,330.0","7,044,270.0","7,131,819.0","7,248,224.0","7,307,695.0","7,355,842.0","7,452,531.0","7,542,544.0","7,638,171.0","7,799,958.0","7,892,709.0","8,022,982.0","8,136,986.0","8,276,811.0","8,409,920.0","8,505,736.0","8,600,586.0","8,698,644.0","8,847,204.0","9,027,529.0","9,148,575.0","9,252,553.0","9,405,096.0","9,607,728.0","9,709,539.0","9,949,120.0","10,017,453.0","10,129,805.0","10,165,076.0","10,301,260.0","10,305,200.0","10,373,132.0","10,498,713.0","10,601,894.0","10,701,703.0","10,766,937.0","10,888,367.0","11,008,081.0","11,255,652.0","11,416,468.0","11,597,165.0","11,778,373.0","11,950,545.0","12,144,925.0","12,379,472.0","12,516,805.0","12,741,596.0","12,915,622.0","13,183,457.0","13,347,829.0","13,452,875.0","13,611,533.0","13,795,566.0","13,997,222.0","14,179,870.0","14,337,863.0","14,373,859.0","14,497,763.0","14,546,708.0","14,347,334.0","14,177,958.0","14,151,155.0","14,242,136.0","14,453,795.0"
"21","2","Personal consumption expenditures","DPCERC1","156,297.0","160,168.0","163,677.0","167,809.0","170,514.0","174,288.0","177,222.0","178,080.0","176,987.0","178,606.0","177,971.0","180,420.0","183,095.0","186,987.0","200,693.0","198,130.0","209,400.0","205,136.0","207,806.0","211,782.0","213,145.0","217,280.0","219,771.0","227,914.0","231,521.0","233,287.0","234,021.0","233,480.0","235,518.0","238,268.0","240,707.0","245,517.0","251,844.0","256,928.0","261,135.0","265,147.0","266,681.0","269,374.0","272,625.0","278,003.0","282,441.0","284,736.0","289,321.0","290,958.0","290,523.0","293,436.0","298,469.0","302,318.0","310,058.0","316,078.0","321,282.0","323,395.0","326,935.0","332,806.0","332,755.0","334,679.0","335,206.0","340,158.0","343,055.0","350,322.0","355,603.0","361,241.0","365,111.0","371,385.0","374,950.0","379,079.0","386,069.0","390,739.0","400,372.0","408,350.0","417,252.0","419,833.0","430,533.0","437,468.0","446,644.0","460,600.0","471,036.0","476,137.0","485,290.0","491,099.0","495,416.0","504,550.0","511,812.0","519,352.0","537,343.0","551,128.0","567,306.0","576,241.0","588,443.0","599,810.0","610,129.0","622,128.0","633,204.0","643,146.0","655,083.0","661,787.0","680,809.0","694,862.0","707,279.0","723,502.0","740,875.0","759,406.0","777,934.0","802,711.0","827,303.0","842,909.0","861,353.0","876,472.0","894,660.0","923,204.0","952,002.0","961,838.0","988,078.0","1,016,845.0","1,050,630.0","1,079,591.0","1,113,375.0","1,133,042.0","1,162,427.0","1,196,170.0","1,231,661.0","1,259,667.0","1,290,867.0","1,329,097.0","1,359,078.0","1,416,706.0","1,447,739.0","1,486,962.0","1,522,584.0","1,563,196.0","1,617,680.0","1,661,199.0","1,707,955.0","1,710,038.0","1,768,722.0","1,836,591.0","1,892,399.0","1,923,951.0","1,963,424.0","1,978,219.0","2,016,169.0","2,042,679.0","2,090,696.0","2,152,427.0","2,192,241.0","2,256,377.0","2,326,528.0","2,379,161.0","2,425,486.0","2,484,127.0","2,522,758.0","2,571,970.0","2,643,442.0","2,687,420.0","2,755,851.0","2,783,735.0","2,827,237.0","2,859,187.0","2,930,635.0","2,969,914.0","3,004,750.0","3,071,877.0","3,138,264.0","3,172,952.0","3,253,507.0","3,313,020.0","3,380,394.0","3,453,317.0","3,507,724.0","3,569,989.0","3,626,753.0","3,673,508.0","3,758,718.0","3,811,849.0","3,875,207.0","3,896,024.0","3,909,742.0","3,963,292.0","4,008,695.0","4,038,575.0","4,140,147.0","4,193,515.0","4,267,652.0","4,346,246.0","4,384,909.0","4,452,115.0","4,516,277.0","4,581,056.0","4,650,404.0","4,709,848.0","4,786,316.0","4,856,664.0","4,888,650.0","4,957,494.0","5,022,885.0","5,080,087.0","5,156,543.0","5,248,780.0","5,304,411.0","5,384,689.0","5,467,062.0","5,503,981.0","5,613,341.0","5,698,114.0","5,757,518.0","5,870,215.0","5,967,995.0","6,078,213.0","6,157,445.0","6,289,967.0","6,398,875.0","6,524,861.0","6,682,986.0","6,775,651.0","6,881,730.0","6,981,120.0","7,058,139.0","7,118,678.0","7,151,248.0","7,267,166.0","7,308,976.0","7,403,386.0","7,491,203.0","7,553,191.0","7,646,893.0","7,723,836.0","7,882,490.0","7,962,831.0","8,105,326.0","8,209,373.0","8,330,684.0","8,494,915.0","8,609,637.0","8,747,203.0","8,908,833.0","9,010,315.0","9,148,209.0","9,266,611.0","9,391,773.0","9,484,070.0","9,658,459.0","9,762,519.0","9,865,560.0","10,019,218.0","10,095,079.0","10,194,711.0","10,220,068.0","10,009,814.0","9,987,653.0","9,999,329.0","10,132,872.0","10,236,383.0"
"22","3","  Goods","DGDSRC1","95,593.0","98,250.0","100,418.0","103,453.0","105,094.0","107,188.0","108,743.0","108,656.0","107,167.0","108,283.0","107,569.0","109,305.0","110,800.0","112,588.0","123,988.0","119,943.0","127,605.0","122,182.0","123,363.0","125,844.0","125,538.0","127,606.0","127,941.0","134,054.0","135,702.0","135,575.0","134,420.0","133,641.0","134,173.0","134,969.0","135,430.0","138,495.0","142,939.0","146,831.0","149,363.0","150,460.0","150,215.0","151,111.0","152,116.0","155,173.0","158,013.0","158,648.0","161,228.0","160,519.0","159,258.0","159,819.0","162,423.0","164,772.0","169,723.0","172,618.0","174,526.0","173,564.0","175,059.0","178,398.0","177,504.0","177,103.0","175,643.0","177,565.0","179,178.0","182,848.0","185,535.0","187,793.0","189,528.0","193,023.0","195,046.0","196,687.0","199,869.0","201,017.0","206,648.0","210,932.0","216,253.0","215,176.0","222,675.0","225,584.0","230,768.0","239,672.0","246,405.0","246,956.0","252,094.0","253,022.0","253,480.0","258,504.0","260,475.0","263,505.0","274,392.0","280,854.0","290,386.0","292,834.0","298,845.0","302,664.0","306,617.0","310,588.0","314,093.0","317,558.0","321,724.0","321,802.0","333,881.0","339,822.0","343,865.0","350,898.0","357,742.0","368,369.0","377,676.0","391,474.0","407,267.0","412,682.0","420,716.0","425,878.0","435,503.0","448,598.0","463,992.0","458,056.0","467,992.0","481,542.0","502,751.0","513,052.0","530,733.0","538,969.0","550,451.0","565,061.0","580,396.0","592,927.0","603,898.0","624,307.0","629,245.0","661,000.0","672,364.0","691,665.0","707,868.0","722,167.0","753,280.0","768,437.0","792,001.0","777,829.0","801,864.0","827,481.0","860,091.0","863,785.0","881,052.0","872,542.0","886,290.0","887,949.0","901,827.0","921,095.0","925,912.0","962,633.0","990,799.0","1,015,791.0","1,037,897.0","1,063,642.0","1,066,643.0","1,086,621.0","1,110,395.0","1,126,011.0","1,156,935.0","1,157,099.0","1,170,880.0","1,174,747.0","1,216,749.0","1,220,140.0","1,215,880.0","1,251,383.0","1,281,198.0","1,276,730.0","1,308,828.0","1,326,763.0","1,341,167.0","1,372,484.0","1,388,977.0","1,421,091.0","1,441,929.0","1,443,225.0","1,489,564.0","1,479,261.0","1,496,676.0","1,499,702.0","1,485,838.0","1,497,013.0","1,508,728.0","1,498,153.0","1,533,847.0","1,548,207.0","1,573,142.0","1,597,875.0","1,606,982.0","1,634,170.0","1,649,165.0","1,679,070.0","1,705,669.0","1,726,816.0","1,758,889.0","1,794,840.0","1,788,099.0","1,803,889.0","1,826,231.0","1,843,910.0","1,871,010.0","1,915,884.0","1,925,867.0","1,957,924.0","1,986,709.0","1,974,514.0","2,020,482.0","2,045,357.0","2,045,218.0","2,090,573.0","2,121,783.0","2,182,510.0","2,207,106.0","2,275,625.0","2,314,431.0","2,362,808.0","2,417,876.0","2,442,740.0","2,475,537.0","2,500,382.0","2,506,786.0","2,518,367.0","2,523,993.0","2,586,881.0","2,569,558.0","2,599,243.0","2,631,974.0","2,639,052.0","2,675,105.0","2,682,151.0","2,769,848.0","2,782,517.0","2,835,012.0","2,862,780.0","2,899,404.0","2,971,805.0","2,997,359.0","3,047,262.0","3,124,454.0","3,126,584.0","3,180,830.0","3,206,493.0","3,250,493.0","3,249,080.0","3,306,289.0","3,338,203.0","3,366,561.0","3,448,924.0","3,447,197.0","3,474,878.0","3,462,997.0","3,227,527.0","3,197,659.0","3,193,763.0","3,292,307.0","3,337,086.0"
