"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,143.0","11,867,753.0","12,638,381.0","13,398,917.0","14,077,628.0","14,441,415.0","14,256,272.0"
"20","2","Business \1\","A195RC1","89,439.0","77,331.0","63,382.0","46,998.0","45,122.0","53,757.0","60,579.0","69,368.0","77,326.0","70,722.0","76,584.0","85,322.0","108,075.0","135,158.0","157,879.0","168,767.0","166,939.0","177,664.0","203,060.0","227,228.0","222,927.0","247,340.0","283,547.0","295,726.0","312,559.0","310,128.0","339,541.0","356,333.0","373,981.0","373,837.0","407,666.0","419,909.0","431,437.0","463,923.0","488,012.0","524,867.0","570,673.0","624,304.0","653,641.0","713,500.0","769,106.0","802,169.0","868,260.0","957,127.0","1,077,360.0","1,164,509.0","1,265,751.0","1,420,671.0","1,590,004.0","1,809,429.0","2,028,468.0","2,186,104.0","2,453,990.0","2,514,893.0","2,741,087.0","3,065,462.0","3,283,938.0","3,461,542.0","3,661,989.0","3,940,150.0","4,235,739.0","4,453,893.0","4,558,561.0","4,829,243.0","5,084,104.0","5,425,241.0","5,677,831.0","6,030,170.0","6,442,800.0","6,810,840.0","7,249,004.0","7,715,528.0","7,913,630.0","8,132,835.0","8,502,750.0","9,084,623.0","9,695,485.0","10,284,115.0","10,788,992.0","10,953,112.0","10,666,087.0"
"21","3","  Nonfarm \2\","A358RC1","80,504.0","70,375.0","57,715.0","43,049.0","41,011.0","49,594.0","54,147.0","63,517.0","69,668.0","64,766.0","70,876.0","79,463.0","99,757.0","122,775.0","143,267.0","154,192.0","151,790.0","159,822.0","184,001.0","205,129.0","205,342.0","228,615.0","261,887.0","274,938.0","293,886.0","291,932.0","322,271.0","339,264.0","357,062.0","354,750.0","390,351.0","401,739.0","413,104.0","445,513.0","469,518.0","507,527.0","550,733.0","603,479.0","633,521.0","693,003.0","746,281.0","778,484.0","842,889.0","927,477.0","1,030,598.0","1,120,264.0","1,220,126.0","1,377,650.0","1,546,471.0","1,758,703.0","1,968,365.0","2,134,736.0","2,389,038.0","2,454,481.0","2,696,153.0","3,001,311.0","3,220,511.0","3,402,050.0","3,600,517.0","3,879,410.0","4,161,970.0","4,376,635.0","4,487,956.0","4,748,851.0","5,012,743.0","5,341,342.0","5,608,689.0","5,936,891.0","6,354,851.0","6,731,623.0","7,177,815.0","7,641,911.0","7,837,416.0","8,060,531.0","8,410,338.0","8,966,369.0","9,593,467.0","10,191,065.0","10,672,835.0","10,821,036.0","10,560,244.0"
"22","4","  Farm","B359RC1","8,935.0","6,956.0","5,667.0","3,949.0","4,111.0","4,163.0","6,432.0","5,851.0","7,658.0","5,956.0","5,708.0","5,859.0","8,318.0","12,383.0","14,612.0","14,575.0","15,149.0","17,842.0","19,059.0","22,099.0","17,585.0","18,725.0","21,660.0","20,788.0","18,673.0","18,196.0","17,270.0","17,069.0","16,919.0","19,087.0","17,315.0","18,170.0","18,333.0","18,410.0","18,494.0","17,340.0","19,940.0","20,825.0","20,120.0","20,497.0","22,825.0","23,685.0","25,371.0","29,650.0","46,762.0","44,245.0","45,625.0","43,021.0","43,533.0","50,726.0","60,103.0","51,368.0","64,952.0","60,412.0","44,934.0","64,151.0","63,427.0","59,492.0","61,472.0","60,740.0","73,769.0","77,258.0","70,605.0","80,392.0","71,361.0","83,899.0","69,142.0","93,279.0","87,949.0","79,217.0","71,189.0","73,617.0","76,214.0","72,304.0","92,412.0","118,254.0","102,018.0","93,050.0","116,157.0","132,076.0","105,843.0"
"23","5","Households and institutions","A193RC1","8,978.0","8,492.0","7,644.0","6,555.0","5,783.0","5,710.0","5,809.0","6,047.0","6,487.0","6,570.0","6,732.0","6,991.0","7,444.0","8,346.0","9,166.0","10,163.0","11,013.0","11,743.0","13,200.0","14,666.0","15,990.0","17,761.0","19,932.0","22,145.0","24,615.0","26,775.0","29,418.0","31,967.0","34,633.0","37,549.0","40,673.0","44,545.0","47,335.0","51,034.0","54,264.0","57,690.0","61,804.0","66,632.0","71,801.0","77,507.0","85,363.0","92,624.0","102,203.0","111,358.0","121,673.0","133,614.0","147,490.0","160,456.0","175,510.0","196,866.0","220,796.0","253,528.0","287,547.0","319,346.0","348,156.0","380,292.0","410,104.0","442,251.0","482,826.0","529,675.0","574,182.0","623,981.0","665,929.0","711,137.0","752,080.0","800,015.0","852,064.0","897,000.0","949,246.0","1,010,107.0","1,082,919.0","1,157,175.0","1,232,902.0","1,298,048.0","1,347,214.0","1,423,786.0","1,506,420.0","1,602,850.0","1,686,861.0","1,799,891.0","1,830,322.0"
"24","6","  Households","B701RC1","7,447.0","6,935.0","6,144.0","5,180.0","4,511.0","4,417.0","4,494.0","4,660.0","5,017.0","5,049.0","5,190.0","5,367.0","5,718.0","6,452.0","7,056.0","7,851.0","8,550.0","8,814.0","9,704.0","10,631.0","11,576.0","12,982.0","14,631.0","16,398.0","18,322.0","19,993.0","22,031.0","23,898.0","25,764.0","27,828.0","30,055.0","32,555.0","34,583.0","37,036.0","39,085.0","41,166.0","43,625.0","46,246.0","49,104.0","51,914.0","55,960.0","59,825.0","65,549.0","70,813.0","76,475.0","83,003.0","90,756.0","98,652.0","107,889.0","121,304.0","135,954.0","156,549.0","177,815.0","196,667.0","212,522.0","231,000.0","250,311.0","267,964.0","288,028.0","313,076.0","337,219.0","363,338.0","383,710.0","405,271.0","428,260.0","461,299.0","492,211.0","519,762.0","550,908.0","583,855.0","628,411.0","673,491.0","719,543.0","745,991.0","762,686.0","806,047.0","864,389.0","924,785.0","973,747.0","1,048,682.0","1,062,122.0"
"25","7","  Nonprofit institutions serving households \3\","B702RC1","1,531.0","1,557.0","1,500.0","1,375.0","1,272.0","1,293.0","1,315.0","1,387.0","1,470.0","1,521.0","1,542.0","1,624.0","1,726.0","1,894.0","2,110.0","2,312.0","2,463.0","2,929.0","3,496.0","4,035.0","4,414.0","4,779.0","5,301.0","5,747.0","6,293.0","6,782.0","7,387.0","8,069.0","8,869.0","9,721.0","10,618.0","11,990.0","12,752.0","13,998.0","15,179.0","16,524.0","18,179.0","20,386.0","22,697.0","25,593.0","29,403.0","32,799.0","36,654.0","40,545.0","45,198.0","50,611.0","56,734.0","61,804.0","67,621.0","75,562.0","84,842.0","96,979.0","109,732.0","122,679.0","135,634.0","149,292.0","159,793.0","174,287.0","194,798.0","216,599.0","236,963.0","260,643.0","282,219.0","305,866.0","323,820.0","338,716.0","359,853.0","377,238.0","398,338.0","426,252.0","454,508.0","483,684.0","513,359.0","552,057.0","584,528.0","617,739.0","642,031.0","678,065.0","713,114.0","751,209.0","768,200.0"
"26","8","General government \4\","A765RC1","5,191.0","5,390.0","5,464.0","5,168.0","5,497.0","6,513.0","6,916.0","8,351.0","8,054.0","8,832.0","8,854.0","9,117.0","11,222.0","18,405.0","31,562.0","40,829.0","45,097.0","32,821.0","27,835.0","27,224.0","28,315.0","28,643.0","35,781.0","40,427.0","42,153.0","43,451.0","45,761.0","49,128.0","52,441.0","55,783.0","58,288.0","61,984.0","65,986.0","70,699.0","75,484.0","81,082.0","86,638.0","96,756.0","107,003.0","118,836.0","129,962.0","143,533.0","156,354.0","169,400.0","183,236.0","201,329.0","224,459.0","243,456.0","264,616.0","287,467.0","312,964.0","348,511.0","385,300.0","418,955.0","445,363.0","485,141.0","523,428.0","556,274.0","591,539.0","630,597.0","672,225.0","722,653.0","767,604.0","801,926.0","831,166.0","859,904.0","884,760.0","911,286.0","940,316.0","972,548.0","1,021,561.0","1,078,779.0","1,139,635.0","1,211,433.0","1,292,179.0","1,359,344.0","1,436,476.0","1,511,952.0","1,601,775.0","1,688,412.0","1,759,863.0"
"27","9","  Federal","A766RC1","1,122.0","1,146.0","1,144.0","1,091.0","1,379.0","1,952.0","2,071.0","3,923.0","3,404.0","3,930.0","3,865.0","3,995.0","5,893.0","12,808.0","25,691.0","34,760.0","38,622.0","25,418.0","19,047.0","17,047.0","17,198.0","16,842.0","22,603.0","26,023.0","26,611.0","26,511.0","27,529.0","28,735.0","29,873.0","31,081.0","31,826.0","33,047.0","34,385.0","36,521.0","38,407.0","40,680.0","42,411.0","47,185.0","51,487.0","56,309.0","59,940.0","64,038.0","67,714.0","71,533.0","73,926.0","79,573.0","87,309.0","93,804.0","102,020.0","109,691.0","117,594.0","131,206.0","147,380.0","161,214.0","171,247.0","192,070.0","205,013.0","212,570.0","223,304.0","234,750.0","246,444.0","258,797.0","274,834.0","281,995.0","285,190.0","285,165.0","283,597.0","287,561.0","290,030.0","292,247.0","300,394.0","315,102.0","324,936.0","351,840.0","382,921.0","412,012.0","438,743.0","460,645.0","485,731.0","515,189.0","558,689.0"
"28","10","  State and local","A767RC1","4,069.0","4,244.0","4,320.0","4,077.0","4,118.0","4,561.0","4,845.0","4,428.0","4,650.0","4,902.0","4,989.0","5,122.0","5,329.0","5,597.0","5,871.0","6,069.0","6,475.0","7,403.0","8,788.0","10,177.0","11,117.0","11,801.0","13,178.0","14,404.0","15,542.0","16,940.0","18,232.0","20,393.0","22,568.0","24,702.0","26,462.0","28,937.0","31,601.0","34,178.0","37,077.0","40,402.0","44,227.0","49,571.0","55,516.0","62,527.0","70,022.0","79,495.0","88,640.0","97,867.0","109,310.0","121,756.0","137,150.0","149,652.0","162,596.0","177,776.0","195,370.0","217,305.0","237,920.0","257,741.0","274,116.0","293,071.0","318,415.0","343,704.0","368,235.0","395,847.0","425,781.0","463,856.0","492,770.0","519,931.0","545,976.0","574,739.0","601,163.0","623,725.0","650,286.0","680,301.0","721,167.0","763,677.0","814,699.0","859,593.0","909,258.0","947,332.0","997,733.0","1,051,307.0","1,116,044.0","1,173,223.0","1,201,174.0"
"29",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross housing value added","A2009C1","9,745.0","9,419.0","8,829.0","7,842.0","6,837.0","6,435.0","6,466.0","6,602.0","7,016.0","7,495.0","7,599.0","7,822.0","8,346.0","9,169.0","9,734.0","10,238.0","10,603.0","11,111.0","12,114.0","13,524.0","14,887.0","16,483.0","18,510.0","20,794.0","23,159.0","25,335.0","27,147.0","29,084.0","31,459.0","33,939.0","36,957.0","39,903.0","42,776.0","45,998.0","48,863.0","51,610.0","54,883.0","58,248.0","62,093.0","65,924.0","71,254.0","76,678.0","83,941.0","91,053.0","98,340.0","106,835.0","117,202.0","126,635.0","140,452.0","155,533.0","172,948.0","199,847.0","228,801.0","255,733.0","277,718.0","301,333.0","333,069.0","359,727.0","385,503.0","415,291.0","443,366.0","477,797.0","508,064.0","538,584.0","562,947.0","602,586.0","640,724.0","671,267.0","708,561.0","745,297.0","798,312.0","849,901.0","904,447.0","932,462.0","938,243.0","988,666.0","1,054,010.0","1,130,771.0","1,205,429.0","1,306,483.0","1,331,261.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
