"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"23","5","Rest of the world","B394RC1","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0"
"24","6","  Receipts from the rest of the world","B933RC1","1,652.0","1,554.0","1,767.0","2,249.0","2,345.0","2,288.0","2,442.0","2,890.0","3,356.0","3,630.0","3,078.0","3,382.0","3,790.0","4,045.0","4,494.0","4,885.0","5,379.0","5,782.0","5,656.0","5,990.0","6,996.0","8,047.0","8,656.0","9,781.0","11,751.0","17,575.0","20,398.0","17,906.0","20,938.0","23,790.0","29,001.0","42,560.0","43,845.0","38,078.0","36,669.0","41,103.0","46,103.0","46,805.0","48,718.0","58,923.0"
"25","7","  Less:  Payments to the rest of the world","B934RC1","391.0","429.0","498.0","505.0","457.0","490.0","480.0","536.0","535.0","538.0","555.0","664.0","653.0","729.0","722.0","804.0","910.0","1,076.0","1,128.0","1,215.0","1,360.0","1,452.0","1,556.0","1,926.0","2,217.0","2,677.0","2,929.0","3,275.0","4,390.0","4,677.0","6,132.0","7,949.0","8,374.0","8,399.0","4,086.0","6,044.0","9,537.0","8,700.0","9,244.0","10,911.0"
"26","8","    Corporate profits with inventory valuation adjustment","A052RC1","33,724.0","31,463.0","38,268.0","43,589.0","41,211.0","40,686.0","39,025.0","48,148.0","47,770.0","47,541.0","42,708.0","53,479.0","51,458.0","51,840.0","57,032.0","62,133.0","68,602.0","78,905.0","84,593.0","81,993.0","88,788.0","85,501.0","74,440.0","88,295.0","101,614.0","115,403.0","109,555.0","134,998.0","165,626.0","194,812.0","222,427.0","231,996.0","211,409.0","219,116.0","191,107.0","226,554.0","264,629.0","257,485.0","253,022.0","306,860.0"
"27","9","Domestic industries","A390RC1","32,463.0","30,338.0","36,999.0","41,845.0","39,323.0","38,888.0","37,063.0","45,794.0","44,949.0","44,449.0","40,185.0","50,761.0","48,321.0","48,524.0","53,260.0","58,052.0","64,133.0","74,199.0","80,065.0","77,218.0","83,152.0","78,906.0","67,340.0","80,440.0","92,078.0","100,504.0","92,086.0","120,367.0","149,077.0","175,697.0","199,558.0","197,384.0","175,938.0","189,437.0","158,524.0","191,495.0","228,063.0","219,379.0","213,548.0","258,848.0"
"28","10","  Financial","A392RC1","2,746.0","3,300.0","3,308.0","3,725.0","4,413.0","4,843.0","5,110.0","5,330.0","5,676.0","5,998.0","6,450.0","7,607.0","8,431.0","8,326.0","8,594.0","8,295.0","8,753.0","9,302.0","10,737.0","11,192.0","12,797.0","13,590.0","15,377.0","17,625.0","19,153.0","20,530.0","20,156.0","20,203.0","24,957.0","31,924.0","39,548.0","40,356.0","33,986.0","29,104.0","26,048.0","35,539.0","34,403.0","45,894.0","56,759.0","61,559.0"
"29","11","    Federal Reserve banks","B397RC1","228.0","235.0","190.0","294.0","346.0","394.0","322.0","296.0","468.0","625.0","595.0","734.0","942.0","773.0","863.0","954.0","1,135.0","1,342.0","1,685.0","1,953.0","2,502.0","3,075.0","3,526.0","3,312.0","3,344.0","4,476.0","5,681.0","5,610.0","5,872.0","6,109.0","7,645.0","9,433.0","11,798.0","14,393.0","15,245.0","14,586.0","16,433.0","16,346.0","15,516.0","16,247.0"
"30","12","    Other","B398RC1","2,518.0","3,065.0","3,118.0","3,431.0","4,067.0","4,449.0","4,788.0","5,034.0","5,208.0","5,373.0","5,855.0","6,873.0","7,489.0","7,553.0","7,731.0","7,341.0","7,618.0","7,960.0","9,052.0","9,239.0","10,295.0","10,515.0","11,851.0","14,313.0","15,809.0","16,054.0","14,475.0","14,593.0","19,085.0","25,815.0","31,903.0","30,923.0","22,188.0","14,711.0","10,803.0","20,953.0","17,970.0","29,548.0","41,243.0","45,312.0"
"31","13","  Nonfinancial","A399RC1","29,717.0","27,038.0","33,691.0","38,120.0","34,910.0","34,045.0","31,953.0","40,464.0","39,273.0","38,451.0","33,735.0","43,154.0","39,890.0","40,198.0","44,666.0","49,757.0","55,380.0","64,897.0","69,328.0","66,026.0","70,355.0","65,316.0","51,963.0","62,815.0","72,925.0","79,974.0","71,930.0","100,164.0","124,120.0","143,773.0","160,010.0","157,028.0","141,952.0","160,333.0","132,476.0","155,956.0","193,660.0","173,485.0","156,789.0","197,289.0"
"32","14","    Manufacturing","A400RC1","17,545.0","16,214.0","20,996.0","24,659.0","21,687.0","21,993.0","19,945.0","26,054.0","24,757.0","24,104.0","19,476.0","26,541.0","23,821.0","23,409.0","26,325.0","29,700.0","32,561.0","39,807.0","42,617.0","39,241.0","41,851.0","37,295.0","27,491.0","35,089.0","42,237.0","47,244.0","41,405.0","55,191.0","71,374.0","79,386.0","90,505.0","89,791.0","78,310.0","91,096.0","67,064.0","76,229.0","91,819.0","84,347.0","57,937.0","87,548.0"
"33","15","      Durable goods","A406RC1","7,513.0","8,087.0","12,036.0","13,235.0","11,733.0","11,970.0","10,491.0","14,240.0","12,790.0","13,332.0","9,321.0","13,679.0","11,647.0","11,341.0","14,054.0","16,401.0","18,061.0","23,271.0","24,054.0","21,272.0","22,457.0","19,154.0","10,492.0","16,631.0","22,907.0","25,186.0","15,327.0","20,646.0","31,445.0","37,987.0","45,407.0","37,203.0","18,850.0","19,481.0","4,957.0","19,511.0","39,264.0","29,746.0","26,283.0","41,327.0"
"34","16","        Primary metal industries","A407RC1","1,571.0","1,510.0","2,328.0","3,098.0","1,923.0","2,498.0","1,689.0","2,880.0","3,020.0","3,058.0","1,852.0","2,311.0","2,006.0","1,585.0","1,577.0","1,984.0","2,489.0","3,106.0","3,581.0","2,694.0","1,909.0","1,428.0","811.0","842.0","1,738.0","2,336.0","5,001.0","2,756.0","2,077.0","1,063.0","3,586.0","3,568.0","2,728.0","3,134.0","-4,694.0","-4,909.0","-405.0","-916.0","869.0","2,623.0"
"35","17","        Fabricated metal products","A408RC1","835.0","716.0","1,129.0","1,347.0","1,011.0","974.0","941.0","1,059.0","1,075.0","1,115.0","926.0","1,105.0","849.0","1,047.0","1,180.0","1,329.0","1,462.0","2,060.0","2,417.0","2,472.0","2,337.0","2,011.0","1,115.0","1,463.0","2,173.0","2,658.0","1,771.0","3,259.0","3,918.0","4,529.0","4,968.0","5,265.0","4,400.0","4,488.0","2,739.0","3,148.0","4,716.0","4,875.0","5,171.0","5,526.0"
"36","18","        Machinery,except electrical","A409RC1","1,253.0","1,311.0","1,647.0","2,298.0","2,300.0","1,879.0","1,704.0","1,708.0","2,124.0","2,008.0","1,478.0","2,157.0","1,821.0","1,899.0","2,387.0","2,568.0","3,339.0","4,014.0","4,609.0","4,230.0","4,195.0","3,753.0","3,081.0","3,066.0","4,558.0","4,913.0","3,345.0","5,088.0","6,902.0","8,574.0","10,657.0","9,519.0","8,034.0","8,964.0","3,084.0","4,012.0","6,030.0","5,663.0","814.0","5,561.0"
"37","19","        Electric and electronic equipment","A410RC1","649.0","768.0","1,242.0","1,298.0","1,469.0","1,366.0","1,187.0","1,086.0","1,197.0","1,527.0","1,282.0","1,699.0","1,312.0","1,348.0","1,469.0","1,640.0","1,701.0","2,717.0","3,029.0","2,964.0","2,872.0","2,302.0","1,273.0","1,963.0","2,914.0","3,212.0","560.0","2,637.0","3,837.0","5,911.0","6,717.0","5,575.0","5,206.0","5,179.0","1,684.0","3,520.0","5,118.0","2,601.0","2,746.0","6,053.0"
"38","20","        Motor vehicles and equipment","A411RC1","1,379.0","2,061.0","3,121.0","2,413.0","2,383.0","2,628.0","2,067.0","4,055.0","2,238.0","2,555.0","908.0","2,955.0","2,978.0","2,513.0","4,022.0","4,928.0","4,643.0","6,209.0","5,172.0","4,007.0","5,509.0","4,789.0","1,336.0","5,169.0","5,964.0","5,897.0","694.0","2,252.0","7,424.0","9,374.0","9,015.0","4,728.0","-4,253.0","280.0","-4.0","5,307.0","9,166.0","7,434.0","4,562.0","3,828.0"
"39","21","        Other","A412RC1","1,826.0","1,721.0","2,569.0","2,781.0","2,647.0","2,625.0","2,903.0","3,452.0","3,136.0","3,069.0","2,875.0","3,452.0","2,681.0","2,949.0","3,419.0","3,952.0","4,427.0","5,165.0","5,246.0","4,905.0","5,635.0","4,871.0","2,876.0","4,128.0","5,560.0","6,170.0","3,956.0","4,654.0","7,287.0","8,536.0","10,464.0","8,548.0","2,735.0","-2,564.0","2,148.0","8,433.0","14,639.0","10,089.0","12,121.0","17,736.0"
"40","22","      Nondurable goods","A401RC1","10,032.0","8,127.0","8,960.0","11,424.0","9,954.0","10,023.0","9,454.0","11,814.0","11,967.0","10,772.0","10,155.0","12,862.0","12,174.0","12,068.0","12,271.0","13,299.0","14,500.0","16,536.0","18,563.0","17,969.0","19,394.0","18,141.0","16,999.0","18,458.0","19,330.0","22,058.0","26,078.0","34,545.0","39,929.0","41,399.0","45,098.0","52,588.0","59,460.0","71,615.0","62,107.0","56,718.0","52,555.0","54,601.0","31,654.0","46,221.0"
"41","23","        Food and kindred products","A402RC1","1,855.0","1,615.0","1,587.0","1,449.0","1,759.0","1,786.0","1,646.0","2,172.0","1,791.0","1,835.0","2,090.0","2,481.0","2,223.0","2,367.0","2,395.0","2,694.0","2,748.0","2,857.0","3,328.0","3,269.0","3,235.0","3,063.0","3,239.0","3,557.0","2,975.0","2,536.0","2,637.0","8,637.0","7,101.0","6,871.0","6,167.0","5,828.0","6,055.0","9,153.0","7,347.0","6,289.0","6,760.0","8,760.0","7,464.0","11,213.0"
"42","24","        Chemicals and allied products","A403RC1","1,728.0","1,766.0","2,304.0","2,780.0","2,267.0","2,194.0","2,191.0","3,017.0","2,817.0","2,776.0","2,525.0","3,489.0","3,119.0","3,281.0","3,239.0","3,682.0","4,075.0","4,642.0","4,927.0","4,341.0","5,273.0","4,618.0","3,932.0","4,516.0","5,328.0","6,200.0","5,279.0","6,403.0","8,247.0","7,829.0","8,294.0","7,225.0","5,659.0","8,003.0","5,099.0","7,402.0","8,158.0","6,581.0","7,545.0","14,558.0"
"43","25","        Petroleum and coal products","A404RC1","2,761.0","1,934.0","2,322.0","2,759.0","2,317.0","2,719.0","2,751.0","3,047.0","3,265.0","2,575.0","2,136.0","2,581.0","2,602.0","2,263.0","2,217.0","2,216.0","2,407.0","2,914.0","3,429.0","3,954.0","3,814.0","3,427.0","3,710.0","3,792.0","3,362.0","5,412.0","10,894.0","10,054.0","13,482.0","13,074.0","15,791.0","24,828.0","34,673.0","39,953.0","34,707.0","23,934.0","17,557.0","18,715.0","-4,672.0","-1,418.0"
"44","26","        Other","A405RC1","3,688.0","2,812.0","2,747.0","4,436.0","3,611.0","3,324.0","2,866.0","3,578.0","4,094.0","3,586.0","3,404.0","4,311.0","4,230.0","4,157.0","4,420.0","4,707.0","5,270.0","6,123.0","6,879.0","6,405.0","7,072.0","7,033.0","6,118.0","6,593.0","7,665.0","7,910.0","7,268.0","9,451.0","11,099.0","13,625.0","14,846.0","14,707.0","13,073.0","14,506.0","14,954.0","19,093.0","20,080.0","20,545.0","21,317.0","21,868.0"
"45","27","    Transportation and public utilities","A416RC1","3,022.0","3,042.0","4,085.0","4,657.0","4,961.0","5,009.0","4,716.0","5,683.0","5,913.0","5,855.0","5,942.0","7,070.0","7,521.0","7,900.0","8,491.0","9,491.0","10,175.0","11,049.0","11,958.0","10,905.0","10,990.0","10,656.0","8,258.0","8,908.0","9,468.0","9,071.0","7,613.0","10,960.0","15,290.0","18,567.0","21,785.0","16,964.0","18,426.0","20,303.0","23,069.0","29,540.0","40,132.0","33,752.0","35,752.0","42,365.0"
"46","28","      Transportation","A417RC1","1,514.0","1,193.0","1,915.0","1,903.0","1,857.0","1,616.0","979.0","1,481.0","1,436.0","1,145.0","876.0","1,141.0","880.0","953.0","1,042.0","1,398.0","1,598.0","2,119.0","2,252.0","1,316.0","963.0","665.0","-120.0","708.0","1,534.0","1,339.0","2,004.0","984.0","3,048.0","3,660.0","4,123.0","3,480.0","2,658.0","1,735.0","-141.0","3,217.0","6,054.0","1,753.0","3,420.0","3,652.0"
"47","29","      Communication","A418RC1","421.0","479.0","717.0","959.0","1,065.0","1,234.0","1,341.0","1,684.0","1,818.0","2,008.0","2,333.0","2,786.0","3,014.0","3,198.0","3,580.0","3,901.0","4,021.0","4,291.0","4,778.0","4,795.0","5,135.0","5,351.0","4,771.0","4,135.0","3,898.0","4,293.0","4,085.0","4,268.0","5,729.0","6,640.0","8,577.0","7,499.0","7,733.0","8,600.0","8,572.0","9,947.0","12,824.0","14,176.0","17,597.0","19,553.0"
"48","30","      Electric, gas, and sanitary services","A419RC1","1,087.0","1,370.0","1,453.0","1,795.0","2,039.0","2,159.0","2,396.0","2,518.0","2,659.0","2,702.0","2,733.0","3,143.0","3,627.0","3,749.0","3,869.0","4,192.0","4,556.0","4,639.0","4,928.0","4,794.0","4,892.0","4,640.0","3,607.0","4,065.0","4,036.0","3,439.0","1,524.0","5,708.0","6,513.0","8,267.0","9,085.0","5,985.0","8,035.0","9,968.0","14,638.0","16,376.0","21,254.0","17,823.0","14,735.0","19,160.0"
"49","31","    Wholesale trade","A414RC1","2,361.0","1,918.0","2,073.0","2,575.0","2,277.0","1,769.0","1,689.0","2,380.0","2,162.0","2,165.0","2,228.0","2,851.0","2,499.0","2,484.0","2,839.0","2,827.0","3,395.0","3,770.0","3,961.0","4,067.0","4,596.0","4,862.0","4,435.0","5,170.0","6,855.0","8,230.0","11,507.0","13,807.0","12,927.0","15,647.0","15,582.0","18,837.0","17,230.0","22,361.0","19,587.0","21,021.0","29,520.0","23,918.0","24,143.0","18,965.0"
"50","32","    Retail trade","A415RC1","3,248.0","2,767.0","3,000.0","2,632.0","2,717.0","2,285.0","2,319.0","2,862.0","2,569.0","2,550.0","2,631.0","3,324.0","2,761.0","2,994.0","3,428.0","3,593.0","4,509.0","4,890.0","4,863.0","5,668.0","6,365.0","6,418.0","6,014.0","7,211.0","7,357.0","6,676.0","2,347.0","8,248.0","10,487.0","12,419.0","12,331.0","9,858.0","6,202.0","9,898.0","13,505.0","18,756.0","21,121.0","22,222.0","23,489.0","24,027.0"
"51","33","    Other","A420RC1","3,541.0","3,097.0","3,537.0","3,597.0","3,268.0","2,989.0","3,284.0","3,485.0","3,872.0","3,777.0","3,458.0","3,368.0","3,288.0","3,411.0","3,583.0","4,146.0","4,740.0","5,381.0","5,929.0","6,145.0","6,553.0","6,085.0","5,765.0","6,437.0","7,008.0","8,753.0","9,058.0","11,958.0","14,042.0","17,754.0","19,807.0","21,578.0","21,784.0","16,675.0","9,251.0","10,410.0","11,068.0","9,246.0","15,468.0","24,384.0"
"52","34","Rest of the world","B394RC1","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
