"","Table 3#4# Personal Current Tax Receipts                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Income taxes","B231RC1","1,179.0","1,045.0","532.0","285.0","355.0","440.0","568.0","732.0","1,305.0","1,231.0","855.0","1,014.0","1,601.0","4,043.0","15,910.0","16,802.0","18,532.0","16,350.0","18,793.0","18,065.0","15,376.0","17,432.0","25,375.0","30,167.0","31,306.0","28,068.0","30,470.0","33,913.0","35,994.0","35,485.0","38,466.0","41,838.0","42,694.0","46,529.0","49,138.0","45,985.0","51,068.0","58,602.0","64,386.0","76,435.0","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,234.0","162,153.0","188,947.0","224,634.0","249,964.0","290,550.0","294,963.0","286,220.0","301,389.0","335,979.0","350,012.0","392,458.0","402,844.0","451,456.0","470,149.0","461,314.0","475,226.0","505,466.0","542,514.0","585,789.0","663,282.0","744,153.0","825,206.0","893,040.0","995,551.0","991,814.0","828,617.0","774,178.0","799,242.0","931,859.0","1,049,931.0","1,168,144.0","1,102,451.0"
"22","4","    Withheld","PTN0181",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,251.0","11,119.0","10,639.0","9,888.0","11,724.0","16,772.0","20,492.0","22,699.0","20,437.0","22,735.0","25,404.0","27,301.0","27,834.0","30,624.0","32,759.0","34,337.0","37,043.0","40,290.0","36,529.0","38,972.0","46,070.0","53,335.0","63,706.0","74,574.0","76,222.0","75,999.0","91,341.0","104,508.0","118,874.0","120,236.0","132,484.0","149,198.0","173,024.0","202,379.0","229,729.0","261,067.0","264,494.0","265,730.0","284,061.0","304,269.0","318,516.0","326,451.0","346,524.0","371,735.0","397,052.0","400,825.0","408,937.0","434,721.0","465,902.0","501,426.0","548,820.0","595,325.0","648,486.0","717,882.0","779,501.0","800,723.0","733,720.0","724,959.0","748,780.0","803,521.0","866,071.0","952,497.0","948,224.0"
"23","5","    Declarations and settlements","PTN1001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,742.0","9,336.0","9,197.0","7,842.0","7,401.0","10,383.0","11,798.0","11,212.0","10,518.0","10,821.0","11,746.0","12,193.0","11,548.0","11,925.0","13,378.0","13,138.0","14,557.0","14,413.0","15,392.0","16,991.0","18,461.0","19,024.0","22,209.0","27,355.0","25,990.0","24,324.0","25,761.0","27,307.0","31,675.0","34,928.0","36,288.0","42,453.0","48,066.0","56,154.0","63,894.0","77,216.0","85,625.0","81,329.0","82,173.0","98,432.0","103,636.0","138,911.0","128,648.0","149,921.0","146,553.0","140,665.0","146,077.0","146,329.0","153,724.0","170,295.0","203,802.0","242,624.0","276,740.0","300,339.0","350,154.0","339,939.0","276,429.0","228,107.0","237,366.0","308,766.0","380,252.0","422,407.0","440,487.0"
"24","6","    Less: Refunds","PTN2001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,643.0","1,662.0","1,771.0","2,354.0","1,693.0","1,780.0","2,123.0","2,605.0","2,887.0","3,086.0","3,237.0","3,500.0","3,897.0","4,083.0","4,299.0","4,781.0","5,071.0","5,565.0","5,936.0","4,895.0","5,929.0","7,973.0","9,480.0","10,229.0","13,359.0","14,520.0","14,345.0","22,234.0","24,024.0","34,434.0","27,538.0","29,498.0","32,143.0","33,899.0","43,659.0","47,733.0","55,156.0","60,839.0","64,845.0","66,722.0","72,140.0","72,904.0","72,328.0","70,200.0","73,456.0","80,176.0","79,788.0","75,584.0","77,112.0","85,932.0","89,340.0","93,796.0","100,020.0","125,180.0","134,104.0","148,848.0","181,532.0","178,888.0","186,904.0","180,428.0","196,392.0","206,760.0","286,260.0"
"25","7","  Other taxes \2\","B035RC1","0.0","0.0","0.0","0.0","35.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","77.0","74.0","81.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","State and local","W071RC1","550.0","526.0","471.0","443.0","422.0","445.0","499.0","563.0","617.0","627.0","632.0","672.0","709.0","724.0","750.0","787.0","829.0","859.0","997.0","1,140.0","1,357.0","1,480.0","1,680.0","1,838.0","1,936.0","2,092.0","2,389.0","2,678.0","2,892.0","3,063.0","3,823.0","4,230.0","4,556.0","5,026.0","5,414.0","6,084.0","6,596.0","7,776.0","8,575.0","10,552.0","12,806.0","14,217.0","15,902.0","20,883.0","22,826.0","24,523.0","26,877.0","31,074.0","35,366.0","40,450.0","44,032.0","48,891.0","54,615.0","59,147.0","66,105.0","76,023.0","81,360.0","87,205.0","96,600.0","102,094.0","114,639.0","122,559.0","125,311.0","135,305.0","141,067.0","147,990.0","158,109.0","168,673.0","181,998.0","201,221.0","214,486.0","236,708.0","243,018.0","221,801.0","226,169.0","248,579.0","276,730.0","302,471.0","322,791.0","329,958.0"
"27","9","  Income taxes","B245RC1","139.0","110.0","74.0","64.0","67.0","87.0","121.0","167.0","204.0","208.0","201.0","232.0","258.0","291.0","330.0","366.0","402.0","409.0","488.0","570.0","718.0","776.0","905.0","1,002.0","1,042.0","1,135.0","1,345.0","1,574.0","1,723.0","1,829.0","2,229.0","2,536.0","2,800.0","3,180.0","3,432.0","4,018.0","4,417.0","5,422.0","6,112.0","7,841.0","9,769.0","10,903.0","12,440.0","17,197.0","18,864.0","20,351.0","22,453.0","26,259.0","30,385.0","34,981.0","38,214.0","42,594.0","47,912.0","51,887.0","58,285.0","67,471.0","72,122.0","77,449.0","85,959.0","90,599.0","102,270.0","109,594.0","111,720.0","120,377.0","126,225.0","132,241.0","141,737.0","152,326.0","164,667.0","183,020.0","195,532.0","217,354.0","223,336.0","201,263.0","204,072.0","224,737.0","251,700.0","276,079.0","295,524.0","302,351.0"
"28","10","  Motor vehicle licenses","S210301","216.0","213.0","201.0","187.0","179.0","180.0","189.0","202.0","210.0","207.0","216.0","235.0","245.0","224.0","208.0","203.0","206.0","226.0","256.0","288.0","326.0","370.0","422.0","453.0","487.0","533.0","585.0","654.0","722.0","768.0","921.0","969.0","983.0","1,026.0","1,065.0","1,129.0","1,201.0","1,359.0","1,416.0","1,607.0","1,879.0","2,054.0","2,167.0","2,368.0","2,607.0","2,696.0","2,825.0","3,142.0","3,323.0","3,557.0","3,749.0","3,964.0","4,193.0","4,550.0","4,868.0","5,337.0","5,862.0","6,286.0","6,753.0","7,301.0","7,753.0","8,104.0","8,387.0","9,153.0","8,927.0","9,169.0","9,746.0","9,303.0","9,922.0","10,415.0","10,798.0","11,408.0","11,325.0","11,934.0","12,656.0","13,682.0","14,025.0","14,744.0","15,066.0","15,181.0"
"29","11","  Property taxes","S210401","148.0","154.0","149.0","144.0","129.0","126.0","129.0","130.0","134.0","137.0","137.0","140.0","142.0","142.0","145.0","147.0","149.0","155.0","171.0","189.0","211.0","227.0","245.0","266.0","287.0","306.0","316.0","302.0","281.0","303.0","506.0","552.0","592.0","635.0","659.0","663.0","689.0","689.0","722.0","763.0","793.0","837.0","861.0","876.0","889.0","863.0","906.0","914.0","894.0","1,046.0","1,143.0","1,232.0","1,273.0","1,385.0","1,534.0","1,643.0","1,787.0","2,036.0","2,305.0","2,479.0","2,771.0","2,972.0","3,223.0","3,652.0","3,623.0","4,061.0","4,166.0","4,536.0","4,618.0","4,835.0","5,131.0","4,848.0","5,065.0","5,178.0","5,751.0","5,740.0","6,153.0","6,582.0","6,895.0","6,957.0"
"30","12","  Other taxes \3\","S210501","47.0","49.0","47.0","48.0","47.0","52.0","60.0","64.0","69.0","75.0","78.0","65.0","64.0","67.0","67.0","71.0","72.0","69.0","82.0","93.0","102.0","107.0","108.0","117.0","120.0","118.0","143.0","148.0","166.0","164.0","167.0","173.0","181.0","185.0","258.0","274.0","289.0","306.0","325.0","341.0","365.0","423.0","434.0","442.0","466.0","613.0","693.0","759.0","764.0","866.0","926.0","1,101.0","1,237.0","1,325.0","1,418.0","1,572.0","1,589.0","1,434.0","1,583.0","1,715.0","1,845.0","1,889.0","1,981.0","2,123.0","2,292.0","2,519.0","2,460.0","2,508.0","2,791.0","2,951.0","3,025.0","3,098.0","3,292.0","3,426.0","3,690.0","4,420.0","4,852.0","5,066.0","5,306.0","5,469.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Consists of the dividends tax in 1933-34 and of the automobile use tax in 1942-46.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
