"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Personal income","A065RC1","84,938.0","76,140.0","65,238.0","49,851.0","46,798.0","53,657.0","60,322.0","68,618.0","74,072.0","68,377.0","72,861.0","78,447.0","96,048.0","123,407.0","152,118.0","165,958.0","171,643.0","178,630.0","190,872.0","209,685.0","206,973.0","228,855.0","257,898.0","275,216.0","291,658.0","294,296.0","315,998.0","339,466.0","358,543.0","368,919.0","392,341.0","411,255.0","428,809.0","456,413.0","479,503.0","514,322.0","555,499.0","603,780.0","648,072.0","711,687.0","778,327.0","838,579.0","903,097.0","992,638.0","1,110,545.0","1,222,744.0","1,334,861.0","1,474,655.0","1,632,503.0","1,836,727.0","2,059,527.0","2,301,516.0","2,582,276.0","2,766,817.0","2,952,169.0","3,268,868.0","3,496,687.0","3,696,026.0","3,924,366.0","4,231,243.0","4,557,472.0","4,846,723.0","5,031,501.0","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,238.0","10,485,882.0","11,268,077.0","11,894,075.0","12,238,789.0","12,019,037.0"
"20","2","  Compensation of employees, received","W209RC1","51,118.0","46,867.0","39,775.0","31,090.0","29,572.0","34,331.0","37,376.0","42,948.0","47,969.0","45,034.0","48,149.0","52,170.0","64,825.0","85,296.0","109,373.0","121,445.0","123,238.0","119,644.0","130,051.0","141,924.0","141,906.0","155,252.0","181,352.0","196,184.0","210,294.0","209,156.0","225,695.0","244,491.0","257,537.0","259,547.0","280,989.0","296,409.0","305,303.0","327,144.0","345,217.0","370,670.0","399,505.0","442,655.0","475,143.0","524,314.0","577,611.0","617,218.0","658,329.0","725,134.0","811,281.0","890,729.0","949,045.0","1,059,242.0","1,180,425.0","1,335,185.0","1,498,471.0","1,647,612.0","1,819,605.0","1,919,646.0","2,035,978.0","2,245,226.0","2,411,978.0","2,557,654.0","2,735,638.0","2,954,156.0","3,131,317.0","3,326,207.0","3,438,380.0","3,647,184.0","3,790,648.0","3,980,915.0","4,178,809.0","4,387,716.0","4,668,553.0","5,023,947.0","5,348,788.0","5,788,849.0","5,979,318.0","6,110,816.0","6,367,589.0","6,708,407.0","7,060,041.0","7,475,746.0","7,862,710.0","8,042,426.0","7,778,452.0"
"21","3","    Wage and salary disbursements","A576RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,577.0","116,942.0","117,479.0","112,035.0","123,082.0","135,515.0","134,779.0","147,229.0","171,533.0","185,658.0","199,065.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0","551,560.0","583,969.0","638,782.0","708,820.0","772,762.0","814,738.0","899,645.0","994,058.0","1,120,299.0","1,253,495.0","1,373,462.0","1,511,314.0","1,587,521.0","1,677,957.0","1,844,695.0","1,982,780.0","2,102,334.0","2,256,266.0","2,439,783.0","2,583,050.0","2,741,149.0","2,814,527.0","2,973,540.0","3,076,590.0","3,230,839.0","3,418,022.0","3,616,341.0","3,876,569.0","4,181,621.0","4,460,027.0","4,827,698.0","4,952,201.0","4,997,307.0","5,139,598.0","5,425,691.0","5,700,980.0","6,068,893.0","6,408,886.0","6,545,850.0","6,276,531.0"
"22","4","      Private industries","A132RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","78,960.0","83,974.0","82,577.0","91,335.0","105,569.0","116,495.0","113,952.0","124,596.0","142,348.0","152,312.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0","434,328.0","457,398.0","501,228.0","560,009.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,717.0","1,496,777.0","1,608,687.0","1,705,114.0","1,833,149.0","1,987,746.0","2,101,944.0","2,222,150.0","2,265,712.0","2,401,539.0","2,487,580.0","2,621,343.0","2,788,996.0","2,968,280.0","3,204,758.0","3,480,383.0","3,726,338.0","4,047,987.0","4,130,317.0","4,124,194.0","4,226,273.0","4,472,883.0","4,709,491.0","5,033,742.0","5,319,785.0","5,404,580.0","5,094,148.0"
"23","5","      Government","B202RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,185.0","33,346.0","34,414.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0","117,232.0","126,571.0","137,554.0","148,811.0","160,992.0","176,140.0","188,806.0","202,488.0","219,747.0","237,317.0","261,501.0","285,790.0","307,541.0","325,240.0","347,918.0","374,093.0","397,220.0","423,117.0","452,037.0","481,106.0","518,999.0","548,815.0","572,001.0","589,010.0","609,496.0","629,026.0","648,061.0","671,811.0","701,238.0","733,689.0","779,711.0","821,884.0","873,113.0","913,325.0","952,808.0","991,489.0","1,035,151.0","1,089,101.0","1,141,270.0","1,182,383.0"
"24","6","    Supplements to wages and salaries","A038RC1","658.0","653.0","618.0","576.0","545.0","597.0","654.0","994.0","1,830.0","2,021.0","2,164.0","2,310.0","2,740.0","3,198.0","3,796.0","4,503.0","5,759.0","7,609.0","6,969.0","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0","65,658.0","74,360.0","86,352.0","102,461.0","117,967.0","134,307.0","159,597.0","186,367.0","214,886.0","244,976.0","274,150.0","308,291.0","332,125.0","358,021.0","400,531.0","429,198.0","455,320.0","479,372.0","514,373.0","548,267.0","585,058.0","623,853.0","673,644.0","714,058.0","750,076.0","760,787.0","771,375.0","791,984.0","842,326.0","888,761.0","961,151.0","1,027,117.0","1,113,509.0","1,227,991.0","1,282,716.0","1,359,061.0","1,406,853.0","1,453,824.0","1,496,576.0","1,501,921.0"
"25","7","      Employer contributions for employee pension and insurance funds","B040RC1","650.0","646.0","613.0","568.0","541.0","590.0","642.0","752.0","800.0","822.0","860.0","934.0","1,024.0","1,190.0","1,468.0","1,966.0","2,296.0","2,543.0","3,038.0","3,405.0","3,778.0","4,650.0","5,725.0","6,383.0","7,019.0","7,281.0","8,370.0","9,797.0","11,218.0","11,881.0","13,292.0","14,304.0","15,174.0","16,604.0","17,961.0","20,250.0","22,655.0","25,488.0","28,115.0","32,392.0","36,524.0","41,819.0","47,914.0","55,195.0","62,678.0","73,273.0","87,583.0","105,199.0","125,263.0","143,358.0","162,389.0","185,210.0","204,681.0","222,356.0","238,139.0","261,493.0","281,464.0","297,451.0","313,112.0","329,740.0","354,594.0","378,606.0","408,721.0","445,246.0","474,379.0","495,937.0","496,667.0","496,570.0","502,391.0","535,089.0","565,422.0","615,931.0","669,131.0","747,398.0","845,564.0","874,621.0","931,569.0","960,146.0","992,988.0","1,023,912.0","1,043,926.0"
"26","8","      Employer contributions for government social insurance","B039RC1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","5,066.0","3,931.0","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0","23,839.0","26,446.0","31,157.0","39,783.0","44,694.0","46,724.0","54,398.0","61,104.0","71,528.0","82,587.0","88,940.0","103,610.0","109,769.0","119,882.0","139,038.0","147,734.0","157,869.0","166,260.0","184,633.0","193,673.0","206,452.0","215,132.0","228,398.0","239,679.0","254,139.0","264,120.0","274,805.0","289,593.0","307,237.0","323,339.0","345,220.0","357,986.0","366,111.0","382,427.0","408,095.0","427,492.0","446,707.0","460,836.0","472,664.0","457,995.0"
"27","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0","1,040,993.0"
"28","10","    Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","39,432.0","48,735.0","29,330.0"
"29","11","    Nonfarm","A045RC1","8,396.0","7,026.0","5,340.0","3,316.0","3,087.0","4,457.0","5,244.0","6,445.0","6,882.0","6,573.0","7,093.0","8,192.0","10,612.0","13,664.0","16,720.0","17,964.0","18,996.0","21,478.0","20,137.0","22,518.0","22,633.0","24,614.0","27,348.0","28,757.0","29,844.0","30,525.0","33,547.0","35,275.0","37,275.0","37,767.0","40,282.0","40,059.0","41,950.0","44,087.0","45,512.0","49,570.0","51,874.0","55,230.0","58,206.0","62,530.0","64,675.0","65,583.0","71,297.0","79,013.0","84,552.0","90,015.0","97,609.0","115,030.0","130,065.0","147,582.0","158,960.0","161,760.0","162,588.0","161,519.0","184,477.0","212,131.0","225,127.0","239,726.0","265,340.0","308,037.0","318,554.0","332,976.0","339,777.0","379,112.0","417,589.0","449,509.0","492,588.0","545,247.0","595,645.0","658,651.0","718,307.0","787,826.0","840,202.0","871,840.0","894,111.0","984,093.0","1,025,906.0","1,103,626.0","1,056,919.0","1,057,540.0","1,011,663.0"
"30","12","  Rental income of persons with capital consumption adjustment","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0","268,125.0"
"31","13","  Personal income receipts on assets","W210RC1","12,468.0","11,726.0","10,301.0","8,385.0","7,398.0","8,033.0","8,282.0","9,761.0","10,039.0","8,423.0","9,053.0","9,300.0","9,776.0","9,454.0","9,662.0","9,912.0","10,559.0","12,273.0","13,909.0","15,106.0","16,034.0","18,554.0","19,079.0","19,851.0","21,584.0","23,244.0","25,671.0","28,204.0","30,595.0","31,865.0","34,603.0","37,883.0","40,132.0","44,085.0","47,892.0","53,751.0","59,380.0","64,074.0","69,028.0","75,158.0","84,135.0","93,506.0","100,972.0","109,610.0","124,663.0","146,371.0","162,173.0","178,448.0","205,306.0","234,776.0","274,740.0","338,660.0","421,928.0","488,350.0","529,587.0","607,881.0","653,227.0","694,453.0","715,798.0","767,040.0","874,793.0","920,769.0","928,573.0","909,722.0","900,453.0","947,667.0","1,005,363.0","1,080,741.0","1,165,451.0","1,269,164.0","1,246,789.0","1,360,679.0","1,345,968.0","1,309,562.0","1,312,896.0","1,408,483.0","1,541,986.0","1,829,676.0","2,031,452.0","1,994,415.0","1,792,628.0"
"32","14","    Personal interest income","A064RC1","6,667.0","6,258.0","6,235.0","5,841.0","5,360.0","5,466.0","5,438.0","5,238.0","5,379.0","5,258.0","5,287.0","5,284.0","5,345.0","5,200.0","5,216.0","5,295.0","5,959.0","6,699.0","7,588.0","8,070.0","8,796.0","9,716.0","10,509.0","11,291.0","12,698.0","13,962.0","15,193.0","16,924.0","18,853.0","20,299.0","22,033.0","24,517.0","26,231.0","29,058.0","31,656.0","35,557.0","39,175.0","43,404.0","47,518.0","51,623.0","59,896.0","69,199.0","75,945.0","82,774.0","94,783.0","113,184.0","129,251.0","139,477.0","160,583.0","184,048.0","217,303.0","274,687.0","348,298.0","410,790.0","446,299.0","517,238.0","555,831.0","588,423.0","603,648.0","637,297.0","716,996.0","751,945.0","748,233.0","722,160.0","698,109.0","712,700.0","751,922.0","784,372.0","835,771.0","919,345.0","910,889.0","984,168.0","976,472.0","911,857.0","889,775.0","860,199.0","986,974.0","1,127,482.0","1,266,378.0","1,307,994.0","1,238,457.0"
"33","15","    Personal dividend income","B703RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,560.0","83,288.0","90,643.0","97,396.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,340.0","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0","765,074.0","686,421.0","554,171.0"
"34","16","  Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,012.0","1,188,105.0","1,282,143.0","1,341,748.0","1,415,517.0","1,508,578.0","1,605,003.0","1,718,017.0","1,875,864.0","2,104,752.0"
