"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"19","1","      National income","A032RC1","242,602.0","237,512.0","263,868.0","303,784.0","321,251.0","338,623.0","338,739.0","372,003.0","394,887.0","413,340.0","415,586.0","453,496.0","473,919.0","490,684.0","528,873.0","559,729.0","601,419.0","652,176.0","710,135.0","750,397.0","821,195.0","888,484.0","929,529.0","1,005,624.0","1,110,346.0","1,246,087.0","1,341,472.0","1,444,019.0","1,609,790.0","1,797,433.0","2,027,874.0","2,248,285.0","2,432,951.0","2,729,849.0","2,851,412.0","3,070,891.0","3,461,299.0","3,696,272.0","3,871,460.0","4,150,042.0","4,522,303.0","4,800,513.0","5,059,548.0","5,217,907.0","5,517,103.0","5,784,722.0","6,181,260.0","6,522,329.0","6,931,689.0","7,405,981.0","7,875,586.0","8,357,963.0","8,938,889.0","9,185,209.0","9,408,519.0","9,840,170.0","10,534,046.0","11,273,814.0","12,031,228.0","12,448,157.0","12,635,200.0"
"20","2","Domestic business","A368RC1","211,368.0","203,299.0","226,890.0","258,210.0","269,919.0","284,291.0","281,667.0","310,566.0","328,621.0","341,946.0","338,840.0","371,864.0","385,142.0","395,443.0","425,760.0","449,467.0","482,695.0","524,740.0","569,636.0","596,166.0","651,128.0","702,098.0","724,666.0","779,859.0","863,898.0","975,225.0","1,044,338.0","1,118,626.0","1,253,224.0","1,407,329.0","1,600,301.0","1,770,405.0","1,896,636.0","2,136,241.0","2,198,596.0","2,368,496.0","2,695,804.0","2,880,729.0","3,010,144.0","3,224,159.0","3,516,451.0","3,718,514.0","3,882,007.0","3,969,398.0","4,198,538.0","4,406,024.0","4,744,625.0","5,015,737.0","5,360,451.0","5,772,349.0","6,166,983.0","6,534,583.0","6,994,524.0","7,108,312.0","7,212,749.0","7,515,342.0","8,075,287.0","8,687,545.0","9,336,793.0","9,567,228.0","9,548,372.0"
"21","3","  Corporate business","A441RC1","134,096.0","130,300.0","148,442.0","170,298.0","178,131.0","190,769.0","187,464.0","212,398.0","226,386.0","235,678.0","229,116.0","258,203.0","269,882.0","277,527.0","303,496.0","322,862.0","349,477.0","383,994.0","420,731.0","442,485.0","488,506.0","531,540.0","547,748.0","591,276.0","657,022.0","735,627.0","791,046.0","850,027.0","958,355.0","1,087,125.0","1,241,859.0","1,373,905.0","1,483,168.0","1,680,811.0","1,735,959.0","1,876,217.0","2,118,384.0","2,254,751.0","2,350,826.0","2,526,142.0","2,736,696.0","2,878,645.0","3,003,936.0","3,075,341.0","3,240,195.0","3,403,150.0","3,665,695.0","3,880,717.0","4,119,004.0","4,438,068.0","4,720,939.0","4,998,697.0","5,331,353.0","5,304,448.0","5,366,786.0","5,585,155.0","5,965,041.0","6,434,995.0","6,897,435.0","7,045,000.0","7,075,242.0"
"22","4","    Compensation of employees","A442RC1","91,111.0","88,798.0","98,654.0","114,553.0","123,015.0","133,985.0","132,212.0","144,625.0","158,175.0","166,500.0","163,977.0","180,289.0","190,689.0","195,554.0","210,997.0","222,667.0","239,180.0","259,864.0","288,528.0","308,418.0","341,300.0","378,601.0","400,222.0","425,268.0","472,543.0","533,867.0","587,442.0","614,869.0","695,201.0","784,767.0","901,849.0","1,021,974.0","1,120,064.0","1,239,986.0","1,293,822.0","1,367,059.0","1,513,876.0","1,622,438.0","1,720,379.0","1,840,029.0","1,980,350.0","2,088,261.0","2,200,573.0","2,249,393.0","2,375,532.0","2,488,194.0","2,634,789.0","2,776,049.0","2,914,924.0","3,123,863.0","3,396,831.0","3,628,646.0","3,950,709.0","3,986,221.0","3,980,681.0","4,105,478.0","4,265,862.0","4,498,459.0","4,743,366.0","4,948,017.0","5,005,874.0"
"23","5","      Wage and salary accruals","A443RC1","86,899.0","84,390.0","92,989.0","107,533.0","115,490.0","125,801.0","123,600.0","134,819.0","147,005.0","154,027.0","151,393.0","165,640.0","174,456.0","178,685.0","191,821.0","201,917.0","216,750.0","235,153.0","259,249.0","277,066.0","305,414.0","338,028.0","355,982.0","376,191.0","414,773.0","464,577.0","508,899.0","528,426.0","591,170.0","662,696.0","756,219.0","855,631.0","935,607.0","1,033,425.0","1,073,098.0","1,132,638.0","1,256,796.0","1,351,389.0","1,432,276.0","1,536,556.0","1,656,670.0","1,745,972.0","1,838,152.0","1,865,287.0","1,958,427.0","2,043,672.0","2,163,560.0","2,300,240.0","2,438,630.0","2,635,326.0","2,868,562.0","3,077,602.0","3,344,418.0","3,350,302.0","3,294,379.0","3,356,949.0","3,507,849.0","3,701,409.0","3,930,894.0","4,121,885.0","4,162,906.0"
"24","6","      Supplements to wages and salaries","A444RC1","4,212.0","4,408.0","5,665.0","7,020.0","7,525.0","8,184.0","8,612.0","9,806.0","11,170.0","12,473.0","12,584.0","14,649.0","16,233.0","16,869.0","19,176.0","20,750.0","22,430.0","24,711.0","29,279.0","31,352.0","35,886.0","40,573.0","44,240.0","49,077.0","57,770.0","69,290.0","78,543.0","86,443.0","104,031.0","122,071.0","145,630.0","166,343.0","184,457.0","206,561.0","220,724.0","234,421.0","257,080.0","271,049.0","288,103.0","303,473.0","323,680.0","342,289.0","362,421.0","384,106.0","417,105.0","444,522.0","471,229.0","475,809.0","476,294.0","488,537.0","528,269.0","551,044.0","606,291.0","635,919.0","686,302.0","748,529.0","758,013.0","797,050.0","812,472.0","826,132.0","842,968.0"
"25","7","    Corporate profits with IVA and CCAdj","A445RC1","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,193,945.0","983,188.0"
"26","8","    Net interest and miscellaneous payments","A453RC1","24.0","-41.0","-122.0","-224.0","-249.0","-31.0","170.0","156.0","37.0","173.0","557.0","-211.0","-212.0","406.0","736.0","366.0","794.0","1,221.0","2,304.0","4,026.0","3,912.0","7,755.0","11,271.0","11,458.0","11,319.0","13,045.0","20,706.0","23,409.0","18,797.0","23,321.0","27,519.0","34,892.0","55,933.0","77,749.0","90,028.0","86,599.0","98,824.0","96,875.0","106,318.0","107,648.0","107,788.0","129,975.0","125,774.0","102,644.0","80,582.0","73,469.0","75,033.0","64,679.0","69,251.0","94,823.0","142,183.0","138,983.0","166,631.0","154,181.0","116,169.0","99,406.0","48,595.0","61,613.0","120,430.0","174,838.0","334,028.0"
"27","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1","13,347.0","13,958.0","15,544.0","16,912.0","18,414.0","19,496.0","18,710.0","20,972.0","23,010.0","24,458.0","24,647.0","27,017.0","29,446.0","30,696.0","33,190.0","35,575.0","38,448.0","41,086.0","41,881.0","44,641.0","51,679.0","57,308.0","60,849.0","66,331.0","71,268.0","79,108.0","85,240.0","93,070.0","99,301.0","106,308.0","116,933.0","126,297.0","141,219.0","169,487.0","178,976.0","197,787.0","223,643.0","240,998.0","249,477.0","258,635.0","278,924.0","301,976.0","319,228.0","342,498.0","360,945.0","374,714.0","405,614.0","416,750.0","435,298.0","442,106.0","472,266.0","496,311.0","540,415.0","549,582.0","555,630.0","568,239.0","608,681.0","658,279.0","682,168.0","728,200.0","752,152.0"
"28","10","  Noncorporate business","W461RC1","77,272.0","72,999.0","78,448.0","87,911.0","91,787.0","93,520.0","94,201.0","98,167.0","102,235.0","106,268.0","109,722.0","113,665.0","115,257.0","117,913.0","122,257.0","126,603.0","133,215.0","140,743.0","148,900.0","153,677.0","162,619.0","170,555.0","176,916.0","188,580.0","206,871.0","239,594.0","253,292.0","268,597.0","294,862.0","320,188.0","358,424.0","396,472.0","413,444.0","455,403.0","462,608.0","492,264.0","577,427.0","625,979.0","659,318.0","698,015.0","779,755.0","839,872.0","878,069.0","894,056.0","958,356.0","1,002,870.0","1,078,930.0","1,135,011.0","1,241,440.0","1,334,275.0","1,446,037.0","1,535,893.0","1,663,172.0","1,803,951.0","1,846,104.0","1,930,391.0","2,110,246.0","2,252,609.0","2,439,361.0","2,522,229.0","2,472,869.0"
"29","11","    Compensation of employees","W462RC1","27,083.0","26,951.0","28,850.0","32,195.0","34,373.0","36,029.0","35,841.0","37,228.0","39,312.0","40,754.0","41,204.0","43,516.0","43,906.0","43,839.0","45,163.0","46,616.0","49,268.0","51,041.0","54,425.0","55,907.0","59,115.0","62,050.0","65,180.0","67,128.0","70,573.0","78,941.0","85,947.0","92,755.0","100,767.0","108,454.0","119,536.0","133,358.0","145,575.0","157,806.0","165,970.0","175,240.0","191,439.0","206,297.0","216,309.0","226,381.0","251,503.0","268,037.0","287,462.0","294,880.0","310,290.0","325,461.0","343,017.0","359,688.0","378,697.0","400,599.0","430,701.0","464,631.0","501,666.0","577,079.0","612,214.0","652,811.0","717,026.0","774,062.0","849,463.0","921,769.0","942,063.0"
"30","12","      Wage and salary accruals","W463RC1","26,252.0","26,078.0","27,782.0","30,943.0","33,053.0","34,640.0","34,388.0","35,605.0","37,505.0","38,681.0","39,064.0","40,930.0","41,090.0","40,930.0","42,018.0","43,205.0","45,726.0","47,407.0","50,289.0","51,680.0","54,525.0","57,133.0","59,746.0","60,997.0","63,753.0","71,025.0","76,815.0","81,721.0","87,993.0","93,940.0","104,695.0","116,456.0","126,855.0","137,031.0","143,890.0","150,841.0","164,445.0","176,497.0","184,499.0","193,773.0","213,025.0","225,597.0","240,780.0","245,057.0","257,060.0","269,140.0","285,115.0","299,655.0","316,522.0","336,216.0","362,586.0","391,806.0","423,035.0","480,262.0","508,241.0","541,734.0","591,120.0","639,140.0","704,897.0","767,444.0","784,473.0"
"31","13","      Supplements to wages and salaries","W464RC1","830.0","872.0","1,067.0","1,251.0","1,319.0","1,388.0","1,452.0","1,622.0","1,806.0","2,072.0","2,140.0","2,585.0","2,816.0","2,909.0","3,145.0","3,411.0","3,542.0","3,634.0","4,137.0","4,227.0","4,590.0","4,917.0","5,434.0","6,132.0","6,820.0","7,916.0","9,132.0","11,035.0","12,775.0","14,515.0","14,841.0","16,901.0","18,721.0","20,774.0","22,080.0","24,400.0","26,994.0","29,799.0","31,810.0","32,609.0","38,478.0","42,439.0","46,682.0","49,823.0","53,230.0","56,321.0","57,902.0","60,033.0","62,175.0","64,383.0","68,115.0","72,825.0","78,631.0","96,817.0","103,973.0","111,077.0","125,906.0","134,921.0","144,566.0","154,326.0","157,590.0"
"32","14","    Proprietors' income with IVA and CCAdj","A041RC1","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0"
"33","15","    Rental income of persons with CCAdj","W155RC1","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","69,310.0","81,115.0"
"34","16","    Net interest","W468RC1","1,141.0","1,317.0","1,515.0","1,770.0","1,938.0","2,084.0","2,290.0","2,538.0","2,789.0","3,153.0","3,491.0","3,717.0","3,977.0","4,340.0","4,807.0","5,367.0","6,181.0","6,941.0","7,793.0","8,361.0","9,148.0","10,379.0","11,963.0","13,746.0","15,736.0","19,488.0","23,371.0","26,357.0","28,892.0","32,376.0","36,498.0","44,049.0","52,588.0","64,160.0","72,911.0","77,868.0","95,023.0","106,224.0","115,659.0","113,361.0","124,370.0","143,490.0","141,993.0","136,042.0","122,547.0","115,074.0","119,487.0","117,527.0","122,194.0","131,048.0","144,704.0","138,928.0","156,779.0","161,992.0","136,983.0","133,680.0","135,377.0","181,188.0","207,286.0","236,086.0","139,369.0"
"35","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1","5,269.0","5,661.0","5,788.0","6,180.0","7,173.0","8,070.0","8,374.0","8,759.0","8,821.0","9,126.0","9,204.0","9,646.0","10,253.0","10,148.0","10,485.0","10,897.0","11,240.0","11,491.0","11,366.0","12,654.0","12,914.0","13,575.0","15,094.0","16,993.0","16,720.0","19,249.0","22,934.0","24,459.0","26,061.0","26,519.0","26,940.0","29,438.0","32,574.0","37,282.0","29,153.0","25,878.0","31,291.0","34,252.0","34,906.0","36,460.0","40,720.0","46,498.0","52,682.0","55,786.0","60,221.0","56,481.0","69,647.0","72,533.0","84,100.0","98,998.0","109,089.0","110,899.0","117,394.0","125,532.0","141,496.0","151,271.0","167,804.0","174,295.0","194,515.0","205,265.0","210,991.0"
"36","18","    Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-6,552.0","-6,944.0"
"37","19","    Sole proprietorships and partnerships","A1641C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","96,587.0","97,295.0","99,126.0","102,423.0","104,991.0","110,514.0","116,742.0","123,889.0","127,466.0","134,172.0","140,453.0","144,745.0","154,171.0","168,392.0","197,441.0","208,077.0","220,392.0","241,740.0","263,060.0","296,356.0","329,295.0","338,968.0","368,809.0","367,234.0","388,473.0","462,198.0","495,947.0","524,761.0","557,671.0","629,302.0","680,329.0","709,940.0","711,541.0","764,388.0","807,704.0","876,328.0","924,502.0","1,024,532.0","1,108,889.0","1,214,861.0","1,296,872.0","1,416,665.0","1,552,732.0","1,590,777.0","1,675,066.0","1,843,560.0","1,978,684.0","2,148,806.0","2,209,635.0","2,137,806.0"
"38","20","      Compensation of employees","A1642C1","24,028.0","23,619.0","25,258.0","28,194.0","29,854.0","31,423.0","31,157.0","32,225.0","34,066.0","35,238.0","35,208.0","37,079.0","36,956.0","36,466.0","37,231.0","38,087.0","40,135.0","41,284.0","43,858.0","44,466.0","46,399.0","48,051.0","49,150.0","49,637.0","51,612.0","58,056.0","62,271.0","65,813.0","71,595.0","76,823.0","84,960.0","95,055.0","102,181.0","108,949.0","114,512.0","119,993.0","132,094.0","142,146.0","149,581.0","155,859.0","175,632.0","188,188.0","200,860.0","204,379.0","214,758.0","228,229.0","241,611.0","255,600.0","271,228.0","288,736.0","312,818.0","341,341.0","369,624.0","439,906.0","467,968.0","506,617.0","559,602.0","612,000.0","679,814.0","744,498.0","759,279.0"
"39","21","        Wage and salary accruals","B1643C1","23,252.0","22,807.0","24,274.0","27,044.0","28,636.0","30,125.0","29,775.0","30,728.0","32,444.0","33,428.0","33,393.0","34,931.0","34,646.0","34,099.0","34,670.0","35,321.0","37,294.0","38,380.0","40,505.0","41,060.0","42,696.0","44,184.0","45,066.0","45,329.0","46,821.0","52,418.0","56,111.0","58,978.0","63,719.0","68,017.0","76,166.0","85,208.0","91,755.0","97,947.0","102,977.0","107,257.0","117,397.0","126,182.0","132,148.0","138,478.0","154,212.0","163,871.0","174,535.0","176,269.0","184,970.0","196,039.0","209,079.0","221,493.0","235,666.0","252,016.0","273,570.0","298,753.0","322,997.0","377,084.0","399,494.0","429,901.0","472,671.0","517,744.0","577,848.0","634,500.0","647,015.0"
"40","22","        Supplements to wages and salaries","B1644C1","776.0","812.0","984.0","1,150.0","1,218.0","1,298.0","1,382.0","1,497.0","1,622.0","1,810.0","1,815.0","2,148.0","2,310.0","2,367.0","2,561.0","2,766.0","2,841.0","2,904.0","3,353.0","3,406.0","3,703.0","3,867.0","4,084.0","4,308.0","4,791.0","5,638.0","6,160.0","6,835.0","7,876.0","8,806.0","8,794.0","9,848.0","10,426.0","11,002.0","11,536.0","12,736.0","14,697.0","15,964.0","17,433.0","17,382.0","21,420.0","24,317.0","26,325.0","28,111.0","29,788.0","32,190.0","32,533.0","34,107.0","35,563.0","36,720.0","39,248.0","42,588.0","46,627.0","62,822.0","68,474.0","76,717.0","86,931.0","94,256.0","101,966.0","109,997.0","112,263.0"
"41","23","      Proprietors' income with IVA and CCAdj","A1645C1","39,252.0","34,654.0","37,515.0","42,689.0","43,109.0","42,050.0","42,309.0","44,293.0","45,906.0","47,879.0","50,245.0","50,008.0","50,362.0","52,812.0","54,879.0","56,074.0","58,895.0","63,445.0","67,774.0","69,367.0","73,724.0","77,059.0","78,028.0","84,206.0","95,478.0","113,025.0","112,919.0","119,058.0","131,670.0","145,412.0","166,871.0","180,442.0","172,897.0","181,012.0","174,105.0","189,646.0","231,805.0","245,077.0","261,573.0","292,615.0","332,984.0","349,660.0","363,599.0","365,482.0","413,013.0","447,670.0","482,669.0","513,518.0","581,341.0","625,590.0","685,553.0","745,350.0","816,094.0","869,327.0","889,013.0","929,413.0","1,031,444.0","1,067,352.0","1,129,993.0","1,092,796.0","1,102,002.0"
"42","24","        Farm","B042RC1","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","39,432.0","48,735.0"
