"","Table 2#2A# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"19","1","    Wage and salary disbursements","A576RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,577.0","116,942.0","117,479.0","112,035.0","123,082.0","135,515.0","134,779.0","147,229.0","171,533.0","185,658.0","199,065.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0","551,560.0","583,969.0","638,782.0","708,820.0","772,762.0","814,738.0","899,645.0","994,058.0","1,120,299.0","1,253,495.0","1,373,462.0","1,511,314.0","1,587,521.0","1,677,957.0","1,844,695.0","1,982,780.0","2,102,334.0","2,256,266.0","2,439,783.0","2,583,050.0","2,741,149.0","2,814,527.0","2,973,540.0","3,076,590.0","3,230,839.0","3,418,022.0","3,616,341.0","3,876,569.0","4,181,621.0","4,460,027.0","4,827,698.0"
"20","2","Private industries","A132RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","78,960.0","83,974.0","82,577.0","91,335.0","105,569.0","116,495.0","113,952.0","124,596.0","142,348.0","152,312.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0","434,328.0","457,398.0","501,228.0","560,009.0","611,770.0","638,598.0","710,839.0","791,570.0","900,552.0","1,016,178.0","1,111,961.0","1,225,524.0","1,279,980.0","1,352,717.0","1,496,777.0","1,608,687.0","1,705,114.0","1,833,149.0","1,987,746.0","2,101,944.0","2,222,150.0","2,265,712.0","2,401,539.0","2,487,580.0","2,621,343.0","2,788,996.0","2,968,280.0","3,204,758.0","3,480,383.0","3,726,338.0","4,047,987.0"
"21","3","  Goods-producing industries","A206RC1","21,505.0","18,548.0","14,297.0","9,936.0","9,815.0","12,064.0","13,547.0","15,793.0","18,358.0","15,276.0","17,358.0","19,712.0","27,518.0","39,140.0","48,972.0","50,390.0","45,856.0","46,022.0","54,244.0","61,073.0","57,817.0","64,826.0","76,380.0","82,142.0","89,750.0","85,832.0","93,281.0","100,788.0","104,381.0","100,266.0","109,870.0","113,395.0","113,992.0","122,179.0","127,366.0","135,952.0","146,571.0","161,609.0","168,964.0","184,112.0","200,411.0","203,726.0","209,073.0","228,232.0","255,857.0","276,451.0","277,112.0","309,703.0","346,053.0","392,115.0","441,384.0","471,069.0","512,949.0","513,415.0","526,437.0","584,109.0","616,897.0","633,142.0","656,726.0","703,252.0","728,302.0","750,421.0","743,394.0","763,326.0","778,566.0","822,104.0","861,338.0","904,747.0","970,671.0","1,033,339.0","1,083,200.0","1,159,033.0"
"22","4","    Manufacturing","A552RC1","16,092.0","13,850.0","10,810.0","7,678.0","7,827.0","9,643.0","10,829.0","12,410.0","14,571.0","11,837.0","13,585.0","15,584.0","21,714.0","30,922.0","40,883.0","42,913.0","38,229.0","36,476.0","42,461.0","47,145.0","44,638.0","50,316.0","59,357.0","64,182.0","71,253.0","67,574.0","73,889.0","79,489.0","82,515.0","78,719.0","86,937.0","89,776.0","89,912.0","96,793.0","100,740.0","107,298.0","115,678.0","128,206.0","134,313.0","146,047.0","157,718.0","158,392.0","160,544.0","175,609.0","196,573.0","211,844.0","211,607.0","238,046.0","266,707.0","299,995.0","335,021.0","355,986.0","387,377.0","385,503.0","400,319.0","444,907.0","468,052.0","480,564.0","497,183.0","530,230.0","548,249.0","562,003.0","563,432.0","584,703.0","593,893.0","622,467.0","649,782.0","675,838.0","720,151.0","758,251.0","784,468.0","832,713.0"
"23","5","  Distributive industries","A212RC1","15,558.0","14,491.0","12,523.0","9,758.0","8,804.0","9,918.0","10,708.0","11,765.0","13,162.0","12,631.0","13,284.0","14,202.0","16,320.0","18,010.0","20,129.0","22,705.0","24,773.0","30,993.0","35,203.0","37,537.0","37,655.0","39,907.0","44,363.0","46,978.0","49,903.0","50,294.0","53,563.0","57,955.0","60,748.0","61,078.0","65,147.0","68,580.0","69,638.0","73,268.0","76,768.0","82,032.0","87,853.0","95,055.0","101,607.0","110,790.0","121,707.0","131,217.0","140,402.0","153,329.0","170,280.0","186,755.0","198,123.0","219,518.0","242,737.0","273,810.0","306,927.0","334,667.0","366,048.0","383,643.0","403,337.0","442,099.0","473,055.0","499,223.0","532,341.0","572,633.0","604,393.0","632,137.0","645,550.0","679,496.0","697,854.0","739,934.0","783,467.0","823,822.0","881,418.0","951,237.0","1,023,982.0","1,098,963.0"
"24","6","  Service industries","A218RC1","8,436.0","7,996.0","7,053.0","5,828.0","5,245.0","5,655.0","5,940.0","6,501.0","7,095.0","6,848.0","7,102.0","7,482.0","8,057.0","8,972.0","9,859.0","10,879.0","11,948.0","14,320.0","16,122.0","17,885.0","18,480.0","19,863.0","21,605.0","23,192.0","24,998.0","26,232.0","28,711.0","31,481.0","33,809.0","35,851.0","38,771.0","41,698.0","44,418.0","47,564.0","50,691.0","54,879.0","59,423.0","65,268.0","71,955.0","80,381.0","90,615.0","99,385.0","107,923.0","119,667.0","133,872.0","148,564.0","163,363.0","181,618.0","202,780.0","234,627.0","267,867.0","306,225.0","346,527.0","382,922.0","422,943.0","470,569.0","518,735.0","572,749.0","644,082.0","711,861.0","769,249.0","839,592.0","876,768.0","958,717.0","1,011,160.0","1,059,305.0","1,144,191.0","1,239,711.0","1,352,669.0","1,495,807.0","1,619,156.0","1,789,991.0"
"25","7","Government","B202RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,185.0","33,346.0","34,414.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0","117,232.0","126,571.0","137,554.0","148,811.0","160,992.0","176,140.0","188,806.0","202,488.0","219,747.0","237,317.0","261,501.0","285,790.0","307,541.0","325,240.0","347,918.0","374,093.0","397,220.0","423,117.0","452,037.0","481,106.0","518,999.0","548,815.0","572,001.0","589,010.0","609,496.0","629,026.0","648,061.0","671,811.0","701,238.0","733,689.0","779,711.0"
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
