"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"47","28","  Gross national income","A023RC1","103,609.0","92,336.0","76,234.0","58,784.0","56,158.0","65,860.0","73,856.0","82,828.0","92,266.0","85,818.0","91,243.0","100,621.0","126,818.0","163,195.0","200,735.0","217,504.0","219,445.0","221,711.0","242,937.0","271,067.0","266,692.0","293,810.0","337,576.0","357,536.0","377,260.0","379,335.0","414,789.0","441,991.0","464,184.0","468,841.0","508,909.0","530,503.0","548,866.0","589,431.0","623,061.0","667,785.0","722,895.0","786,589.0","833,332.0","911,613.0","987,675.0","1,037,842.0","1,123,397.0","1,237,497.0","1,386,869.0","1,505,158.0","1,634,398.0","1,817,960.0","2,029,209.0","2,289,288.0","2,547,186.0","2,777,036.0","3,123,191.0","3,284,954.0","3,521,996.0","3,935,646.0","4,201,715.0","4,409,935.0","4,721,136.0","5,133,317.0","5,451,965.0","5,750,750.0","5,942,267.0","6,261,454.0","6,562,737.0","7,000,427.0","7,391,789.0","7,844,206.0","8,369,786.0","8,896,133.0","9,452,353.0","10,123,213.0","10,441,430.0","10,713,498.0","11,194,222.0","11,966,811.0","12,815,189.0","13,691,905.0","14,208,175.0","14,482,286.0","14,143,948.0"
"48","29","  Gross national factor income \2\","X023RC1","96,250.0","84,902.0","69,104.0","51,691.0","48,880.0","58,122.0","65,868.0","74,026.0","83,046.0","76,854.0","82,351.0","91,001.0","115,551.0","151,499.0","188,070.0","203,858.0","204,430.0","205,337.0","224,310.0","250,910.0","245,314.0","270,583.0","312,363.0","329,567.0","347,065.0","349,353.0","381,746.0","406,375.0","426,335.0","430,228.0","466,176.0","484,317.0","501,052.0","538,183.0","567,899.0","608,760.0","660,230.0","722,811.0","764,528.0","833,889.0","902,392.0","946,719.0","1,023,495.0","1,130,798.0","1,269,276.0","1,377,359.0","1,497,433.0","1,668,979.0","1,870,867.0","2,118,712.0","2,365,170.0","2,576,867.0","2,886,684.0","3,042,906.0","3,260,598.0","3,638,559.0","3,879,174.0","4,073,728.0","4,369,655.0","4,752,161.0","5,036,418.0","5,311,074.0","5,467,055.0","5,759,261.0","6,047,120.0","6,436,176.0","6,809,730.0","7,230,573.0","7,726,591.0","8,214,535.0","8,740,930.0","9,364,390.0","9,667,157.0","9,903,386.0","10,353,362.0","11,066,866.0","11,853,541.0","12,677,704.0","13,138,600.0","13,376,695.0","13,053,700.0"
"49","30","  Net domestic product","A362RC1","93,941.0","81,762.0","67,695.0","51,035.0","48,997.0","58,206.0","65,492.0","75,680.0","82,891.0","76,891.0","82,910.0","91,750.0","115,691.0","148,228.0","182,108.0","200,215.0","201,940.0","199,132.0","217,446.0","240,653.0","238,052.0","263,802.0","305,468.0","322,013.0","340,690.0","339,758.0","371,934.0","390,324.0","410,211.0","413,914.0","451,214.0","469,854.0","486,576.0","525,098.0","554,428.0","597,273.0","648,396.0","711,238.0","749,510.0","819,425.0","885,240.0","930,013.0","1,009,044.0","1,110,734.0","1,241,487.0","1,335,766.0","1,447,321.0","1,616,413.0","1,798,354.0","2,032,348.0","2,263,327.0","2,444,058.0","2,733,495.0","2,819,652.0","3,083,501.0","3,456,548.0","3,712,027.0","3,921,592.0","4,165,260.0","4,489,408.0","4,830,694.0","5,109,325.0","5,267,734.0","5,597,955.0","5,889,335.0","6,265,993.0","6,545,195.0","6,925,939.0","7,368,557.0","7,772,948.0","8,259,094.0","8,767,158.0","9,029,946.0","9,337,337.0","9,788,091.0","10,434,988.0","11,097,006.0","11,738,240.0","12,317,610.0","12,594,329.0","12,392,280.0"
"50","31","  Net domestic income","W256RC1","93,176.0","82,176.0","66,924.0","50,734.0","48,453.0","57,807.0","65,703.0","74,480.0","82,921.0","76,206.0","81,610.0","90,661.0","115,352.0","149,103.0","183,905.0","197,636.0","198,071.0","197,963.0","215,178.0","241,146.0","236,232.0","262,428.0","301,892.0","319,266.0","336,724.0","336,644.0","369,554.0","392,091.0","410,285.0","412,958.0","450,735.0","470,806.0","487,165.0","524,780.0","555,252.0","596,499.0","646,897.0","705,065.0","745,004.0","815,110.0","882,369.0","923,136.0","998,030.0","1,101,788.0","1,233,468.0","1,325,952.0","1,431,015.0","1,592,943.0","1,777,141.0","2,006,293.0","2,216,354.0","2,398,766.0","2,696,914.0","2,814,902.0","3,033,806.0","3,425,009.0","3,669,726.0","3,853,848.0","4,132,387.0","4,498,941.0","4,774,589.0","5,025,125.0","5,187,997.0","5,487,963.0","5,753,540.0","6,157,184.0","6,492,673.0","6,900,019.0","7,382,531.0","7,858,269.0","8,330,161.0","8,901,144.0","9,133,300.0","9,359,409.0","9,771,480.0","10,442,837.0","11,176,666.0","11,958,812.0","12,332,438.0","12,493,293.0","12,175,007.0"
"51","32","  Net national factor income \3\","X032RC1","86,583.0","75,451.0","60,309.0","44,005.0","41,475.0","50,348.0","58,056.0","65,940.0","74,070.0","67,621.0","73,091.0","81,321.0","104,501.0","137,818.0","171,571.0","184,314.0","183,321.0","182,241.0","197,661.0","222,445.0","216,134.0","240,641.0","278,571.0","293,282.0","308,428.0","308,757.0","338,960.0","359,271.0","375,491.0","376,973.0","410,763.0","427,733.0","442,870.0","477,625.0","504,567.0","542,394.0","589,511.0","646,357.0","681,593.0","743,471.0","803,201.0","838,406.0","905,722.0","1,003,647.0","1,128,494.0","1,213,673.0","1,307,054.0","1,460,809.0","1,639,091.0","1,857,298.0","2,066,269.0","2,232,782.0","2,493,342.0","2,609,364.0","2,809,493.0","3,164,212.0","3,373,731.0","3,535,253.0","3,798,561.0","4,141,147.0","4,384,966.0","4,619,872.0","4,742,695.0","5,014,910.0","5,269,105.0","5,617,009.0","5,940,270.0","6,318,056.0","6,762,786.0","7,193,988.0","7,646,540.0","8,180,066.0","8,410,936.0","8,598,407.0","8,999,310.0","9,634,101.0","10,312,166.0","11,017,027.0","11,378,582.0","11,529,609.0","11,189,708.0"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
