"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 25, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2010 8:47:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      National income without capital consumption adjustment","A422RC1","9,061,580.0","9,085,526.0","9,019,231.0","9,005,363.0","9,093,646.0","9,172,570.0","9,217,160.0","9,341,241.0","9,441,330.0","9,556,789.0","9,700,179.0","9,902,917.0","10,107,650.0","10,281,058.0","10,486,502.0","10,620,568.0","11,082,388.0","11,228,509.0","11,444,882.0","11,659,884.0","11,954,012.0","12,059,338.0","12,177,455.0","12,316,632.0","12,335,295.0","12,516,453.0","12,588,042.0","12,748,081.0","12,567,037.0","12,573,843.0","12,695,133.0","12,353,396.0","12,218,196.0","12,207,452.0","12,236,879.0","12,409,628.0","12,768,024.0"
"21","2","Domestic industries","A423RC1","9,020,444.0","9,035,926.0","8,992,256.0","8,915,438.0","9,042,628.0","9,139,791.0","9,169,757.0","9,276,003.0","9,389,508.0","9,491,237.0","9,634,606.0","9,811,101.0","9,997,053.0","10,195,240.0","10,389,706.0","10,548,942.0","10,975,564.0","11,132,282.0","11,337,769.0","11,581,455.0","11,873,503.0","11,983,821.0","12,115,525.0","12,244,927.0","12,271,342.0","12,440,326.0","12,449,566.0","12,563,760.0","12,396,015.0","12,444,975.0","12,534,383.0","12,246,410.0","12,118,254.0","12,114,828.0","12,115,358.0","12,303,919.0","12,636,123.0"
"22","3","  Private industries","A736RC1","7,973,683.0","7,974,961.0","7,908,403.0","7,823,960.0","7,922,825.0","8,007,797.0","8,020,515.0","8,108,912.0","8,189,885.0","8,276,305.0","8,411,404.0","8,579,819.0","8,738,436.0","8,923,955.0","9,109,397.0","9,256,010.0","9,653,702.0","9,802,966.0","9,997,191.0","10,231,864.0","10,496,993.0","10,593,918.0","10,709,201.0","10,823,572.0","10,823,933.0","10,975,595.0","10,969,728.0","11,067,953.0","10,874,138.0","10,908,087.0","10,983,239.0","10,686,421.0","10,538,958.0","10,517,358.0","10,512,011.0","10,694,397.0","11,011,426.0"
"23","4","    Agriculture, forestry, fishing, and hunting","N5004C1","73,683.0","71,451.0","72,755.0","72,495.0","63,485.0","61,424.0","70,477.0","74,904.0","75,897.0","83,134.0","85,026.0","89,274.0","108,548.0","107,990.0","98,715.0","101,227.0","92,775.0","92,725.0","93,161.0","92,465.0","86,567.0","88,938.0","92,662.0","99,560.0","105,363.0","106,080.0","108,811.0","118,513.0","125,606.0","117,371.0","116,669.0","106,727.0","96,392.0","96,708.0","92,256.0","101,117.0","100,290.0"
"24","5","    Mining","N5005C1","109,921.0","107,240.0","98,066.0","82,114.0","75,688.0","78,762.0","81,405.0","88,974.0","100,095.0","100,852.0","105,334.0","106,790.0","118,832.0","123,281.0","123,762.0","134,070.0","145,680.0","152,496.0","162,674.0","191,601.0","200,226.0","193,221.0","201,426.0","200,524.0","181,989.0","196,605.0","195,023.0","205,104.0","213,745.0","227,450.0","252,131.0","233,183.0","199,714.0","183,613.0","181,543.0","191,628.0","228,768.0"
"25","6","    Utilities","N5006C1","136,323.0","137,395.0","146,258.0","140,067.0","129,041.0","134,181.0","136,032.0","138,532.0","136,454.0","134,364.0","137,485.0","138,897.0","144,379.0","148,379.0","149,268.0","154,520.0","158,269.0","160,044.0","154,719.0","172,021.0","185,027.0","194,353.0","203,506.0","202,960.0","195,574.0","193,546.0","195,931.0","202,259.0","183,780.0","194,699.0","194,583.0","194,033.0","207,654.0","205,855.0","212,095.0","199,949.0","222,738.0"
"26","7","    Construction","N5007C1","511,780.0","511,838.0","510,640.0","502,984.0","510,063.0","510,944.0","514,262.0","521,720.0","529,659.0","526,672.0","534,331.0","548,407.0","551,619.0","570,884.0","596,707.0","614,055.0","626,743.0","650,318.0","667,390.0","683,649.0","717,193.0","707,330.0","696,813.0","685,890.0","708,021.0","701,072.0","686,130.0","679,544.0","642,664.0","631,338.0","619,799.0","611,581.0","573,769.0","550,420.0","548,192.0","531,477.0","534,215.0"
"27","8","    Manufacturing","N5008C1","1,127,609.0","1,113,924.0","1,060,079.0","986,898.0","1,023,932.0","1,042,313.0","1,038,582.0","1,047,530.0","1,060,773.0","1,049,482.0","1,065,976.0","1,121,451.0","1,123,302.0","1,159,554.0","1,193,487.0","1,210,213.0","1,282,468.0","1,286,415.0","1,315,318.0","1,334,966.0","1,385,434.0","1,392,801.0","1,428,099.0","1,397,164.0","1,416,757.0","1,456,474.0","1,390,105.0","1,434,644.0","1,345,284.0","1,317,117.0","1,356,143.0","1,293,568.0","1,209,514.0","1,198,039.0","1,171,158.0","1,211,682.0","1,274,295.0"
"28","9","      Durable goods","N5009C1","665,568.0","637,384.0","584,193.0","537,010.0","577,757.0","599,986.0","601,846.0","603,713.0","610,422.0","605,260.0","602,533.0","637,188.0","634,264.0","654,841.0","672,212.0","677,108.0","723,276.0","736,791.0","753,160.0","762,779.0","795,273.0","763,353.0","801,547.0","805,205.0","802,950.0","806,727.0","797,611.0","818,696.0","778,104.0","735,589.0","751,565.0","705,648.0","668,691.0","656,426.0","633,273.0","664,555.0","711,415.0"
"29","10","      Nondurable goods","N5010C1","462,042.0","476,540.0","475,885.0","449,888.0","446,175.0","442,328.0","436,738.0","443,817.0","450,351.0","444,222.0","463,442.0","484,263.0","489,037.0","504,713.0","521,275.0","533,105.0","559,192.0","549,626.0","562,161.0","572,185.0","590,162.0","629,448.0","626,553.0","591,961.0","613,807.0","649,747.0","592,494.0","615,947.0","567,179.0","581,528.0","604,579.0","587,920.0","540,823.0","541,613.0","537,883.0","547,126.0","562,880.0"
"30","11","    Wholesale trade","N5011C1","561,258.0","556,992.0","560,635.0","575,466.0","565,664.0","566,412.0","555,584.0","560,050.0","564,214.0","575,348.0","591,003.0","598,829.0","614,441.0","633,339.0","649,537.0","639,944.0","671,900.0","695,872.0","686,337.0","699,348.0","730,590.0","734,440.0","747,118.0","752,672.0","767,826.0","784,131.0","776,323.0","754,478.0","724,348.0","737,761.0","768,608.0","783,619.0","744,798.0","730,950.0","714,511.0","723,522.0","748,365.0"
