"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:48:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERG3",10.517,10.073,8.995,7.934,7.652,7.999,8.194,8.268,8.57,8.376,8.295,8.365,8.883,9.989,10.907,11.534,11.995,12.831,14.132,14.932,14.818,14.996,16.016,16.345,16.563,16.704,16.772,17.108,17.628,18.043,18.314,18.615,18.81,19.032,19.254,19.536,19.819,20.322,20.834,21.645,22.626
"9","2","Household consumption expenditures \1\","DPHCRG3",10.34,9.902,8.838,7.786,7.51,7.849,8.042,8.113,8.408,8.217,8.137,8.207,8.717,9.807,10.712,11.33,11.783,12.598,13.865,14.647,14.532,14.702,15.7,16.027,16.239,16.374,16.436,16.76,17.266,17.672,17.949,18.268,18.46,18.676,18.893,19.173,19.446,19.936,20.436,21.233,22.188
"10","3","  Food and beverages purchased for off-premises consumption","DFXARG3",11.475,10.738,8.673,7.094,7.133,8.019,8.642,8.656,8.921,8.247,8.166,8.213,9.079,10.857,12.504,12.838,13.229,14.603,16.817,17.649,16.941,17.027,18.817,19.274,18.9,18.889,18.544,18.679,19.245,20.047,19.841,20.007,20.108,20.26,20.473,20.886,21.308,22.207,22.235,22.909,23.936
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRG3",10.138,9.522,7.741,6.371,6.439,7.329,7.878,7.877,8.151,7.466,7.398,7.398,8.151,9.796,11.303,11.371,11.714,13.152,15.481,16.44,15.823,16.029,17.81,18.152,17.81,17.81,17.468,17.604,18.153,18.974,18.759,18.915,19.015,19.162,19.378,19.821,20.235,21.151,21.154,21.809,22.842
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRG3",NA,NA,NA,NA,16.503,15.698,15.359,15.17,15.324,15.472,15.623,16.005,16.999,19.372,21.513,24.218,24.715,25.638,26.378,26.005,25.657,25.049,25.975,27.957,27.497,28.105,27.95,28.218,28.832,28.992,29.256,29.717,29.818,29.958,30.25,30.426,30.606,30.954,31.401,32.111,32.812
"13","6","    Food produced and consumed on farms","DFFDRG3",18.713,16.931,12.88,9.964,9.558,11.017,14.094,14.661,15.147,12.799,12.07,12.394,15.552,19.684,23.979,24.384,25.76,27.623,31.997,33.051,28.678,27.135,31.995,31.755,30.541,28.026,27.054,26.571,27.543,29.407,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031
"14","7","  Clothing, footwear, and related services","DCAFRG3",25.462,24.412,21.622,18.104,18.327,20.89,20.528,20.508,21.529,21.094,20.645,20.843,22.708,26.91,29.87,33.503,36.168,39.035,42.204,44.746,43.181,42.974,46.644,46.023,46.082,46.216,46.187,47.176,48.017,48.312,48.715,49.513,49.826,50.043,50.537,51.036,51.549,53.047,55.261,58.282,61.388
"15","8","    Clothing","DCLTRG3",27.015,25.973,23.109,19.319,19.782,22.812,22.439,22.378,23.499,22.96,22.431,22.633,24.797,29.458,32.729,36.928,40.022,43.068,45.985,48.6,46.698,46.306,49.953,49.324,49.442,49.41,49.267,50.077,50.858,51.09,51.202,51.874,52.164,52.293,52.802,53.367,53.831,55.111,57.334,60.487,63.618
"16","9","      Garments","DGARRG3",29.004,27.756,24.33,19.888,20.545,24.192,23.796,23.785,25.054,24.35,23.732,23.989,26.543,31.985,36.155,41.58,45.666,49.252,52.344,55.371,52.701,52.03,56.182,55.308,55.231,55.14,54.833,55.554,56.227,56.352,56.448,56.969,57.251,57.292,57.782,58.386,58.792,60.062,62.437,66.009,69.473
"17","10","        Women's and girls' clothing","DWGCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.08,66.375,66.491,66.389,66.813,67.375,67.647,68.941,71.879,76.022,79.506
"18","11","        Men's and boys' clothing","DMBCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.082,47.921,48.496,48.76,49.378,50.084,50.688,52.027,53.896,56.979,60.646
"19","12","        Children's and infants' clothing","DCICRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.804,33.675,32.479,31.839,31.829,31.941,32.104,32.358,32.711,34.109,35.202
"20","13","      Other clothing materials","DOCMRG3",31.096,29.709,26.024,21.283,22.493,26.763,26.191,26.175,27.567,26.795,25.956,26.321,29.051,34.355,35.808,37.71,39.623,43.156,46.992,49.578,46.713,46.329,50.152,48.531,48.395,48.305,48.079,48.575,49.02,49.132,49.235,49.517,49.693,49.632,49.988,50.294,50.7,51.655,53.75,56.656,59.575
"21","14","      Cleaning, repair, and rental of clothing","DCRCRG3",7.346,7.296,7.183,6.957,6.692,6.637,6.539,6.411,6.586,6.676,6.644,6.612,6.75,7.279,7.606,8.028,8.138,8.546,9.341,9.818,10.102,10.298,11.025,11.189,11.515,11.585,11.759,12.226,12.716,12.976,13.047,13.59,13.734,13.952,14.215,14.41,14.723,15.337,16.048,16.653,17.418
"22","15","        Laundry and dry cleaning services","DDRYRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.144,13.845,14.046,14.333,14.728,14.988,15.292,15.907,16.597,17.2,17.989
"23","16","        Clothing repair, rental, and alterations","DLGRRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.859,13.214,13.292,13.435,13.557,13.681,14.004,14.617,15.364,15.977,16.713
"24","17","    Footwear \2\","DFTWRG3",18.208,17.221,14.912,12.574,12.111,13.105,12.82,12.919,13.542,13.439,13.27,13.433,14.217,16.627,18.356,19.818,20.861,22.915,26.582,28.696,28.36,28.765,32.26,31.697,31.53,32.291,32.695,34.321,35.361,35.884,37.36,38.609,39.003,39.553,39.973,40.192,40.894,43.267,45.396,47.8,50.729
"25","18","  Housing, utilities, and fuels","DHUFRG3",11.931,11.623,11.013,9.978,9.122,8.561,8.561,8.704,9.003,9.201,9.167,9.219,9.381,9.641,9.755,9.863,9.956,10.172,10.624,11.347,11.639,11.989,12.453,12.902,13.469,13.808,14.016,14.249,14.543,14.782,15.019,15.268,15.493,15.651,15.825,15.942,16.089,16.322,16.615,17.002,17.539
"26","19","    Housing","DHSGRG3",13.121,12.748,12.023,10.765,9.661,8.81,8.851,9.051,9.474,9.773,9.767,9.799,9.966,10.22,10.285,10.374,10.499,10.743,11.15,11.837,12.229,12.647,13.201,13.764,14.467,14.906,15.122,15.38,15.668,15.982,16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039
"29","22","      Rental value of farm dwellings","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409
"30","23","      Group housing","DGRHRG3",10.579,10.371,9.816,8.962,8.049,7.584,7.578,7.726,8.095,8.31,8.386,8.282,8.408,8.874,9.246,9.384,9.502,9.717,10.23,10.838,11.307,11.679,12.448,12.989,13.576,14,14.373,14.818,15.379,15.795,16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.614,17.888,18.184,18.924
"31","24","    Household utilities and fuels","DUTFRG3",8.542,8.404,8.095,7.648,7.424,7.581,7.488,7.49,7.5,7.461,7.366,7.459,7.6,7.86,8.072,8.218,8.237,8.381,8.902,9.661,9.716,9.891,10.126,10.291,10.508,10.593,10.77,10.934,11.229,11.281,11.427,11.642,11.852,11.888,11.968,11.935,12.017,12.163,12.323,12.554,12.878
"32","25","      Water supply and sanitation","DWRSRG3",4.059,4.06,4.06,3.927,3.573,3.618,3.795,3.794,3.794,3.795,3.75,3.838,3.794,3.839,3.838,3.927,4.015,4.103,4.28,4.412,4.456,4.72,4.897,5.339,5.648,5.956,6.53,6.706,7.235,7.677,7.989,8.242,8.458,8.676,8.941,9.073,9.297,9.641,9.864,10.334,11.033
