"","Table 2#8#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"1","[Index numbers, 2005=100; seasonally adjusted]                                                                                                                                                                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:48:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"9","1","    Personal consumption expenditures (PCE)","DPCERA3",19.192,19.391,19.575,19.504,19.739,19.811,19.744,19.863,20.062,19.925,19.916,19.894,19.95,20.037,20.321,20.636,20.22,20.215,20.256,20.237,20.334,20.433,20.363,20.113,20.164,20.238,20.489,20.5,20.624,20.674,20.612,20.685,20.8,20.93,21.132,21.279,21.285,21.276,21.453,21.527,21.692,21.583,21.654,21.715,21.959,21.851,22.14,22.262,22.251,22.168,22.281,22.363,22.379,22.595,22.712,22.792,22.75,22.737,22.907,23.18,23.257,23.422,23.504,23.544,23.869,24.005,24.181,24.326,24.223,24.381,24.159,24.393,24.565,24.956,25.034,25.212,25.188,24.979,25.292,25.478,25.904,26.265,26.255,26.309,26.477,26.654,26.861,26.876,26.626,26.697,26.928,26.97,27.219,27.099,27.156,27.2,27.329,27.229,27.371,27.63,27.628,27.79,27.692,27.775,28.007,27.745,27.935,28.307,28.486,28.514,28.992,28.887,29.087,29.337,29.61,29.692,29.651,29.701,29.866,29.794,30.036,30.228,30.096,30.217,30.419,30.302,30.262,30.539,30.577,30.735,30.7,30.672
"10","2","Goods","DGDSRA3",18.861,19.098,19.392,19.211,19.516,19.532,19.387,19.536,19.796,19.512,19.436,19.296,19.371,19.504,19.953,20.41,19.614,19.627,19.722,19.705,19.84,19.931,19.721,19.259,19.257,19.391,19.706,19.634,19.76,19.841,19.759,19.872,19.99,20.084,20.339,20.524,20.515,20.45,20.696,20.697,20.895,20.677,20.764,20.819,21.163,20.898,21.311,21.518,21.528,21.333,21.46,21.513,21.542,21.799,21.879,21.887,21.739,21.625,21.867,22.235,22.26,22.487,22.502,22.512,23.021,23.131,23.391,23.599,23.276,23.493,22.962,23.296,23.54,24.203,24.279,24.449,24.293,23.802,24.272,24.533,25.223,25.735,25.574,25.572,25.852,26.11,26.366,26.314,25.772,25.85,26.173,26.254,26.632,26.357,26.303,26.233,26.409,26.267,26.421,26.823,26.736,26.918,26.594,26.627,27.016,26.481,26.756,27.318,27.45,27.498,28.172,27.839,28.151,28.372,28.83,28.896,28.702,28.708,28.896,28.684,29.084,29.292,29.068,29.143,29.331,29.033,28.973,29.367,29.323,29.459,29.266,29.253
"11","3","  Durable goods","DDURRA3",7.434,7.765,7.797,7.898,7.937,8.028,7.925,8.099,8.299,7.846,7.826,7.489,7.579,8.008,8.32,8.613,8.02,7.818,7.886,8.045,8.324,8.249,7.911,7.487,7.34,7.393,7.614,7.516,7.626,7.669,7.729,7.795,7.844,7.96,8.186,8.355,8.327,8.288,8.416,8.47,8.667,8.565,8.562,8.533,8.793,8.571,9.102,9.357,9.29,9.155,9.124,9.282,9.317,9.561,9.652,9.414,9.444,9.372,9.636,9.95,10.028,10.095,9.964,10.054,10.327,10.492,10.664,10.766,10.462,10.643,10.22,10.049,10.581,11.343,11.864,11.696,11.306,10.84,11.114,11.54,12.346,12.249,12.176,12.05,12.395,12.716,13.098,12.715,12.05,11.919,12.157,12.619,13.112,12.784,12.578,12.511,12.611,12.176,12.369,12.914,12.823,13.016,12.815,12.632,12.996,12.604,12.737,13.199,13.485,13.414,14.038,13.686,14.091,14.031,14.512,14.582,14.595,14.554,14.389,14.489,14.831,14.878,14.54,14.72,14.723,14.688,14.365,14.666,14.974,14.724,14.573,14.538
