"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 8:59:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Current receipts","W023RC1",105.5,120.1,134.9,158.4,174.3,188.1,209.6,233.7,259.9,287.6,308.4,338.2,370.2,391.4,428.6,480.2,521.1,561.6,590.6,635.5,687.5,738,789.4,846.2,888.2,944.8,991.9,1045.1,1099.5,1164.5,1240.4,1322.6,1374,1412.7,1496.3,1601,1730.4,1829.7,1923.1,1944.8,1953.6,2064.7
"9","2","Current tax receipts","W070RC1",82.5,91.3,101.7,115.6,126.3,136,147.4,165.7,183.7,198.2,212,230,255.8,273.2,300.9,337.3,363.7,389.5,422.1,452.8,488,519.1,544.3,579.8,604.7,644.2,672.1,709.6,749.9,794.9,840.4,893.2,914.3,928.7,977.7,1059.4,1163.1,1249,1313.6,1326.4,1252.8,1307.9
"10","3","  Personal current taxes","W071RC1",12.8,14.2,15.9,20.9,22.8,24.5,26.9,31.1,35.4,40.5,44,48.9,54.6,59.1,66.1,76,81.4,87.2,96.6,102.1,114.6,122.6,125.3,135.3,141.1,148,158.1,168.7,182,201.2,214.5,236.7,243,221.8,226.2,248.6,276.7,302.5,323.1,334.4,284.8,297.5
"11","4","    Income taxes","B245RC1",9.8,10.9,12.4,17.2,18.9,20.4,22.5,26.3,30.4,35,38.2,42.6,47.9,51.9,58.3,67.5,72.1,77.4,86,90.6,102.3,109.6,111.7,120.4,126.2,132.2,141.7,152.3,164.7,183,195.5,217.4,223.3,201.3,204.1,224.7,251.7,276.1,295.9,307.7,256.6,266.9
"12","5","    Other","B247RC1",3,3.3,3.5,3.7,4,4.2,4.4,4.8,5,5.5,5.8,6.3,6.7,7.3,7.8,8.6,9.2,9.8,10.6,11.5,12.4,13,13.6,14.9,14.8,15.7,16.4,16.3,17.3,18.2,19,19.4,19.7,20.5,22.1,23.8,25,26.4,27.2,26.7,28.2,30.6
"13","6","  Taxes on production and imports","W072RC1",66,73.3,81.5,89.4,97.4,104.8,113.2,125,136.9,145.6,154.4,166.7,185.7,200,218.9,242.5,262.1,279.7,301.6,324.6,349.1,374.1,395.3,420.1,436.8,466.3,482.4,507.9,533.8,558.8,590.2,621.3,642.4,676,717.5,769.1,831.4,887.4,932.7,944.6,920.6,952.6
"14","7","    Sales taxes","B248RC1",28.6,31.6,35.4,39.8,44.1,48.2,51.7,57.8,64,71,77.3,82.9,90.7,96.2,107.7,121,131.1,139.9,150.3,162.4,172.3,184.3,190.7,204.3,216.4,231.4,242.7,256.2,268.7,283.9,301.6,316.8,321.8,331.1,348.8,370.7,402.2,430.4,447.1,444,421.8,438.3
"15","8","    Property taxes","B249RC1",32.8,36.7,40.4,43.2,46.4,49,53.4,58.2,63.2,63.7,64.4,68.8,77.1,85.3,91.9,99.7,107.5,116.2,126.4,136.5,149.9,161.5,176.1,184.7,187.3,199.4,202.6,212.4,223.5,231,242.8,254.7,268,289.4,306.8,326.7,346.9,370.1,396,408.3,419.8,430.6
"16","9","    Other","W073RC1",4.7,5,5.7,6.4,7,7.7,8.1,9,9.7,10.9,12.7,15,17.9,18.5,19.4,21.8,23.5,23.7,24.9,25.7,26.9,28.3,28.6,31.1,33.1,35.5,37,39.4,41.6,43.9,45.8,49.8,52.6,55.5,61.9,71.7,82.3,86.9,89.7,92.3,79,83.6
"17","10","  Taxes on corporate income","B102RC1",3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,57.8,47.4,47.4,57.9
"18","11","Contributions for government social insurance","B104RC1",1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.9,20.1,24.1,24.8,21.8,18.9,19,20.2,20.8
