"","Table 2#3#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Quarters seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:47:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Personal consumption expenditures (PCE)","DPCERV1",-4.2,-10.7,-11.8,-3.6,4.5,2.4,0.9,3.7,-2.3,-1,0.8,6.2,12.5,9.2,5.7,4,7,10.1,5.7,-0.8,1.2,6.8,2.1,1.3,0.9,0.4,2,3,2.4,1.5,1.6,1,1.2,1.2,1.5,1.4,2.5,2.5,3.9,4.5
"9","2","Goods","DGDSRV1",-5.3,-13.8,-13.8,-0.8,9.9,2.6,0.4,3.6,-4,-1.5,0.9,8.2,16.5,11.5,6.7,4.6,7.6,12,5.9,-2.3,0.3,8.1,1,-0.5,-0.4,-0.6,1.7,3.1,2.3,0.5,0.8,0.4,0.5,0.8,1.1,1,2.2,1.8,3.5,3.9
"10","3","  Durable goods","DDURRV1",-5.9,-10.7,-11.9,-2.4,6,-0.6,0.6,4.1,-0.1,-1.2,1,7.4,17.1,9.1,12.4,5.8,4.1,8.8,5.1,0.7,0.5,6.7,0.6,-0.8,-2.2,-0.4,2.4,3.7,1.8,1.6,-0.4,0.3,0.4,0.4,0.5,-0.8,-0.2,1.6,3.2,2.8
"11","4","    Motor vehicles and parts","DMOTRV1",-3.7,-6.7,-6.2,-6.2,4.7,-1.5,0.5,2.5,4,-2.3,0.2,8.7,28.1,5.3,7.4,1.6,25.2,9.9,7.7,3.5,0.3,5.1,4.1,-1.9,-3.5,1.2,4.5,6.3,3.8,5,-1.9,0.6,1.6,0.8,0.8,-0.8,-0.7,1.4,3.4,2
"12","5","    Furnishings and durable household equipment","DFDHRV1",-3.8,-11.2,-13.7,0.3,8.1,0.6,0.7,6.7,-1.8,-0.7,1,7.5,15.6,14.3,14.9,8.5,0.4,7,4.2,-2.4,1.7,10.2,-1,0.2,-0.5,-0.7,0.8,1.7,-0.2,0.1,0.9,0.3,-0.1,0,0.1,-0.6,0.8,2.2,3.9,3.6
