"","Table 2#8#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"1","[Seasonally adjusted at monthly rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:49:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"9","1","    Personal consumption expenditures (PCE)","DPCERV1",NA,0.1,0.1,0.2,0,0.3,0.2,0.1,0.3,0.2,0.1,0.1,0,0.1,0.1,0.4,0.1,0,0.2,0.2,0.1,0.1,0.3,0,0,0.1,-0.1,-0.1,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,0.3,0.1,0.1,0.1,0.1,-0.1,0.1,0.5,-0.1,0.1,0,0.3,0.1,-0.1,0,0.2,0.2,0.2,0.1,0,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0.1,0.2,0.2,0.3,0.1,0,0,0,0.2,0.4,0.1,0.4,0.2,0.4,0.1,0.3,0.2,0.4,0.3,0.3,0.2,0.2,0,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.2,0.4,0.3,0.5,0.4,0.4,0.5,0.4,0.3,0.4,0.3,0.4,0.5
"10","2","Goods","DGDSRV1",NA,0,0,0.1,0,0.2,0.1,0,0.2,0.2,-0.1,0,-0.2,0,0.1,0.5,0,-0.1,0.1,0.2,-0.1,0.1,0.4,-0.1,0,0,-0.1,-0.3,0,-0.1,0.3,0.1,0,-0.1,-0.1,-0.1,0.1,0.4,0.1,0.1,-0.1,0,-0.2,0.2,0.9,-0.3,0,-0.2,0.2,0.1,-0.2,-0.1,0.1,0.4,0.3,0.2,-0.2,0.1,0.1,0.2,0.3,0.1,-0.1,0,-0.1,0.1,0.1,-0.1,0.2,0,0.2,0.1,0.1,-0.1,0.2,0.2,0.3,0.5,0,-0.2,-0.1,-0.1,0.1,0.5,0,0.6,0.3,0.3,-0.1,0.1,0.1,0.5,0.3,0.1,0,0.2,-0.2,0,0,0,0.2,0.3,0.5,0.4,0.3,0.2,0.4,0,0.5,0.3,0.2,0.3,0.4,0.2,0.3,0.4,0.3,0.4,0.3,0,0.3,0.2,0.4,0.5,0.3,0.6,0.4,0.2,0.3,0.2,0.4,0.4
"11","3","  Durable goods","DDURRV1",NA,0.1,0.1,0.1,0.2,0.2,0,-0.5,0.2,-0.1,0.1,0,-0.2,0.2,-0.3,0.1,0,-0.3,0,0,-0.4,-0.1,0.7,-0.7,0.2,0,0.1,0.2,0.2,0.1,0.1,0.2,0.3,-0.1,-0.5,0.1,-0.1,0.1,0.2,-0.2,0,0.3,0.1,0,0.1,-0.5,0,0,-0.1,0.2,0.1,0,0.1,0.2,-0.1,-0.1,0.6,0,-0.2,0,0.1,0.2,-0.1,0,-0.1,0,0.1,-0.1,-0.1,-0.2,0.2,0.1,0,-0.1,0,-0.1,0.1,-0.8,-0.1,0.1,0,-0.8,0,0.6,-0.8,0.4,0,0.3,0,0.1,0.3,0.1,0.1,0.2,0.1,0.5,-0.5,-0.2,0,0.3,0.2,0.1,0.6,0.4,0.3,0.5,0.3,-0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,-0.2,0.2,0.4,0.5,0.2,0,0.2,0.2,0.2,0,0.4,0.2,0
"12","4","  Nondurable goods","DNDGRV1",NA,0,-0.1,0.1,-0.1,0.2,0.1,0.2,0.3,0.2,-0.2,0,-0.2,0,0.2,0.6,0,0,0.2,0.2,0.1,0.2,0.4,0.1,0,0,-0.2,-0.5,-0.1,-0.2,0.3,0.1,-0.1,-0.1,0,-0.1,0.2,0.4,0,0.2,-0.1,-0.2,-0.3,0.3,1.2,-0.3,0,-0.2,0.4,0.1,-0.3,-0.1,0.1,0.4,0.4,0.2,-0.4,0.2,0.2,0.3,0.3,0,0,0,-0.2,0.2,0.2,-0.1,0.3,0.1,0.2,0.2,0.1,-0.1,0.2,0.3,0.3,1,0,-0.2,-0.2,0.2,0.1,0.4,0.4,0.7,0.5,0.3,-0.1,0.1,0.1,0.7,0.3,0.1,0,0.1,-0.1,0,-0.1,0,0.2,0.4,0.4,0.4,0.2,0.1,0.4,0.1,0.5,0.4,0.2,0.3,0.4,0.2,0.3,0.5,0.3,0.5,0.3,0.1,0.4,0.1,0.4,0.6,0.4,0.8,0.4,0.2,0.5,0.1,0.6,0.6
"13","5","Services","DSERRV1",NA,0.1,0.2,0.3,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.4,0.3,0.2,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.5
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
