"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 8:59:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Government consumption expenditures and gross investment","A822RL1",-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.3,2.6,1.7,0.7
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","      Consumption expenditures \1\","A955RZ2",1.15,-1.06,-0.2,0.4,-0.82,1.7,1.92,0.19,1.6,1.69,0.81,1.44,1.45,1.96,2.4,1.33,4.59,4.44,1.38,1.36,2.01,2.01,1.01,0.31,-0.15,0.28,0.18,0.37,1.41,1.52,2.31,1.46,3.08,3.7,1.82,1.2,0.46,0.82,1.05,1.81,1.64,0.72
"12","3","      Gross investment \2\","A782RZ2",-1.38,-1.35,-1.98,-1.13,0.47,0.82,0.33,0.26,-0.51,1.26,1.05,0.51,-0.54,-0.2,1.26,2.03,2.37,1.64,1.03,-0.1,0.71,1.16,0.08,0.16,-0.64,-0.29,0.4,0.64,0.47,0.6,1.27,0.57,0.76,0.95,0.41,0.15,-0.13,0.54,0.28,0.78,0.05,-0.05
"13","4","        Structures","A760RZ2",-0.75,-0.97,-0.12,-0.58,-0.02,-0.12,-0.06,-0.18,-0.61,1.04,0.23,0.05,-1,-0.86,-0.01,0.81,0.88,0.6,0.31,0.05,0.01,0.64,0.22,0.16,-0.15,-0.02,0.34,0.4,0.47,-0.01,0.62,0.34,0.54,0.53,0.12,-0.28,-0.52,0.05,-0.07,0.12,-0.09,-0.36
"14","5","        Equipment and software","A871RZ2",-0.63,-0.38,-1.86,-0.55,0.5,0.94,0.39,0.44,0.1,0.22,0.83,0.46,0.46,0.66,1.26,1.22,1.49,1.05,0.72,-0.16,0.7,0.52,-0.14,0,-0.49,-0.27,0.06,0.23,0,0.6,0.65,0.22,0.22,0.43,0.29,0.43,0.39,0.49,0.35,0.66,0.14,0.32
"15","6","Federal","A823RZ2",-1.82,-3.77,-3.75,-1.9,-1.91,0.38,0.14,0.02,0.89,1.06,1.01,1.99,2.06,1.73,3.02,1.45,3.67,2.65,1.63,-0.75,0.69,0.88,-0.09,-0.77,-1.64,-1.55,-1.04,-0.44,-0.36,-0.4,0.67,0.17,1.35,2.43,2.27,1.47,0.48,0.78,0.46,2.6,2.26,1.77
"16","7","    Consumption expenditures","A957RZ2",-0.99,-3.22,-2.12,-1.17,-2.31,-0.33,-0.31,-0.45,0.71,0.73,0.5,1.54,1.63,1.3,1.89,0.5,2.31,1.67,0.86,-0.14,0.53,0.54,0.08,-0.79,-1.11,-0.96,-0.97,-0.56,0.04,-0.65,0.39,0.29,1.23,1.93,1.98,1.21,0.27,0.45,0.26,1.93,1.97,1.36
"17","8","    Gross investment","A787RZ2",-0.83,-0.55,-1.63,-0.73,0.4,0.72,0.44,0.47,0.18,0.33,0.51,0.45,0.43,0.43,1.13,0.95,1.36,0.98,0.77,-0.61,0.16,0.34,-0.16,0.01,-0.53,-0.59,-0.07,0.13,-0.4,0.24,0.28,-0.12,0.12,0.5,0.29,0.25,0.21,0.33,0.2,0.67,0.29,0.41
"18","9","      Structures","A801RZ2",-0.11,-0.11,0.24,-0.04,0.06,-0.09,0.02,0,0.05,0.2,-0.18,0.1,-0.04,-0.13,0.08,0.01,0.16,0.12,0.14,-0.3,-0.16,0.03,-0.05,0.12,0.04,-0.09,0.06,-0.03,-0.13,0.01,-0.07,-0.18,-0.04,0.11,0.07,-0.11,-0.08,0.02,0.1,0.11,0.16,0.14
"19","10","      Equipment and software","A872RZ2",-0.72,-0.43,-1.87,-0.69,0.34,0.81,0.42,0.47,0.13,0.13,0.69,0.35,0.47,0.57,1.05,0.94,1.2,0.87,0.63,-0.32,0.32,0.31,-0.11,-0.11,-0.57,-0.5,-0.13,0.16,-0.27,0.24,0.35,0.06,0.16,0.4,0.22,0.36,0.3,0.31,0.1,0.56,0.12,0.27
"20","11","  National defense","A824RZ2",-2.1,-3.66,-4.27,-2.72,-1.83,-0.24,-0.28,-0.1,0.34,0.25,0.87,1.26,1.88,2.37,2.38,1.68,2.98,2.25,1.64,-0.16,-0.17,-0.01,-0.35,-1.54,-1.56,-1.37,-0.99,-0.34,-0.7,-0.5,0.42,-0.11,0.81,1.57,1.92,1.34,0.37,0.39,0.55,1.84,1.48,0.87
