"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:21:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government \1\","W022RC1",115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267
"9","2","General public service","G160021",13.8,17.3,17.8,19,20.1,21.6,23,25.1,26.8,30.2,33.5
"10","3","  Executive and legislative","G160031",4.3,4.5,4.9,5,5.2,5.4,5.6,5.8,5.8,4.7,5.3
"11","4","  Tax collection and financial management","G160041",1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.8,2,3.5,4.4
"12","5","  Interest payments \2\","G160051",7.3,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.2
"13","6","  Other \3\","G160061",1.1,1.1,1.5,1.5,1.5,1.8,2.1,2.4,2.7,3.2,3.6
"14","7","National defense","G160071",42.1,42.7,44.1,48.1,49.9,50.1,52.2,61.8,72,79.6,80.8
"15","8","Public order and safety","G160081",4.1,4.4,4.8,5,5.3,5.7,6.1,6.7,7.5,8.7,9.6
"16","9","  Police","G160091",1.9,2.1,2.2,2.4,2.6,2.7,3,3.2,3.6,4.4,4.8
"17","10","  Fire","G160101",0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2
"18","11","  Law courts","G160111",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4
"19","12","  Prisons","G160121",0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.2,1.3,1.4
"20","13","Economic affairs","G160131",13,11.9,12.9,15.3,16.6,18.8,20.4,22,23.4,25.7,28
"21","14","  Transportation","G160181",5.8,6.1,6.5,6.9,7.2,7.7,8.1,8.8,9.5,10.2,11.2
"22","15","    Highways","G160191",4.6,4.8,5.1,5.4,5.7,6,6.4,6.9,7.5,8.2,9
"23","16","    Air","G160201",0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1
"24","17","    Water","G160211",0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.1
"25","18","    Transit and railroad","G160221",0,0,0,0,0,0,0,0,0,0,0.1
"26","19","  Space","G160241",0.2,0.4,0.6,1.2,2.4,3.3,4.1,4.5,3.8,3.8,3.5
"27","20","  Other economic affairs","W690RC1",7,5.5,5.9,7.3,6.9,7.9,8.2,8.7,10.1,11.6,13.3
"28","21","    General economic and labor affairs","G160141",1.1,1.3,1.5,1.8,2,2,2.3,2.7,3.3,3.5,3.6
"29","22","    Agriculture","G160151",4.7,2.9,3,4,3.3,3.9,3.9,3.8,4.1,5.9,7.1
"30","23","    Energy","G160161",0.5,0.6,0.7,0.8,0.8,1,1,1,1.1,1,1.1
"31","24","    Natural resources","G160171",0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.2,1.6,1.2,1.5
"32","25","    Postal service","G160231",0,0,0,0,0,0,0,0,0,0,0
"33","26","    Other \4\","G160251",0,0,0,0,0,0,0,0,0,0,0
"34","27","Housing and community services","G160261",0.7,0.8,0.8,0.9,1,1,1,1.2,1.3,1.4,1.5
"35","28","Health","G160271",5.1,5.5,6.3,6.5,7.1,7.6,8.1,10.3,15.5,18.8,21.3
"36","29","Recreation and culture","G160281",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6
"37","30","Education","G160291",14.6,16.1,17.6,19.2,21,23.2,25.7,29.7,33.9,37.9,43.1
"38","31","  Elementary and secondary","G160301",11.7,13.1,14.4,15.7,17.1,18.8,20.7,23.4,25.9,28.7,32.4
"39","32","  Higher","G160311",1.7,2,2.2,2.5,2.7,3.1,3.5,4.1,5.3,6,6.9
"40","33","  Libraries and other","W691RC1",1.2,1.1,1,1.1,1.2,1.3,1.6,2.2,2.7,3.2,3.8
"41","34","    Libraries","G160321",0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6
"42","35","    Other","G160331",1,0.8,0.7,0.8,0.8,1,1.2,1.7,2.2,2.7,3.3
"43","36","Income security","G160341",22,23.6,27.1,28.1,29.4,30.4,33,35,38.4,43.3,47.6
"44","37","  Disability","G160351",4.4,4.7,5.3,5.5,6,6.2,6.8,6.9,7.5,8.1,9
"45","38","  Retirement \5\","G160361",10.6,11.6,12.9,14.5,15.3,16.1,17.9,19.5,20.9,24.3,26
"46","39","  Welfare and social services","G160371",4.2,4.1,4.5,4.8,5,5.2,5.9,6.6,7.6,8.5,10
"47","40","  Unemployment","G160381",2.8,3,4.4,3.2,3,2.7,2.3,1.9,2.2,2.2,2.3
"48","41","  Other","G160391",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3
