"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:38:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERX1",6076.2,6288.3,6520.4,6862.3,7237.6,7604.6,7810.3,8018.3,8244.5,8515.8,8803.5,9054.5,9262.9,9211.7,9037.5,9220.9
"9","2","Goods","DGDSRX1",1896,1980.9,2075.3,2215.5,2392,2518.2,2597.3,2702.9,2827.2,2953.3,3076.7,3178.9,3273.5,3192.9,3098,3230.7
"10","3","  Durable goods","DDURRX1",510.5,548.6,593.3,665.6,752,818,862.4,927.9,989.1,1060.9,1123.4,1174.2,1232.4,1171.8,1108.3,1188.3
"11","4","    Motor vehicles and parts","DMOTRX1",255.6,268,286.1,316,345.1,356.1,374.3,394,404.8,410.4,408.2,394.4,401.4,346.8,322.5,330.1
"12","5","      New motor vehicles (55)","DNMVRX1",144.7,147.2,155.1,172.3,192.3,202.8,222.6,239.6,251.2,253.7,248.9,234.6,237.3,191.3,169.6,178.7
"13","6","      Net purchases of used motor vehicles (56)","DNPVRX1",74.1,81.7,90.2,101.9,108.8,108.5,108.2,111.1,109.5,111.4,112.7,113.4,117.6,112,113.7,110.3
"14","7","      Motor vehicle parts and accessories (58)","DMVPRX1",37.6,40.1,42,42.7,44.6,45.2,43.6,43.3,44,45.4,46.6,46.4,46.5,43.2,39.5,41
"15","8","    Furnishings and durable household equipment","DFDHRX1",133.1,138.8,145.3,157.3,175.6,192.5,202.3,217,229.1,247.2,261.3,272.5,274.4,262.8,240.6,260.1
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRX1",76,80,85,91.7,101.6,111.8,116.5,124.3,130.9,142.3,153,161.2,165.1,157.1,143.4,155.7
"17","10","      Household appliances (part of 33)","DAPPRX1",23.8,24.1,23.9,26.2,29.6,32.2,34,36.1,38.1,41.9,43.3,43.5,42.2,40.7,36.9,39.6
"18","11","      Glassware, tableware, and household utensils (34)","DUTERX1",20.6,21.8,22.7,24.5,28.2,31.6,34.1,38.2,40.4,41.5,42.7,44.8,44.6,42.9,40.4,43.8
"19","12","      Tools and equipment for house and garden (35)","DTOORX1",12.8,13.2,13.8,15.1,16.3,17,17.7,18.4,19.8,21.4,22.3,23.1,22.7,22.1,20,21.2
"20","13","    Recreational goods and vehicles","DREQRX1",75.2,86.8,100.4,120.5,146.3,171.7,188.8,211.7,238.8,274.7,312.8,356.2,400.9,416.2,409.2,459.6
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX1",24.4,30.1,37.1,48.3,62.4,76.6,88.6,104.9,123.8,150.9,182.9,221.3,265.3,291.9,307.6,360.8
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX1",22.1,23.5,24.5,27.1,31.4,36.1,38.9,41.7,43.9,47.2,50.7,55.1,57.4,56,50.7,54
"23","16","      Sports and recreational vehicles (79)","DWHLRX1",24,25.5,27.8,30.5,33.1,35.7,35.6,37,40.8,44.4,45.7,45.8,46.3,41.4,32.2,32.3
"24","17","      Recreational books (part of 90)","DRBKRX1",17.9,19.1,20.5,21.1,23.4,25.2,25.2,25.7,26.8,27.4,28.1,29,29.4,29.1,28.2,29.9
"25","18","      Musical instruments (part of 80)","DMSCRX1",2.8,3,3.1,3.4,3.9,4.7,4.8,5.1,5,5.3,5.4,5.6,5.7,5.4,4.7,5
"26","19","    Other durable goods","DODGRX1",70,74.6,78.4,86.1,96.3,104.9,102.6,109.4,119.1,129.5,141.1,151.9,159,153.7,146,154.9
"27","20","      Jewelry and watches (part of 119)","DJRYRX1",29.9,32.7,34,37.6,42.2,45.8,44.3,47,50.9,54.5,58.1,60.8,60.5,54.9,49.4,51.2
"28","21","      Therapeutic appliances and equipment (42)","DTAERX1",24,25.9,28,30.3,32.1,34,33,35.3,37.1,39.2,41.5,43.7,47.1,47.5,47.3,52
"29","22","      Educational books (96)","DEBKRX1",11.5,11.2,11.2,11.4,12,11.8,11.4,11.2,11.3,11.4,11.5,11.5,11.2,10.5,9.6,9.6
