"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:38:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERA3",30.399,31.112,32.297,34.283,35.982,35.683,36.492,38.525,40.146,41.916,42.912,42.761,43.41,44.015,46.531,48.998,51.551,53.642,55.297,57.525,59.152,60.359,60.45,62.511,64.731,67.203,69.021,71.429,74.066,77.95,82.213,86.382,88.718,91.08,93.65,96.731,100,102.85,105.218,104.637,102.657,104.741
"9","2","Household consumption expenditures \1\","DPHCRA3",31.232,31.949,33.157,35.196,36.966,36.666,37.508,39.597,41.282,43.095,44.112,43.916,44.531,45.036,47.534,49.965,52.543,54.584,56.223,58.373,59.896,60.91,60.836,62.709,64.878,67.294,69.086,71.458,74.267,78.095,82.335,86.456,88.688,90.894,93.412,96.583,100,102.649,104.958,104.052,101.981,104.079
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",61.824,63.552,64.309,65.592,64.449,63.149,64.288,67.441,68.438,68.14,69.088,69.799,69.562,70.912,72.704,74.166,76.355,77.914,77.416,79.461,80.453,82.119,82.017,81.697,82.364,84.66,85.096,85.95,86.699,87.738,91.126,93.177,94.263,94.483,95.661,96.797,100,102.871,104.453,103.342,101.993,104.44
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",65.59,66.947,67.093,68.01,66.123,64.114,65.316,68.599,69.198,68.738,69.455,69.979,69.553,70.877,72.704,74.464,76.57,78.15,77.818,80.101,81.049,82.467,83.299,83.62,84.13,86.146,86.312,86.807,87.256,88.012,91.343,92.99,93.945,94.152,95.57,96.696,100,102.512,103.993,102.832,101.454,103.384
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",39.039,42.265,45.948,48.85,51.629,53.655,54.672,56.965,60.464,61.83,64.566,66.672,67.714,69.489,71.11,70.82,73.604,75.113,73.96,74.527,75.971,79.442,73.395,69.232,70.906,74.894,77.059,80.242,82.974,85.812,89.595,94.294,96.284,96.554,96.254,97.476,100,105.125,107.475,106.671,105.5,111.469
"13","6","    Food produced and consumed on farms","DFFDRA3",609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,99.097,105.428,109.283,90.646
"14","7","  Clothing, footwear, and related services","DCAFRA3",24.08,23.734,24.502,26.137,27.762,27.082,27.61,28.735,30.161,33.077,34.749,35.608,37.586,38.032,40.574,43.845,45.726,49.036,50.877,52.56,55.335,55.035,54.849,57.652,59.921,63.112,65.695,68.725,71.139,75.366,80.141,83.836,84.387,86.657,90.607,94.613,100,104.446,107.861,106.909,101.837,107.23
"15","8","    Clothing","DCLTRA3",23.122,22.955,23.783,25.382,26.972,26.465,27.07,28.244,29.643,32.453,34.075,35.01,36.917,37.656,40.228,43.695,45.496,48.76,50.597,52.379,55.058,54.535,54.594,57.632,59.938,62.968,65.479,68.366,70.814,74.948,79.49,83.197,83.875,86.436,90.433,94.446,100,104.108,107.305,106.506,101.781,107.239
"16","9","      Garments","DGARRA3",19.921,19.884,20.774,22.268,23.91,23.592,24.377,25.501,26.89,29.725,31.535,32.636,34.796,35.679,38.216,41.642,43.464,46.704,48.362,49.913,52.508,51.981,52.299,55.391,57.84,61.006,63.607,66.593,68.8,72.882,77.41,81.167,82.05,84.836,89.469,93.909,100,104.43,107.996,107.614,102.95,109.116
"17","10","        Women's and girls' clothing","DWGCRA3",17.572,17.564,18.463,19.465,20.799,20.54,21.303,22.264,23.382,26.066,27.853,29.162,31.613,32.817,35.666,39.354,41.431,45.274,46.541,47.706,50.396,49.445,49.765,53.046,55.108,57.371,59.844,62.749,64.24,68.879,74.578,79.352,80.509,83.65,88.41,93.305,100,104.293,108.067,108.144,103.249,109.289
"18","11","        Men's and boys' clothing","DMBCRA3",24.256,23.887,24.958,27.284,29.3,28.858,29.905,31.198,33.143,35.947,37.469,38.014,39.423,39.382,41.45,44.367,45.833,48.243,50.511,52.646,55.189,55.699,56.149,59.197,62.293,67.101,70.011,73.488,76.853,79.714,82.353,84.439,84.424,86.37,91.026,94.758,100,104.917,108.132,106.673,102.318,108.84
"19","12","        Children's and infants' clothing","DCICRA3",17.41,20.684,18.485,22.2,26.517,26.315,24.655,26.989,28.085,32.952,37.028,38.868,41.885,44.967,46.223,49.404,50.135,50.979,53.346,55.778,57.278,54.966,54.305,55.026,57.737,60.678,62.566,62.936,65.588,71.684,75.795,79.545,83.531,88.034,91.056,95.091,100,102.642,106.162,107.881,103.757,108.899
"20","13","      Other clothing materials","DOCMRA3",36.791,35.488,41.135,46.396,49.629,50.367,45.82,53.093,54.063,56.922,55.411,56.745,55.193,57.221,59.091,62.058,62.378,66.578,73.413,72.84,74.093,69.233,69.658,70.798,71.649,69.793,62.823,64.184,65.418,72.077,80.493,87.419,91.562,100.339,103.959,100.868,100,99.005,96.935,93.881,91.755,94.562
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",153.155,146.224,135.952,136.214,128.623,116.344,109.634,105.729,105.366,102.084,94.787,87.346,80.068,74.225,76.997,80.374,81.479,83.615,87.638,97.001,101.993,103.912,96.406,98.033,96.574,97.644,101.828,102.577,110.894,114.693,117.605,118.762,113.984,110.01,102.534,101.39,100,100.497,99.535,93.327,87.141,83.782
"22","15","        Laundry and dry cleaning services","DDRYRA3",177.261,168.231,154.495,154.556,131.178,116,105.503,100.323,100.327,101.191,95.03,88.666,79.439,68.91,71.735,72.709,69.789,69.318,73.591,78.804,79.959,73.969,76.006,92.988,92.556,95.412,99.136,101.201,110.199,114.508,117.743,119.229,114.887,110.64,100.942,100.085,100,102.45,101.38,95.307,90.018,85.272
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",127.286,122.642,116.133,116.614,125.88,116.676,114.069,111.563,110.803,103.05,94.531,85.932,80.747,79.94,82.654,88.616,94.046,98.984,102.738,116.562,125.679,136.099,118.332,103.439,100.875,100.026,104.703,104.037,111.619,114.869,117.432,118.233,112.991,109.31,104.209,102.758,100,98.484,97.633,91.292,84.223,82.222
"24","17","    Footwear \2\","DFTWRA3",29.879,28.384,28.757,30.596,32.428,30.65,30.68,31.478,33.058,36.597,38.565,38.983,41.359,40.157,42.53,44.682,47.028,50.602,52.462,53.562,56.891,57.871,56.271,57.735,59.786,63.877,66.858,70.676,72.906,77.64,83.703,87.32,87.17,87.834,91.529,95.503,100,106.191,110.727,108.992,102.192,107.27
"25","18","  Housing, utilities, and fuels","DHUFRA3",37.531,38.802,40.362,42.59,44.642,46.15,47.545,49.081,50.294,52.542,54.061,55.013,55.434,55.643,56.875,58.824,61.017,62.383,64.195,66.364,67.992,69.065,70.595,72.019,73.926,76.676,78.737,80.384,82.103,84.563,87.252,89.742,92.106,92.8,93.908,95.859,100,102.009,102.588,103.103,104.352,105.189
