"","Table 5#5#6U# Private Fixed Investment in Equipment  by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"12","4","    Computers and peripheral equipement \1\","B935RX0",26297,29414,30686,30288,31966,35488,36714,37325,38806,36402,33862,35951,37854,37088,38884,38207,39579,39885,42297,45179,44315,45603,47445,49921,48818,50367,52732,56640,60254,62753,67031,67214,71065,69789,72596,77533,81060,81942,76301,68933,69871,73204,77498,86536,87587,86442,83032,81603,76878,83514,86740,84708,90972,89013,83144,90662,93205,89325,91626,93738,87184,89326,90119,89269,84334,88178
"13","5","    Communication equipment","C275RX0",55383,59667,62892,62411,72989,77318,78499,82588,78839,73758,71157,67659,60691,59857,59273,56991,60273,61120,66364,71382,70503,74229,72445,70081,74033,72521,76733,75245,88363,84935,85265,82314,92972,93096,96411,102482,95869,95046,92961,82179,74693,77047,82328,83429,83802,87065,92486,97476,91463,91215,90965,93416,95027,91071,99762,99208,103247,107152,108976,101256,106183,112862,99564,113683,114238,99499
"14","6","    Medical equipment and instruments","W176RX0",32110,32816,33379,33480,34209,35151,37272,38346,39282,39037,39045,40313,42289,44364,45423,46220,46800,47790,49215,50959,51338,51670,52934,55594,59161,61406,62581,62963,62885,63568,64846,66137,68235,72003,74033,77246,75719,76262,73267,69073,68404,66317,69214,69231,71215,70635,72154,73279,73562,74581,74144,73269,77199,77661,75165,76993,77792,77225,78232,78978,80416,83399,86699,87529,88604,87294
"15","7","      Electro-medical equipment","W878RX0",11428,11779,12089,12212,12545,12582,14087,14772,15174,14619,14362,14836,16921,18337,19479,19460,19341,20106,20591,21511,23169,23311,24945,25671,27640,29309,30024,30041,28672,28589,29570,31018,32759,36295,36621,38652,36216,35135,32997,29850,29346,27503,30179,29915,31425,30601,31670,32742,32205,32668,32449,32372,36072,37416,35239,36427,37113,36460,36455,37159,38493,40586,42787,43040,43275,42373
"16","8","      Medical instruments","W879RX0",21139,21483,21722,21683,22074,23046,23563,23918,24458,24838,25144,25951,25666,26256,26081,26948,27696,27885,28845,29656,28233,28423,27974,29945,31521,32057,32510,32886,34249,35038,35314,35112,35432,35598,37327,38500,39458,41108,40265,39232,39062,38815,39033,39313,39791,40034,40487,40548,41358,41915,41696,40903,41162,40297,39963,40610,40730,40806,41808,41858,41978,42887,44005,44577,45410,44992
"17","9","    Nonmedical instruments","W177RX0",19640,19729,19661,19997,19632,20087,21713,22583,22561,21820,21203,21779,22016,22256,22554,21488,20391,20734,20819,21133,22806,21978,22594,22544,22854,23409,23511,23674,23025,23805,24652,25988,25959,27805,26789,27952,28413,28353,27589,23789,23142,20807,22499,22285,23664,23543,25504,26999,26698,26727,26472,26355,29945,32606,28412,30149,30468,29193,29439,30069,32076,33389,34864,35667,35687,35813
"18","10","    Photocopy and related equipment","C285RX0",9141,9148,9545,9676,9887,9447,8402,8117,6885,6257,6380,5804,5013,4553,4448,4491,4992,5341,5617,5464,5666,5669,5073,5048,4771,5149,5143,5244,4479,4306,4321,4746,6775,6260,6045,8117,9162,7656,6441,5527,5305,5081,6145,6101,6165,6771,5902,6488,7343,7194,7497,7318,7437,7150,6899,7388,7580,7496,6818,6181,7290,6992,7405,7710,7204,6877
"19","11","    Office and accounting equipment","B936RX0",3831,3758,3731,3608,3406,3499,4128,4505,5058,4751,5023,4721,4906,5032,5227,6040,7147,8375,8652,8769,8098,8667,8719,8484,8279,8887,8810,8847,8514,9200,9393,9230,5712,4536,4085,3844,4629,5100,4888,4839,4269,3844,3658,3421,3652,3496,3450,3474,3420,3213,3099,3035,3776,3985,3872,3732,3245,2775,2495,2566,2778,2840,2923,2965,3130,3031
"20","12","  Industrial equipment","A680RX0",179522,182109,184510,184892,193710,198817,202378,199267,199714,185538,177729,172629,174119,169661,171711,170707,170126,176977,172845,168999,162536,166541,171882,175432,179397,177420,185028,192607,190819,202610,201176,201663,197719,210571,211738,201230,200963,199351,195552,185950,160972,152499,148483,146315,143011,151129,152828,158281,171837,174130,188171,198895,196958,202989,197548,201656,198464,193878,194678,192033,202190,209209,213535,210784,210008,219588
"21","13","    Fabricated metal products","C263RX0",15765,16047,16627,17061,17025,17249,17084,16903,17114,16750,16906,16387,15583,15357,14485,14121,15084,16265,16497,17181,16730,15951,16269,16524,16691,16988,18165,18496,19539,19912,19902,19912,20492,21512,21997,21452,22392,22789,22282,21366,18894,17731,16910,16356,15803,15784,16082,16736,17380,18227,19014,19564,20564,20677,21964,21885,20989,20014,20141,20239,20308,20763,21460,21273,21076,21538
"22","14","    Engines and turbines","A668RX0",5657,6297,7285,7546,10686,8244,7599,8003,13932,12250,14027,12195,16313,13482,12924,13027,12062,14198,12859,9978,6822,5190,5352,6064,6036,5657,7183,8670,6747,7790,9767,10092,8797,12683,16974,12394,10259,13235,12998,14542,8826,11511,10280,9127,5752,7755,7224,7451,7605,7513,12100,13940,14960,15773,10356,11902,14879,13972,9572,7155,7476,8615,10621,11392,14376,14353
"23","15","      Steam engines","BA13RX0",3216,3645,4469,4885,8308,5781,5366,5580,11426,9657,11410,9497,14136,11104,10506,11088,9670,11691,10466,7474,4303,2613,2654,3405,3159,2691,4091,5404,3312,4329,6271,6394,5533,9031,12841,7955,5617,9231,9612,11679,6220,9397,8164,6896,3607,5499,4633,4413,4553,4038,8426,10402,10988,11917,6672,8301,11381,10614,6220,3859,3696,4616,6471,7493,10622,10863
"24","16","      Internal combustion engines","BA14RX0",2394,2603,2769,2623,2398,2446,2220,2404,2573,2626,2677,2721,2312,2445,2472,2028,2432,2577,2449,2495,2447,2464,2578,2556,2748,2817,2978,3189,3262,3326,3432,3619,3190,3637,4200,4366,4520,4015,3414,2893,2612,2115,2113,2226,2131,2253,2586,3037,3055,3479,3662,3512,3947,3824,3682,3587,3463,3328,3350,3307,3800,4017,4155,3893,3721,3452
"25","17","    Metalworking machinery","C271RX0",32822,32485,33223,33998,33837,33896,34343,32958,31811,29566,27573,25616,25018,25638,26246,26785,25645,26131,25701,25014,25457,24841,26741,25848,27076,26762,28415,29049,30462,28862,28518,28436,28804,30124,29676,29838,29795,29908,29167,26817,23421,19961,19534,19814,20366,19888,20566,19999,21199,24643,26539,29929,29413,30384,29418,29003,29463,29774,30406,30081,30756,30159,31029,31737,31701,34353
"26","18","    Special industry machinery, n.e.c.","C272RX0",40622,41427,40136,40227,39647,46036,49837,49009,45230,41456,37895,39016,38251,34345,35924,35001,35203,37497,33400,28783,29128,32480,33693,34301,33968,33298,33115,35132,31718,39735,37180,35500,34478,39290,36685,34978,34903,33068,32972,32200,28908,26469,23211,22399,22684,26312,24108,24822,34462,32539,37047,36043,31921,33614,33472,35833,33671,31345,34908,33373,37585,41912,39244,34006,31670,37300
"27","19","    General industrial, including materials handling, equipment","C273RX0",58453,58575,58821,57554,62032,63152,62181,60138,61018,56469,55030,53328,53908,55546,57110,57137,57955,58287,59581,61908,57918,60496,61814,64694,67117,65873,68145,69965,70561,72852,71992,73198,71088,72250,72015,68467,69709,67762,66347,62515,54728,51645,52875,52961,53202,55353,57211,58311,61718,62569,65001,68254,71075,72181,71660,70942,68629,67568,68021,69320,73315,76157,79080,80002,78818,80013
"28","20","    Electrical transmission, distribution, and industrial apparatus","C276RX0",24826,25905,27111,27153,29209,28741,29562,30525,29224,27877,25502,25282,24236,24581,24125,23694,23460,23899,24326,25984,26190,27114,27429,27493,27976,28358,29603,30930,31411,33044,33580,34358,33858,34569,34556,34004,33727,32629,31820,28594,26197,25184,25671,25655,25158,26033,27588,30862,29436,28643,28640,31346,29232,30592,30714,32193,31044,31367,31695,31798,32728,31678,32151,32325,32392,32204
"29","21","  Transportation equipment","A681RX0",199288,205915,217922,210403,208821,210969,203481,193249,185960,186291,180914,186549,178366,169046,163965,157587,144681,155937,159005,159621,156091,170172,183218,196390,189688,196680,206917,198375,219622,209939,208950,211828,212800,201813,199192,200533,198450,175759,147680,105532,68610,67200,69951,76504,109686,130924,151971,155121,168051,167108,188543,208460,213900,220726,217613,223471,228467,244032,239635,260436,258535,261652,286473,280401,288111,283738
"30","22","    Trucks, buses, and truck trailers","C279RX0",99871,100104,107017,105125,105127,97869,94139,84515,81776,79430,74006,75047,73712,70356,74121,69258,65932,72407,78311,80747,83437,87928,100107,106481,104017,108839,119100,115496,127036,123766,122161,123393,117128,104335,101908,101372,100834,79252,63120,42244,21770,20356,23096,30084,50833,61612,68856,76978,87993,90174,103551,107056,104771,111815,112500,111000,116952,124227,122932,129828,135779,144201,148529,146554,156351,157154
"31","23","      Light trucks (including utility vehicles) \2\","W178RX0",83068,83811,91523,88257,90674,83760,83865,77490,75136,74589,69922,72447,72425,63305,64970,59557,62260,67573,73275,74161,74549,79023,91673,97326,90819,97499,111501,106402,119015,114150,111988,113270,108730,101389,103512,105052,106805,74498,52777,22182,2948,2790,3996,9271,52941,83168,101433,124707,135770,133535,158191,157648,149751,163473,170527,170727,184755,195677,195115,205887,218991,229266,230705,226789,243805,239956
"32","24","      Other trucks, buses, and truck trailers \2\","W179RX0",42112,41759,43077,43639,41703,39340,35218,29911,28817,26755,24603,23763,22357,25824,28534,27552,21933,24693,26550,28478,31114,32396,35508,37894,40263,40250,40495,40584,43307,43481,43326,43512,40268,32823,29273,28159,27131,27011,25115,24753,18369,17236,18771,21924,22342,23408,25762,25866,30184,31639,33659,36721,38085,39721,38020,36665,36717,39096,38080,40261,40814,44577,47934,47620,50117,52259
"33","25","    Autos \2\","C280RX0",45373,49043,52086,51369,54372,51905,50121,50456,54542,53979,50251,48952,50436,54053,54535,49375,48684,47209,48237,43228,42085,43261,44708,48693,47321,47950,52006,51897,58760,53605,51681,52706,53817,54863,54103,55133,47674,46521,41669,25250,14156,17090,17217,20827,31955,43023,45564,43530,43681,43948,46758,49791,63072,62736,64258,67529,70176,69088,70028,70507,69445,71034,71637,71786,69693,70963
"34","26","    Aircraft","C281RX0",44692,47148,49491,43517,36603,51394,51899,51831,42490,47325,51241,57967,47806,37979,28002,31958,22372,28060,24722,27475,22023,30750,28264,32392,27883,29184,25213,21383,24140,23448,23675,22987,30215,30788,29129,30774,36262,34010,25608,24121,20044,17742,17572,15457,17816,18555,27969,23983,24414,23544,27334,36394,30215,29778,25432,31536,27259,30004,31829,42840,37835,29131,42013,40515,43656,45198
"35","27","    Ships and boats","C282RX0",4042,3886,4165,4215,4872,4704,4726,4375,4615,3948,3927,4336,4709,4814,4666,5206,5057,5405,5078,5063,4859,5581,6700,5579,6456,5915,4724,4620,5063,4939,5239,4459,4892,5625,7055,7660,8023,7084,7322,5995,5351,4782,5532,4999,5117,5437,5051,5028,5315,4585,4586,4391,5021,4721,5394,6602,6672,6566,6908,6788,8330,7466,7999,7670,7862,7686
"36","28","    Railroad equipment","C283RX0",9981,10873,10322,10336,10931,11293,8725,8507,7784,7371,7805,7218,7679,6693,6199,5813,5661,6353,5635,6287,6112,6010,6482,6513,7006,7808,8829,7841,7907,7289,9176,11260,9721,9032,9716,8408,7913,10539,11288,8344,7129,7130,6517,5416,5593,5277,7192,8596,9739,8243,9864,13596,15175,16201,15184,11812,13132,19222,13334,14862,12136,15856,20704,18600,15174,7977
"37","29","  Other equipment","A682RX0",167577,164702,166169,169128,174137,178423,175491,175040,176888,172026,175207,170636,168701,174396,173845,173437,177502,179439,187944,191305,190808,194947,201646,206245,209453,218205,219394,221900,228067,228660,225660,226357,221305,227537,226765,226174,220635,220252,221608,204122,188045,173687,167878,167124,179313,187073,191303,196428,200495,198627,211776,202078,216317,224829,229843,226395,232759,222784,212942,231357,227192,220456,235356,218048,220199,215243
"38","30","    Furniture and fixtures","A667RX0",46346,45891,46433,46336,46609,50751,50309,50796,49427,47021,45098,43893,44370,44997,44590,43150,43842,43230,45527,45559,44541,45768,46701,46165,47977,48460,47060,48246,48892,49225,47502,48403,46864,44919,45041,45054,44518,43766,42491,39591,33136,31986,31053,29908,30290,32217,32532,31581,33788,34946,35170,34977,35567,36421,36524,36557,37215,37180,37128,37625,37491,37647,38112,40137,40058,40162
"39","31","      Household furniture","BA15RX0",2420,2451,2515,2563,2561,2625,2659,2642,2637,2545,2614,2605,2720,2791,2785,2731,2807,2785,2865,2931,2964,2993,2950,3035,3118,3133,3206,3253,3358,3356,3235,3093,3055,2946,3001,2936,2803,2798,2731,2479,2250,2094,2093,2126,2385,2521,2425,2107,2187,2221,2161,2192,2302,2316,2290,2316,2356,2332,2437,2484,2486,2511,2561,2610,2692,2685
"40","32","      Other furniture","BA16RX0",43937,43450,43927,43781,44056,48138,47661,48166,46800,44485,42490,41292,41653,42208,41807,40421,41035,40446,42663,42628,41576,42776,43753,43130,44859,45327,43852,44992,45532,45867,44266,45310,43809,41973,42040,42118,41716,40969,39760,37112,30885,29892,28960,27782,27907,29699,30109,29472,31598,32721,33004,32780,33261,34101,34230,34237,34855,34845,34688,35137,35002,35133,35549,37523,37364,37474
"41","33","    Agricultural machinery","C268RX0",18397,16520,14824,16002,18463,19162,17967,16781,17726,18582,20196,20205,20174,20474,22976,24170,24253,22912,23478,24224,24600,25054,26880,27379,26521,28188,27945,26320,26405,26262,24691,24297,23927,25202,24443,27689,25142,26361,31797,29798,32353,29477,26728,26657,26385,27291,27041,27025,24984,27298,37385,29848,39749,44053,39172,42282,49712,42379,33246,50329,42638,35133,45672,23102,23077,23913
"42","34","      Farm tractors","BA17RX0",5587,4855,4650,5306,6234,6623,6546,5976,6207,5709,6062,6035,6457,6841,8402,8971,8266,8141,8474,9528,9723,9918,10322,10517,10666,11363,11234,10218,10476,10514,10116,9843,9682,10637,10630,11981,10530,10431,12287,11591,12500,11615,10738,10994,10403,10398,10316,10568,10043,10867,14715,11971,17511,20838,19243,20357,23173,19746,15725,23187,20004,16578,21304,11466,11300,12103
"43","35","      Other agricultural machinery","W213RX0",12819,11678,10176,10688,12215,12521,11396,10787,11504,12871,14133,14167,13710,13622,14562,15188,15972,14761,14996,14690,14871,15131,16550,16854,15853,16823,16707,16093,15923,15744,14575,14452,14244,14570,13822,15714,14615,15932,19508,18204,19852,17862,15991,15665,15981,16890,16723,16458,14944,16434,22671,17881,22270,23276,19998,21991,26602,22686,17569,27199,22691,18604,24425,11684,11820,11864
"44","36","    Construction machinery","C269RX0",30021,28823,29084,29858,31148,31553,28265,27849,28021,25840,26073,25242,24329,25128,23932,23786,23471,24885,27065,26475,28061,27427,29285,32671,33206,35333,37030,39107,40639,40292,39799,41766,35054,38228,42289,38196,39075,37159,34537,32729,25890,20203,17919,16853,23869,31287,34632,35175,33748,29156,31157,32477,29568,30506,42396,37166,34385,33094,32338,30633,32240,33465,36478,45554,48942,46965
"45","37","      Construction tractors","BA18RX0",3350,3251,3383,3580,3605,3452,3172,3068,2944,2582,2534,2337,2207,2105,2053,2109,2081,2192,2374,2215,2207,2005,2238,2446,2586,2870,3108,3300,3520,3136,3340,3502,2805,3154,3330,3006,3621,3595,3454,2231,1169,634,472,348,1423,2420,2792,2735,2162,1639,1815,1683,971,696,1624,1180,1906,2235,2433,1846,1821,2263,2603,3374,3430,3402
"46","38","      Other construction machinery","W214RX0",26688,25589,25721,26300,27563,28116,25109,24796,25088,23265,23544,22908,22124,23022,21878,21678,21390,22694,24691,24259,25852,25419,27044,30221,30618,32462,33923,35809,37124,37152,36460,38264,32245,35073,38955,35189,35456,33568,31085,30498,24720,19568,17447,16506,22443,28860,31832,32433,31581,27513,29336,30785,28577,29784,40754,35959,32487,30883,29937,28799,30428,31225,33905,42223,45552,43605
"47","39","    Mining and oilfield machinery","C270RX0",6746,7686,8690,8158,8320,7700,7304,7586,8439,8322,9124,9129,6553,6895,5943,3336,6491,6333,7596,7432,7328,8628,8497,7558,8237,11691,11096,11325,13856,14797,15899,15582,17820,21413,19441,19447,17643,19730,20605,18410,17802,14249,14342,16021,18548,16346,16674,19074,20851,23373,23355,19985,25249,28774,30142,29099,25950,27107,29052,29040,29566,31109,30308,24983,22532,18368
"48","40","    Service industry machinery","C570RX0",21813,21906,23172,22990,22855,22166,24589,23222,22865,24730,24465,23965,24271,23463,22060,23205,23692,23591,24013,25145,23800,25537,25841,26534,26576,27716,27449,27394,28121,27260,27824,27108,28414,28294,26959,27511,29377,26207,25109,23059,22813,23630,24581,24766,25682,26044,27045,27810,28441,28288,27788,27483,28922,30080,29668,29229,27186,26608,26441,26491,27222,27421,27443,27693,27186,27441
"49","41","    Electrical equipment, n.e.c.","A670RX0",3998,4520,4910,5327,5688,5117,4065,4734,5097,5453,5461,5102,5338,5586,5736,5984,5952,5711,5690,6271,6652,6951,7268,7138,6993,6609,6457,6300,6532,6778,6529,5949,5779,5562,5220,5317,5432,5603,5681,4869,4231,4081,4005,4050,4262,4360,4524,4789,4631,4497,4314,4257,4878,5216,5410,5614,5860,5942,5699,5769,5841,5738,5942,5254,6418,6147
"50","42","      Household appliances","BA19RX0",925,927,921,940,993,995,985,963,1000,1002,1050,1046,1020,1052,1072,1128,1082,1073,1070,1107,1083,1065,1069,1068,1062,1016,1042,1059,1081,1127,1096,1033,961,899,851,823,814,806,808,727,657,668,632,658,930,1102,1116,1000,841,712,639,646,691,752,766,773,808,793,821,840,852,867,899,902,896,878
"51","43","      Miscellaneous electrical","BA20RX0",3084,3600,3994,4390,4698,4129,3093,3778,4103,4455,4417,4065,4324,4539,4670,4862,4875,4643,4625,5168,5570,5887,6200,6071,5932,5594,5416,5244,5453,5653,5435,4918,4820,4665,4370,4495,4617,4796,4872,4142,3575,3413,3373,3392,3333,3259,3408,3790,3791,3785,3675,3612,4187,4465,4645,4842,5053,5151,4878,4930,4989,4871,5043,4352,5521,5268
"52","44","    Other","C286RX0",40463,39573,39316,40597,41288,42234,43076,44047,45334,42156,44871,43267,43461,47501,48178,49005,49369,52166,54113,55613,55265,55157,56743,58278,59435,60031,62099,62907,63436,63877,63248,63088,63278,63837,63307,62972,59430,61411,61425,55715,51847,50061,49234,48858,50291,49542,48857,50968,54085,51042,52522,53093,52328,49573,45963,46011,52253,50269,48827,51228,52013,49738,51014,50907,51522,51875
"53","45","  Less: Sale of equipment scrap, excluding autos","C287RX0",8215,7417,6850,6104,6593,7099,6897,6355,5298,5180,5424,5976,6269,5999,5608,5248,5327,5467,5761,6253,7316,6973,6931,7151,6989,7231,7631,8321,7593,8454,9488,9606,9130,9185,9720,9649,10007,9499,10729,10969,9109,8200,8097,8954,8727,9183,9084,8595,7550,6316,6104,6021,6210,6261,6195,6244,6395,6132,5770,5515,5183,4879,4731,4478,4547,4534
"54","46","Residential equipment","B013RX0",6874,7104,7303,7348,7555,7598,7615,7699,7686,7699,7738,7896,7975,8033,7944,7999,7985,8322,8703,8920,9171,9367,9531,9743,9749,9845,9814,10059,10306,10127,10018,9802,9905,9778,9744,9659,9504,9642,9215,8648,8382,8142,8302,8437,8611,8894,8802,8949,9071,9199,9265,9379,9360,9244,9347,9509,9861,9969,10160,10239,10275,10623,10687,10894,11048,11200
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. The quantity index for computers can be used to accurately measure the real growth rate of this component.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","However, because computers exhibit rapid changes in prices relative to other prices in the economy,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","the chained-dollar estimates should not be used to measure the component's relative importance or its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","contribution to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes net purchases of used vehicles; additional detail is available in table 7.2.6U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
