"","Table 5#7#5BU2# Change in Book Value by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/6/2015 6:31:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Nonfarm industries","B016RC0",48951,39697,70055,79021,-55372,18153,33485,110275,105414,106341,92355,14180,-153683,127064,124615,100098,72850,76405
"9","2","Mining, utilities, and construction","XCMU0",1303,4012,1153,2705,3095,374,7784,8739,15363,9878,3412,-1402,-5252,4015,-67,5194,712,2831
"10","3","Manufacturing industries","X300",13365,5408,13979,17298,-28579,-5161,467,30705,38635,36931,38477,4847,-33519,49289,55023,21174,14526,19785
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","X30D0",8878,9388,5671,9882,-22388,-7073,-3766,18794,22320,25872,17510,10283,-31046,28167,34127,12811,8831,27258
"13","5","      Wood product manufacturing","X3210",618,245,604,53,-666,186,111,1232,952,14,-222,-1111,-2149,571,322,517,945,591
"14","6","      Nonmetallic mineral product manufacturing","X3270",205,34,402,521,-370,209,4,555,646,1060,776,291,-1770,237,563,369,564,399
"15","7","      Primary metal manufacturing","X3310",388,-424,16,-111,-2696,-97,-1151,5996,2559,4832,1258,317,-8260,4741,4903,-888,222,3245
"16","8","      Fabricated metal product manufacturing","X3320",1298,451,583,1298,-1939,-172,-292,3901,3200,4292,2226,2888,-6936,2864,5055,1601,1545,2460
"17","9","      Machinery manufacturing","X3330",1415,1248,320,3089,-4616,-999,-1237,2419,3572,4548,2213,3766,-5931,3540,7987,2890,822,2026
"18","10","      Computer and electronic product manufacturing","X3340",2985,-2980,2773,10184,-8427,-4822,-464,1818,2771,1018,-249,3865,-810,1751,3125,-382,-555,1264
"19","11","      Electrical equipment, appliance, and component manufacturing","X3350",498,-22,8,993,-1018,-513,-366,538,562,1792,1148,501,-2245,1005,1377,621,182,-16
"20","12","      Transportation equipment manufacturing","X3360",1030,10596,-235,-7581,-2012,-855,-1480,964,5579,6455,9502,-1178,-1319,11020,9747,7371,4047,16406
"21","13","        Motor vehicle and parts manufacturing","X336MV0",252,468,1337,182,-2630,1032,563,1197,1385,1503,-539,-2582,-2571,2538,2797,2765,1776,-3156
"22","14","        Other transportation equipment manufacturing","X336OT0",778,10128,-1572,-7763,618,-1887,-2043,-233,4194,4952,10041,1404,1252,8482,6950,4606,2271,19562
"23","15","      Furniture and related product manufacturing","X3370",166,73,384,279,-497,296,1,614,516,134,-49,-343,-1038,210,-8,334,278,331
"24","16","      Miscellaneous durable goods manufacturing","X3390",275,167,816,1157,-147,-306,1108,757,1963,1727,907,1287,-588,2228,1056,378,781,552
"25","17","    Nondurable goods industries","X30N0",4487,-3980,8308,7416,-6191,1912,4233,11911,16315,11059,20967,-5436,-2473,21122,20896,8363,5695,-7473
"26","18","      Food manufacturing","X3110",672,-737,1232,1233,-16,1027,1657,310,1534,1688,4274,1058,220,3226,3845,2994,542,981
"27","19","      Beverage and tobacco product manufacturing","X3120",886,107,-127,164,525,150,-163,530,-715,173,197,456,1412,282,824,1274,611,793
"28","20","      Textile mills","X3130",-42,45,-35,-405,-832,-383,-100,-121,75,-95,-17,-223,-723,240,221,-139,-83,86
"29","21","      Textile product mills","X3140",267,-307,195,480,-49,-958,43,27,247,51,-33,-12,-653,372,56,-58,151,-67
"30","22","      Apparel manufacturing","X3150",418,-157,340,-283,-1807,-284,-63,-141,-97,72,-49,-65,-344,18,159,2,-40,443
"31","23","      Leather and allied product manufacturing","X3160",41,-53,9,-41,-156,-114,-24,3,52,147,8,24,-92,65,141,-4,79,44
"32","24","      Paper manufacturing","X3220",148,-352,344,173,-256,258,-368,793,480,519,184,441,-1953,711,666,149,349,688
"33","25","      Printing and related support activities","X3230",223,-408,182,52,-399,-39,-177,281,257,313,158,-129,-1035,255,0,22,298,150
"34","26","      Petroleum and coal product manufacturing","X3240",-517,-2391,2285,1465,-372,1645,1937,3646,7732,2043,11159,-8765,7713,6087,6133,-911,625,-10474
"35","27","      Chemical manufacturing","X3250",1985,253,2863,3818,-1572,369,1081,4914,5030,4815,4280,1909,-4513,7935,6881,3449,1981,-16
"36","28","      Plastics and rubber product manufacturing","X3260",406,20,1020,760,-1257,241,410,1669,1720,1333,806,-130,-2505,1931,1970,1585,1182,-101
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","X30M0",7033,-574,6910,8328,-11585,-1958,-1207,14786,13508,13097,9703,2892,-16679,11908,17638,7512,5879,4170
"39","30","      Durable goods industries","X30DM0",5972,1379,4218,8088,-9733,-2695,-2449,10680,7908,10232,4960,4847,-15978,6825,12662,5486,3472,4997
"40","31","      Nondurable goods industries","X30NM0",1061,-1953,2692,240,-1852,737,1242,4106,5600,2865,4743,-1955,-701,5083,4976,2026,2407,-827
"41","32","    Work-in-process","X30W0",591,3667,462,-1704,-10091,-773,256,3947,11450,9514,18375,471,-3327,19709,18750,7144,5067,17965
"42","33","      Durable goods industries","X30DW0",-1064,5057,-1135,-2948,-8592,-1466,-566,1942,8161,6444,10735,3041,-4283,16319,13598,4635,3602,21167
"43","34","      Nondurable goods industries","X30NW0",1655,-1390,1597,1244,-1499,693,822,2005,3289,3070,7640,-2570,956,3390,5152,2509,1465,-3202
"44","35","    Finished goods","X30F0",5741,2315,6607,10674,-6903,-2430,1418,11972,13677,14320,10399,1484,-13513,17672,18635,6518,3580,-2350
"45","36","      Durable goods industries","X30DF0",3970,2952,2588,4742,-4063,-2912,-751,6172,6251,9196,1815,2395,-10785,5023,7867,2690,1757,1094
"46","37","      Nondurable goods industries","X30NF0",1771,-637,4019,5932,-2840,482,2169,5800,7426,5124,8584,-911,-2728,12649,10768,3828,1823,-3444
"47","38","Wholesale trade industries","XWT0",18847,13180,19391,23560,-16741,4369,7103,34785,36207,38990,33235,29108,-61971,46015,47500,36241,21482,31386
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","XWTD0",12015,10930,12559,13421,-19765,-324,3398,28425,22107,23214,7293,17637,-54553,15981,32352,23752,15352,24371
"50","40","    Nondurable goods industries","XWTN0",6832,2250,6831,10139,3023,4693,3705,6360,14100,15776,25942,11471,-7417,30034,15148,12489,6131,7015
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","X42W0",17504,12463,16519,17961,-11964,3747,6073,28638,23962,28890,25768,15880,-49430,39961,36841,30420,20439,35288
"53","42","      Durable goods industries","X42WD0",11164,9727,11067,10042,-16296,-643,3543,25535,15651,21597,6445,14745,-48401,18226,25029,22404,15227,24246
"54","43","        Motor vehicles, parts, and supplies wholesalers","X42110",717,850,3020,1613,-1472,2765,1521,1941,2724,2029,1626,4526,-10268,3132,6731,1417,1810,4554
"55","44","        Furniture and home furnishings wholesalers","X42120",83,365,379,636,-425,410,395,364,675,561,119,-379,-1772,629,31,515,681,519
"56","45","        Lumber and other construction materials wholesalers","X42130",710,-399,773,218,-32,492,1531,2866,407,267,-731,-587,-2434,585,301,778,1253,857
"57","46","        Professional and commercial equipment wholesalers","X42140",3102,-991,1207,-414,-3582,550,209,2110,-1379,2549,797,546,-2601,2532,1280,2045,1663,3245
"58","47","          Computers and software wholesalers","X421430",2271,-545,429,-1519,-2803,-279,413,596,-47,513,-239,136,-296,1772,211,712,778,1693
"59","48","          Other professional and commercial equipment wholesalers","X4214X0",831,-446,778,1105,-779,829,-204,1514,-1332,2036,1036,410,-2305,760,1069,1333,885,1552
"60","49","        Metal and mineral (except petroleum) wholesalers","X42150",734,560,-91,529,-1414,-82,35,6638,1971,5230,-1487,4066,-10269,2944,3679,1938,-33,3382
"61","50","        Electrical goods wholesalers","X42160",22,1735,2871,3489,-4840,-1104,-208,2648,2473,3691,2639,1752,-5324,2507,2051,3597,1647,1517
"62","51","        Hardware and plumbing and heating equipment wholesalers","X42170",214,797,272,989,-560,139,589,1752,1834,1813,813,-852,-2234,938,1260,454,386,2347
"63","52","        Machinery, equipment, and supplies wholesalers","X42180",4340,5928,2041,1354,-1960,-2855,-1750,5114,5361,4790,3170,4509,-10033,3107,7957,10931,7173,7968
"64","53","        Miscellaneous durable goods wholesalers","X42190",1242,882,595,1628,-2011,-958,1221,2102,1585,667,-501,1164,-3466,1852,1739,729,647,-143
"65","54","      Nondurable goods industries","X42WN0",6340,2736,5452,7919,4332,4390,2530,3103,8311,7293,19323,1135,-1029,21735,11812,8016,5212,11042
"66","55","        Paper and paper products wholesalers","X42210",640,-67,15,678,-832,-275,9,788,748,126,264,337,-862,385,76,30,271,43
"67","56","        Drugs and druggists' sundries wholesalers","X42220",1622,2192,3469,4714,6912,1790,306,-270,-2686,685,1166,418,360,1925,1622,837,5433,8591
"68","57","        Apparel, piece goods, and notions wholesalers","X42230",1538,294,-726,102,18,188,-408,544,2621,-77,283,1099,-3129,2936,1855,193,887,1347
"69","58","        Grocery and related products wholesalers","X42240",777,-43,1226,27,-1320,1009,-202,424,1853,1368,2489,2050,-1178,2220,2784,869,509,1704
"70","59","        Farm product raw material wholesalers","X42250",706,-382,-157,989,-6,46,2267,-3996,1102,3340,6358,-3077,2356,9678,-1177,3329,-2537,150
"71","60","        Chemical and allied products wholesalers","X42260",253,334,311,-12,130,320,30,639,886,123,1113,784,-1681,1177,1273,785,438,103
"72","61","        Petroleum amd petroleum products wholesalers","X42270",-559,-557,535,832,25,344,328,2361,2996,1020,4181,-4178,6198,1643,1873,-166,-1047,-4147
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","X42280",401,291,330,323,-163,669,228,463,631,754,1152,1235,-775,378,834,959,712,898
"74","63","        Miscellaneous nondurable goods wholesalers","X42290",962,674,449,266,-432,299,-28,2150,160,-46,2317,2467,-2318,1393,2672,1180,546,2353
"75","64","    Nonmerchant wholesale industries","X42N0",1343,717,2872,5599,-4777,622,1030,6147,12245,10100,7467,13228,-12541,6054,10659,5821,1043,-3902
"76","65","      Durable goods industries","X42ND0",851,1203,1492,3379,-3469,319,-145,2890,6456,1617,848,2892,-6152,-2245,7323,1348,125,125
"77","66","      Nondurable goods industries","X42NN0",492,-486,1379,2220,-1309,303,1175,3257,5789,8483,6619,10336,-6388,8299,3336,4473,919,-4027
"78","67","Retail trade industries","X440",10575,12248,27937,22058,-12401,20181,16435,29107,10769,14292,13824,-22372,-47847,26679,15190,33322,34190,15115
"79","68","  Motor vehicle and parts dealers","X4410",4244,1489,13468,12946,-9787,15806,10719,9009,-1540,949,3651,-11490,-33046,14028,4068,23787,17760,7425
"80","69","  Furniture, furnishings, electronics, and appliance stores","X44230",-194,537,1427,1521,-1103,1238,1322,2940,607,503,803,-3387,-2024,1703,-952,1085,-166,219
"81","70","  Building material and garden equipment and supplies dealers","X4440",1408,1901,2080,1281,54,1472,1232,4016,3090,1585,1717,-2325,-3363,566,883,1324,2850,1672
"82","71","  Food and beverage stores","X4450",218,958,1864,-512,1115,-332,-393,913,279,888,1793,778,-130,1324,1491,922,1601,1619
"83","72","  Clothing and clothing accessories stores","X4480",1206,1132,1324,2792,-1057,1239,1006,2722,1719,4232,384,-943,-4564,1167,2380,2115,2924,1417
"84","73","  General merchandise stores","X4520",86,540,2571,644,-5,1572,960,4435,3117,1309,290,-2588,-2680,3986,3242,910,2702,374
"85","74","    Department stores","X45210",151,-1016,372,-1074,-2026,-1481,-1717,544,793,-855,-712,-3130,-2127,211,229,-1401,83,-1314
"86","75","    Other general merchandise stores","X45290",-65,1556,2199,1718,2021,3053,2677,3891,2324,2164,1002,542,-553,3775,3013,2311,2619,1688
