"","Table 6#10C# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 20, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2004 5:17:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Employer contributions for social insurance","B039RC0",166260,184633,193673,206452,215132,228398,239835,254121,264048,274877,289516,306969,323341,343517
"9","2","Domestic industries","B4802C0",166260,184633,193673,206450,215134,228398,239835,254121,264048,274877,289516,306969,323341,343517
"10","3","  Private industries","B4803C0",143483,157919,164737,174513,180271,190671,200615,213602,222916,233110,246556,262336,276572,294240
"11","4","    Agriculture, forestry, and fishing","B4804C0",1409,1639,1891,2132,2157,2304,2286,2457,2490,2591,2653,2965,3104,3316
"12","5","    Mining","B4805C0",1984,2163,2120,2226,2240,2161,2332,2415,2403,2461,2582,2609,2474,2592
"13","6","    Construction","B4806C0",10697,11760,12131,12517,11868,11811,11981,13155,13698,14491,15412,16587,18491,19860
"14","7","    Manufacturing","B4807C0",40314,43673,44430,45510,46341,47986,51663,54822,56266,57528,59945,61865,62978,65531
"15","8","      Durable goods","B4808C0",25419,27548,27932,28267,28414,29215,31437,33574,34675,35612,37329,38735,39690,41602
"16","9","      Nondurable goods","B4809C0",14895,16125,16498,17243,17927,18771,20226,21248,21591,21916,22616,23130,23288,23929
"17","10","    Transportation and public utilities","B4810C0",13526,14587,15016,16003,16603,17109,17876,18853,19270,19988,20924,22195,23643,24834
"18","11","      Transportation","B4811C0",8358,9108,9379,9904,10206,10457,10818,11363,11596,12011,12511,13239,13789,14271
"19","12","      Communications","B4812C0",2929,3080,3105,3412,3523,3634,3920,4223,4429,4675,5056,5513,6279,6813
"20","13","      Electric, gas, and sanitary services","B4813C0",2239,2399,2532,2687,2874,3018,3138,3267,3245,3302,3357,3443,3575,3750
"21","14","    Wholesale trade","B4814C0",11972,13331,14070,14619,15090,15854,16365,17526,18520,19223,20436,21793,22903,24164
"22","15","    Retail trade","B4815C0",18035,19692,20316,21139,21973,23293,24803,26605,27553,28317,29342,30787,32245,33881
"23","16","    Finance, insurance, and real estate","B4816C0",12312,13576,13855,14721,15465,17096,18073,18815,19590,21251,23168,25663,27220,29523
"24","17","    Services","B4817C0",33235,37498,40907,45646,48533,53057,55236,58954,63126,67260,72094,77872,83514,90539
"25","18","  Government","B4818C0",22777,26714,28936,31938,34861,37727,39220,40519,41132,41767,42960,44633,46769,49277
"26","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
