"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19",NA,"        Current expenditures \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","      Government","A955RC1","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,217,783.0","2,382,802.0","2,411,527.0"
"22","2","General public service","G170021","11,364.0","13,351.0","15,396.0","17,527.0","19,551.0","23,260.0","27,232.0","29,425.0","32,973.0","34,617.0","37,607.0","41,726.0","44,039.0","48,069.0","51,980.0","54,955.0","64,417.0","76,111.0","76,457.0","79,466.0","82,575.0","89,211.0","93,825.0","100,954.0","102,896.0","105,678.0","108,961.0","108,348.0","115,864.0","123,131.0","132,976.0","137,696.0","148,590.0","160,257.0","166,118.0","176,608.0","187,450.0","199,583.0","207,018.0","219,285.0","222,614.0"
"23","3","National defense","A997RC1","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","575,369.0","635,651.0","664,143.0"
"24","4","Public order and safety","G170041","9,611.0","11,016.0","12,580.0","14,065.0","15,885.0","18,099.0","20,686.0","22,807.0","25,057.0","28,710.0","31,892.0","35,654.0","39,962.0","44,585.0","48,536.0","52,579.0","57,963.0","63,116.0","68,256.0","75,219.0","82,741.0","91,592.0","99,721.0","107,584.0","116,319.0","124,944.0","133,969.0","142,693.0","150,061.0","159,089.0","172,923.0","186,606.0","201,894.0","214,457.0","224,227.0","235,664.0","250,860.0","266,167.0","286,488.0","308,374.0","309,954.0"
"25","5","Economic affairs","G170051","23,475.0","24,728.0","27,075.0","29,068.0","30,698.0","35,091.0","40,638.0","42,518.0","46,385.0","51,545.0","56,238.0","64,988.0","74,686.0","77,488.0","82,493.0","80,977.0","88,838.0","95,737.0","95,521.0","92,160.0","102,210.0","111,589.0","116,859.0","124,728.0","128,262.0","133,944.0","137,281.0","140,666.0","147,693.0","150,315.0","159,813.0","172,347.0","181,244.0","196,586.0","202,822.0","210,286.0","220,410.0","234,086.0","250,163.0","268,664.0","278,091.0"
"26","6","Housing and community services","G170061","1,085.0","1,344.0","1,684.0","1,676.0","1,879.0","1,975.0","2,074.0","2,169.0","2,250.0","2,475.0","2,518.0","2,883.0","3,165.0","3,135.0","3,178.0","3,253.0","3,422.0","3,791.0","3,745.0","4,188.0","4,659.0","5,138.0","5,520.0","5,608.0","6,197.0","5,844.0","5,564.0","6,014.0","6,425.0","6,826.0","7,395.0","6,904.0","8,043.0","8,564.0","8,838.0","8,466.0","9,707.0","9,144.0","9,343.0","10,620.0","7,864.0"
"27","7","Health","G170071","8,481.0","9,975.0","11,007.0","12,549.0","14,061.0","16,098.0","18,420.0","19,372.0","21,583.0","23,556.0","24,954.0","28,656.0","30,554.0","31,369.0","32,446.0","34,865.0","37,120.0","38,323.0","40,864.0","44,761.0","47,609.0","52,278.0","54,702.0","55,769.0","56,086.0","58,694.0","59,175.0","59,260.0","59,764.0","61,109.0","66,207.0","71,954.0","75,368.0","85,287.0","93,199.0","96,711.0","107,395.0","110,186.0","120,371.0","131,182.0","125,618.0"
"28","8","Recreation and culture","G170081","1,589.0","1,737.0","1,927.0","2,161.0","2,416.0","2,846.0","3,276.0","3,498.0","3,860.0","4,400.0","4,814.0","5,217.0","5,662.0","6,119.0","6,479.0","6,960.0","7,750.0","8,279.0","8,568.0","9,194.0","10,076.0","11,006.0","11,880.0","12,595.0","13,048.0","13,972.0","14,623.0","15,115.0","15,776.0","16,698.0","17,517.0","19,142.0","20,724.0","22,730.0","23,264.0","24,391.0","26,138.0","28,026.0","29,756.0","31,272.0","29,905.0"
"29","9","Education","G170091","41,168.0","47,527.0","53,380.0","58,728.0","64,587.0","71,899.0","82,826.0","91,265.0","99,002.0","106,368.0","117,042.0","128,230.0","139,350.0","149,529.0","158,163.0","171,148.0","185,604.0","200,688.0","214,600.0","229,096.0","246,040.0","266,283.0","279,827.0","290,609.0","305,838.0","322,091.0","340,072.0","355,577.0","372,830.0","392,620.0","417,351.0","448,645.0","479,047.0","496,312.0","526,534.0","550,643.0","579,899.0","613,331.0","653,855.0","689,139.0","685,699.0"
"30","10","Income security","G170101","3,247.0","3,913.0","4,555.0","5,540.0","6,334.0","7,893.0","8,595.0","9,762.0","11,295.0","12,132.0","13,408.0","14,845.0","15,878.0","16,693.0","18,539.0","19,994.0","21,299.0","22,180.0","23,538.0","25,219.0","27,625.0","30,898.0","33,754.0","37,278.0","39,209.0","42,893.0","44,801.0","45,885.0","49,146.0","53,087.0","56,768.0","61,491.0","67,461.0","75,018.0","76,578.0","76,471.0","81,171.0","88,935.0","85,421.0","88,616.0","87,638.0"
"31","11","      Federal","A957RC1","98,315.0","98,585.0","101,937.0","107,628.0","108,822.0","117,923.0","129,520.0","137,147.0","150,686.0","163,316.0","178,919.0","207,435.0","238,250.0","263,278.0","286,449.0","309,898.0","338,332.0","358,029.0","373,706.0","381,732.0","398,475.0","418,977.0","438,314.0","444,145.0","441,218.0","440,708.0","440,138.0","446,540.0","457,531.0","454,599.0","473,302.0","496,009.0","530,156.0","590,490.0","660,257.0","721,380.0","765,838.0","811,003.0","848,914.0","934,623.0","987,138.0"
"32","12","General public service","G170121","3,321.0","4,169.0","5,149.0","5,732.0","6,014.0","7,214.0","7,894.0","8,444.0","9,199.0","9,096.0","10,094.0","11,095.0","11,244.0","12,519.0","12,291.0","12,455.0","14,345.0","15,368.0","16,131.0","16,580.0","17,367.0","20,222.0","22,025.0","22,697.0","21,512.0","21,811.0","23,288.0","21,256.0","24,068.0","23,469.0","25,046.0","24,720.0","28,859.0","31,295.0","32,971.0","39,753.0","41,933.0","44,409.0","47,363.0","52,208.0","57,612.0"
"33","13","National defense","A997RC1","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","575,369.0","635,651.0","664,143.0"
"34","14","Public order and safety","G170141","607.0","740.0","880.0","1,132.0","1,284.0","1,507.0","1,788.0","2,017.0","2,273.0","2,447.0","2,746.0","3,073.0","3,225.0","3,389.0","3,859.0","4,287.0","4,650.0","5,012.0","5,663.0","6,925.0","7,647.0","8,365.0","9,500.0","10,631.0","12,899.0","13,724.0","14,883.0","16,291.0","16,517.0","17,168.0","19,112.0","22,094.0","24,505.0","26,525.0","29,303.0","32,637.0","34,684.0","36,977.0","38,974.0","44,280.0","48,753.0"
"35","15","Economic affairs","G170151","11,345.0","11,272.0","12,306.0","13,245.0","13,163.0","14,302.0","17,190.0","18,049.0","20,585.0","23,496.0","25,495.0","30,177.0","35,857.0","35,270.0","38,909.0","35,691.0","40,364.0","43,965.0","41,231.0","35,609.0","42,844.0","48,270.0","50,109.0","54,879.0","55,784.0","58,143.0","57,591.0","57,806.0","61,233.0","60,009.0","62,705.0","68,822.0","70,200.0","79,402.0","83,558.0","86,220.0","87,446.0","91,789.0","96,259.0","103,350.0","109,946.0"
"36","16","Housing and community services","G170161","185.0","337.0","577.0","501.0","569.0","547.0","500.0","485.0","460.0","375.0","306.0","404.0","513.0","438.0","490.0","511.0","516.0","700.0","539.0","510.0","552.0","543.0","464.0","459.0","1,169.0","539.0","205.0","389.0","612.0","962.0","1,013.0","-137.0","517.0","770.0","872.0","510.0","1,076.0","915.0","1,324.0","2,168.0","1,565.0"
"37","17","Health","G170171","2,983.0","3,516.0","3,804.0","4,992.0","5,798.0","6,463.0","7,701.0","8,459.0","9,296.0","10,396.0","11,169.0","13,003.0","13,980.0","14,360.0","16,019.0","17,424.0","18,202.0","18,739.0","19,858.0","21,710.0","23,244.0","25,517.0","27,707.0","30,048.0","31,912.0","34,171.0","35,360.0","35,632.0","37,938.0","39,078.0","39,040.0","43,855.0","48,200.0","52,832.0","58,516.0","59,834.0","60,608.0","62,788.0","64,669.0","71,863.0","78,256.0"
"38","18","Recreation and culture","G170181","336.0","351.0","382.0","455.0","490.0","623.0","720.0","773.0","888.0","949.0","999.0","1,051.0","1,116.0","1,098.0","1,033.0","1,098.0","1,132.0","1,147.0","1,200.0","1,318.0","1,395.0","1,499.0","1,698.0","1,864.0","2,078.0","2,197.0","2,238.0","2,315.0","2,371.0","2,543.0","2,290.0","2,707.0","2,786.0","3,256.0","3,249.0","3,698.0","3,879.0","3,872.0","3,900.0","4,171.0","4,338.0"
"39","19","Education","G170191","568.0","706.0","761.0","765.0","752.0","635.0","832.0","817.0","895.0","898.0","1,003.0","1,136.0","1,274.0","1,267.0","1,379.0","1,567.0","1,517.0","1,582.0","1,691.0","1,778.0","1,913.0","2,076.0","2,257.0","2,358.0","2,517.0","2,975.0","3,224.0","3,376.0","3,421.0","3,644.0","3,974.0","4,382.0","4,976.0","5,437.0","5,495.0","5,842.0","6,353.0","5,597.0","5,968.0","6,362.0","7,210.0"
"40","20","Income security","G170201","826.0","963.0","1,025.0","1,342.0","1,353.0","2,134.0","2,027.0","2,313.0","2,938.0","2,974.0","3,322.0","3,827.0","3,746.0","3,792.0","3,753.0","4,029.0","3,931.0","3,632.0","3,828.0","3,851.0","4,121.0","4,517.0","4,851.0","5,979.0","5,834.0","6,334.0","6,372.0","6,301.0","6,859.0","7,404.0","7,161.0","7,727.0","8,098.0","10,312.0","11,111.0","11,677.0","15,022.0","20,773.0","15,088.0","14,570.0","15,315.0"
"41","21","      State and local","A991RC1","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,368,869.0","1,448,179.0","1,424,389.0"
"42","22","General public service","G170221","8,043.0","9,182.0","10,247.0","11,795.0","13,537.0","16,046.0","19,338.0","20,981.0","23,774.0","25,521.0","27,513.0","30,631.0","32,795.0","35,550.0","39,689.0","42,500.0","50,072.0","60,743.0","60,326.0","62,886.0","65,208.0","68,989.0","71,800.0","78,257.0","81,384.0","83,867.0","85,673.0","87,092.0","91,796.0","99,662.0","107,930.0","112,976.0","119,731.0","128,962.0","133,147.0","136,855.0","145,517.0","155,174.0","159,655.0","167,077.0","165,002.0"
"43","23","Public order and safety","G170231","9,004.0","10,276.0","11,700.0","12,933.0","14,601.0","16,592.0","18,898.0","20,790.0","22,784.0","26,263.0","29,146.0","32,581.0","36,737.0","41,196.0","44,677.0","48,292.0","53,313.0","58,104.0","62,593.0","68,294.0","75,094.0","83,227.0","90,221.0","96,953.0","103,420.0","111,220.0","119,086.0","126,402.0","133,544.0","141,921.0","153,811.0","164,512.0","177,389.0","187,932.0","194,924.0","203,027.0","216,176.0","229,190.0","247,514.0","264,094.0","261,201.0"
"44","24","Economic affairs","G170241","12,130.0","13,456.0","14,769.0","15,823.0","17,535.0","20,789.0","23,448.0","24,469.0","25,800.0","28,049.0","30,743.0","34,811.0","38,829.0","42,218.0","43,584.0","45,286.0","48,474.0","51,772.0","54,290.0","56,551.0","59,366.0","63,319.0","66,750.0","69,849.0","72,478.0","75,801.0","79,690.0","82,860.0","86,460.0","90,306.0","97,108.0","103,525.0","111,044.0","117,184.0","119,264.0","124,066.0","132,964.0","142,297.0","153,904.0","165,314.0","168,145.0"
"45","25","Housing and community services","G170251","900.0","1,007.0","1,107.0","1,175.0","1,310.0","1,428.0","1,574.0","1,684.0","1,790.0","2,100.0","2,212.0","2,479.0","2,652.0","2,697.0","2,688.0","2,742.0","2,906.0","3,091.0","3,206.0","3,678.0","4,107.0","4,595.0","5,056.0","5,149.0","5,028.0","5,305.0","5,359.0","5,625.0","5,813.0","5,864.0","6,382.0","7,041.0","7,526.0","7,794.0","7,966.0","7,956.0","8,631.0","8,229.0","8,019.0","8,452.0","6,299.0"
"46","26","Health","G170261","5,498.0","6,459.0","7,203.0","7,557.0","8,263.0","9,635.0","10,719.0","10,913.0","12,287.0","13,160.0","13,785.0","15,653.0","16,574.0","17,009.0","16,427.0","17,441.0","18,918.0","19,584.0","21,006.0","23,051.0","24,365.0","26,761.0","26,995.0","25,721.0","24,174.0","24,523.0","23,815.0","23,628.0","21,826.0","22,031.0","27,167.0","28,099.0","27,168.0","32,455.0","34,683.0","36,877.0","46,787.0","47,398.0","55,702.0","59,319.0","47,362.0"
"47","27","Recreation and culture","G170271","1,253.0","1,386.0","1,545.0","1,706.0","1,926.0","2,223.0","2,556.0","2,725.0","2,972.0","3,451.0","3,815.0","4,166.0","4,546.0","5,021.0","5,446.0","5,862.0","6,618.0","7,132.0","7,368.0","7,876.0","8,681.0","9,507.0","10,182.0","10,731.0","10,970.0","11,775.0","12,385.0","12,800.0","13,405.0","14,155.0","15,227.0","16,435.0","17,938.0","19,474.0","20,015.0","20,693.0","22,259.0","24,154.0","25,856.0","27,101.0","25,567.0"
"48","28","Education","G170281","40,600.0","46,821.0","52,619.0","57,963.0","63,835.0","71,264.0","81,994.0","90,448.0","98,107.0","105,470.0","116,039.0","127,094.0","138,076.0","148,262.0","156,784.0","169,581.0","184,087.0","199,106.0","212,909.0","227,318.0","244,127.0","264,207.0","277,570.0","288,251.0","303,321.0","319,116.0","336,848.0","352,201.0","369,409.0","388,976.0","413,377.0","444,263.0","474,071.0","490,875.0","521,039.0","544,801.0","573,546.0","607,734.0","647,887.0","682,777.0","678,489.0"
"49","29","Income security","G170291","2,421.0","2,950.0","3,530.0","4,198.0","4,981.0","5,759.0","6,568.0","7,449.0","8,357.0","9,158.0","10,086.0","11,018.0","12,132.0","12,901.0","14,786.0","15,965.0","17,368.0","18,548.0","19,710.0","21,368.0","23,504.0","26,381.0","28,903.0","31,299.0","33,375.0","36,559.0","38,429.0","39,584.0","42,287.0","45,683.0","49,607.0","53,764.0","59,363.0","64,706.0","65,467.0","64,794.0","66,149.0","68,162.0","70,333.0","74,046.0","72,323.0"
"50",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","      Government","W063RC1","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","179,770.0","191,701.0","205,917.0","230,136.0","274,384.0","311,482.0","346,549.0","373,570.0","384,078.0","406,666.0","432,416.0","451,664.0","480,443.0","524,563.0","578,878.0","654,503.0","735,704.0","782,912.0","819,966.0","867,012.0","908,772.0","937,600.0","960,130.0","996,140.0","1,049,246.0","1,150,775.0","1,257,606.0","1,326,136.0","1,409,223.0","1,493,964.0","1,596,057.0","1,701,190.0","1,857,816.0","2,112,252.0"
"52","31","General public service","G170311","179.0","302.0","439.0","423.0","370.0","509.0","769.0","810.0","595.0","438.0","322.0","494.0","402.0","388.0","565.0","416.0","453.0","652.0","601.0","806.0","665.0","798.0","1,598.0","2,152.0","1,451.0","1,285.0","900.0","1,387.0","1,246.0","1,363.0","1,355.0","1,669.0","1,590.0","1,352.0","1,291.0","1,441.0","1,246.0","1,558.0","1,872.0","2,670.0","2,584.0"
"53","32","Public order and safety","G170321",".....",".....",".....",".....","2.0","6.0","10.0","12.0","13.0","14.0","15.0","18.0","20.0","22.0","24.0","28.0","32.0","36.0","41.0","46.0","52.0","60.0","65.0","69.0","96.0","113.0","114.0","125.0","148.0","143.0","148.0","158.0","223.0","256.0","198.0","189.0","210.0","223.0","238.0","311.0","289.0"
"54","33","Economic affairs","G170331","405.0","409.0","647.0","589.0","496.0","627.0","712.0","1,079.0","1,227.0","2,401.0","2,342.0","2,459.0","2,090.0","1,576.0","1,468.0","1,285.0","1,441.0","1,465.0","1,397.0","1,451.0","1,481.0","1,496.0","1,528.0","1,779.0","1,720.0","1,739.0","1,759.0","1,616.0","1,680.0","1,690.0","1,731.0","1,677.0","2,184.0","2,674.0","2,412.0","2,128.0","2,505.0","2,876.0","2,781.0","2,984.0","3,228.0"
"55","34","Housing and community services","G170341","0.0","0.0","0.0","0.0","0.0","0.0","136.0","113.0","149.0","140.0","158.0","167.0","163.0","96.0","16.0","16.0","84.0","320.0","355.0","365.0","154.0","200.0","138.0","149.0","66.0","55.0","29.0","6.0","9.0","8.0","8.0","8.0","6.0","2.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0"
"56","35","Health","G170351","12,794.0","14,456.0","16,599.0","18,944.0","22,062.0","26,322.0","32,059.0","36,937.0","41,861.0","47,420.0","54,491.0","64,221.0","76,010.0","86,450.0","97,385.0","107,423.0","116,409.0","126,857.0","137,938.0","148,660.0","169,213.0","192,402.0","226,573.0","261,704.0","289,522.0","313,385.0","341,990.0","366,810.0","384,541.0","391,457.0","405,105.0","429,338.0","488,833.0","531,786.0","563,577.0","615,635.0","660,526.0","724,767.0","779,344.0","830,314.0","903,146.0"
"57","36","Recreation and culture","G170361","9.0","31.0","63.0","43.0","66.0","139.0","91.0","234.0","190.0","239.0","205.0","312.0","408.0","264.0","231.0","782.0","330.0","476.0","392.0","427.0","406.0","489.0","500.0","458.0","412.0","430.0","423.0","378.0","349.0","348.0","462.0","435.0","467.0","492.0","518.0","556.0","591.0","574.0","585.0","598.0","600.0"
"58","37","Education","G170371","1,941.0","2,745.0","3,451.0","4,277.0","4,915.0","5,809.0","8,250.0","8,096.0","7,595.0","7,790.0","8,227.0","9,318.0","10,332.0","9,716.0","10,512.0","10,488.0","10,969.0","10,948.0","11,182.0","11,806.0","14,064.0","14,390.0","15,093.0","16,656.0","19,312.0","19,871.0","21,801.0","21,853.0","22,995.0","25,238.0","26,372.0","27,126.0","31,434.0","34,791.0","36,521.0","39,725.0","42,515.0","44,636.0","48,358.0","55,269.0","68,364.0"
"59","38","Income security","G170381","44,230.0","54,515.0","65,024.0","71,497.0","81,875.0","96,466.0","123,094.0","132,489.0","140,071.0","147,475.0","164,376.0","197,395.0","222,057.0","248,037.0","263,369.0","263,640.0","276,948.0","291,662.0","299,758.0","316,882.0","338,528.0","369,043.0","409,008.0","452,737.0","470,333.0","483,088.0","499,996.0","516,597.0","526,632.0","539,883.0","560,959.0","588,835.0","626,038.0","686,253.0","721,615.0","749,546.0","786,368.0","821,419.0","868,009.0","965,666.0","1,134,038.0"
"60","39","      Federal","W015RC1","46,341.0","56,357.0","66,891.0","73,820.0","85,702.0","104,602.0","134,319.0","145,632.0","154,662.0","165,150.0","185,820.0","223,183.0","254,392.0","285,352.0","306,664.0","312,909.0","329,406.0","348,072.0","360,938.0","381,942.0","415,215.0","451,223.0","497,986.0","555,708.0","587,702.0","613,259.0","649,376.0","684,517.0","710,042.0","724,351.0","743,791.0","777,813.0","845,706.0","924,597.0","972,726.0","1,024,948.0","1,089,199.0","1,193,148.0","1,267,466.0","1,402,652.0","1,620,169.0"
"61","40","General public service","G170401","104.0","220.0","372.0","353.0","229.0","244.0","600.0","778.0","560.0","408.0","296.0","470.0","380.0","37.0","209.0","240.0","150.0","294.0","186.0","331.0","147.0","240.0","1,042.0","1,585.0","860.0","670.0","255.0","683.0","448.0","418.0","271.0","457.0","442.0","380.0","551.0","819.0","651.0","722.0","732.0","1,613.0","1,735.0"
"62","41","Public order and safety","G170411",".....",".....",".....",".....",".....","2.0","4.0","4.0","4.0","3.0","3.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","29.0","22.0","26.0","42.0","31.0","29.0","28.0","85.0","115.0","54.0","42.0","54.0","55.0","57.0","120.0","92.0"
"63","42","Economic affairs","G170421","393.0","397.0","635.0","573.0","483.0","466.0","135.0","182.0","293.0","493.0","655.0","735.0","667.0","518.0","516.0","506.0","512.0","522.0","485.0","524.0","537.0","555.0","595.0","657.0","658.0","663.0","674.0","673.0","646.0","614.0","639.0","634.0","747.0","1,053.0","973.0","854.0","1,322.0","1,570.0","1,765.0","1,888.0","1,755.0"
"64","43","Housing and community services","G170431","0.0","0.0","0.0","0.0","0.0","0.0","136.0","113.0","149.0","140.0","158.0","167.0","163.0","96.0","16.0","16.0","84.0","320.0","355.0","365.0","154.0","200.0","138.0","149.0","66.0","55.0","29.0","6.0","9.0","8.0","8.0","8.0","6.0","2.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0"
