"","Table 2#5#6 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/30/2010 9:11:48 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Personal consumption expenditures","DPCERX1","6,079,008.0","6,291,158.0","6,523,395.0","6,865,472.0","7,240,943.0","7,608,112.0","7,813,888.0","8,021,905.0","8,247,559.0","8,532,731.0","8,818,999.0","9,073,500.0","9,289,471.0","9,265,013.0","9,153,892.0"
"20","2","Household consumption expenditures \1\","DPHCRX1","5,938,481.0","6,142,372.0","6,383,825.0","6,712,822.0","7,077,303.0","7,431,594.0","7,623,395.0","7,813,023.0","8,028,220.0","8,314,474.0","8,604,923.0","8,838,162.0","9,044,266.0","8,998,537.0","8,898,218.0"
"21","3","  Food and beverages purchased for off-premises consumption","DFXARX1","548,515.0","554,024.0","558,850.0","565,548.0","587,384.0","600,605.0","607,609.0","609,025.0","622,407.0","639,228.0","665,015.0","686,245.0","697,466.0","691,599.0","685,121.0"
"22","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRX1","481,860.0","484,624.0","487,133.0","491,352.0","509,949.0","519,142.0","524,478.0","525,629.0","536,991.0","549,348.0","569,535.0","583,928.0","592,095.0","586,630.0","581,942.0"
"23","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRX1","66,290.0","69,028.0","71,378.0","73,819.0","77,074.0","81,116.0","82,828.0","83,060.0","85,119.0","89,577.0","95,137.0","101,899.0","105,057.0","104,599.0","102,733.0"
"24","6","    Food produced and consumed on farms","DFFDRX1","586.0","543.0","475.0","492.0","471.0","405.0","342.0","379.0","327.0","310.0","343.0","429.0","339.0","414.0","461.0"
"25","7","  Clothing, footwear, and related services","DCAFRX1","216,866.0","226,869.0","234,838.0","248,790.0","264,555.0","276,750.0","278,571.0","286,063.0","300,147.0","313,635.0","331,806.0","347,984.0","360,317.0","357,573.0","341,421.0"
"26","8","    Clothing","DCLTRX1","181,287.0","189,279.0","196,056.0","207,500.0","220,076.0","230,340.0","232,216.0","239,308.0","251,706.0","263,590.0","280,325.0","294,146.0","305,115.0","303,217.0","290,022.0"
"27","9","      Garments","DGARRX1","163,046.0","170,699.0","176,357.0","186,820.0","198,427.0","208,058.0","210,320.0","217,461.0","230,285.0","242,428.0","258,975.0","272,214.0","282,830.0","281,665.0","269,949.0"
"28","10","        Women's and girls' clothing","DWGCRX1","91,236.0","95,666.0","97,939.0","105,011.0","113,700.0","120,977.0","122,741.0","127,530.0","134,681.0","141,737.0","151,928.0","158,985.0","165,077.0","165,737.0","158,639.0"
"29","11","        Men's and boys' clothing","DMBCRX1","63,723.0","66,888.0","69,951.0","72,555.0","74,957.0","76,856.0","76,842.0","78,613.0","83,712.0","88,026.0","93,559.0","99,072.0","102,824.0","101,029.0","97,080.0"
"30","12","        Children's and infants' clothing","DCICRX1","8,044.0","8,092.0","8,433.0","9,216.0","9,745.0","10,227.0","10,739.0","11,319.0","11,896.0","12,666.0","13,489.0","14,162.0","14,935.0","14,887.0","14,218.0"
"31","13","      Other clothing materials","DOCMRX1","3,017.0","3,083.0","3,142.0","3,462.0","3,866.0","4,199.0","4,398.0","4,819.0","5,203.0","5,291.0","5,566.0","5,900.0","6,263.0","6,210.0","5,939.0"
"32","14","      Cleaning, repair, and rental of clothing","DCRCRX1","16,018.0","16,135.0","17,444.0","18,041.0","18,499.0","18,681.0","17,930.0","17,305.0","16,316.0","15,896.0","15,784.0","16,044.0","16,074.0","15,458.0","14,328.0"
"33","15","        Laundry and dry cleaning services","DDRYRX1","7,944.0","8,109.0","8,830.0","9,175.0","9,434.0","9,554.0","9,206.0","8,865.0","8,240.0","8,332.0","8,427.0","8,761.0","8,804.0","8,536.0","7,979.0"
"34","16","        Clothing repair, rental, and alterations","DLGRRX1","8,090.0","8,039.0","8,625.0","8,876.0","9,074.0","9,136.0","8,731.0","8,446.0","8,086.0","7,566.0","7,357.0","7,285.0","7,272.0","6,926.0","6,355.0"
"35","17","    Footwear \2\","DFTWRX1","35,647.0","37,683.0","38,872.0","41,396.0","44,628.0","46,557.0","46,477.0","46,831.0","48,491.0","50,074.0","51,480.0","53,839.0","55,209.0","54,373.0","51,436.0"
"36","18","  Housing, utilities, and fuels","DHUFRX1","1,262,081.0","1,288,484.0","1,316,030.0","1,355,466.0","1,398,563.0","1,438,484.0","1,476,373.0","1,487,494.0","1,505,326.0","1,536,852.0","1,603,867.0","1,636,157.0","1,645,354.0","1,654,489.0","1,676,733.0"
"37","19","    Housing","DHSGRX1","1,017,348.0","1,037,129.0","1,066,046.0","1,100,623.0","1,138,687.0","1,174,164.0","1,213,740.0","1,219,351.0","1,233,042.0","1,264,140.0","1,328,896.0","1,367,077.0","1,373,069.0","1,389,828.0","1,407,843.0"
"38","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRX1","253,542.0","253,761.0","257,341.0","261,778.0","266,189.0","267,944.0","272,610.0","270,448.0","260,967.0","261,298.0","264,687.0","273,663.0","288,187.0","291,767.0","302,700.0"
"39","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRX1","751,951.0","771,336.0","796,291.0","825,943.0","859,160.0","890,657.0","925,667.0","933,538.0","956,255.0","984,778.0","1,044,497.0","1,073,735.0","1,066,828.0","1,080,073.0","1,087,095.0"
"40","22","      Rental value of farm dwellings","DFARRX1","11,506.0","11,563.0","11,910.0","12,283.0","12,632.0","14,763.0","14,664.0","14,623.0","14,948.0","17,179.0","18,829.0","18,812.0","17,201.0","17,149.0","17,083.0"
"41","23","      Group housing","DGRHRX1","992.0","1,065.0","1,046.0","1,098.0","1,104.0","1,097.0","1,052.0","955.0","952.0","917.0","884.0","888.0","920.0","931.0","942.0"
"42","24","    Household utilities and fuels","DUTFRX1","247,118.0","253,904.0","252,073.0","256,707.0","261,328.0","265,400.0","262,876.0","268,825.0","273,102.0","273,047.0","274,971.0","269,339.0","272,469.0","265,568.0","269,723.0"
"43","25","      Water supply and sanitation","DWRSRX1","55,431.0","57,234.0","58,496.0","59,435.0","61,325.0","61,943.0","62,521.0","63,146.0","63,918.0","63,359.0","63,579.0","65,586.0","65,782.0","65,548.0","64,521.0"
"44","26","      Electricity, gas, and other fuels","DEGFRX1","191,765.0","196,739.0","193,578.0","197,283.0","199,903.0","203,397.0","200,240.0","205,615.0","209,139.0","209,678.0","211,392.0","203,822.0","206,738.0","200,142.0","205,298.0"
"45","27","        Electricity","DELCRX1","101,863.0","103,531.0","103,223.0","110,575.0","111,652.0","115,487.0","113,334.0","118,584.0","120,632.0","123,043.0","128,720.0","125,780.0","127,426.0","125,593.0","123,310.0"
"46","28","        Natural gas","DGHERX1","64,385.0","69,454.0","67,603.0","60,859.0","61,478.0","63,461.0","62,726.0","61,314.0","63,352.0","62,517.0","61,646.0","58,478.0","60,251.0","58,163.0","62,688.0"
"47","29","        Fuel oil and other fuels","DFULRX1","32,121.0","31,081.0","28,815.0","28,423.0","29,846.0","26,209.0","26,048.0","26,934.0","26,192.0","24,590.0","21,026.0","19,529.0","19,148.0","16,804.0","19,967.0"
"48","30","  Furnishings, household equipment, and routine household maintenance","DFHHRX1","249,855.0","259,539.0","272,150.0","289,996.0","312,604.0","332,386.0","340,653.0","355,988.0","376,973.0","403,505.0","423,859.0","443,515.0","453,144.0","441,902.0","414,287.0"
"49","31","    Furniture, furnishings, and floor coverings \5\","DFURRX1","73,050.0","76,512.0","81,186.0","87,358.0","96,463.0","106,188.0","110,073.0","117,081.0","123,531.0","133,895.0","143,005.0","150,658.0","153,628.0","147,215.0","136,348.0"
"50","32","    Household textiles","DTEXRX1","20,482.0","22,273.0","23,799.0","25,166.0","26,975.0","28,461.0","29,319.0","30,949.0","34,046.0","37,290.0","40,220.0","44,161.0","47,214.0","47,998.0","47,647.0"
"51","33","    Household appliances \6\","DHAPRX1","27,466.0","27,976.0","28,174.0","30,580.0","34,044.0","36,651.0","38,268.0","40,303.0","42,558.0","46,383.0","47,601.0","48,635.0","47,296.0","45,771.0","42,614.0"
"52","34","    Glassware, tableware, and household utensils \7\","DUTERX1","20,597.0","21,743.0","22,689.0","24,486.0","28,171.0","31,517.0","34,098.0","38,105.0","41,117.0","43,130.0","45,361.0","49,570.0","51,723.0","50,101.0","48,621.0"
"53","35","    Tools and equipment for house and garden","DTOORX1","12,840.0","13,208.0","13,825.0","15,092.0","16,369.0","17,073.0","17,696.0","18,388.0","19,887.0","21,382.0","22,310.0","23,162.0","22,900.0","22,508.0","20,635.0"
"54","36","    Other household goods and services \8\","DOGSRX1","99,836.0","101,648.0","106,311.0","110,915.0","113,102.0","114,035.0","112,111.0","111,521.0","116,014.0","121,494.0","125,363.0","127,505.0","130,838.0","128,793.0","119,447.0"
"55","37","  Health","DHLTRX1","1,089,632.0","1,119,330.0","1,163,192.0","1,215,055.0","1,251,230.0","1,305,365.0","1,374,456.0","1,455,805.0","1,498,397.0","1,547,292.0","1,601,456.0","1,636,120.0","1,679,514.0","1,722,005.0","1,756,472.0"
"56","38","    Medical products, appliances, and equipment","DMPARX1","141,743.0","151,935.0","165,906.0","185,592.0","205,816.0","224,006.0","239,153.0","253,630.0","268,981.0","278,642.0","285,505.0","296,097.0","307,938.0","311,922.0","315,965.0"
"57","39","      Pharmaceutical and other medical products \9\","DPHMRX1","117,083.0","125,333.0","137,142.0","154,600.0","173,254.0","189,577.0","206,068.0","218,308.0","232,826.0","241,623.0","247,268.0","256,795.0","266,345.0","269,768.0","274,512.0"
"58","40","        Pharmaceutical products","DPNPRX1","115,562.0","123,902.0","135,761.0","153,015.0","171,477.0","187,589.0","203,980.0","216,105.0","230,539.0","239,197.0","244,722.0","254,087.0","263,475.0","266,814.0","271,573.0"
"59","41","        Other medical products","DOMPRX1","1,450.0","1,398.0","1,384.0","1,582.0","1,773.0","1,977.0","2,086.0","2,203.0","2,290.0","2,427.0","2,546.0","2,710.0","2,872.0","2,958.0","2,939.0"
"60","42","      Therapeutic appliances and equipment","DTAERX1","24,013.0","25,881.0","28,023.0","30,350.0","32,104.0","34,051.0","33,051.0","35,269.0","36,148.0","37,021.0","38,236.0","39,299.0","41,601.0","42,163.0","41,413.0"
"61","43","    Outpatient services","DOUTRX1","423,045.0","434,691.0","444,966.0","459,246.0","468,138.0","490,231.0","517,987.0","552,398.0","580,300.0","608,523.0","636,465.0","652,850.0","668,251.0","690,102.0","699,183.0"
"62","44","      Physician services \10\","DPHYRX1","209,148.0","214,180.0","219,946.0","227,908.0","234,086.0","248,688.0","262,964.0","284,086.0","302,608.0","316,943.0","332,403.0","343,516.0","347,166.0","360,155.0","364,279.0"
"63","45","      Dental services","DDENRX1","71,042.0","71,516.0","72,825.0","74,924.0","76,640.0","79,668.0","83,490.0","87,124.0","86,526.0","88,606.0","88,999.0","88,911.0","89,963.0","89,781.0","87,614.0"
"64","46","      Paramedical services","DPMSRX1","144,077.0","150,044.0","153,168.0","157,343.0","158,310.0","162,589.0","172,215.0","181,664.0","191,303.0","203,030.0","215,063.0","220,474.0","231,215.0","240,489.0","247,909.0"
"65","47","        Home health care","DHHCRX1","52,062.0","54,638.0","53,449.0","51,625.0","48,789.0","46,623.0","48,216.0","48,818.0","51,903.0","56,718.0","61,216.0","63,650.0","68,414.0","72,177.0","76,815.0"
"66","48","        Medical laboratories","DMLBRX1","10,973.0","11,603.0","13,013.0","15,019.0","16,572.0","18,873.0","21,256.0","22,263.0","23,994.0","25,699.0","26,704.0","27,996.0","28,214.0","30,464.0","32,075.0"
"67","49","        Other professional medical services \11\","DOMDRX1","80,805.0","83,521.0","86,407.0","90,448.0","92,781.0","97,035.0","102,701.0","110,646.0","115,444.0","120,623.0","127,143.0","128,845.0","134,621.0","137,972.0","139,326.0"
"68","50","    Hospital and nursing home services","DHPNRX1","526,410.0","534,149.0","554,223.0","572,421.0","579,469.0","592,782.0","618,712.0","650,939.0","649,371.0","660,154.0","679,487.0","687,208.0","703,376.0","720,048.0","741,156.0"
"69","51","      Hospitals \12\","DHSPRX1","425,346.0","430,487.0","446,892.0","462,357.0","471,098.0","484,333.0","510,057.0","540,904.0","537,562.0","548,919.0","567,007.0","575,811.0","590,639.0","605,778.0","626,988.0"
"70","52","      Nursing homes","DNRSRX1","100,991.0","103,750.0","107,398.0","110,078.0","108,260.0","108,297.0","108,560.0","110,064.0","111,799.0","111,234.0","112,480.0","111,381.0","112,712.0","114,247.0","114,176.0"
"71","53","  Transportation","DTRNRX1","685,269.0","721,685.0","766,505.0","820,494.0","876,060.0","900,970.0","920,866.0","938,382.0","958,564.0","976,740.0","979,344.0","960,594.0","968,030.0","890,637.0","846,079.0"
"72","54","    Motor vehicles","DMTRRX1","218,855.0","228,853.0","245,150.0","274,084.0","301,103.0","311,399.0","330,893.0","350,732.0","360,736.0","365,067.0","361,601.0","347,993.0","354,928.0","301,535.0","280,746.0"
"73","55","      New motor vehicles","DNMVRX1","144,650.0","147,195.0","155,059.0","172,343.0","192,341.0","202,823.0","222,621.0","239,623.0","251,164.0","253,675.0","248,894.0","234,558.0","237,290.0","191,045.0","169,064.0"
"74","56","      Net purchases of used motor vehicles","DNPVRX1","74,115.0","81,686.0","90,188.0","101,888.0","108,805.0","108,522.0","108,159.0","111,054.0","109,516.0","111,351.0","112,707.0","113,416.0","117,602.0","110,440.0","111,886.0"
"75","57","    Motor vehicle operation","DMVORX1","429,575.0","453,263.0","479,495.0","495,452.0","516,809.0","524,913.0","523,835.0","516,102.0","523,251.0","533,244.0","540,961.0","536,401.0","536,014.0","511,626.0","491,261.0"
"76","58","      Motor vehicle parts and accessories","DMVPRX1","37,649.0","40,144.0","41,954.0","42,680.0","44,618.0","45,240.0","43,597.0","43,281.0","44,523.0","46,244.0","48,046.0","48,593.0","48,927.0","46,133.0","42,789.0"
"77","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRX1","233,846.0","238,803.0","246,052.0","256,104.0","263,488.0","261,341.0","263,552.0","267,499.0","276,279.0","282,091.0","283,798.0","278,855.0","276,767.0","265,348.0","265,286.0"
"78","60","      Motor vehicle maintenance and repair","DVMRRX1","124,612.0","130,149.0","134,700.0","139,493.0","144,331.0","148,670.0","150,916.0","148,845.0","151,701.0","153,345.0","154,903.0","150,554.0","150,708.0","141,357.0","131,271.0"
"79","61","      Other motor vehicle services","DOVSRX1","37,688.0","44,861.0","54,220.0","55,414.0","60,630.0","63,662.0","60,934.0","54,741.0","50,855.0","51,769.0","54,215.0","58,559.0","60,046.0","59,047.0","51,193.0"
"80","62","    Public transportation","DPUBRX1","53,034.0","57,030.0","59,679.0","63,879.0","67,719.0","72,706.0","70,976.0","71,922.0","74,169.0","78,153.0","76,782.0","75,934.0","77,345.0","72,866.0","68,508.0"
"81","63","      Ground transportation \13\","DGRDRX1","22,985.0","22,365.0","22,787.0","24,611.0","25,678.0","26,359.0","26,969.0","26,714.0","25,473.0","26,232.0","26,405.0","27,139.0","26,884.0","26,815.0","25,200.0"
"82","64","      Air transportation","DAITRX1","30,291.0","34,019.0","35,884.0","38,269.0","40,853.0","44,556.0","42,185.0","43,229.0","46,316.0","49,316.0","47,654.0","45,995.0","47,468.0","43,065.0","40,381.0"
"83","65","      Water transportation","DWATRX1","804.0","1,107.0","1,304.0","1,376.0","1,480.0","1,760.0","2,019.0","2,100.0","2,396.0","2,618.0","2,723.0","2,818.0","3,003.0","3,101.0","3,065.0"
