"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 30, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2010 4:19:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Government consumption expenditures and gross investment","A822RX1","1,888,904.0","1,907,927.0","1,943,773.0","1,984,990.0","2,056,124.0","2,097,794.0","2,178,317.0","2,279,633.0","2,330,451.0","2,362,009.0","2,369,882.0","2,402,085.0","2,434,169.0","2,502,715.0","2,542,581.0"
"20","2","      Consumption expenditures \1\","A955RX1","1,608,683.0","1,615,856.0","1,643,285.0","1,673,476.0","1,720,192.0","1,750,587.0","1,815,957.0","1,897,199.0","1,938,816.0","1,966,891.0","1,977,867.0","1,997,248.0","2,022,591.0","2,073,276.0","2,112,297.0"
"21","3","      Gross investment \2\","A782RX1","283,863.0","294,587.0","302,714.0","313,296.0","336,535.0","347,475.0","362,524.0","382,454.0","391,639.0","395,121.0","392,015.0","404,825.0","411,557.0","429,368.0","430,298.0"
"22","4","        Structures","A760RX1","201,304.0","209,551.0","219,252.0","219,124.0","232,047.0","239,444.0","251,131.0","262,976.0","265,908.0","259,038.0","246,477.0","247,729.0","246,109.0","248,389.0","248,593.0"
"23","5","        Equipment and software","A871RX1","85,642.0","88,490.0","88,465.0","96,743.0","106,255.0","109,814.0","113,542.0","121,386.0","127,187.0","136,552.0","145,538.0","157,347.0","166,426.0","183,669.0","184,482.0"
"24","6","Federal","A823RX1","704,137.0","695,980.0","689,135.0","681,396.0","694,644.0","698,070.0","726,459.0","779,491.0","831,073.0","864,998.0","876,300.0","894,939.0","906,088.0","971,819.0","1,027,606.0"
"25","7","    Consumption expenditures","A957RX1","625,531.0","614,566.0","615,280.0","602,420.0","610,362.0","616,446.0","642,944.0","685,772.0","731,315.0","759,525.0","765,838.0","776,534.0","782,734.0","833,904.0","882,280.0"
"26","8","    Gross investment","A787RX1","79,885.0","81,654.0","75,768.0","79,527.0","84,051.0","81,973.0","84,110.0","93,835.0","99,893.0","105,534.0","110,462.0","118,468.0","123,554.0","138,464.0","145,871.0"
"27","9","      Structures","A801RX1","25,773.0","25,149.0","22,476.0","22,601.0","21,151.0","17,239.0","16,364.0","18,747.0","20,361.0","17,715.0","15,719.0","16,294.0","18,554.0","19,127.0","23,558.0"
"28","10","      Equipment and software","A872RX1","57,100.0","59,133.0","55,449.0","58,897.0","64,252.0","65,248.0","68,009.0","75,460.0","79,981.0","87,925.0","94,743.0","102,192.0","104,869.0","119,421.0","121,858.0"
"29","11","  National defense","A824RX1","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,827.0","657,687.0","693,005.0"
"30","12","    Consumption expenditures","A997RX1","424,520.0","418,534.0","412,239.0","401,241.0","407,575.0","403,866.0","418,541.0","445,831.0","484,084.0","509,357.0","514,837.0","519,076.0","527,986.0","562,072.0","591,718.0"
"31","13","    Gross investment","A788RX1","52,770.0","52,298.0","46,766.0","47,534.0","49,273.0","50,299.0","52,744.0","59,641.0","65,306.0","71,103.0","74,210.0","79,374.0","84,002.0","96,119.0","101,855.0"
"32","14","      Structures","A808RX1","10,065.0","9,205.0","8,684.0","8,058.0","7,152.0","6,867.0","6,523.0","6,972.0","8,460.0","7,806.0","7,452.0","7,450.0","8,789.0","9,608.0","13,464.0"
"33","15","      Equipment and software","A873RX1","43,726.0","43,837.0","38,893.0","40,078.0","42,427.0","43,641.0","46,307.0","52,705.0","56,989.0","63,323.0","66,758.0","71,940.0","75,146.0","86,490.0","87,933.0"
"34","16","  Nondefense","A825RX1","227,526.0","225,714.0","231,921.0","233,749.0","238,692.0","244,355.0","255,497.0","273,915.0","281,713.0","284,574.0","287,253.0","296,550.0","294,205.0","314,042.0","334,555.0"
"35","17","    Consumption expenditures","A542RX1","201,194.0","196,230.0","203,152.0","201,237.0","202,872.0","212,442.0","224,186.0","239,694.0","247,130.0","250,158.0","251,001.0","257,472.0","254,703.0","271,794.0","290,578.0"
"36","18","    Gross investment","A798RX1","27,103.0","29,340.0","28,988.0","31,981.0","34,774.0","31,643.0","31,337.0","34,171.0","34,579.0","34,432.0","36,252.0","39,095.0","39,544.0","42,298.0","43,951.0"
"37","19","      Structures","A830RX1","15,711.0","15,928.0","13,789.0","14,526.0","13,976.0","10,371.0","9,840.0","11,769.0","11,900.0","9,909.0","8,267.0","8,845.0","9,763.0","9,519.0","10,111.0"
"38","20","      Equipment and software","B880RX1","13,720.0","15,505.0","16,563.0","18,736.0","21,666.0","21,467.0","21,595.0","22,705.0","22,983.0","24,609.0","27,985.0","30,252.0","29,693.0","32,852.0","33,866.0"
"39","21","State and local","A829RX1","1,183,618.0","1,211,140.0","1,254,306.0","1,303,762.0","1,361,832.0","1,400,145.0","1,452,302.0","1,500,641.0","1,499,670.0","1,497,074.0","1,493,582.0","1,507,180.0","1,528,100.0","1,532,579.0","1,518,789.0"
"40","22","  Consumption expenditures","A991RX1","983,022.0","1,001,044.0","1,027,731.0","1,070,761.0","1,109,470.0","1,133,700.0","1,172,639.0","1,211,273.0","1,207,520.0","1,207,374.0","1,212,029.0","1,220,722.0","1,239,822.0","1,240,241.0","1,232,085.0"
"41","23","  Gross investment","A799RX1","201,907.0","211,133.0","227,125.0","233,711.0","252,697.0","266,578.0","279,740.0","289,443.0","292,241.0","289,753.0","281,553.0","286,445.0","288,319.0","292,285.0","286,774.0"
"42","24","    Structures","A842RX1","175,437.0","184,328.0","196,736.0","196,483.0","210,868.0","222,196.0","234,763.0","244,222.0","245,536.0","241,321.0","230,758.0","231,435.0","227,601.0","229,325.0","225,370.0"
"43","25","    Equipment and software","B881RX1","29,095.0","29,947.0","33,106.0","37,737.0","41,844.0","44,322.0","45,315.0","45,844.0","47,156.0","48,620.0","50,795.0","55,158.0","61,642.0","64,218.0","62,537.0"
"44","26","Residual","A979RX1","-7,500.0","-6,400.0","-7,100.0","-3,800.0","-1,900.0","-1,100.0","-1,300.0","-1,400.0","-1,300.0","-500.0","-100.0","-300.0","-900.0","-3,400.0","-5,100.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
