"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"19","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0"
"20","2","Domestic industries","A445RC1","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0"
"21","3","  Financial","A587RC1","13,485.0","15,187.0","17,394.0","19,083.0","20,681.0","20,193.0","19,731.0","24,096.0","30,873.0","38,768.0","38,967.0","31,208.0","26,759.0","22,904.0","33,579.0","32,197.0","44,799.0","55,191.0","59,923.0"
"22","4","  Nonfinancial","A463RC1","74,391.0","60,219.0","70,825.0","82,809.0","88,926.0","77,465.0","98,948.0","120,960.0","141,856.0","156,790.0","151,775.0","134,744.0","166,830.0","150,229.0","191,193.0","249,844.0","249,641.0","219,461.0","259,907.0"
"23","5","Rest of the world","B394RC1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0"
"24","6","  Receipts from the rest of the world","B933RC1","8,047.0","8,656.0","9,781.0","11,751.0","17,575.0","20,398.0","17,906.0","20,938.0","23,790.0","29,001.0","42,560.0","43,845.0","38,078.0","36,669.0","41,103.0","46,103.0","46,805.0","48,718.0","58,923.0"
"25","7","  Less:  Payments to the rest of the world","B934RC1","1,452.0","1,556.0","1,926.0","2,217.0","2,677.0","2,929.0","3,275.0","4,390.0","4,677.0","6,132.0","7,949.0","8,374.0","8,399.0","4,086.0","6,044.0","9,537.0","8,700.0","9,244.0","10,911.0"
"26","8","    Corporate profits with inventory valuation adjustment","A052RC1","85,501.0","74,440.0","88,295.0","101,614.0","115,403.0","109,555.0","134,998.0","165,626.0","194,812.0","222,427.0","231,996.0","211,409.0","219,116.0","191,107.0","226,554.0","264,629.0","257,485.0","253,022.0","306,860.0"
"27","9","Domestic industries","A390RC1","78,906.0","67,340.0","80,440.0","92,078.0","100,504.0","92,086.0","120,367.0","149,077.0","175,697.0","199,558.0","197,384.0","175,938.0","189,437.0","158,524.0","191,495.0","228,063.0","219,379.0","213,548.0","258,848.0"
"28","10","  Financial","A392RC1","13,590.0","15,377.0","17,625.0","19,153.0","20,530.0","20,156.0","20,203.0","24,957.0","31,924.0","39,548.0","40,356.0","33,986.0","29,104.0","26,048.0","35,539.0","34,403.0","45,894.0","56,759.0","61,559.0"
"29","11","    Federal Reserve banks","B397RC1","3,075.0","3,526.0","3,312.0","3,344.0","4,476.0","5,681.0","5,610.0","5,872.0","6,109.0","7,645.0","9,433.0","11,798.0","14,393.0","15,245.0","14,586.0","16,433.0","16,346.0","15,516.0","16,247.0"
"30","12","    Other","B398RC1","10,515.0","11,851.0","14,313.0","15,809.0","16,054.0","14,475.0","14,593.0","19,085.0","25,815.0","31,903.0","30,923.0","22,188.0","14,711.0","10,803.0","20,953.0","17,970.0","29,548.0","41,243.0","45,312.0"
"31","13","  Nonfinancial","A399RC1","65,316.0","51,963.0","62,815.0","72,925.0","79,974.0","71,930.0","100,164.0","124,120.0","143,773.0","160,010.0","157,028.0","141,952.0","160,333.0","132,476.0","155,956.0","193,660.0","173,485.0","156,789.0","197,289.0"
"32","14","    Manufacturing","A400RC1","37,295.0","27,491.0","35,089.0","42,237.0","47,244.0","41,405.0","55,191.0","71,374.0","79,386.0","90,505.0","89,791.0","78,310.0","91,096.0","67,064.0","76,229.0","91,819.0","84,347.0","57,937.0","87,548.0"
"33","15","      Durable goods","A406RC1","19,154.0","10,492.0","16,631.0","22,907.0","25,186.0","15,327.0","20,646.0","31,445.0","37,987.0","45,407.0","37,203.0","18,850.0","19,481.0","4,957.0","19,511.0","39,264.0","29,746.0","26,283.0","41,327.0"
"34","16","        Primary metal industries","A407RC1","1,428.0","811.0","842.0","1,738.0","2,336.0","5,001.0","2,756.0","2,077.0","1,063.0","3,586.0","3,568.0","2,728.0","3,134.0","-4,694.0","-4,909.0","-405.0","-916.0","869.0","2,623.0"
"35","17","        Fabricated metal products","A408RC1","2,011.0","1,115.0","1,463.0","2,173.0","2,658.0","1,771.0","3,259.0","3,918.0","4,529.0","4,968.0","5,265.0","4,400.0","4,488.0","2,739.0","3,148.0","4,716.0","4,875.0","5,171.0","5,526.0"
"36","18","        Machinery,except electrical","A409RC1","3,753.0","3,081.0","3,066.0","4,558.0","4,913.0","3,345.0","5,088.0","6,902.0","8,574.0","10,657.0","9,519.0","8,034.0","8,964.0","3,084.0","4,012.0","6,030.0","5,663.0","814.0","5,561.0"
"37","19","        Electric and electronic equipment","A410RC1","2,302.0","1,273.0","1,963.0","2,914.0","3,212.0","560.0","2,637.0","3,837.0","5,911.0","6,717.0","5,575.0","5,206.0","5,179.0","1,684.0","3,520.0","5,118.0","2,601.0","2,746.0","6,053.0"
"38","20","        Motor vehicles and equipment","A411RC1","4,789.0","1,336.0","5,169.0","5,964.0","5,897.0","694.0","2,252.0","7,424.0","9,374.0","9,015.0","4,728.0","-4,253.0","280.0","-4.0","5,307.0","9,166.0","7,434.0","4,562.0","3,828.0"
"39","21","        Other","A412RC1","4,871.0","2,876.0","4,128.0","5,560.0","6,170.0","3,956.0","4,654.0","7,287.0","8,536.0","10,464.0","8,548.0","2,735.0","-2,564.0","2,148.0","8,433.0","14,639.0","10,089.0","12,121.0","17,736.0"
"40","22","      Nondurable goods","A401RC1","18,141.0","16,999.0","18,458.0","19,330.0","22,058.0","26,078.0","34,545.0","39,929.0","41,399.0","45,098.0","52,588.0","59,460.0","71,615.0","62,107.0","56,718.0","52,555.0","54,601.0","31,654.0","46,221.0"
"41","23","        Food and kindred products","A402RC1","3,063.0","3,239.0","3,557.0","2,975.0","2,536.0","2,637.0","8,637.0","7,101.0","6,871.0","6,167.0","5,828.0","6,055.0","9,153.0","7,347.0","6,289.0","6,760.0","8,760.0","7,464.0","11,213.0"
"42","24","        Chemicals and allied products","A403RC1","4,618.0","3,932.0","4,516.0","5,328.0","6,200.0","5,279.0","6,403.0","8,247.0","7,829.0","8,294.0","7,225.0","5,659.0","8,003.0","5,099.0","7,402.0","8,158.0","6,581.0","7,545.0","14,558.0"
"43","25","        Petroleum and coal products","A404RC1","3,427.0","3,710.0","3,792.0","3,362.0","5,412.0","10,894.0","10,054.0","13,482.0","13,074.0","15,791.0","24,828.0","34,673.0","39,953.0","34,707.0","23,934.0","17,557.0","18,715.0","-4,672.0","-1,418.0"
"44","26","        Other","A405RC1","7,033.0","6,118.0","6,593.0","7,665.0","7,910.0","7,268.0","9,451.0","11,099.0","13,625.0","14,846.0","14,707.0","13,073.0","14,506.0","14,954.0","19,093.0","20,080.0","20,545.0","21,317.0","21,868.0"
"45","27","    Transportation and public utilities","A416RC1","10,656.0","8,258.0","8,908.0","9,468.0","9,071.0","7,613.0","10,960.0","15,290.0","18,567.0","21,785.0","16,964.0","18,426.0","20,303.0","23,069.0","29,540.0","40,132.0","33,752.0","35,752.0","42,365.0"
"46","28","      Transportation","A417RC1","665.0","-120.0","708.0","1,534.0","1,339.0","2,004.0","984.0","3,048.0","3,660.0","4,123.0","3,480.0","2,658.0","1,735.0","-141.0","3,217.0","6,054.0","1,753.0","3,420.0","3,652.0"
"47","29","      Communication","A418RC1","5,351.0","4,771.0","4,135.0","3,898.0","4,293.0","4,085.0","4,268.0","5,729.0","6,640.0","8,577.0","7,499.0","7,733.0","8,600.0","8,572.0","9,947.0","12,824.0","14,176.0","17,597.0","19,553.0"
"48","30","      Electric, gas, and sanitary services","A419RC1","4,640.0","3,607.0","4,065.0","4,036.0","3,439.0","1,524.0","5,708.0","6,513.0","8,267.0","9,085.0","5,985.0","8,035.0","9,968.0","14,638.0","16,376.0","21,254.0","17,823.0","14,735.0","19,160.0"
"49","31","    Wholesale trade","A414RC1","4,862.0","4,435.0","5,170.0","6,855.0","8,230.0","11,507.0","13,807.0","12,927.0","15,647.0","15,582.0","18,837.0","17,230.0","22,361.0","19,587.0","21,021.0","29,520.0","23,918.0","24,143.0","18,965.0"
"50","32","    Retail trade","A415RC1","6,418.0","6,014.0","7,211.0","7,357.0","6,676.0","2,347.0","8,248.0","10,487.0","12,419.0","12,331.0","9,858.0","6,202.0","9,898.0","13,505.0","18,756.0","21,121.0","22,222.0","23,489.0","24,027.0"
"51","33","    Other","A420RC1","6,085.0","5,765.0","6,437.0","7,008.0","8,753.0","9,058.0","11,958.0","14,042.0","17,754.0","19,807.0","21,578.0","21,784.0","16,675.0","9,251.0","10,410.0","11,068.0","9,246.0","15,468.0","24,384.0"
"52","34","Rest of the world","B394RC1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
