"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","Less: Income payments to the rest of the world","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0"
"22","4","Equals: Gross national product","A001RC1","104,374.0","91,922.0","77,005.0","59,085.0","56,702.0","66,259.0","73,645.0","84,028.0","92,236.0","86,503.0","92,543.0","101,710.0","127,157.0","162,320.0","198,938.0","220,083.0","223,314.0","222,880.0","245,205.0","270,574.0","268,512.0","295,184.0","341,152.0","360,283.0","381,226.0","382,449.0","417,169.0","440,224.0","464,110.0","469,797.0","509,388.0","529,551.0","548,277.0","589,749.0","622,237.0","668,559.0","724,394.0","792,762.0","837,838.0","915,928.0","990,546.0"
"23","5","Less: Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0"
"24","6","        Private","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0"
"25","7","          Domestic business","W276RC1","7,603.0","7,401.0","6,878.0","6,044.0","5,689.0","5,803.0","5,825.0","5,916.0","6,599.0","6,747.0","6,703.0","6,969.0","7,712.0","8,726.0","8,733.0","9,007.0","9,285.0","10,325.0","13,497.0","15,889.0","17,321.0","18,564.0","21,171.0","22,415.0","23,614.0","24,628.0","25,831.0","28,620.0","31,172.0","33,054.0","34,297.0","34,628.0","35,427.0","36,611.0","38,059.0","40,003.0","42,933.0","46,859.0","51,191.0","56,096.0","61,937.0"
"26","8","            Capital consumption allowances","Y0000C1","6,302.0","6,358.0","6,279.0","5,794.0","5,429.0","5,260.0","5,277.0","5,362.0","5,488.0","5,564.0","5,639.0","5,828.0","6,476.0","7,534.0","8,021.0","8,878.0","9,292.0","7,885.0","9,880.0","11,794.0","13,527.0","14,940.0","17,107.0","18,813.0","20,948.0","22,941.0","25,670.0","27,882.0","30,196.0","31,527.0","33,383.0","35,153.0","36,614.0","40,891.0","43,337.0","46,061.0","49,360.0","53,379.0","57,785.0","62,595.0","68,787.0"
"27","9","            Less: Capital consumption adjustment","Y0004C1","-1,301.0","-1,043.0","-599.0","-250.0","-260.0","-543.0","-548.0","-554.0","-1,111.0","-1,183.0","-1,064.0","-1,141.0","-1,236.0","-1,192.0","-712.0","-129.0","7.0","-2,440.0","-3,617.0","-4,095.0","-3,794.0","-3,624.0","-4,064.0","-3,602.0","-2,666.0","-1,687.0","-161.0","-738.0","-976.0","-1,527.0","-914.0","525.0","1,187.0","4,280.0","5,278.0","6,058.0","6,427.0","6,520.0","6,594.0","6,499.0","6,850.0"
"28","10","          Households and institutions","W279RC1","1,106.0","1,100.0","1,008.0","825.0","809.0","894.0","888.0","939.0","1,055.0","1,096.0","1,118.0","1,178.0","1,308.0","1,420.0","1,528.0","1,649.0","1,757.0","1,989.0","2,561.0","2,965.0","3,178.0","3,463.0","3,991.0","4,325.0","4,591.0","4,842.0","5,226.0","5,721.0","6,077.0","6,334.0","6,663.0","6,955.0","7,204.0","7,468.0","7,819.0","8,294.0","8,927.0","9,622.0","10,368.0","11,326.0","12,553.0"
"29","11","        Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"30","12","          General government","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0"
"31","13","          Government enterprises","A266RC1","130.0","135.0","134.0","126.0","136.0","177.0","167.0","188.0","214.0","231.0","234.0","247.0","275.0","297.0","292.0","311.0","309.0","344.0","399.0","464.0","487.0","512.0","590.0","645.0","688.0","719.0","764.0","859.0","937.0","987.0","1,026.0","1,091.0","1,156.0","1,234.0","1,310.0","1,395.0","1,501.0","1,636.0","1,778.0","1,961.0","2,200.0"
"32","14","Equals: Net national product","A027RC1","94,707.0","82,471.0","68,210.0","51,399.0","49,297.0","58,485.0","65,833.0","75,942.0","83,260.0","77,270.0","83,283.0","92,030.0","116,107.0","148,639.0","182,439.0","200,539.0","202,205.0","199,784.0","218,556.0","242,109.0","239,332.0","265,242.0","307,360.0","323,998.0","342,589.0","341,853.0","374,383.0","393,120.0","413,266.0","416,542.0","453,975.0","472,967.0","490,095.0","529,191.0","558,905.0","602,193.0","653,675.0","716,308.0","754,903.0","825,510.0","891,355.0"
"33","15","Less: Statistical discrepancy","A030RC1","765.0","-414.0","771.0","301.0","544.0","399.0","-211.0","1,200.0","-30.0","685.0","1,300.0","1,089.0","339.0","-875.0","-1,797.0","2,579.0","3,869.0","1,169.0","2,268.0","-493.0","1,820.0","1,374.0","3,576.0","2,747.0","3,966.0","3,114.0","2,380.0","-1,767.0","-74.0","956.0","479.0","-952.0","-589.0","318.0","-824.0","774.0","1,499.0","6,173.0","4,506.0","4,315.0","2,871.0"
"34","16","Equals: National income","A032RC1","93,942.0","82,885.0","67,439.0","51,098.0","48,753.0","58,086.0","66,044.0","74,742.0","83,290.0","76,585.0","81,983.0","90,941.0","115,768.0","149,514.0","184,236.0","197,960.0","198,336.0","198,615.0","216,288.0","242,602.0","237,512.0","263,868.0","303,784.0","321,251.0","338,623.0","338,739.0","372,003.0","394,887.0","413,340.0","415,586.0","453,496.0","473,919.0","490,684.0","528,873.0","559,729.0","601,419.0","652,176.0","710,135.0","750,397.0","821,195.0","888,484.0"
"35","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0"
"36","18","      Taxes on production and imports less subsidies \1\","W254RC1","6,848.0","6,967.0","6,592.0","6,514.0","6,763.0","7,236.0","7,482.0","8,269.0","8,696.0","8,554.0","8,457.0","9,169.0","10,740.0","11,151.0","12,023.0","12,834.0","14,124.0","15,674.0","17,910.0","19,421.0","20,647.0","22,365.0","23,997.0","26,712.0","28,978.0","28,994.0","31,668.0","33,881.0","35,929.0","36,806.0","39,994.0","43,401.0","44,954.0","48,109.0","51,152.0","54,540.0","57,702.0","59,262.0","64,126.0","72,233.0","79,322.0"
"37","19","      Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0"
"38","20","      Net interest and miscellaneous payments on assets","W255RC1","4,572.0","4,827.0","4,816.0","4,483.0","3,975.0","4,025.0","4,062.0","3,808.0","3,685.0","3,648.0","3,649.0","3,337.0","3,274.0","3,203.0","2,873.0","2,438.0","2,333.0","1,906.0","2,452.0","2,592.0","2,853.0","3,171.0","3,654.0","4,059.0","4,723.0","5,611.0","6,227.0","6,864.0","8,018.0","9,543.0","9,604.0","10,561.0","12,451.0","14,227.0","15,161.0","17,416.0","19,625.0","22,386.0","25,521.0","27,090.0","32,715.0"
"39","21","      Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","700.0","717.0","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,764.0","1,858.0","2,026.0","2,243.0","2,657.0","3,136.0","3,617.0","3,524.0","3,765.0","4,321.0","4,941.0"
"40","22","      Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"41","23","      Wage accruals less disbursements","A062RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","-193.0","14.0","-30.0","15.0","35.0","-46.0","24.0","74.0","-22.0","-76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"42","24","Plus: Personal income receipts on assets","W210RC1","12,468.0","11,726.0","10,301.0","8,385.0","7,398.0","8,033.0","8,282.0","9,761.0","10,039.0","8,423.0","9,053.0","9,300.0","9,776.0","9,454.0","9,662.0","9,912.0","10,559.0","12,273.0","13,909.0","15,106.0","16,034.0","18,554.0","19,079.0","19,851.0","21,584.0","23,244.0","25,671.0","28,204.0","30,595.0","31,865.0","34,603.0","37,883.0","40,132.0","44,085.0","47,892.0","53,751.0","59,380.0","64,074.0","69,028.0","75,158.0","84,135.0"
"43","25","      Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0"
"44","26","Equals: Personal income","A065RC1","84,938.0","76,140.0","65,238.0","49,851.0","46,798.0","53,657.0","60,322.0","68,618.0","74,072.0","68,377.0","72,861.0","78,447.0","96,048.0","123,407.0","152,118.0","165,958.0","171,643.0","178,630.0","190,872.0","209,685.0","206,973.0","228,855.0","257,898.0","275,216.0","291,658.0","294,296.0","315,998.0","339,466.0","358,543.0","368,919.0","392,341.0","411,255.0","428,809.0","456,413.0","479,503.0","514,322.0","555,499.0","603,780.0","648,072.0","711,687.0","778,327.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Gross domestic income","A261RC1","102,843.0","91,627.0","75,719.0","58,420.0","55,858.0","65,581.0","73,515.0","82,566.0","91,897.0","85,439.0","90,870.0","100,341.0","126,402.0","162,784.0","200,404.0","217,180.0","219,180.0","221,059.0","241,827.0","269,611.0","265,412.0","292,370.0","335,684.0","355,551.0","375,361.0","377,240.0","412,340.0","439,195.0","461,129.0","466,213.0","506,148.0","527,390.0","545,347.0","585,338.0","618,584.0","662,865.0","717,616.0","781,519.0","827,939.0","905,528.0","981,560.0"
"47","28","  Gross national income","A023RC1","103,609.0","92,336.0","76,234.0","58,784.0","56,158.0","65,860.0","73,856.0","82,828.0","92,266.0","85,818.0","91,243.0","100,621.0","126,818.0","163,195.0","200,735.0","217,504.0","219,445.0","221,711.0","242,937.0","271,067.0","266,692.0","293,810.0","337,576.0","357,536.0","377,260.0","379,335.0","414,789.0","441,991.0","464,184.0","468,841.0","508,909.0","530,503.0","548,866.0","589,431.0","623,061.0","667,785.0","722,895.0","786,589.0","833,332.0","911,613.0","987,675.0"
"48","29","  Gross national factor income \2\","X023RC1","96,250.0","84,902.0","69,104.0","51,691.0","48,880.0","58,122.0","65,868.0","74,026.0","83,046.0","76,854.0","82,351.0","91,001.0","115,551.0","151,499.0","188,070.0","203,858.0","204,430.0","205,337.0","224,310.0","250,910.0","245,314.0","270,583.0","312,363.0","329,567.0","347,065.0","349,353.0","381,746.0","406,375.0","426,335.0","430,228.0","466,176.0","484,317.0","501,052.0","538,183.0","567,899.0","608,760.0","660,230.0","722,811.0","764,528.0","833,889.0","902,392.0"
"49","30","  Net domestic product","A362RC1","93,941.0","81,762.0","67,695.0","51,035.0","48,997.0","58,206.0","65,492.0","75,680.0","82,891.0","76,891.0","82,910.0","91,750.0","115,691.0","148,228.0","182,108.0","200,215.0","201,940.0","199,132.0","217,446.0","240,653.0","238,052.0","263,802.0","305,468.0","322,013.0","340,690.0","339,758.0","371,934.0","390,324.0","410,211.0","413,914.0","451,214.0","469,854.0","486,576.0","525,098.0","554,428.0","597,273.0","648,396.0","711,238.0","749,510.0","819,425.0","885,240.0"
"50","31","  Net domestic income","W256RC1","93,176.0","82,176.0","66,924.0","50,734.0","48,453.0","57,807.0","65,703.0","74,480.0","82,921.0","76,206.0","81,610.0","90,661.0","115,352.0","149,103.0","183,905.0","197,636.0","198,071.0","197,963.0","215,178.0","241,146.0","236,232.0","262,428.0","301,892.0","319,266.0","336,724.0","336,644.0","369,554.0","392,091.0","410,285.0","412,958.0","450,735.0","470,806.0","487,165.0","524,780.0","555,252.0","596,499.0","646,897.0","705,065.0","745,004.0","815,110.0","882,369.0"
"51","32","  Net national factor income \3\","X032RC1","86,583.0","75,451.0","60,309.0","44,005.0","41,475.0","50,348.0","58,056.0","65,940.0","74,070.0","67,621.0","73,091.0","81,321.0","104,501.0","137,818.0","171,571.0","184,314.0","183,321.0","182,241.0","197,661.0","222,445.0","216,134.0","240,641.0","278,571.0","293,282.0","308,428.0","308,757.0","338,960.0","359,271.0","375,491.0","376,973.0","410,763.0","427,733.0","442,870.0","477,625.0","504,567.0","542,394.0","589,511.0","646,357.0","681,593.0","743,471.0","803,201.0"
"52","33","  Net domestic purchases","W367RC1","93,558.0","81,439.0","67,694.0","50,992.0","48,939.0","57,884.0","65,705.0","75,827.0","82,813.0","75,925.0","82,077.0","90,279.0","114,658.0","148,480.0","184,354.0","202,239.0","202,706.0","191,950.0","206,639.0","235,166.0","232,817.0","263,064.0","302,955.0","320,849.0","341,391.0","339,354.0","371,456.0","387,963.0","406,136.0","413,376.0","450,818.0","465,650.0","481,662.0","520,998.0","549,488.0","590,359.0","642,779.0","707,375.0","745,955.0","818,074.0","883,808.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
