TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Apr(3)   Mar      Feb      Apr      Mar
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   389,355  387,371  384,044  361,942  359,877

                 Total (excl. motor vehicle &  parts)............   321,169  319,310  315,499  300,534  298,914

                   Retail .......................................   348,677  346,658  343,733  323,276  321,187

                GAFO(4)..........................................       (*)   97,226   96,443   94,272   94,395

   441          Motor vehicle & parts dealers....................    68,186   68,061   68,545   61,408   60,963
   4411,4412     Auto & other motor veh. dealers.................    61,670   61,438   61,975   54,961   54,676

   442          Furniture & home furnishings stores..............     7,442    7,526    7,351    7,386    7,456

   443          Electronics & appliance stores....................    8,419    8,604    8,364    8,341    8,341
   44311,13      Appl., T.V. &  camera...........................       (*)    6,646    6,490    6,556    6,563
   44312         Computer & software stores......................       (*)    1,958    1,874    1,785    1,778

   444          Building material & garden eq. & supplies dealers    24,496   24,461   23,865   25,446   23,289
   4441          Building mat. & supplies dealers................       (*)   19,660   19,196   20,667   19,725

   445          Food & beverage stores...........................    51,134   50,519   50,401   48,248   48,504
   4451          Grocery stores..................................    45,980   45,300   45,084   43,065   43,358
   4453          Beer, wine & liquor stores......................       (*)    3,606    3,665    3,528    3,511

   446          Health & personal care stores....................    22,781   22,851   22,685   21,829   21,509
   44611         Pharmacies & drug stores........................       (*)   19,131   19,032   18,401   18,327

   447          Gasoline stations................................    45,783   44,572   42,802   37,576   37,790

   448          Clothing & clothing accessories stores...........    18,734   18,683   18,495   17,787   17,878
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,194    3,188    3,077    3,118
   4482          Shoe stores.....................................       (*)    2,278    2,264    2,181    2,211

   451          Sporting goods, hobby, book & music stores.......     7,196    7,332    7,337    6,992    6,958

   452          General merchandise stores.......................    52,106   52,070   51,877   50,835   50,834
   4521          Department stores (ex. L.D.)....................    15,347   15,385   15,463   15,654   15,959
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,685   36,414   35,181   34,875
   45291          Warehouse clubs & supercenters.................       (*)   32,115   31,857   30,709   30,501
   45299          All other gen. merchandise stores..............       (*)    4,570    4,557    4,472    4,374

   453          Miscellaneous store retailers....................     9,749    9,659    9,897    9,169    9,184

   454          Nonstore retailers...............................    32,651   32,320   32,114   28,259   28,481
   4541          Electronic shopping & mail-order houses.........       (*)   24,656   24,402   21,629   21,905

   722          Food services & drinking places..................    40,678   40,713   40,311   38,666   38,690


