TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2010     2010     2010     2009
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   381,565  380,275  378,301  354,073  353,255

                 Total (excl. motor vehicle &  parts)............   312,733  311,776  310,828  294,604  293,575

                   Retail .......................................   342,018  340,442  338,393  315,775  315,024

                GAFO(4)..........................................       (*)   96,415   97,270   94,205   93,458

   441          Motor vehicle & parts dealers....................    68,832   68,499   67,473   59,469   59,680
   4411,4412     Auto & other motor veh. dealers.................    62,158   61,772   60,775   53,266   53,529

   442          Furniture & home furnishings stores..............     7,568    7,591    7,592    7,502    7,558

   443          Electronics & appliance stores....................    8,436    8,414    8,492    8,461    8,307
   44311,13      Appl., T.V. &  camera...........................       (*)    6,478    6,573    6,638    6,585
   44312         Computer & software stores......................       (*)    1,936    1,919    1,823    1,722

   444          Building material & garden eq. & supplies dealers    24,227   24,954   24,515   22,282   22,167
   4441          Building mat. & supplies dealers................       (*)   19,908   19,554   18,556   18,649

   445          Food & beverage stores...........................    50,296   49,666   50,014   48,228   48,443
   4451          Grocery stores..................................    44,933   44,315   44,601   43,055   43,190
   4453          Beer, wine & liquor stores......................       (*)    3,459    3,511    3,382    3,407

   446          Health & personal care stores....................    22,754   22,644   22,482   21,384   21,421
   44611         Pharmacies & drug stores........................       (*)   18,959   18,918   18,283   18,304

   447          Gasoline stations................................    39,469   38,926   38,227   35,225   35,219

   448          Clothing & clothing accessories stores...........    18,328   18,381   18,647   17,721   17,440
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,108    3,127    3,017    2,936
   4482          Shoe stores.....................................       (*)    2,331    2,341    2,241    2,232

   451          Sporting goods, hobby, book & music stores.......     7,386    7,482    7,495    7,168    7,086

   452          General merchandise stores.......................    51,745   51,358   51,804   50,194   49,936
   4521          Department stores (ex. L.D.)....................    15,499   15,428   15,738   15,628   15,624
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   35,930   36,066   34,566   34,312
   45291          Warehouse clubs & supercenters.................       (*)   31,631   31,623   30,345   30,256
   45299          All other gen. merchandise stores..............       (*)    4,299    4,443    4,221    4,056

   453          Miscellaneous store retailers....................    10,353   10,296   10,243    9,399    9,571

   454          Nonstore retailers...............................    32,624   32,231   31,409   28,742   28,196
   4541          Electronic shopping & mail-order houses.........       (*)   24,168   23,834   21,287   20,975

   722          Food services & drinking places..................    39,547   39,833   39,908   38,298   38,231
 
 
