TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2008     2008     2008     2007
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   344,649  341,072  351,777  381,673  380,968

                 Total (excl. motor vehicle &  parts)............   286,003  283,348  292,852  306,246  304,440

                   Retail .......................................   306,201  302,935  313,152  343,910  343,078

                GAFO(4)..........................................       (*)   93,334   95,394   98,425   98,066

   441          Motor vehicle & parts dealers....................    58,646   57,724   58,925   75,427   76,528
   4411,4412     Auto & other motor veh. dealers.................    52,050   51,131   52,317   69,154   70,172

   442          Furniture & home furnishings stores..............     8,286    8,392    8,525    9,670    9,690

   443          Electronics & appliance stores....................    8,706    8,486    9,013    9,444    9,435
   44311,13      Appl., T.V. &  camera...........................       (*)    6,719    7,219    7,626    7,579
   44312         Computer & software stores......................       (*)    1,767    1,794    1,818    1,856

   444          Building material & garden eq. & supplies dealers    24,260   25,059   25,657   27,608   27,454
   4441          Building mat. & supplies dealers................       (*)   20,896   21,511   23,743   23,913

   445          Food & beverage stores...........................    49,303   48,293   49,447   48,265   48,018
   4451          Grocery stores..................................    44,143   43,174   44,227   43,320   42,930
   4453          Beer, wine & liquor stores......................       (*)    3,528    3,582    3,397    3,388

   446          Health & personal care stores....................    20,947   20,938   20,838   20,179   19,854
   44611         Pharmacies & drug stores........................       (*)   17,330   17,243   16,701   16,499

   447          Gasoline stations................................    27,016   26,322   31,201   41,894   40,633

   448          Clothing & clothing accessories stores...........    17,179   16,910   17,617   19,141   18,777
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,946    3,091    3,368    3,387
   4482          Shoe stores.....................................       (*)    2,113    2,154    2,245    2,221

   451          Sporting goods, hobby, book & music stores.......     7,079    7,113    7,184    7,539    7,308

   452          General merchandise stores.......................    49,700   49,167   49,765   48,979   49,274
   4521          Department stores (ex. L.D.)....................    16,083   16,128   16,467   17,118   17,330
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,039   33,298   31,861   31,944
   45291          Warehouse clubs & supercenters.................       (*)   29,497   29,656   28,119   28,289
   45299          All other gen. merchandise stores..............       (*)    3,542    3,642    3,742    3,655

   453          Miscellaneous store retailers....................     9,262    9,384    9,540    9,984    9,948

   454          Nonstore retailers...............................    25,817   25,147   25,440   25,780   26,159
   4541          Electronic shopping & mail-order houses.........       (*)   18,101   17,925   17,613   17,894

   722          Food services & drinking places..................    38,448   38,137   38,625   37,763   37,890
 
  
