TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2012     2011     2011
   NAICS(1)                    Kind of Business                      Aug(3)   Jul      Jun      Aug      Jul
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   406,748  403,176  400,635  388,595  388,064

                 Total (excl. motor vehicle &  parts)............   332,534  329,930  327,453  321,526  319,714

                   Retail .......................................   362,696  359,352  356,962  347,312  346,949

                GAFO(4)..........................................       (*)   99,525   99,040   97,618   97,169

   441          Motor vehicle & parts dealers....................    74,214   73,246   73,182   67,069   68,350
   4411,4412     Auto & other motor veh. dealers.................    67,453   66,295   66,342   60,055   61,485

   442          Furniture & home furnishings stores..............     8,038    8,013    7,944    7,416    7,338

   443          Electronics & appliance stores....................    8,109    8,223    8,141    8,299    8,277
   44311,13      Appl., T.V. &  camera...........................       (*)    6,231    6,124    6,378    6,340
   44312         Computer & software stores......................       (*)    1,992    2,017    1,921    1,937

   444          Building material & garden eq. & supplies dealers    24,013   23,779   23,504   23,680   23,537
   4441          Building mat. & supplies dealers................       (*)   20,193   20,175   19,980   20,010

   445          Food & beverage stores...........................    52,808   52,833   52,621   51,598   51,415
   4451          Grocery stores..................................    47,365   47,356   47,155   46,377   46,184
   4453          Beer, wine & liquor stores......................       (*)    3,714    3,734    3,611    3,619

   446          Health & personal care stores....................    23,031   22,995   22,618   22,872   22,727
   44611         Pharmacies & drug stores........................       (*)   19,049   18,767   19,291   19,153

   447          Gasoline stations................................    45,750   43,363   43,186   44,655   44,511

   448          Clothing & clothing accessories stores...........    19,949   19,970   19,826   18,862   18,928
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,485    3,428    3,125    3,243
   4482          Shoe stores.....................................       (*)    2,429    2,367    2,274    2,279

   451          Sporting goods, hobby, book & music stores.......     7,537    7,536    7,464    7,127    6,904

   452          General merchandise stores.......................    52,424   52,606   52,536   52,868   52,691
   4521          Department stores (ex. L.D.)....................    15,316   15,308   15,180   15,295   15,404
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,298   37,356   37,573   37,287
   45291          Warehouse clubs & supercenters.................       (*)   32,341   32,464   33,074   32,825
   45299          All other gen. merchandise stores..............       (*)    4,957    4,892    4,499    4,462

   453          Miscellaneous store retailers....................    10,166   10,148    9,988    9,733    9,582

   454          Nonstore retailers...............................    36,657   36,640   35,952   33,133   32,689
   4541          Electronic shopping & mail-order houses.........       (*)   28,569   28,106   25,397   25,143

   722          Food services & drinking places..................    44,052   43,824   43,673   41,283   41,115
 
 

