TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--March 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Mar(3)   Feb      Jan      Mar      Feb
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   389,320  387,813  383,660  363,495  355,458

                 Total (excl. motor vehicle &  parts)............   320,644  317,964  314,531  301,039  297,802

                   Retail .......................................   348,028  346,944  343,533  324,210  316,453

                GAFO(4)..........................................       (*)   98,007   96,653   95,876   95,291

   441          Motor vehicle & parts dealers....................    68,676   69,849   69,129   62,456   57,656
   4411,4412     Auto & other motor veh. dealers.................    62,132   63,203   62,525   56,033   51,346

   442          Furniture & home furnishings stores..............     7,932    7,659    7,560    7,725    7,714

   443          Electronics & appliance stores....................    8,759    8,581    8,456    8,511    8,749
   44311,13      Appl., T.V. &  camera...........................       (*)    6,660    6,541    6,702    6,917
   44312         Computer & software stores......................       (*)    1,921    1,915    1,809    1,832

   444          Building material & garden eq. & supplies dealers    25,026   24,483   24,676   23,826   22,463
   4441          Building mat. & supplies dealers................       (*)   19,506   19,689   19,941   18,657

   445          Food & beverage stores...........................    50,869   50,816   50,475   48,945   49,145
   4451          Grocery stores..................................    45,436   45,305   45,080   43,626   43,851
   4453          Beer, wine & liquor stores......................       (*)    3,616    3,544    3,454    3,438

   446          Health & personal care stores....................    22,983   22,826   22,946   21,615   21,509
   44611         Pharmacies & drug stores........................       (*)   19,150   19,211   18,429   18,331

   447          Gasoline stations................................    41,754   40,681   39,717   35,770   35,560

   448          Clothing & clothing accessories stores...........    18,946   18,838   18,506   18,329   17,886
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,190    3,053    3,099    3,010
   4482          Shoe stores.....................................       (*)    2,361    2,330    2,299    2,284

   451          Sporting goods, hobby, book & music stores.......     7,701    7,696    7,485    7,256    7,103

   452          General merchandise stores.......................    52,145   51,938   51,428   50,868   50,717
   4521          Department stores (ex. L.D.)....................    15,414   15,448   15,277   15,946   15,821
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,490   36,151   34,922   34,896
   45291          Warehouse clubs & supercenters.................       (*)   31,958   31,674   30,597   30,615
   45299          All other gen. merchandise stores..............       (*)    4,532    4,477    4,325    4,281

   453          Miscellaneous store retailers....................    10,466   10,695   10,369    9,753    9,417

   454          Nonstore retailers...............................    32,771   32,882   32,786   29,156   28,534
   4541          Electronic shopping & mail-order houses.........       (*)   24,527   24,403   21,864   21,242

   722          Food services & drinking places..................    41,292   40,869   40,127   39,285   39,005

 
