TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Oct(3)   Sep      Aug      Oct      Sep
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   347,483  342,783  350,800  353,641  365,855

                 Total (excl. motor vehicle &  parts)............   288,468  287,809  286,661  296,142  303,757

                   Retail .......................................   309,094  304,849  312,879  315,802  327,651

                GAFO(4)..........................................       (*)   93,796   93,401   94,056   95,217

   441          Motor vehicle & parts dealers....................    59,015   54,974   64,139   57,499   62,098
   4411,4412     Auto & other motor veh. dealers.................    52,677   48,619   57,736   50,890   55,521

   442          Furniture & home furnishings stores..............     7,699    7,761    7,696    8,335    8,363

   443          Electronics & appliance stores....................    8,343    8,394    8,316    8,969    9,143
   44311,13      Appl., T.V. &  camera...........................       (*)    6,594    6,546    7,082    7,303
   44312         Computer & software stores......................       (*)    1,800    1,770    1,887    1,840

   444          Building material & garden eq. & supplies dealers    22,557   23,116   23,249   26,540   26,726
   4441          Building mat. & supplies dealers................       (*)   19,417   19,389   22,348   22,435

   445          Food & beverage stores...........................    49,590   49,516   49,222   49,355   49,453
   4451          Grocery stores..................................    44,282   44,203   43,890   44,120   44,245
   4453          Beer, wine & liquor stores......................       (*)    3,487    3,500    3,512    3,488

   446          Health & personal care stores....................    21,460   21,363   21,110   20,580   20,565
   44611         Pharmacies & drug stores........................       (*)   17,739   17,553   17,118   17,062

   447          Gasoline stations................................    31,464   31,458   31,165   37,030   42,319

   448          Clothing & clothing accessories stores...........    17,647   17,577   17,465   17,382   17,639
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,904    2,931    2,990    3,121
   4482          Shoe stores.....................................       (*)    2,179    2,198    2,141    2,143

   451          Sporting goods, hobby, book & music stores.......     7,202    7,289    7,303    7,010    7,169

   452          General merchandise stores.......................    49,948   49,567   49,407   49,196   49,672
   4521          Department stores (ex. L.D.)....................    15,602   15,557   15,584   16,070   16,286
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   34,010   33,823   33,126   33,386
   45291          Warehouse clubs & supercenters.................       (*)   30,031   29,892   29,393   29,627
   45299          All other gen. merchandise stores..............       (*)    3,979    3,931    3,733    3,759

   453          Miscellaneous store retailers....................     9,615    9,525    9,512    9,746    9,743

   454          Nonstore retailers...............................    24,554   24,309   24,295   24,160   24,761
   4541          Electronic shopping & mail-order houses.........       (*)   17,665   17,618   16,674   16,905

   722          Food services & drinking places..................    38,389   37,934   37,921   37,839   38,204
 
 
