TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--May 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      May(3)   Apr      Mar      May      Apr
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   339,993  338,422  339,228  375,912  376,009

                 Total (excl. motor vehicle &  parts)............   284,708  283,399  283,970  307,175  305,873

                   Retail .......................................   301,682  300,168  301,057  338,049  338,429

                GAFO(4)..........................................       (*)   93,600   93,891   98,549   97,740

   441          Motor vehicle & parts dealers....................    55,285   55,023   55,258   68,737   70,136
   4411,4412     Auto & other motor veh. dealers.................    48,658   48,448   48,699   62,181   63,645

   442          Furniture & home furnishings stores..............     7,767    7,799    7,885    9,110    9,147

   443          Electronics & appliance stores....................    8,383    8,425    8,502    9,641    9,471
   44311,13      Appl., T.V. &  camera...........................       (*)    6,574    6,651    7,732    7,562
   44312         Computer & software stores......................       (*)    1,851    1,851    1,909    1,909

   444          Building material & garden eq. & supplies dealers    24,612   24,299   24,435   27,451   27,473
   4441          Building mat. & supplies dealers................       (*)   20,202   20,360   23,497   23,715

   445          Food & beverage stores...........................    49,028   48,848   48,881   48,752   48,930
   4451          Grocery stores..................................    43,724   43,543   43,591   43,698   43,879
   4453          Beer, wine & liquor stores......................       (*)    3,498    3,504    3,404    3,405

   446          Health & personal care stores....................    21,291   21,145   21,088   20,285   20,284
   44611         Pharmacies & drug stores........................       (*)   17,566   17,524   16,812   16,781

   447          Gasoline stations................................    28,105   27,119   27,326   42,472   41,716

   448          Clothing & clothing accessories stores...........    17,306   17,234   17,359   18,600   18,638
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,939    2,931    3,231    3,292
   4482          Shoe stores.....................................       (*)    2,095    2,157    2,316    2,295

   451          Sporting goods, hobby, book & music stores.......     7,244    7,299    7,244    7,460    7,367

   452          General merchandise stores.......................    49,515   49,620   49,722   50,368   49,746
   4521          Department stores (ex. L.D.)....................    15,768   15,880   15,922   16,978   16,924
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,740   33,800   33,390   32,822
   45291          Warehouse clubs & supercenters.................       (*)   29,893   29,960   29,585   29,065
   45299          All other gen. merchandise stores..............       (*)    3,847    3,840    3,805    3,757

   453          Miscellaneous store retailers....................     9,562    9,687    9,653    9,785    9,905

   454          Nonstore retailers...............................    23,584   23,670   23,704   25,388   25,616
   4541          Electronic shopping & mail-order houses.........       (*)   17,011   17,000   17,142   17,412

   722          Food services & drinking places..................    38,311   38,254   38,171   37,863   37,580
 
 
