TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   399,349  398,466  396,049  374,105  370,676

                 Total (excl. motor vehicle &  parts)............   329,172  328,619  326,758  308,820  305,822

                   Retail .......................................   357,488  356,499  354,319  334,656  331,514

                GAFO(4)..........................................       (*)   99,198   99,082   96,213   94,780

   441          Motor vehicle & parts dealers....................    70,177   69,847   69,291   65,285   64,854
   4411,4412     Auto & other motor veh. dealers.................    63,437   62,978   62,363   58,685   58,290

   442          Furniture & home furnishings stores..............     7,599    7,567    7,585    7,282    7,273

   443          Electronics & appliance stores....................    8,848    8,669    8,390    8,315    8,391
   44311,13      Appl., T.V. &  camera...........................       (*)    6,671    6,594    6,418    6,506
   44312         Computer & software stores......................       (*)    1,998    1,796    1,897    1,885

   444          Building material & garden eq. & supplies dealers    25,643   25,709   25,361   24,146   24,411
   4441          Building mat. & supplies dealers................       (*)   20,656   20,436   19,481   19,492

   445          Food & beverage stores...........................    51,891   51,980   51,637   49,627   49,194
   4451          Grocery stores..................................    46,436   46,579   46,300   44,412   44,004
   4453          Beer, wine & liquor stores......................       (*)    3,713    3,703    3,576    3,573

   446          Health & personal care stores....................    23,136   23,157   23,076   22,457   22,313
   44611         Pharmacies & drug stores........................       (*)   19,341   19,243   18,867   18,703

   447          Gasoline stations................................    45,019   45,061   45,232   39,867   38,993

   448          Clothing & clothing accessories stores...........    19,102   19,012   19,158   18,422   18,062
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,177    3,176    3,142    3,112
   4482          Shoe stores.....................................       (*)    2,291    2,327    2,243    2,225

   451          Sporting goods, hobby, book & music stores.......     7,611    7,586    7,567    7,162    7,102

   452          General merchandise stores.......................    53,480   53,322   53,353   52,066   51,001
   4521          Department stores (ex. L.D.)....................    15,300   15,249   15,421   15,772   15,324
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   38,073   37,932   36,294   35,677
   45291          Warehouse clubs & supercenters.................       (*)   33,365   33,270   31,793   31,193
   45299          All other gen. merchandise stores..............       (*)    4,708    4,662    4,501    4,484

   453          Miscellaneous store retailers....................    10,253   10,381   10,338    9,523    9,724

   454          Nonstore retailers...............................    34,729   34,208   33,331   30,504   30,196
   4541          Electronic shopping & mail-order houses.........       (*)   26,143   25,516   23,519   23,410

   722          Food services & drinking places..................    41,861   41,967   41,730   39,449   39,162
 
 
