TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   400,614  400,268  398,645  376,208  373,952

                 Total (excl. motor vehicle &  parts)............   328,741  329,445  328,451  310,161  308,550

                   Retail .......................................   357,975  357,923  356,544  336,857  334,586

                GAFO(4)..........................................       (*)   98,898   98,850   95,173   96,052

   441          Motor vehicle & parts dealers....................    71,873   70,823   70,194   66,047   65,402
   4411,4412     Auto & other motor veh. dealers.................    65,055   63,945   63,334   59,407   58,816

   442          Furniture & home furnishings stores..............     7,702    7,626    7,578    7,296    7,296

   443          Electronics & appliance stores....................    8,300    8,640    8,595    8,304    8,319
   44311,13      Appl., T.V. &  camera...........................       (*)    6,501    6,584    6,421    6,429
   44312         Computer & software stores......................       (*)    2,139    2,011    1,883    1,890

   444          Building material & garden eq. & supplies dealers    25,879   25,476   25,725   24,459   24,255
   4441          Building mat. & supplies dealers................       (*)   20,457   20,650   19,769   19,559

   445          Food & beverage stores...........................    51,826   51,905   51,949   49,404   49,571
   4451          Grocery stores..................................    46,372   46,467   46,547   44,277   44,367
   4453          Beer, wine & liquor stores......................       (*)    3,759    3,717    3,486    3,565

   446          Health & personal care stores....................    23,257   23,127   23,145   22,557   22,457
   44611         Pharmacies & drug stores........................       (*)   19,266   19,316   18,906   18,905

   447          Gasoline stations................................    44,782   45,508   45,082   41,120   39,698

   448          Clothing & clothing accessories stores...........    19,182   19,051   18,968   18,098   18,404
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,191    3,171    3,135    3,147
   4482          Shoe stores.....................................       (*)    2,328    2,290    2,241    2,239

   451          Sporting goods, hobby, book & music stores.......     7,433    7,402    7,509    7,228    7,258

   452          General merchandise stores.......................    52,727   53,162   53,163   51,356   51,785
   4521          Department stores (ex. L.D.)....................    15,219   15,243   15,239   15,370   15,812
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,919   37,924   35,986   35,973
   45291          Warehouse clubs & supercenters.................       (*)   33,154   33,229   31,590   31,488
   45299          All other gen. merchandise stores..............       (*)    4,765    4,695    4,396    4,485

   453          Miscellaneous store retailers....................    10,277   10,323   10,337    9,579    9,577

   454          Nonstore retailers...............................    34,737   34,880   34,299   31,409   30,564
   4541          Electronic shopping & mail-order houses.........       (*)   26,534   26,222   23,921   23,604

   722          Food services & drinking places..................    42,639   42,345   42,101   39,351   39,366
 




