TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Oct(3)   Sep      Aug      Oct      Sep
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   397,666  395,533  391,074  370,790  366,417

                 Total (excl. motor vehicle &  parts)............   328,269  326,398  324,729  305,923  302,974

                   Retail .......................................   355,840  353,863  349,904  331,590  327,451

                GAFO(4)..........................................       (*)   98,916   98,099   94,869   94,314

   441          Motor vehicle & parts dealers....................    69,397   69,135   66,345   64,867   63,443
   4411,4412     Auto & other motor veh. dealers.................    62,523   62,191   59,464   58,290   56,910

   442          Furniture & home furnishings stores..............     7,522    7,577    7,489    7,273    7,328

   443          Electronics & appliance stores....................    8,692    8,381    8,410    8,397    8,453
   44311,13      Appl., T.V. &  camera...........................       (*)    6,573    6,663    6,514    6,568
   44312         Computer & software stores......................       (*)    1,808    1,747    1,883    1,885

   444          Building material & garden eq. & supplies dealers    25,770   25,388   25,351   24,402   23,716
   4441          Building mat. & supplies dealers................       (*)   20,428   20,457   19,511   19,251

   445          Food & beverage stores...........................    52,266   51,682   51,744   49,168   48,932
   4451          Grocery stores..................................    46,841   46,351   46,435   43,960   43,768
   4453          Beer, wine & liquor stores......................       (*)    3,711    3,685    3,573    3,538

   446          Health & personal care stores....................    23,281   23,108   23,115   22,290   22,258
   44611         Pharmacies & drug stores........................       (*)   19,216   19,277   18,722   18,686

   447          Gasoline stations................................    45,105   45,288   44,978   39,032   37,937

   448          Clothing & clothing accessories stores...........    19,076   19,216   18,896   18,032   17,684
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,175    3,035    3,103    3,064
   4482          Shoe stores.....................................       (*)    2,316    2,287    2,222    2,190

   451          Sporting goods, hobby, book & music stores.......     7,696    7,598    7,533    7,053    7,030

   452          General merchandise stores.......................    53,108   53,130   52,787   51,154   50,868
   4521          Department stores (ex. L.D.)....................    15,287   15,466   15,307   15,312   15,306
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,664   37,480   35,842   35,562
   45291          Warehouse clubs & supercenters.................       (*)   33,013   32,844   31,353   31,105
   45299          All other gen. merchandise stores..............       (*)    4,651    4,636    4,489    4,457

   453          Miscellaneous store retailers....................    10,372   10,300   10,283    9,716    9,600

   454          Nonstore retailers...............................    33,555   33,060   32,973   30,206   30,202
   4541          Electronic shopping & mail-order houses.........       (*)   25,303   25,171   23,385   23,393

   722          Food services & drinking places..................    41,826   41,670   41,170   39,200   38,966

 
