TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2010     2010     2010
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   387,123  383,398  380,683  355,570  354,736

                 Total (excl. motor vehicle &  parts)............   315,697  313,554  311,668  297,852  294,820

                   Retail .......................................   346,630  343,377  340,694  316,565  316,479

                GAFO(4)..........................................       (*)   96,549   96,219   95,271   94,417

   441          Motor vehicle & parts dealers....................    71,426   69,844   69,015   57,718   59,916
   4411,4412     Auto & other motor veh. dealers.................    64,727   63,225   62,285   51,401   53,705

   442          Furniture & home furnishings stores..............     7,394    7,457    7,568    7,706    7,527

   443          Electronics & appliance stores....................    8,474    8,399    8,412    8,661    8,504
   44311,13      Appl., T.V. &  camera...........................       (*)    6,499    6,487    6,845    6,659
   44312         Computer & software stores......................       (*)    1,900    1,925    1,816    1,845

   444          Building material & garden eq. & supplies dealers    24,835   24,687   25,013   22,384   22,227
   4441          Building mat. & supplies dealers................       (*)   19,565   19,899   18,608   18,507

   445          Food & beverage stores...........................    50,694   50,403   49,687   49,023   48,438
   4451          Grocery stores..................................    45,231   45,024   44,338   43,709   43,270
   4453          Beer, wine & liquor stores......................       (*)    3,520    3,459    3,455    3,362

   446          Health & personal care stores....................    22,684   22,762   22,624   21,532   21,318
   44611         Pharmacies & drug stores........................       (*)   19,122   19,024   18,272   18,136

   447          Gasoline stations................................    39,971   39,413   38,915   35,396   35,225

   448          Clothing & clothing accessories stores...........    18,615   18,475   18,316   17,938   17,731
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,036    3,095    3,029    3,025
   4482          Shoe stores.....................................       (*)    2,330    2,327    2,281    2,241

   451          Sporting goods, hobby, book & music stores.......     7,523    7,423    7,495    7,166    7,168

   452          General merchandise stores.......................    51,980   51,599   51,261   50,655   50,315
   4521          Department stores (ex. L.D.)....................    15,499   15,342   15,403   15,802   15,712
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,257   35,858   34,853   34,603
   45291          Warehouse clubs & supercenters.................       (*)   31,811   31,514   30,582   30,377
   45299          All other gen. merchandise stores..............       (*)    4,446    4,344    4,271    4,226

   453          Miscellaneous store retailers....................    10,505   10,301   10,246    9,508    9,462

   454          Nonstore retailers...............................    32,529   32,614   32,142   28,878   28,648
   4541          Electronic shopping & mail-order houses.........       (*)   24,224   24,041   21,459   21,242

   722          Food services & drinking places..................    40,493   40,021   39,989   39,005   38,257
 
 
