TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2011     2011     2011     2010
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   401,400  399,869  399,796  379,332  376,487

                 Total (excl. motor vehicle &  parts)............   329,732  327,370  329,089  312,509  310,561

                   Retail .......................................   358,782  357,511  357,594  339,934  337,018

                GAFO(4)..........................................       (*)   98,532   99,128   94,936   95,287

   441          Motor vehicle & parts dealers....................    71,668   72,499   70,707   66,823   65,926
   4411,4412     Auto & other motor veh. dealers.................    64,822   65,684   63,838   60,274   59,286

   442          Furniture & home furnishings stores..............     7,771    7,786    7,643    7,209    7,277

   443          Electronics & appliance stores....................    8,228    8,187    8,631    8,276    8,321
   44311,13      Appl., T.V. &  camera...........................       (*)    6,320    6,490    6,428    6,433
   44312         Computer & software stores......................       (*)    1,867    2,141    1,848    1,888

   444          Building material & garden eq. & supplies dealers    26,054   25,999   25,479   24,099   24,533
   4441          Building mat. & supplies dealers................       (*)   20,884   20,540   19,358   19,876

   445          Food & beverage stores...........................    52,228   51,578   51,886   50,058   49,453
   4451          Grocery stores..................................    46,768   46,164   46,466   44,852   44,319
   4453          Beer, wine & liquor stores......................       (*)    3,689    3,736    3,586    3,504

   446          Health & personal care stores....................    23,066   23,131   23,061   22,977   22,517
   44611         Pharmacies & drug stores........................       (*)   19,246   19,245   19,199   18,940

   447          Gasoline stations................................    44,946   44,341   45,514   41,858   41,292

   448          Clothing & clothing accessories stores...........    19,183   19,181   19,077   18,220   18,083
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,224    3,194    3,058    3,133
   4482          Shoe stores.....................................       (*)    2,356    2,340    2,220    2,223

   451          Sporting goods, hobby, book & music stores.......     7,473    7,395    7,440    7,164    7,263

   452          General merchandise stores.......................    54,041   52,976   53,333   51,093   51,454
   4521          Department stores (ex. L.D.)....................    15,417   15,271   15,294   15,183   15,389
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,705   38,039   35,910   36,065
   45291          Warehouse clubs & supercenters.................       (*)   32,883   33,250   31,438   31,641
   45299          All other gen. merchandise stores..............       (*)    4,822    4,789    4,472    4,424

   453          Miscellaneous store retailers....................    10,099   10,048   10,273    9,722    9,660

   454          Nonstore retailers...............................    34,025   34,390   34,550   32,435   31,239
   4541          Electronic shopping & mail-order houses.........       (*)   26,559   26,254   24,634   23,721

   722          Food services & drinking places..................    42,618   42,358   42,202   39,398   39,469


