TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--March 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2012     2011     2011
   NAICS(1)                    Kind of Business                      Mar(3)   Feb      Jan      Mar      Feb
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   411,069  407,872  403,828  386,149  383,197

                 Total (excl. motor vehicle &  parts)............   338,104  335,536  332,423  318,752  315,308

                   Retail .......................................   367,771  364,697  360,878  345,424  343,017

                GAFO(4)..........................................       (*)  100,581  100,131   97,198   96,484

   441          Motor vehicle & parts dealers....................    72,965   72,336   71,405   67,397   67,889
   4411,4412     Auto & other motor veh. dealers.................    66,039   65,333   64,374   60,725   61,312

   442          Furniture & home furnishings stores..............     8,014    7,926    8,009    7,517    7,319

   443          Electronics & appliance stores....................    8,312    8,228    8,199    8,575    8,399
   44311,13      Appl., T.V. &  camera...........................       (*)    6,330    6,319    6,692    6,537
   44312         Computer & software stores......................       (*)    1,898    1,880    1,883    1,862

   444          Building material & garden eq. & supplies dealers    27,758   26,941   26,743   24,334   23,958
   4441          Building mat. & supplies dealers................       (*)   21,709   21,497   19,616   19,196

   445          Food & beverage stores...........................    52,362   52,135   52,150   50,597   50,550
   4451          Grocery stores..................................    46,784   46,621   46,639   45,400   45,231
   4453          Beer, wine & liquor stores......................       (*)    3,761    3,759    3,609    3,673

   446          Health & personal care stores....................    23,189   23,232   23,147   22,887   22,685
   44611         Pharmacies & drug stores........................       (*)   19,182   19,231   19,076   19,032

   447          Gasoline stations................................    47,631   47,105   45,449   44,250   42,653

   448          Clothing & clothing accessories stores...........    20,093   19,922   19,459   18,618   18,305
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,395    3,349    3,139    3,164
   4482          Shoe stores.....................................       (*)    2,455    2,338    2,232    2,239

   451          Sporting goods, hobby, book & music stores.......     7,773    7,735    7,599    7,375    7,318

   452          General merchandise stores.......................    54,026   53,646   53,745   52,116   52,143
   4521          Department stores (ex. L.D.)....................    15,509   15,470   15,309   15,396   15,447
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   38,176   38,436   36,720   36,696
   45291          Warehouse clubs & supercenters.................       (*)   33,143   33,364   32,204   32,170
   45299          All other gen. merchandise stores..............       (*)    5,033    5,072    4,516    4,526

   453          Miscellaneous store retailers....................    10,614   10,704   10,609    9,712    9,836

   454          Nonstore retailers...............................    35,034   34,787   34,364   32,046   31,962
   4541          Electronic shopping & mail-order houses.........       (*)   26,680   26,370   24,352   24,239

   722          Food services & drinking places..................    43,298   43,175   42,950   40,725   40,180
  
 
